model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-24T04:03:46.134254

Build Times
provider,build_time_s
torchinferno,402.1
vllm,1310.5
sglang,197.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,271.91,153.89,139.71,sglang
ttft_p99_ms,2100.57,250.57,5180.64,vllm
tpot_median_ms,154.53,50.56,75.11,vllm
tpot_p99_ms,211.17,129.77,7429.07,vllm
e2e_median_ms,366.20,195.75,208.75,vllm
e2e_p99_ms,2296.97,309.80,12565.45,vllm
throughput_median_tps,4.07,7.53,5.57,vllm
total_output_tokens,1465,1447,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,264.46,191.66,206.49,vllm
ttft_p99_ms,1938.36,385.74,72169.60,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,282.64,223.08,347.00,vllm
e2e_p99_ms,1977.49,469.35,72277.68,vllm
throughput_median_tps,3.54,4.48,2.88,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,767.24,173.39,158.96,sglang
ttft_p99_ms,2261.53,356.64,585.39,vllm
tpot_median_ms,114.35,55.39,105.70,vllm
tpot_p99_ms,553.67,193.25,218.83,vllm
e2e_median_ms,846.96,224.50,257.78,vllm
e2e_p99_ms,2499.84,437.83,629.63,vllm
throughput_median_tps,1.43,6.17,5.09,vllm
total_output_tokens,1450,1448,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1239.47,141.23,122.38,sglang
ttft_last_turn_ms,770.45,169.44,190.82,vllm
ttft_growth_ratio,0.62,1.20,1.56,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,369.84,57.86,78.49,vllm
ttft_p99_ms,1030.43,119.70,463.27,vllm
tpot_median_ms,133.59,27.11,58.82,vllm
tpot_p99_ms,155.11,43.25,180.72,vllm
e2e_median_ms,479.25,78.17,151.54,vllm
e2e_p99_ms,1102.78,147.18,535.42,vllm
throughput_median_tps,2.84,15.47,9.51,vllm
total_output_tokens,1472,1468,1476,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.96,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,837.31,69.97,67.23,sglang
ttft_p99_ms,2879.39,128.42,109.24,sglang
tpot_median_ms,15.63,15.08,22.60,vllm
tpot_p99_ms,55.09,20.30,26.97,vllm
e2e_median_ms,1495.64,616.48,855.84,vllm
e2e_p99_ms,3791.15,1037.27,1585.43,vllm
throughput_median_tps,23.54,58.61,41.42,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,997.70,342.47,1340.17,2,1.49,1
torchinferno,few_shot,1,2097.98,0.00,2186.87,1,0.46,1
torchinferno,few_shot,2,2095.24,0.00,2184.76,1,0.46,1
torchinferno,few_shot,3,2107.38,0.00,2190.07,1,0.46,1
torchinferno,few_shot,4,2094.97,0.00,2187.92,1,0.46,1
torchinferno,few_shot,5,2086.67,0.00,2182.27,1,0.46,1
torchinferno,few_shot,6,2086.88,0.00,2184.14,1,0.46,1
torchinferno,few_shot,7,2098.16,0.00,2193.07,1,0.46,1
torchinferno,few_shot,8,2080.69,0.00,2183.51,1,0.46,1
torchinferno,few_shot,9,2094.76,0.00,2189.76,1,0.46,1
torchinferno,few_shot,10,2101.63,0.00,2199.07,1,0.45,1
torchinferno,few_shot,11,2086.92,0.00,2190.91,1,0.46,1
torchinferno,few_shot,12,761.65,0.00,864.56,1,1.16,1
torchinferno,few_shot,13,2102.97,0.00,2201.83,1,0.45,1
torchinferno,few_shot,14,2094.19,0.00,2192.71,1,0.46,1
torchinferno,few_shot,15,2094.17,0.00,2208.85,1,0.45,1
torchinferno,few_shot,16,2093.47,0.00,2198.60,1,0.45,1
torchinferno,few_shot,17,2093.01,0.00,2200.05,1,0.45,1
torchinferno,few_shot,18,2094.88,0.00,2216.03,1,0.45,1
torchinferno,few_shot,19,2103.61,0.00,2217.15,1,0.45,1
torchinferno,few_shot,20,2091.89,0.00,2203.29,1,0.45,1
torchinferno,few_shot,21,2096.55,0.00,2206.49,1,0.45,1
torchinferno,few_shot,22,2103.86,0.00,2220.07,1,0.45,1
torchinferno,few_shot,23,2081.30,0.00,2208.20,1,0.45,1
torchinferno,few_shot,24,2094.60,0.00,2209.59,1,0.45,1
torchinferno,few_shot,25,2100.52,0.00,2225.94,1,0.45,1
torchinferno,few_shot,26,2098.04,0.00,2221.46,1,0.45,1
torchinferno,few_shot,27,2094.97,0.00,2228.65,1,0.45,1
torchinferno,few_shot,28,2090.95,0.00,2217.06,1,0.45,1
torchinferno,few_shot,29,2090.97,0.00,2221.52,1,0.45,1
torchinferno,few_shot,30,2092.26,0.00,2229.11,1,0.45,1
torchinferno,few_shot,31,2095.30,0.00,2236.80,1,0.45,1
torchinferno,few_shot,32,2094.75,0.00,2244.43,1,0.45,1
torchinferno,few_shot,33,2109.28,0.00,2249.83,1,0.44,1
torchinferno,few_shot,34,2094.96,173.90,2268.86,2,0.88,1
torchinferno,few_shot,35,2092.20,168.31,2260.51,2,0.88,1
torchinferno,few_shot,36,2099.35,175.98,2275.33,2,0.88,1
torchinferno,few_shot,37,2100.51,173.21,2273.72,2,0.88,1
torchinferno,few_shot,38,2093.44,182.51,2275.95,2,0.88,1
torchinferno,few_shot,39,2095.98,178.45,2274.44,2,0.88,1
torchinferno,few_shot,40,2102.38,173.81,2276.19,2,0.88,1
torchinferno,few_shot,41,2081.88,187.77,2269.65,2,0.88,1
torchinferno,few_shot,42,2091.50,189.53,2281.03,2,0.88,1
torchinferno,few_shot,43,2090.07,189.59,2279.67,2,0.88,1
torchinferno,few_shot,44,2093.57,179.42,2272.99,2,0.88,1
torchinferno,few_shot,45,2092.83,182.82,2275.65,2,0.88,1
torchinferno,few_shot,46,2094.20,180.93,2275.13,2,0.88,1
torchinferno,few_shot,47,2090.10,189.17,2279.27,2,0.88,1
torchinferno,few_shot,48,2098.32,192.84,2291.16,2,0.87,1
torchinferno,few_shot,49,2092.21,185.61,2277.82,2,0.88,1
torchinferno,few_shot,50,2106.29,191.34,2297.63,2,0.87,1
torchinferno,few_shot,51,2084.78,196.95,2281.73,2,0.88,1
torchinferno,few_shot,52,2103.98,193.00,2296.97,2,0.87,1
torchinferno,few_shot,53,2096.68,196.99,2293.68,2,0.87,1
torchinferno,few_shot,54,2096.69,202.00,2298.69,2,0.87,1
torchinferno,few_shot,55,2084.25,200.57,2284.82,2,0.88,1
torchinferno,few_shot,56,2095.89,210.28,2306.17,2,0.87,1
torchinferno,few_shot,57,2092.18,196.63,2288.81,2,0.87,1
torchinferno,few_shot,58,2093.00,211.17,2304.18,2,0.87,1
torchinferno,few_shot,59,2098.33,205.56,2303.89,2,0.87,1
torchinferno,few_shot,60,2093.23,199.98,2293.21,2,0.87,1
torchinferno,few_shot,61,2096.50,213.15,2309.65,2,0.87,1
torchinferno,few_shot,62,2085.44,212.84,2298.27,2,0.87,1
torchinferno,few_shot,63,2100.57,210.04,2310.61,2,0.87,1
torchinferno,few_shot,64,2088.75,213.19,2301.94,2,0.87,1
torchinferno,few_shot,65,206.81,0.00,274.91,1,3.64,1
torchinferno,few_shot,66,169.16,0.00,242.75,1,4.12,1
torchinferno,few_shot,67,210.35,0.00,285.95,1,3.50,1
torchinferno,few_shot,68,182.65,0.00,263.17,1,3.80,1
torchinferno,few_shot,69,197.57,0.00,272.49,1,3.67,1
torchinferno,few_shot,70,201.17,0.00,279.17,1,3.58,1
torchinferno,few_shot,71,209.33,0.00,290.67,1,3.44,1
torchinferno,few_shot,72,206.97,0.00,286.25,1,3.49,1
torchinferno,few_shot,73,150.53,0.00,232.68,1,4.30,1
torchinferno,few_shot,74,205.43,0.00,289.43,1,3.46,1
torchinferno,few_shot,75,179.60,0.00,264.17,1,3.79,1
torchinferno,few_shot,76,193.82,0.00,286.36,1,3.49,1
torchinferno,few_shot,77,178.41,0.00,272.37,1,3.67,1
torchinferno,few_shot,78,146.64,0.00,239.28,1,4.18,1
