model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-26T21:51:33.306955+00:00

Build Times
provider,build_time_s
vllm,0.0
sglang,0.0
torchinferno,0.0

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,154.86,142.58,157.14,sglang
ttft_p99_ms,687.88,726.97,4813.90,vllm
tpot_median_ms,58.83,81.65,51.42,torchinferno
tpot_p99_ms,146.11,282.40,1236.50,vllm
e2e_median_ms,208.82,219.86,198.92,torchinferno
e2e_p99_ms,743.84,799.53,4859.15,vllm
throughput_median_tps,6.87,5.30,5.74,vllm
total_output_tokens,1460,1455,1454,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,176.38,214.31,272.16,vllm
ttft_p99_ms,595.50,59095.56,639.93,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,309.63,400.83,309.84,vllm
e2e_p99_ms,868.33,59278.08,865.87,torchinferno
throughput_median_tps,3.23,2.49,3.23,vllm
total_output_tokens,1000,1000,1000,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,132.77,173.07,430.84,vllm
ttft_p99_ms,319.80,739.99,2239.47,vllm
tpot_median_ms,81.53,121.39,65.62,torchinferno
tpot_p99_ms,312.09,595.82,305.31,torchinferno
e2e_median_ms,217.20,290.73,500.49,vllm
e2e_p99_ms,492.83,891.61,2286.44,vllm
throughput_median_tps,6.01,4.39,2.30,vllm
total_output_tokens,1450,1446,1446,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,129.09,153.65,1122.27,vllm
ttft_last_turn_ms,130.36,234.64,944.37,vllm
ttft_growth_ratio,1.01,1.53,0.84,torchinferno

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,72.01,78.75,342.49,vllm
ttft_p99_ms,195.86,505.68,1921.12,vllm
tpot_median_ms,35.64,65.47,55.70,vllm
tpot_p99_ms,150.95,219.09,575.67,vllm
e2e_median_ms,99.88,156.09,371.55,vllm
e2e_p99_ms,221.32,618.79,2213.98,vllm
throughput_median_tps,12.31,8.72,3.99,vllm
total_output_tokens,1475,1475,1453,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,84.30,82.46,337.73,sglang
ttft_p99_ms,245.74,454.26,1872.10,vllm
tpot_median_ms,18.80,26.82,28.15,vllm
tpot_p99_ms,24.03,38.23,87.92,vllm
e2e_median_ms,786.53,984.36,1457.27,vllm
e2e_p99_ms,1333.82,1910.93,3606.93,vllm
throughput_median_tps,47.22,34.60,25.94,vllm
total_output_tokens,36715,36715,36715,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,544.40,0.00,544.66,1,1.84,1
vllm,few_shot,1,538.87,0.00,541.30,1,1.85,1
vllm,few_shot,2,548.02,0.00,550.68,1,1.82,1
vllm,few_shot,3,550.91,0.00,551.31,1,1.81,1
vllm,few_shot,4,548.97,0.00,552.81,1,1.81,1
vllm,few_shot,5,552.76,0.00,554.66,1,1.80,1
vllm,few_shot,6,563.44,0.00,576.88,1,1.73,1
vllm,few_shot,7,608.45,0.00,638.65,1,1.57,1
vllm,few_shot,8,607.70,0.00,640.69,1,1.56,1
vllm,few_shot,9,595.33,0.00,630.93,1,1.58,1
vllm,few_shot,10,608.87,0.00,641.99,1,1.56,1
vllm,few_shot,11,597.89,0.00,634.03,1,1.58,1
vllm,few_shot,12,595.79,0.00,634.69,1,1.58,1
vllm,few_shot,13,602.62,0.00,640.21,1,1.56,1
vllm,few_shot,14,608.84,93.79,702.62,2,2.85,1
vllm,few_shot,15,630.32,0.00,687.03,1,1.46,1
vllm,few_shot,16,601.64,95.44,697.08,2,2.87,1
vllm,few_shot,17,601.63,97.51,699.13,2,2.86,1
vllm,few_shot,18,628.59,0.00,694.47,1,1.44,1
vllm,few_shot,19,601.67,98.83,700.50,2,2.86,1
vllm,few_shot,20,633.80,0.00,697.62,1,1.43,1
vllm,few_shot,21,620.30,0.00,699.55,1,1.43,1
vllm,few_shot,22,621.16,79.41,700.56,2,2.85,1
vllm,few_shot,23,597.37,109.08,706.45,2,2.83,1
vllm,few_shot,24,157.91,0.00,166.23,1,6.02,1
vllm,few_shot,25,672.65,0.00,694.42,1,1.44,1
vllm,few_shot,26,611.16,111.33,722.50,2,2.77,1
vllm,few_shot,27,622.07,0.00,706.80,1,1.41,1
vllm,few_shot,28,686.81,0.00,707.52,1,1.41,1
vllm,few_shot,29,624.56,89.56,714.12,2,2.80,1
vllm,few_shot,30,687.91,0.00,702.99,1,1.42,1
vllm,few_shot,31,625.14,0.00,709.74,1,1.41,1
vllm,few_shot,32,623.16,92.57,715.73,2,2.79,1
vllm,few_shot,33,155.28,0.00,186.79,1,5.35,1
vllm,few_shot,34,599.96,123.84,723.80,2,2.76,1
vllm,few_shot,35,686.02,0.00,704.35,1,1.42,1
vllm,few_shot,36,601.27,124.31,725.57,2,2.76,1
vllm,few_shot,37,601.72,126.15,727.87,2,2.75,1
vllm,few_shot,38,150.38,0.00,186.63,1,5.36,1
vllm,few_shot,39,602.26,126.07,728.33,2,2.75,1
vllm,few_shot,40,621.67,101.75,723.42,2,2.76,1
vllm,few_shot,41,609.58,130.26,739.84,2,2.70,1
vllm,few_shot,42,708.12,0.00,711.56,1,1.41,1
vllm,few_shot,43,624.28,107.61,731.89,2,2.73,1
vllm,few_shot,44,690.64,29.23,719.88,2,2.78,1
vllm,few_shot,45,175.75,0.00,196.04,1,5.10,1
vllm,few_shot,46,668.61,48.25,716.87,2,2.79,1
vllm,few_shot,47,601.49,137.58,739.07,2,2.71,1
vllm,few_shot,48,144.91,0.00,194.07,1,5.15,1
vllm,few_shot,49,665.13,54.44,719.56,2,2.78,1
vllm,few_shot,50,680.85,42.66,723.51,2,2.76,1
vllm,few_shot,51,680.81,0.00,735.48,1,1.36,1
