model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-28T11:03:07.618911+00:00

Build Times
provider,build_time_s
torchinferno,409.1
vllm,523.3
sglang,266.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,148.49,141.67,sglang
ttft_p99_ms,,1018.77,817.27,sglang
tpot_median_ms,,50.47,74.72,vllm
tpot_p99_ms,,143.02,381.65,vllm
e2e_median_ms,,194.38,210.32,vllm
e2e_p99_ms,,1106.28,940.30,sglang
throughput_median_tps,,7.13,5.72,vllm
total_output_tokens,,1462,1461,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,205.81,216.78,vllm
ttft_p99_ms,,465.38,69450.12,vllm
tpot_median_ms,,0.00,0.00,
tpot_p99_ms,,0.00,0.00,
e2e_median_ms,,231.39,369.32,vllm
e2e_p99_ms,,499.95,69562.78,vllm
throughput_median_tps,,4.32,2.71,vllm
total_output_tokens,,1000,1000,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,
unique_final_answers,,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,164.64,162.20,sglang
ttft_p99_ms,,309.96,276.36,sglang
tpot_median_ms,,57.77,103.10,vllm
tpot_p99_ms,,206.25,233.16,vllm
e2e_median_ms,,210.91,258.73,vllm
e2e_p99_ms,,410.00,427.13,vllm
throughput_median_tps,,6.45,5.22,vllm
total_output_tokens,,1450,1448,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang
ttft_first_turn_ms,,138.75,117.20,sglang
ttft_last_turn_ms,,155.74,183.98,vllm
ttft_growth_ratio,,1.12,1.57,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,62.86,82.00,vllm
ttft_p99_ms,,170.31,616.50,vllm
tpot_median_ms,,30.98,55.18,vllm
tpot_p99_ms,,67.95,607.82,vllm
e2e_median_ms,,85.75,146.41,vllm
e2e_p99_ms,,204.07,689.18,vllm
throughput_median_tps,,14.38,9.55,vllm
total_output_tokens,,1467,1466,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,77.47,70.26,sglang
ttft_p99_ms,,193.67,171.55,sglang
tpot_median_ms,,14.84,22.60,vllm
tpot_p99_ms,,20.16,27.16,vllm
e2e_median_ms,,633.63,829.98,vllm
e2e_p99_ms,,1063.89,1651.94,vllm
throughput_median_tps,,58.65,41.45,vllm
total_output_tokens,,36715,36715,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,891.32,0.00,891.56,1,1.12,1
vllm,few_shot,1,889.34,0.00,891.22,1,1.12,1
vllm,few_shot,2,891.64,0.00,894.79,1,1.12,1
vllm,few_shot,3,893.72,0.00,898.29,1,1.11,1
vllm,few_shot,4,898.70,0.00,900.25,1,1.11,1
vllm,few_shot,5,904.64,0.00,906.18,1,1.10,1
vllm,few_shot,6,899.73,0.00,905.89,1,1.10,1
vllm,few_shot,7,905.08,0.00,910.32,1,1.10,1
vllm,few_shot,8,901.15,0.00,910.77,1,1.10,1
vllm,few_shot,9,930.36,0.00,950.01,1,1.05,1
vllm,few_shot,10,929.54,0.00,952.12,1,1.05,1
vllm,few_shot,11,930.36,0.00,952.23,1,1.05,1
vllm,few_shot,12,928.62,0.00,955.33,1,1.05,1
vllm,few_shot,13,928.36,0.00,955.83,1,1.05,1
vllm,few_shot,14,927.62,48.40,976.01,2,2.05,1
vllm,few_shot,15,944.85,0.00,976.22,1,1.02,1
vllm,few_shot,16,942.06,0.00,977.57,1,1.02,1
vllm,few_shot,17,927.53,54.95,982.48,2,2.04,1
vllm,few_shot,18,928.32,54.39,982.72,2,2.04,1
vllm,few_shot,19,945.31,57.50,1002.81,2,1.99,1
vllm,few_shot,20,976.78,0.00,1002.53,1,1.00,1
vllm,few_shot,21,970.11,0.00,1004.56,1,1.00,1
vllm,few_shot,22,946.45,62.56,1009.01,2,1.98,1
vllm,few_shot,23,967.84,0.00,1007.01,1,0.99,1
vllm,few_shot,24,948.07,63.33,1011.40,2,1.98,1
vllm,few_shot,25,971.57,0.00,1011.48,1,0.99,1
vllm,few_shot,26,970.20,0.00,1012.55,1,0.99,1
vllm,few_shot,27,977.21,0.00,1015.03,1,0.99,1
vllm,few_shot,28,947.20,69.51,1016.70,2,1.97,1
vllm,few_shot,29,952.40,66.07,1018.48,2,1.96,1
vllm,few_shot,30,948.23,72.58,1020.81,2,1.96,1
vllm,few_shot,31,973.21,0.00,1017.42,1,0.98,1
vllm,few_shot,32,974.63,0.00,1021.41,1,0.98,1
vllm,few_shot,33,946.04,80.26,1026.30,2,1.95,1
vllm,few_shot,34,968.82,99.23,1068.05,2,1.87,1
vllm,few_shot,35,971.38,98.74,1070.12,2,1.87,1
vllm,few_shot,36,975.09,97.06,1072.15,2,1.87,1
vllm,few_shot,37,1018.77,0.00,1073.43,1,0.93,1
vllm,few_shot,38,994.86,0.00,1074.60,1,0.93,1
vllm,few_shot,39,976.05,102.50,1078.55,2,1.85,1
vllm,few_shot,40,999.63,0.00,1076.94,1,0.93,1
vllm,few_shot,41,1014.05,0.00,1079.03,1,0.93,1
vllm,few_shot,42,1000.88,0.00,1078.33,1,0.93,1
vllm,few_shot,43,1011.35,0.00,1083.41,1,0.92,1
