model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-15T01:07:40.640563

Build Times
provider,build_time_s
torchinferno,319.2
vllm,1100.7
sglang,160.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,305.70,171.43,134.16,sglang
ttft_p99_ms,1477.26,560.85,7494.71,vllm
tpot_median_ms,156.86,54.95,74.34,vllm
tpot_p99_ms,190.92,151.15,7305.60,vllm
e2e_median_ms,389.18,227.49,205.21,sglang
e2e_p99_ms,1576.61,613.47,14761.27,vllm
throughput_median_tps,3.84,6.32,5.83,vllm
total_output_tokens,1461,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,306.84,215.63,213.10,sglang
ttft_p99_ms,1493.59,351.11,671.02,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,376.28,257.45,349.60,vllm
e2e_p99_ms,1593.47,377.35,874.07,vllm
throughput_median_tps,2.66,3.88,2.86,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,518.78,175.76,151.93,sglang
ttft_p99_ms,1892.96,325.72,623.26,vllm
tpot_median_ms,103.02,59.90,101.82,vllm
tpot_p99_ms,610.89,183.09,473.89,vllm
e2e_median_ms,630.92,230.50,251.51,vllm
e2e_p99_ms,2129.01,423.85,676.24,vllm
throughput_median_tps,2.15,6.33,5.30,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,912.87,147.52,102.23,sglang
ttft_last_turn_ms,441.03,164.39,186.37,vllm
ttft_growth_ratio,0.48,1.11,1.82,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,330.16,59.16,73.46,vllm
ttft_p99_ms,754.78,134.49,437.83,vllm
tpot_median_ms,132.74,27.63,68.43,vllm
tpot_p99_ms,154.89,39.55,175.10,vllm
e2e_median_ms,425.91,80.22,159.21,vllm
e2e_p99_ms,884.36,168.03,486.85,vllm
throughput_median_tps,3.72,15.39,9.11,vllm
total_output_tokens,1476,1466,1482,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,582.30,72.59,64.35,sglang
ttft_p99_ms,2200.88,183.53,105.62,sglang
tpot_median_ms,15.28,15.04,22.56,vllm
tpot_p99_ms,62.89,21.74,26.84,vllm
e2e_median_ms,1226.45,622.09,816.21,vllm
e2e_p99_ms,2699.06,1033.86,1571.87,vllm
throughput_median_tps,27.69,58.31,41.93,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,535.00,0.00,603.46,1,1.66,1
torchinferno,few_shot,1,531.26,0.00,601.78,1,1.66,1
torchinferno,few_shot,2,530.76,402.34,933.10,2,2.14,1
torchinferno,few_shot,3,1208.38,0.00,1282.12,1,0.78,1
torchinferno,few_shot,4,1216.84,0.00,1284.30,1,0.78,1
torchinferno,few_shot,5,1220.29,0.00,1296.20,1,0.77,1
torchinferno,few_shot,6,1217.81,0.00,1296.08,1,0.77,1
torchinferno,few_shot,7,1218.41,0.00,1298.98,1,0.77,1
torchinferno,few_shot,8,1215.51,0.00,1292.03,1,0.77,1
torchinferno,few_shot,9,1200.03,0.00,1280.33,1,0.78,1
torchinferno,few_shot,10,1210.78,0.00,1287.65,1,0.78,1
torchinferno,few_shot,11,1209.50,0.00,1287.55,1,0.78,1
torchinferno,few_shot,12,1204.65,0.00,1287.07,1,0.78,1
torchinferno,few_shot,13,1207.96,0.00,1292.74,1,0.77,1
torchinferno,few_shot,14,1207.99,0.00,1292.28,1,0.77,1
torchinferno,few_shot,15,1206.95,0.00,1289.11,1,0.78,1
torchinferno,few_shot,16,1220.00,0.00,1310.93,1,0.76,1
torchinferno,few_shot,17,1212.92,0.00,1301.71,1,0.77,1
torchinferno,few_shot,18,1217.44,0.00,1315.35,1,0.76,1
torchinferno,few_shot,19,1215.43,0.00,1303.89,1,0.77,1
torchinferno,few_shot,20,1217.19,0.00,1316.43,1,0.76,1
torchinferno,few_shot,21,1211.64,0.00,1307.88,1,0.76,1
torchinferno,few_shot,22,1206.00,0.00,1303.20,1,0.77,1
torchinferno,few_shot,23,1210.69,0.00,1304.17,1,0.77,1
torchinferno,few_shot,24,1203.99,0.00,1308.41,1,0.76,1
torchinferno,few_shot,25,1209.97,0.00,1313.37,1,0.76,1
torchinferno,few_shot,26,1226.83,0.00,1327.58,1,0.75,1
torchinferno,few_shot,27,1200.17,154.79,1354.96,2,1.48,1
torchinferno,few_shot,28,1211.48,162.15,1373.63,2,1.46,1
torchinferno,few_shot,29,1198.67,164.55,1363.22,2,1.47,1
torchinferno,few_shot,30,1216.62,159.56,1376.19,2,1.45,1
torchinferno,few_shot,31,1209.08,164.69,1373.77,2,1.46,1
torchinferno,few_shot,32,1195.38,169.83,1365.20,2,1.46,1
torchinferno,few_shot,33,1216.82,166.09,1382.91,2,1.45,1
torchinferno,few_shot,34,1224.94,170.78,1395.72,2,1.43,1
torchinferno,few_shot,35,1207.18,179.11,1386.29,2,1.44,1
torchinferno,few_shot,36,1216.99,180.99,1397.98,2,1.43,1
torchinferno,few_shot,37,1195.13,178.66,1373.79,2,1.46,1
torchinferno,few_shot,38,1210.85,174.90,1385.75,2,1.44,1
torchinferno,few_shot,39,1218.73,183.90,1402.63,2,1.43,1
torchinferno,few_shot,40,1216.97,176.11,1393.08,2,1.44,1
torchinferno,few_shot,41,1213.12,179.51,1392.63,2,1.44,1
torchinferno,few_shot,42,1202.75,184.12,1386.87,2,1.44,1
torchinferno,few_shot,43,1210.28,186.83,1397.11,2,1.43,1
torchinferno,few_shot,44,1225.53,180.38,1405.92,2,1.42,1
torchinferno,few_shot,45,1208.55,190.92,1399.46,2,1.43,1
