model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-22T00:03:36.992054

Build Times
provider,build_time_s
torchinferno,377.7
vllm,1314.1
sglang,193.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,312.98,161.09,134.23,sglang
ttft_p99_ms,1880.44,553.86,5087.43,vllm
tpot_median_ms,155.08,52.56,74.16,vllm
tpot_p99_ms,212.75,154.48,7303.67,vllm
e2e_median_ms,423.80,215.70,201.92,sglang
e2e_p99_ms,2067.38,600.00,12354.23,vllm
throughput_median_tps,3.25,6.68,5.98,vllm
total_output_tokens,1460,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,293.26,198.41,195.50,sglang
ttft_p99_ms,1428.44,470.87,70691.97,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,313.45,222.58,332.01,vllm
e2e_p99_ms,1485.05,481.31,70830.21,vllm
throughput_median_tps,3.19,4.49,3.01,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,680.55,173.88,154.87,sglang
ttft_p99_ms,2502.44,340.09,745.43,vllm
tpot_median_ms,135.62,62.18,108.04,vllm
tpot_p99_ms,457.05,200.98,222.46,vllm
e2e_median_ms,774.23,223.23,253.10,vllm
e2e_p99_ms,2746.59,438.77,907.38,vllm
throughput_median_tps,1.60,6.22,5.41,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,1272.41,137.89,109.62,sglang
ttft_last_turn_ms,605.49,166.61,182.27,vllm
ttft_growth_ratio,0.48,1.21,1.66,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,335.51,58.95,73.55,vllm
ttft_p99_ms,906.99,119.55,649.99,vllm
tpot_median_ms,131.25,27.41,67.46,vllm
tpot_p99_ms,152.48,61.17,625.20,vllm
e2e_median_ms,426.25,79.44,148.61,vllm
e2e_p99_ms,1053.20,147.91,718.63,vllm
throughput_median_tps,3.37,15.34,9.65,vllm
total_output_tokens,1469,1478,1467,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,905.38,68.19,66.34,sglang
ttft_p99_ms,3837.77,128.52,107.97,sglang
tpot_median_ms,15.62,15.06,22.09,vllm
tpot_p99_ms,75.54,22.53,26.65,vllm
e2e_median_ms,1577.55,608.30,800.53,vllm
e2e_p99_ms,4853.25,1013.82,1546.24,vllm
throughput_median_tps,20.22,58.86,42.92,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,928.40,281.47,1209.86,2,1.65,1
torchinferno,few_shot,1,1874.93,0.00,1963.85,1,0.51,1
torchinferno,few_shot,2,1875.11,0.00,1963.37,1,0.51,1
torchinferno,few_shot,3,1870.33,0.00,1965.65,1,0.51,1
torchinferno,few_shot,4,671.19,0.00,762.47,1,1.31,1
torchinferno,few_shot,5,1874.11,0.00,1960.72,1,0.51,1
torchinferno,few_shot,6,1879.18,0.00,1972.34,1,0.51,1
torchinferno,few_shot,7,1873.61,0.00,1962.81,1,0.51,1
torchinferno,few_shot,8,1874.13,0.00,1975.96,1,0.51,1
torchinferno,few_shot,9,1860.13,0.00,1968.91,1,0.51,1
torchinferno,few_shot,10,1877.98,0.00,1983.19,1,0.50,1
torchinferno,few_shot,11,1882.00,0.00,1981.75,1,0.50,1
torchinferno,few_shot,12,1871.57,0.00,1972.48,1,0.51,1
torchinferno,few_shot,13,1861.34,0.00,1974.22,1,0.51,1
torchinferno,few_shot,14,1865.30,0.00,1975.29,1,0.51,1
torchinferno,few_shot,15,1888.91,0.00,1992.64,1,0.50,1
torchinferno,few_shot,16,1883.63,0.00,1993.86,1,0.50,1
torchinferno,few_shot,17,1869.97,0.00,1987.26,1,0.50,1
torchinferno,few_shot,18,1880.44,0.00,1989.71,1,0.50,1
torchinferno,few_shot,19,1879.34,0.00,2002.62,1,0.50,1
torchinferno,few_shot,20,1875.55,0.00,2004.49,1,0.50,1
torchinferno,few_shot,21,1872.42,0.00,1995.60,1,0.50,1
torchinferno,few_shot,22,1872.69,0.00,2009.95,1,0.50,1
torchinferno,few_shot,23,1878.04,0.00,2005.27,1,0.50,1
torchinferno,few_shot,24,1867.42,0.00,1998.43,1,0.50,1
torchinferno,few_shot,25,1876.09,0.00,1997.78,1,0.50,1
torchinferno,few_shot,26,1874.63,0.00,2002.72,1,0.50,1
torchinferno,few_shot,27,1870.25,0.00,2002.13,1,0.50,1
torchinferno,few_shot,28,1870.67,0.00,2010.76,1,0.50,1
torchinferno,few_shot,29,1872.74,0.00,2006.21,1,0.50,1
torchinferno,few_shot,30,1887.58,0.00,2021.25,1,0.49,1
torchinferno,few_shot,31,1869.18,0.00,2015.78,1,0.50,1
torchinferno,few_shot,32,1871.90,0.00,2024.40,1,0.49,1
torchinferno,few_shot,33,1867.37,0.00,2013.45,1,0.50,1
torchinferno,few_shot,34,1870.78,160.67,2031.45,2,0.98,1
torchinferno,few_shot,35,1884.19,148.30,2032.49,2,0.98,1
torchinferno,few_shot,36,1879.57,156.85,2036.42,2,0.98,1
torchinferno,few_shot,37,1882.54,155.43,2037.97,2,0.98,1
torchinferno,few_shot,38,1870.64,168.16,2038.80,2,0.98,1
torchinferno,few_shot,39,1867.21,161.51,2028.71,2,0.99,1
torchinferno,few_shot,40,1870.93,157.62,2028.55,2,0.99,1
torchinferno,few_shot,41,1869.86,161.24,2031.10,2,0.98,1
torchinferno,few_shot,42,1866.77,168.77,2035.54,2,0.98,1
torchinferno,few_shot,43,1860.51,175.68,2036.19,2,0.98,1
torchinferno,few_shot,44,1889.94,159.95,2049.89,2,0.98,1
torchinferno,few_shot,45,1870.45,185.29,2055.74,2,0.97,1
