model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-18T11:10:19.660690

Build Times
provider,build_time_s
torchinferno,306.4
vllm,1096.3
sglang,168.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,253.70,163.44,139.67,sglang
ttft_p99_ms,1487.85,595.06,6788.51,vllm
tpot_median_ms,151.18,59.35,74.74,vllm
tpot_p99_ms,207.60,143.38,7312.51,vllm
e2e_median_ms,356.45,219.27,206.26,sglang
e2e_p99_ms,1677.38,651.27,14073.57,vllm
throughput_median_tps,4.15,6.66,5.81,vllm
total_output_tokens,1465,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,280.73,192.10,200.82,vllm
ttft_p99_ms,1420.94,477.20,70999.98,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,317.25,215.40,335.15,vllm
e2e_p99_ms,1496.04,492.28,71096.12,vllm
throughput_median_tps,3.15,4.64,2.98,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,528.13,171.62,155.20,sglang
ttft_p99_ms,1633.00,325.92,723.57,vllm
tpot_median_ms,119.61,60.91,101.43,vllm
tpot_p99_ms,490.46,184.22,238.83,vllm
e2e_median_ms,619.29,222.91,255.22,vllm
e2e_p99_ms,1758.04,412.83,811.88,vllm
throughput_median_tps,2.12,6.24,5.26,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,856.59,139.57,105.47,sglang
ttft_last_turn_ms,496.33,161.45,191.94,vllm
ttft_growth_ratio,0.58,1.16,1.82,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,345.87,58.65,75.16,vllm
ttft_p99_ms,998.80,123.21,593.22,vllm
tpot_median_ms,131.21,26.78,69.09,vllm
tpot_p99_ms,149.16,40.72,604.76,vllm
e2e_median_ms,442.12,78.83,151.05,vllm
e2e_p99_ms,1127.33,142.60,691.98,vllm
throughput_median_tps,2.96,15.67,9.23,vllm
total_output_tokens,1488,1480,1459,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,683.12,67.37,68.05,vllm
ttft_p99_ms,2302.83,135.78,115.42,sglang
tpot_median_ms,15.01,15.14,22.13,torchinferno
tpot_p99_ms,34.50,21.43,26.68,vllm
e2e_median_ms,1196.53,615.56,808.91,vllm
e2e_p99_ms,3168.11,1019.71,1540.02,vllm
throughput_median_tps,30.32,58.47,42.61,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,712.46,0.00,898.30,1,1.11,1
torchinferno,few_shot,1,1483.51,0.00,1562.88,1,0.64,1
torchinferno,few_shot,2,1477.06,0.00,1556.88,1,0.64,1
torchinferno,few_shot,3,1471.71,0.00,1557.42,1,0.64,1
torchinferno,few_shot,4,1473.20,0.00,1561.90,1,0.64,1
torchinferno,few_shot,5,586.11,0.00,678.63,1,1.47,1
torchinferno,few_shot,6,1485.33,0.00,1576.43,1,0.63,1
torchinferno,few_shot,7,1475.50,0.00,1567.72,1,0.64,1
torchinferno,few_shot,8,1487.85,0.00,1582.21,1,0.63,1
torchinferno,few_shot,9,1473.53,0.00,1576.94,1,0.63,1
torchinferno,few_shot,10,1476.55,0.00,1584.25,1,0.63,1
torchinferno,few_shot,11,1488.43,0.00,1583.62,1,0.63,1
torchinferno,few_shot,12,1479.94,0.00,1576.79,1,0.63,1
torchinferno,few_shot,13,1480.58,0.00,1579.92,1,0.63,1
torchinferno,few_shot,14,1476.90,0.00,1589.45,1,0.63,1
torchinferno,few_shot,15,1478.54,0.00,1592.30,1,0.63,1
torchinferno,few_shot,16,1477.44,0.00,1591.21,1,0.63,1
torchinferno,few_shot,17,1482.29,0.00,1594.74,1,0.63,1
torchinferno,few_shot,18,1470.04,0.00,1587.27,1,0.63,1
torchinferno,few_shot,19,1479.84,0.00,1600.28,1,0.62,1
torchinferno,few_shot,20,1483.30,0.00,1604.77,1,0.62,1
torchinferno,few_shot,21,1482.30,0.00,1599.09,1,0.63,1
torchinferno,few_shot,22,1485.18,0.00,1606.59,1,0.62,1
torchinferno,few_shot,23,1466.55,0.00,1593.29,1,0.63,1
torchinferno,few_shot,24,1471.95,0.00,1594.18,1,0.63,1
torchinferno,few_shot,25,1481.95,0.00,1606.10,1,0.62,1
torchinferno,few_shot,26,1491.44,0.00,1610.84,1,0.62,1
torchinferno,few_shot,27,1482.75,0.00,1606.87,1,0.62,1
torchinferno,few_shot,28,1478.52,0.00,1608.70,1,0.62,1
torchinferno,few_shot,29,1474.78,0.00,1601.00,1,0.62,1
torchinferno,few_shot,30,1490.06,0.00,1617.55,1,0.62,1
torchinferno,few_shot,31,1477.31,0.00,1619.86,1,0.62,1
torchinferno,few_shot,32,1482.83,0.00,1622.73,1,0.62,1
torchinferno,few_shot,33,1489.70,166.91,1656.61,2,1.21,1
torchinferno,few_shot,34,1468.04,173.49,1641.54,2,1.22,1
torchinferno,few_shot,35,1476.68,180.78,1657.46,2,1.21,1
torchinferno,few_shot,36,1493.97,165.25,1659.22,2,1.21,1
torchinferno,few_shot,37,1485.07,174.96,1660.03,2,1.20,1
torchinferno,few_shot,38,1476.10,184.26,1660.36,2,1.20,1
torchinferno,few_shot,39,1476.87,184.48,1661.35,2,1.20,1
torchinferno,few_shot,40,1474.83,176.49,1651.32,2,1.21,1
torchinferno,few_shot,41,1475.28,188.33,1663.61,2,1.20,1
torchinferno,few_shot,42,1463.53,190.10,1653.63,2,1.21,1
torchinferno,few_shot,43,1479.07,176.01,1655.07,2,1.21,1
torchinferno,few_shot,44,1479.01,178.94,1657.95,2,1.21,1
torchinferno,few_shot,45,1493.26,178.06,1671.32,2,1.20,1
