model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-07T23:02:40.169497+00:00

Build Times
provider,build_time_s
torchinferno,40.0
vllm,342.2
sglang,209.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,155.89,123.84,130.64,vllm
ttft_p99_ms,533.20,265.50,543.83,vllm
tpot_median_ms,43.18,41.50,80.39,vllm
tpot_p99_ms,91.96,155.66,486.67,torchinferno
e2e_median_ms,195.50,151.57,208.84,vllm
e2e_p99_ms,580.88,328.16,597.85,vllm
throughput_median_tps,6.07,8.70,5.82,vllm
total_output_tokens,1466,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,104.75,126.49,207.22,torchinferno
ttft_p99_ms,329.29,329.62,69935.94,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,112.10,150.03,354.94,torchinferno
e2e_p99_ms,397.75,342.59,70013.02,vllm
throughput_median_tps,8.92,6.67,2.82,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,239.81,149.95,160.08,vllm
ttft_p99_ms,793.02,470.62,654.51,vllm
tpot_median_ms,58.66,39.96,110.78,vllm
tpot_p99_ms,333.66,177.33,913.66,vllm
e2e_median_ms,283.50,188.96,276.16,vllm
e2e_p99_ms,845.34,566.86,996.01,vllm
throughput_median_tps,4.44,7.18,4.75,vllm
total_output_tokens,1446,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,216.90,133.49,109.27,sglang
ttft_last_turn_ms,334.61,157.68,184.06,vllm
ttft_growth_ratio,1.54,1.18,1.68,vllm
ttft_first_turn_median_ms,199.39,123.36,120.43,sglang
ttft_first_turn_p99_ms,421.88,364.64,285.34,sglang
ttft_last_turn_median_ms,242.91,143.49,190.58,vllm
ttft_last_turn_p99_ms,781.13,442.90,295.20,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,59.97,32.68,46.70,vllm
ttft_p99_ms,199.93,42.21,410.28,vllm
tpot_median_ms,43.07,21.67,352.49,vllm
tpot_p99_ms,168.19,29.40,1101.11,vllm
e2e_median_ms,91.54,48.17,393.02,vllm
e2e_p99_ms,241.11,108.95,1137.82,vllm
throughput_median_tps,15.56,25.46,3.57,vllm
total_output_tokens,1478,1457,1458,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,254.13,79.50,66.92,sglang
ttft_p99_ms,823.12,937.83,514.09,sglang
tpot_median_ms,20.80,14.72,23.10,vllm
tpot_p99_ms,93.88,44.63,149.50,vllm
e2e_median_ms,991.16,645.17,932.72,vllm
e2e_p99_ms,2371.46,1534.82,2492.01,vllm
throughput_median_tps,36.10,58.72,40.87,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,5,0,432.91,0.00,442.26,1,2.26,1,,,,,,,5,,,
torchinferno,few_shot,4,1,451.68,0.00,461.37,1,2.17,1,,,,,,,4,,,
torchinferno,few_shot,3,2,483.30,146.44,629.74,2,3.18,1,,,,,,,3,,,
torchinferno,few_shot,7,3,596.95,0.00,614.47,1,1.63,1,,,,,,,7,,,
torchinferno,few_shot,65,4,194.83,0.00,211.54,1,4.73,1,,,,,,,65,,,
torchinferno,few_shot,26,5,236.20,0.00,255.49,1,3.91,1,,,,,,,26,,,
torchinferno,few_shot,12,6,489.16,0.00,510.80,1,1.96,1,,,,,,,12,,,
torchinferno,few_shot,9,7,549.49,0.00,566.95,1,1.76,1,,,,,,,9,,,
torchinferno,few_shot,24,8,272.82,0.00,294.07,1,3.40,1,,,,,,,24,,,
torchinferno,few_shot,17,9,392.67,0.00,416.09,1,2.40,1,,,,,,,17,,,
torchinferno,few_shot,1,10,724.36,0.00,753.74,1,1.33,1,,,,,,,1,,,
torchinferno,few_shot,8,11,570.67,0.00,593.31,1,1.69,1,,,,,,,8,,,
torchinferno,few_shot,10,12,522.67,0.00,555.50,1,1.80,1,,,,,,,10,,,
torchinferno,few_shot,25,13,250.94,0.00,283.74,1,3.52,1,,,,,,,25,,,
torchinferno,few_shot,28,14,205.21,0.00,234.05,1,4.27,1,,,,,,,28,,,
torchinferno,few_shot,64,15,194.24,0.00,229.46,1,4.36,1,,,,,,,64,,,
torchinferno,few_shot,32,16,130.60,37.11,167.70,2,11.93,1,,,,,,,32,,,
torchinferno,few_shot,2,17,710.55,34.01,744.56,2,2.69,1,,,,,,,2,,,
torchinferno,few_shot,15,18,428.46,39.66,468.11,2,4.27,1,,,,,,,15,,,
torchinferno,few_shot,30,19,164.66,42.41,207.07,2,9.66,1,,,,,,,30,,,
torchinferno,few_shot,23,20,288.51,40.83,329.34,2,6.07,1,,,,,,,23,,,
torchinferno,few_shot,29,21,186.27,0.00,227.46,1,4.40,1,,,,,,,29,,,
torchinferno,few_shot,19,22,359.44,42.81,402.25,2,4.97,1,,,,,,,19,,,
torchinferno,few_shot,11,23,512.17,0.00,555.15,1,1.80,1,,,,,,,11,,,
torchinferno,few_shot,27,24,218.51,48.77,267.29,2,7.48,1,,,,,,,27,,,
torchinferno,few_shot,21,25,323.66,48.43,372.10,2,5.37,1,,,,,,,21,,,
torchinferno,few_shot,22,26,304.17,53.90,358.06,2,5.59,1,,,,,,,22,,,
torchinferno,few_shot,18,27,378.01,50.51,428.52,2,4.67,1,,,,,,,18,,,
torchinferno,few_shot,31,28,152.18,0.00,206.27,1,4.85,1,,,,,,,31,,,
torchinferno,few_shot,6,29,616.37,62.50,678.88,2,2.95,1,,,,,,,6,,,
torchinferno,few_shot,14,30,449.32,60.06,509.38,2,3.93,1,,,,,,,14,,,
torchinferno,few_shot,0,31,749.53,58.99,808.52,2,2.47,1,,,,,,,0,,,
torchinferno,few_shot,13,32,465.56,67.31,532.87,2,3.75,1,,,,,,,13,,,
torchinferno,few_shot,20,33,339.94,65.88,405.81,2,4.93,1,,,,,,,20,,,
torchinferno,few_shot,16,34,407.39,76.99,484.38,2,4.13,1,,,,,,,16,,,
torchinferno,few_shot,38,35,104.48,0.00,114.97,1,8.70,1,,,,,,,38,,,
torchinferno,few_shot,35,36,148.64,0.00,168.64,1,5.93,1,,,,,,,35,,,
torchinferno,few_shot,39,37,82.40,0.00,101.61,1,9.84,1,,,,,,,39,,,
torchinferno,few_shot,34,38,181.39,0.00,189.76,1,5.27,1,,,,,,,34,,,
