model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-19T02:02:59.019733

Build Times
provider,build_time_s
torchinferno,391.9
vllm,1136.8
sglang,193.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,295.30,157.93,142.37,sglang
ttft_p99_ms,1634.73,273.01,5215.28,vllm
tpot_median_ms,154.63,57.04,76.36,vllm
tpot_p99_ms,213.23,144.41,7314.72,vllm
e2e_median_ms,399.98,212.60,210.90,sglang
e2e_p99_ms,1822.94,321.53,12502.84,vllm
throughput_median_tps,3.59,7.28,5.79,vllm
total_output_tokens,1461,1448,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,285.46,182.61,206.25,vllm
ttft_p99_ms,1368.40,418.82,70432.39,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,310.38,204.02,346.54,vllm
e2e_p99_ms,1392.30,454.28,70545.60,vllm
throughput_median_tps,3.22,4.90,2.89,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,540.67,171.02,154.98,sglang
ttft_p99_ms,1459.55,327.75,568.84,vllm
tpot_median_ms,193.12,59.93,97.62,vllm
tpot_p99_ms,559.67,183.97,224.58,vllm
e2e_median_ms,630.98,218.42,254.14,vllm
e2e_p99_ms,1703.53,409.93,646.44,vllm
throughput_median_tps,2.03,6.34,5.38,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,785.62,139.80,111.55,sglang
ttft_last_turn_ms,489.14,158.60,179.84,vllm
ttft_growth_ratio,0.62,1.13,1.61,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,308.93,57.58,77.31,vllm
ttft_p99_ms,861.64,132.70,469.29,vllm
tpot_median_ms,131.40,27.10,60.50,vllm
tpot_p99_ms,156.35,49.63,442.08,vllm
e2e_median_ms,411.96,77.77,150.45,vllm
e2e_p99_ms,988.92,164.60,534.61,vllm
throughput_median_tps,3.43,15.84,9.56,vllm
total_output_tokens,1452,1482,1462,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,770.30,69.20,69.48,vllm
ttft_p99_ms,2228.04,186.98,125.40,sglang
tpot_median_ms,15.83,14.99,22.22,vllm
tpot_p99_ms,69.63,22.86,26.38,vllm
e2e_median_ms,1429.28,617.02,831.95,vllm
e2e_p99_ms,3089.88,1042.07,1533.61,vllm
throughput_median_tps,22.24,59.10,42.27,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,823.22,188.43,1011.64,2,1.98,1
torchinferno,few_shot,1,1621.29,0.00,1713.04,1,0.58,1
torchinferno,few_shot,2,1635.06,0.00,1716.45,1,0.58,1
torchinferno,few_shot,3,1622.56,0.00,1716.90,1,0.58,1
torchinferno,few_shot,4,1620.49,0.00,1714.58,1,0.58,1
torchinferno,few_shot,5,1619.17,0.00,1718.10,1,0.58,1
torchinferno,few_shot,6,1617.84,0.00,1719.44,1,0.58,1
torchinferno,few_shot,7,1622.35,0.00,1728.32,1,0.58,1
torchinferno,few_shot,8,1622.06,0.00,1729.77,1,0.58,1
torchinferno,few_shot,9,1628.86,0.00,1724.99,1,0.58,1
torchinferno,few_shot,10,1620.98,0.00,1731.75,1,0.58,1
torchinferno,few_shot,11,1619.15,0.00,1732.21,1,0.58,1
torchinferno,few_shot,12,1619.40,0.00,1734.47,1,0.58,1
torchinferno,few_shot,13,1642.33,0.00,1740.86,1,0.57,1
torchinferno,few_shot,14,1624.15,0.00,1738.27,1,0.58,1
torchinferno,few_shot,15,1622.74,0.00,1737.64,1,0.58,1
torchinferno,few_shot,16,1628.87,0.00,1737.58,1,0.58,1
torchinferno,few_shot,17,1635.51,0.00,1738.79,1,0.58,1
torchinferno,few_shot,18,1622.87,0.00,1743.18,1,0.57,1
torchinferno,few_shot,19,1623.52,0.00,1743.17,1,0.57,1
torchinferno,few_shot,20,1621.83,0.00,1743.95,1,0.57,1
torchinferno,few_shot,21,1628.42,0.00,1747.98,1,0.57,1
torchinferno,few_shot,22,1621.90,0.00,1744.63,1,0.57,1
torchinferno,few_shot,23,1629.76,0.00,1749.71,1,0.57,1
torchinferno,few_shot,24,631.59,0.00,744.49,1,1.34,1
torchinferno,few_shot,25,1626.71,0.00,1750.60,1,0.57,1
torchinferno,few_shot,26,1629.31,0.00,1749.28,1,0.57,1
torchinferno,few_shot,27,1640.51,0.00,1759.42,1,0.57,1
torchinferno,few_shot,28,1629.90,0.00,1753.78,1,0.57,1
torchinferno,few_shot,29,1630.48,0.00,1763.66,1,0.57,1
torchinferno,few_shot,30,1632.63,0.00,1760.54,1,0.57,1
torchinferno,few_shot,31,1619.54,0.00,1762.23,1,0.57,1
torchinferno,few_shot,32,1630.99,0.00,1768.00,1,0.57,1
torchinferno,few_shot,33,1637.14,0.00,1781.47,1,0.56,1
torchinferno,few_shot,34,1635.21,163.70,1798.91,2,1.11,1
torchinferno,few_shot,35,1625.38,173.88,1799.26,2,1.11,1
torchinferno,few_shot,36,1629.96,162.78,1792.74,2,1.12,1
torchinferno,few_shot,37,1636.33,163.77,1800.10,2,1.11,1
torchinferno,few_shot,38,1627.66,167.86,1795.53,2,1.11,1
torchinferno,few_shot,39,1620.13,178.04,1798.18,2,1.11,1
torchinferno,few_shot,40,1633.57,170.73,1804.30,2,1.11,1
torchinferno,few_shot,41,1638.89,169.27,1808.16,2,1.11,1
torchinferno,few_shot,42,1634.02,170.11,1804.14,2,1.11,1
torchinferno,few_shot,43,1622.58,187.45,1810.02,2,1.10,1
torchinferno,few_shot,44,1618.84,188.87,1807.71,2,1.11,1
torchinferno,few_shot,45,1630.41,182.29,1812.70,2,1.10,1
torchinferno,few_shot,46,1624.76,186.73,1811.49,2,1.10,1
torchinferno,few_shot,47,1624.47,189.80,1814.27,2,1.10,1
torchinferno,few_shot,48,1634.73,178.45,1813.19,2,1.10,1
torchinferno,few_shot,49,1633.27,185.88,1819.15,2,1.10,1
torchinferno,few_shot,50,1621.39,194.24,1815.63,2,1.10,1
torchinferno,few_shot,51,1630.97,187.95,1818.92,2,1.10,1
torchinferno,few_shot,52,1619.78,201.60,1821.38,2,1.10,1
torchinferno,few_shot,53,1625.07,194.95,1820.01,2,1.10,1
torchinferno,few_shot,54,1624.35,195.25,1819.60,2,1.10,1
torchinferno,few_shot,55,1637.80,190.24,1828.04,2,1.09,1
torchinferno,few_shot,56,1622.89,200.05,1822.94,2,1.10,1
torchinferno,few_shot,57,1633.52,201.89,1835.41,2,1.09,1
torchinferno,few_shot,58,1634.20,194.75,1828.94,2,1.09,1
torchinferno,few_shot,59,1628.13,198.25,1826.38,2,1.10,1
torchinferno,few_shot,60,1626.53,207.65,1834.18,2,1.09,1
torchinferno,few_shot,61,1622.26,208.95,1831.21,2,1.09,1
torchinferno,few_shot,62,1620.63,217.85,1838.48,2,1.09,1
