model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-09T15:01:46.105048

Build Times
provider,build_time_s
torchinferno,422.5
vllm,1318.8
sglang,212.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,157.21,142.25,sglang
ttft_p99_ms,,889.82,1239.64,vllm
tpot_median_ms,,59.09,78.60,vllm
tpot_p99_ms,,158.26,407.36,vllm
e2e_median_ms,,215.49,215.72,vllm
e2e_p99_ms,,951.59,1614.47,vllm
throughput_median_tps,,6.90,5.62,vllm
total_output_tokens,,1466,1461,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,168.90,215.70,vllm
ttft_p99_ms,,363.05,70339.46,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,193.63,355.24,vllm
e2e_p99_ms,,455.85,70443.57,vllm
throughput_median_tps,,5.16,2.82,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,170.87,169.97,sglang
ttft_p99_ms,,323.83,660.89,vllm
tpot_median_ms,,58.03,102.21,vllm
tpot_p99_ms,,207.32,261.98,vllm
e2e_median_ms,,219.76,273.79,vllm
e2e_p99_ms,,431.16,717.51,vllm
throughput_median_tps,,6.34,4.82,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang
ttft_first_turn_ms,,140.59,119.05,sglang
ttft_last_turn_ms,,168.62,199.44,vllm
ttft_growth_ratio,,1.20,1.68,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,59.64,84.71,vllm
ttft_p99_ms,,3730.39,713.71,sglang
tpot_median_ms,,27.98,65.77,vllm
tpot_p99_ms,,623.42,706.02,vllm
e2e_median_ms,,80.66,160.01,vllm
e2e_p99_ms,,3750.18,787.49,sglang
throughput_median_tps,,15.01,8.78,vllm
total_output_tokens,,1485,1476,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,68.48,81.95,vllm
ttft_p99_ms,,157.64,159.05,vllm
tpot_median_ms,,15.01,23.61,vllm
tpot_p99_ms,,19.60,27.80,vllm
e2e_median_ms,,613.24,867.81,vllm
e2e_p99_ms,,1012.36,1655.40,vllm
throughput_median_tps,,58.70,39.62,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,751.94,0.00,753.01,1,1.33,1
vllm,few_shot,1,776.57,0.00,790.58,1,1.26,1
vllm,few_shot,2,777.27,37.31,814.58,2,2.46,1
vllm,few_shot,3,807.21,0.00,833.76,1,1.20,1
vllm,few_shot,4,807.38,0.00,835.92,1,1.20,1
vllm,few_shot,5,814.32,0.00,838.85,1,1.19,1
vllm,few_shot,6,808.79,0.00,838.29,1,1.19,1
vllm,few_shot,7,809.07,0.00,840.37,1,1.19,1
vllm,few_shot,8,813.28,0.00,846.94,1,1.18,1
vllm,few_shot,9,787.94,57.68,845.62,2,2.37,1
vllm,few_shot,10,809.84,0.00,845.99,1,1.18,1
vllm,few_shot,11,792.32,59.21,851.53,2,2.35,1
vllm,few_shot,12,824.77,0.00,888.48,1,1.13,1
vllm,few_shot,13,829.15,0.00,901.09,1,1.11,1
vllm,few_shot,14,806.14,98.72,904.86,2,2.21,1
vllm,few_shot,15,819.41,0.00,895.47,1,1.12,1
vllm,few_shot,16,824.09,0.00,899.76,1,1.11,1
vllm,few_shot,17,810.61,100.48,911.08,2,2.20,1
vllm,few_shot,18,808.52,102.70,911.22,2,2.19,1
vllm,few_shot,19,889.51,0.00,898.59,1,1.11,1
vllm,few_shot,20,893.05,0.00,898.10,1,1.11,1
vllm,few_shot,21,831.59,73.48,905.07,2,2.21,1
vllm,few_shot,22,835.69,78.43,914.11,2,2.19,1
vllm,few_shot,23,882.02,0.00,905.55,1,1.10,1
vllm,few_shot,24,891.45,0.00,901.59,1,1.11,1
vllm,few_shot,25,835.62,81.46,917.08,2,2.18,1
vllm,few_shot,26,894.92,0.00,908.80,1,1.10,1
vllm,few_shot,27,813.47,114.48,927.95,2,2.16,1
vllm,few_shot,28,836.93,0.00,920.18,1,1.09,1
vllm,few_shot,29,828.42,0.00,921.77,1,1.08,1
vllm,few_shot,30,810.43,115.61,926.04,2,2.16,1
vllm,few_shot,31,914.03,0.00,914.26,1,1.09,1
vllm,few_shot,32,153.90,0.00,178.62,1,5.60,1
vllm,few_shot,33,895.51,0.00,919.50,1,1.09,1
vllm,few_shot,34,843.46,85.45,928.91,2,2.15,1
vllm,few_shot,35,828.97,0.00,928.92,1,1.08,1
vllm,few_shot,36,144.39,0.00,148.17,1,6.75,1
vllm,few_shot,37,878.92,0.00,919.57,1,1.09,1
vllm,few_shot,38,887.38,0.00,923.34,1,1.08,1
vllm,few_shot,39,875.67,0.00,922.08,1,1.08,1
vllm,few_shot,40,882.72,0.00,929.31,1,1.08,1
vllm,few_shot,41,881.65,0.00,923.57,1,1.08,1
vllm,few_shot,42,894.25,36.58,930.83,2,2.15,1
vllm,few_shot,43,879.07,46.69,925.76,2,2.16,1
vllm,few_shot,44,828.13,105.99,934.12,2,2.14,1
vllm,few_shot,45,883.15,47.50,930.65,2,2.15,1
