model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-14T01:02:39.930120

Build Times
provider,build_time_s
torchinferno,376.0
vllm,1326.2
sglang,229.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,288.78,164.06,151.55,sglang
ttft_p99_ms,2129.49,272.16,653.46,vllm
tpot_median_ms,92.18,58.39,76.36,vllm
tpot_p99_ms,620.27,156.43,407.97,vllm
e2e_median_ms,374.89,216.19,219.36,vllm
e2e_p99_ms,2217.79,336.66,900.25,vllm
throughput_median_tps,3.43,6.86,5.50,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,301.83,196.16,218.74,vllm
ttft_p99_ms,591.27,250.47,70825.92,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,419.77,258.93,352.11,vllm
e2e_p99_ms,707.59,357.17,70943.22,vllm
throughput_median_tps,2.38,3.86,2.84,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,710.45,183.21,159.82,sglang
ttft_p99_ms,1992.54,337.21,285.79,sglang
tpot_median_ms,69.60,70.85,102.65,torchinferno
tpot_p99_ms,192.30,191.49,219.67,vllm
e2e_median_ms,774.38,243.19,257.75,vllm
e2e_p99_ms,2051.43,430.19,412.28,sglang
throughput_median_tps,1.75,5.73,5.25,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,754.35,143.43,110.51,sglang
ttft_last_turn_ms,912.03,176.28,195.38,vllm
ttft_growth_ratio,1.21,1.23,1.77,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,256.04,65.75,84.29,vllm
ttft_p99_ms,840.50,3748.48,673.60,sglang
tpot_median_ms,58.08,30.56,60.80,vllm
tpot_p99_ms,283.83,1799.93,146.23,sglang
e2e_median_ms,373.36,90.40,149.87,vllm
e2e_p99_ms,1072.53,3835.06,727.89,sglang
throughput_median_tps,4.14,13.56,9.36,vllm
total_output_tokens,1486,1447,1482,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,358.57,78.27,67.87,sglang
ttft_p99_ms,1276.86,233.81,152.80,sglang
tpot_median_ms,21.26,15.08,22.36,vllm
tpot_p99_ms,45.92,25.70,27.17,vllm
e2e_median_ms,1136.03,635.64,832.71,vllm
e2e_p99_ms,2283.66,1008.06,1636.50,vllm
throughput_median_tps,31.36,57.64,41.89,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,983.26,0.00,1221.17,1,0.82,1
torchinferno,few_shot,1,981.37,0.00,1221.45,1,0.82,1
torchinferno,few_shot,2,1588.59,0.00,2131.06,1,0.47,1
torchinferno,few_shot,3,1598.94,0.00,2133.36,1,0.47,1
torchinferno,few_shot,4,1593.91,0.00,2133.66,1,0.47,1
torchinferno,few_shot,5,1593.57,0.00,2139.51,1,0.47,1
torchinferno,few_shot,6,1595.59,0.00,2138.30,1,0.47,1
torchinferno,few_shot,7,1586.61,556.66,2143.27,2,0.93,1
torchinferno,few_shot,8,1600.58,0.00,2149.68,1,0.47,1
torchinferno,few_shot,9,1589.27,0.00,2151.64,1,0.46,1
torchinferno,few_shot,10,1593.98,559.39,2153.37,2,0.93,1
torchinferno,few_shot,11,1597.31,0.00,2153.72,1,0.46,1
torchinferno,few_shot,12,1587.00,0.00,2147.04,1,0.47,1
torchinferno,few_shot,13,1593.08,0.00,2149.54,1,0.47,1
torchinferno,few_shot,14,1593.81,569.99,2163.80,2,0.92,1
torchinferno,few_shot,15,1599.88,559.71,2159.60,2,0.93,1
torchinferno,few_shot,16,1593.57,0.00,2157.66,1,0.46,1
torchinferno,few_shot,17,1589.14,0.00,2158.44,1,0.46,1
torchinferno,few_shot,18,1594.79,565.56,2160.34,2,0.93,1
torchinferno,few_shot,19,1590.39,573.99,2164.38,2,0.92,1
torchinferno,few_shot,20,2138.13,22.23,2160.35,2,0.93,1
torchinferno,few_shot,21,1588.42,0.00,2166.71,1,0.46,1
torchinferno,few_shot,22,1592.58,575.98,2168.55,2,0.92,1
torchinferno,few_shot,23,2126.05,0.00,2163.76,1,0.46,1
torchinferno,few_shot,24,1587.81,0.00,2168.69,1,0.46,1
torchinferno,few_shot,25,2126.99,42.28,2169.26,2,0.92,1
torchinferno,few_shot,26,1592.46,590.72,2183.17,2,0.92,1
torchinferno,few_shot,27,1586.49,586.82,2173.31,2,0.92,1
torchinferno,few_shot,28,1593.50,0.00,2179.60,1,0.46,1
torchinferno,few_shot,29,1586.63,0.00,2178.87,1,0.46,1
torchinferno,few_shot,30,1589.05,595.80,2184.85,2,0.92,1
torchinferno,few_shot,31,1598.33,0.00,2183.11,1,0.46,1
torchinferno,few_shot,32,2136.46,0.00,2179.83,1,0.46,1
torchinferno,few_shot,33,2141.25,0.00,2180.55,1,0.46,1
torchinferno,few_shot,34,2175.22,10.33,2185.54,2,0.92,1
torchinferno,few_shot,35,1585.94,605.99,2191.93,2,0.91,1
torchinferno,few_shot,36,1595.61,600.84,2196.45,2,0.91,1
torchinferno,few_shot,37,1595.60,600.68,2196.29,2,0.91,1
torchinferno,few_shot,38,1592.13,0.00,2199.11,1,0.45,1
torchinferno,few_shot,39,1598.34,599.98,2198.32,2,0.91,1
torchinferno,few_shot,40,2129.46,0.00,2193.34,1,0.46,1
torchinferno,few_shot,41,1594.07,607.98,2202.06,2,0.91,1
torchinferno,few_shot,42,1594.72,606.27,2200.99,2,0.91,1
torchinferno,few_shot,43,1592.68,0.00,2202.17,1,0.45,1
torchinferno,few_shot,44,2126.13,71.85,2197.98,2,0.91,1
torchinferno,few_shot,45,1584.39,617.46,2201.85,2,0.91,1
