model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-16T20:08:07.137705

Build Times
provider,build_time_s
torchinferno,292.0
vllm,1082.0
sglang,166.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,280.93,155.09,141.99,sglang
ttft_p99_ms,1453.85,828.63,8230.95,vllm
tpot_median_ms,149.91,51.02,76.20,vllm
tpot_p99_ms,203.81,165.78,7322.58,vllm
e2e_median_ms,370.04,200.26,209.91,vllm
e2e_p99_ms,1549.36,888.02,15519.16,vllm
throughput_median_tps,3.84,7.06,5.62,vllm
total_output_tokens,1466,1466,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,264.32,186.97,202.17,vllm
ttft_p99_ms,1414.41,507.09,70339.61,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,284.43,207.65,337.65,vllm
e2e_p99_ms,1504.02,535.74,70441.65,vllm
throughput_median_tps,3.52,4.82,2.96,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,548.14,164.93,160.62,sglang
ttft_p99_ms,1356.50,314.99,597.82,vllm
tpot_median_ms,152.57,57.44,103.43,vllm
tpot_p99_ms,391.73,197.66,217.25,vllm
e2e_median_ms,638.77,216.85,261.29,vllm
e2e_p99_ms,1478.99,413.85,725.91,vllm
throughput_median_tps,2.10,6.47,5.16,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,737.14,142.13,110.98,sglang
ttft_last_turn_ms,552.31,172.76,192.40,vllm
ttft_growth_ratio,0.75,1.22,1.73,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,325.57,58.16,73.73,vllm
ttft_p99_ms,802.19,131.10,484.14,vllm
tpot_median_ms,129.06,26.69,65.99,vllm
tpot_p99_ms,153.36,43.30,182.10,vllm
e2e_median_ms,424.45,78.82,155.69,vllm
e2e_p99_ms,892.67,166.68,518.76,vllm
throughput_median_tps,3.32,15.64,9.34,vllm
total_output_tokens,1453,1481,1466,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.96,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,672.37,70.07,66.27,sglang
ttft_p99_ms,2185.39,200.23,112.98,sglang
tpot_median_ms,15.60,14.99,22.64,vllm
tpot_p99_ms,33.84,22.50,26.56,vllm
e2e_median_ms,1237.81,617.82,810.38,vllm
e2e_p99_ms,3072.99,1027.62,1581.47,vllm
throughput_median_tps,27.11,58.38,41.93,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,703.21,0.00,770.05,1,1.30,1
torchinferno,few_shot,1,704.18,125.80,829.97,2,2.41,1
torchinferno,few_shot,2,1184.01,0.00,1258.31,1,0.79,1
torchinferno,few_shot,3,1178.81,0.00,1248.70,1,0.80,1
torchinferno,few_shot,4,1179.33,0.00,1248.95,1,0.80,1
torchinferno,few_shot,5,1171.65,0.00,1248.25,1,0.80,1
torchinferno,few_shot,6,1185.74,0.00,1258.56,1,0.79,1
torchinferno,few_shot,7,1178.14,0.00,1253.67,1,0.80,1
torchinferno,few_shot,8,1180.69,0.00,1252.83,1,0.80,1
torchinferno,few_shot,9,1175.36,0.00,1256.99,1,0.80,1
torchinferno,few_shot,10,1185.40,0.00,1272.31,1,0.79,1
torchinferno,few_shot,11,1182.56,0.00,1271.37,1,0.79,1
torchinferno,few_shot,12,1189.85,0.00,1271.20,1,0.79,1
torchinferno,few_shot,13,1179.98,0.00,1262.54,1,0.79,1
torchinferno,few_shot,14,1177.27,0.00,1262.95,1,0.79,1
torchinferno,few_shot,15,1179.23,0.00,1274.05,1,0.78,1
torchinferno,few_shot,16,1173.65,0.00,1265.11,1,0.79,1
torchinferno,few_shot,17,1174.87,0.00,1268.06,1,0.79,1
torchinferno,few_shot,18,1182.52,0.00,1281.79,1,0.78,1
torchinferno,few_shot,19,1186.90,0.00,1278.90,1,0.78,1
torchinferno,few_shot,20,1186.36,0.00,1285.60,1,0.78,1
torchinferno,few_shot,21,1182.14,0.00,1276.00,1,0.78,1
torchinferno,few_shot,22,1192.02,0.00,1287.83,1,0.78,1
torchinferno,few_shot,23,1184.86,0.00,1291.13,1,0.77,1
torchinferno,few_shot,24,1173.63,0.00,1278.84,1,0.78,1
torchinferno,few_shot,25,1194.84,0.00,1294.76,1,0.77,1
torchinferno,few_shot,26,1180.07,0.00,1284.67,1,0.78,1
torchinferno,few_shot,27,1181.81,0.00,1293.87,1,0.77,1
torchinferno,few_shot,28,1175.44,152.89,1328.33,2,1.51,1
torchinferno,few_shot,29,1178.20,151.62,1329.81,2,1.50,1
torchinferno,few_shot,30,1180.82,160.00,1340.82,2,1.49,1
torchinferno,few_shot,31,1177.88,153.91,1331.80,2,1.50,1
torchinferno,few_shot,32,1172.78,161.34,1334.13,2,1.50,1
torchinferno,few_shot,33,1184.64,160.76,1345.40,2,1.49,1
torchinferno,few_shot,34,1174.44,168.67,1343.11,2,1.49,1
torchinferno,few_shot,35,1189.74,162.83,1352.56,2,1.48,1
torchinferno,few_shot,36,1190.87,163.91,1354.78,2,1.48,1
torchinferno,few_shot,37,1179.00,165.67,1344.67,2,1.49,1
torchinferno,few_shot,38,1195.07,165.98,1361.05,2,1.47,1
torchinferno,few_shot,39,1191.88,171.83,1363.70,2,1.47,1
torchinferno,few_shot,40,1193.22,168.52,1361.74,2,1.47,1
torchinferno,few_shot,41,1187.45,176.11,1363.55,2,1.47,1
torchinferno,few_shot,42,1183.70,171.73,1355.43,2,1.48,1
torchinferno,few_shot,43,1185.41,179.56,1364.97,2,1.47,1
torchinferno,few_shot,44,1192.48,178.57,1371.04,2,1.46,1
torchinferno,few_shot,45,1184.56,184.19,1368.75,2,1.46,1
torchinferno,few_shot,46,1174.66,182.58,1357.24,2,1.47,1
torchinferno,few_shot,47,1182.02,188.95,1370.97,2,1.46,1
torchinferno,few_shot,48,1186.67,187.29,1373.96,2,1.46,1
torchinferno,few_shot,49,1180.01,192.84,1372.84,2,1.46,1
torchinferno,few_shot,50,183.31,0.00,242.36,1,4.13,1
torchinferno,few_shot,51,183.07,0.00,237.72,1,4.21,1
torchinferno,few_shot,52,190.23,0.00,255.06,1,3.92,1
torchinferno,few_shot,53,1453.75,0.00,1522.06,1,0.66,1
torchinferno,few_shot,54,187.34,0.00,252.64,1,3.96,1
torchinferno,few_shot,55,642.56,0.00,714.86,1,1.40,1
torchinferno,few_shot,56,703.66,0.00,777.58,1,1.29,1
torchinferno,few_shot,57,207.38,0.00,276.47,1,3.62,1
torchinferno,few_shot,58,187.31,0.00,259.60,1,3.85,1
torchinferno,few_shot,59,211.24,0.00,289.61,1,3.45,1
torchinferno,few_shot,60,216.66,0.00,292.68,1,3.42,1
torchinferno,few_shot,61,220.81,0.00,295.96,1,3.38,1
torchinferno,few_shot,62,200.68,0.00,275.37,1,3.63,1
torchinferno,few_shot,63,213.07,0.00,291.44,1,3.43,1
torchinferno,few_shot,64,1453.85,0.00,1542.15,1,0.65,1
torchinferno,few_shot,65,177.00,0.00,263.19,1,3.80,1
torchinferno,few_shot,66,1463.63,0.00,1544.26,1,0.65,1
torchinferno,few_shot,67,194.12,0.00,280.35,1,3.57,1
torchinferno,few_shot,68,1457.70,0.00,1546.26,1,0.65,1
torchinferno,few_shot,69,200.01,0.00,290.29,1,3.44,1
torchinferno,few_shot,70,1457.72,0.00,1549.36,1,0.65,1
torchinferno,few_shot,71,186.29,0.00,274.89,1,3.64,1
torchinferno,few_shot,72,209.81,0.00,303.83,1,3.29,1
torchinferno,few_shot,73,214.37,0.00,314.36,1,3.18,1
torchinferno,few_shot,74,1455.99,140.32,1596.31,2,1.25,1
torchinferno,few_shot,75,1462.61,134.84,1597.45,2,1.25,1
torchinferno,few_shot,76,1457.40,141.27,1598.67,2,1.25,1
torchinferno,few_shot,77,187.63,144.03,331.66,2,6.03,1
torchinferno,few_shot,78,171.59,147.48,319.07,2,6.27,1
torchinferno,few_shot,79,1453.37,150.98,1604.35,2,1.25,1
torchinferno,few_shot,80,193.61,149.06,342.67,2,5.84,1
torchinferno,few_shot,81,1460.06,145.78,1605.83,2,1.25,1
torchinferno,few_shot,82,210.22,151.30,361.52,2,5.53,1
torchinferno,few_shot,83,208.12,148.69,356.81,2,5.61,1
torchinferno,few_shot,84,195.64,156.60,352.24,2,5.68,1
torchinferno,few_shot,85,191.17,154.08,345.25,2,5.79,1
torchinferno,few_shot,86,205.30,152.31,357.62,2,5.59,1
torchinferno,few_shot,87,1452.61,162.09,1614.70,2,1.24,1
torchinferno,few_shot,88,1462.09,153.28,1615.36,2,1.24,1
torchinferno,few_shot,89,194.49,162.39,356.88,2,5.60,1
torchinferno,few_shot,90,1457.70,161.45,1619.15,2,1.24,1
torchinferno,few_shot,91,1453.39,167.37,1620.76,2,1.23,1
torchinferno,few_shot,92,214.00,0.00,270.79,1,3.69,1
torchinferno,few_shot,93,413.35,0.00,481.70,1,2.08,1
torchinferno,few_shot,94,388.54,0.00,461.42,1,2.17,1
torchinferno,few_shot,95,403.96,0.00,467.35,1,2.14,1
torchinferno,few_shot,96,416.34,0.00,482.08,1,2.07,1
torchinferno,few_shot,97,394.62,0.00,463.97,1,2.16,1
torchinferno,few_shot,98,407.07,0.00,472.74,1,2.12,1
torchinferno,few_shot,99,218.81,0.00,294.16,1,3.40,1
torchinferno,few_shot,100,195.85,0.00,274.84,1,3.64,1
torchinferno,few_shot,101,408.34,0.00,490.50,1,2.04,1
torchinferno,few_shot,102,390.86,0.00,467.72,1,2.14,1
torchinferno,few_shot,103,398.56,0.00,482.82,1,2.07,1
torchinferno,few_shot,104,380.77,0.00,463.95,1,2.16,1
torchinferno,few_shot,105,222.85,0.00,307.45,1,3.25,1
torchinferno,few_shot,106,193.70,0.00,272.76,1,3.67,1
torchinferno,few_shot,107,398.96,0.00,489.44,1,2.04,1
torchinferno,few_shot,108,207.22,0.00,296.84,1,3.37,1
torchinferno,few_shot,109,410.80,0.00,502.99,1,1.99,1
torchinferno,few_shot,110,380.76,0.00,477.41,1,2.09,1
torchinferno,few_shot,111,199.30,0.00,298.48,1,3.35,1
torchinferno,few_shot,112,199.45,0.00,297.67,1,3.36,1
torchinferno,few_shot,113,221.65,0.00,317.66,1,3.15,1
torchinferno,few_shot,114,200.55,0.00,299.63,1,3.34,1
torchinferno,few_shot,115,201.15,0.00,298.35,1,3.35,1
torchinferno,few_shot,116,387.43,0.00,491.67,1,2.03,1
torchinferno,few_shot,117,188.90,0.00,289.81,1,3.45,1
torchinferno,few_shot,118,199.43,0.00,304.71,1,3.28,1
torchinferno,few_shot,119,201.49,133.32,334.81,2,5.97,1
torchinferno,few_shot,120,201.23,139.98,341.21,2,5.86,1
torchinferno,few_shot,121,393.91,142.75,536.66,2,3.73,1
torchinferno,few_shot,122,398.98,146.03,545.01,2,3.67,1
torchinferno,few_shot,123,415.31,146.11,561.43,2,3.56,1
torchinferno,few_shot,124,208.71,141.54,350.26,2,5.71,1
torchinferno,few_shot,125,208.16,146.23,354.39,2,5.64,1
torchinferno,few_shot,126,211.59,150.40,362.00,2,5.52,1
torchinferno,few_shot,127,217.59,154.17,371.76,2,5.38,1
torchinferno,few_shot,128,227.67,149.09,376.76,2,5.31,1
torchinferno,few_shot,129,397.08,152.66,549.73,2,3.64,1
torchinferno,few_shot,130,381.56,158.01,539.58,2,3.71,1
torchinferno,few_shot,131,385.24,159.98,545.22,2,3.67,1
torchinferno,few_shot,132,390.85,157.10,547.95,2,3.65,1
torchinferno,few_shot,133,206.80,156.73,363.54,2,5.50,1
torchinferno,few_shot,134,225.71,152.24,377.95,2,5.29,1
torchinferno,few_shot,135,214.70,159.11,373.82,2,5.35,1
torchinferno,few_shot,136,422.33,156.39,578.72,2,3.46,1
torchinferno,few_shot,137,190.85,166.12,356.97,2,5.60,1
torchinferno,few_shot,138,239.26,0.00,298.58,1,3.35,1
torchinferno,few_shot,139,208.93,0.00,274.83,1,3.64,1
torchinferno,few_shot,140,216.72,0.00,278.95,1,3.58,1
torchinferno,few_shot,141,221.83,0.00,290.07,1,3.45,1
torchinferno,few_shot,142,212.02,0.00,281.07,1,3.56,1
torchinferno,few_shot,143,234.36,0.00,305.20,1,3.28,1
torchinferno,few_shot,144,228.03,0.00,290.33,1,3.44,1
torchinferno,few_shot,145,443.74,0.00,518.10,1,1.93,1
torchinferno,few_shot,146,207.31,0.00,275.88,1,3.62,1
torchinferno,few_shot,147,236.35,0.00,305.07,1,3.28,1
torchinferno,few_shot,148,220.06,0.00,299.46,1,3.34,1
torchinferno,few_shot,149,227.75,0.00,313.18,1,3.19,1
torchinferno,few_shot,150,237.81,0.00,313.79,1,3.19,1
torchinferno,few_shot,151,201.96,0.00,281.33,1,3.55,1
torchinferno,few_shot,152,233.29,0.00,313.27,1,3.19,1
torchinferno,few_shot,153,437.00,0.00,528.20,1,1.89,1
torchinferno,few_shot,154,203.50,0.00,286.28,1,3.49,1
torchinferno,few_shot,155,430.86,0.00,521.45,1,1.92,1
torchinferno,few_shot,156,199.28,0.00,286.02,1,3.50,1
torchinferno,few_shot,157,419.88,0.00,518.71,1,1.93,1
torchinferno,few_shot,158,440.67,0.00,531.04,1,1.88,1
torchinferno,few_shot,159,422.02,138.98,561.00,2,3.57,1
torchinferno,few_shot,160,445.11,132.31,577.42,2,3.46,1
torchinferno,few_shot,161,195.08,131.19,326.27,2,6.13,1
torchinferno,few_shot,162,440.30,144.38,584.68,2,3.42,1
torchinferno,few_shot,163,423.57,146.91,570.48,2,3.51,1
torchinferno,few_shot,164,190.87,144.04,334.91,2,5.97,1
