model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-29T09:07:27.427115

Build Times
provider,build_time_s
torchinferno,315.8
vllm,1294.9
sglang,232.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,259.53,173.66,144.85,sglang
ttft_p99_ms,1538.59,956.68,5234.45,vllm
tpot_median_ms,67.85,61.38,71.29,vllm
tpot_p99_ms,129.18,155.80,7426.70,torchinferno
e2e_median_ms,319.44,237.37,212.90,sglang
e2e_p99_ms,1635.69,988.66,12637.10,vllm
throughput_median_tps,4.09,6.30,5.67,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,279.11,197.19,193.95,sglang
ttft_p99_ms,549.03,464.86,72206.59,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,313.26,223.19,333.74,vllm
e2e_p99_ms,574.24,514.06,72314.94,vllm
throughput_median_tps,3.19,4.48,3.00,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,709.09,174.62,169.22,sglang
ttft_p99_ms,2248.65,355.61,587.22,vllm
tpot_median_ms,55.45,54.65,105.93,vllm
tpot_p99_ms,114.75,184.59,227.43,torchinferno
e2e_median_ms,755.94,229.00,272.21,vllm
e2e_p99_ms,2276.74,438.89,643.69,vllm
throughput_median_tps,1.96,6.14,4.87,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,860.33,138.48,135.49,sglang
ttft_last_turn_ms,1406.35,176.16,204.08,vllm
ttft_growth_ratio,1.63,1.27,1.51,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,173.29,58.44,83.07,vllm
ttft_p99_ms,469.48,154.97,541.12,vllm
tpot_median_ms,27.46,27.66,45.18,torchinferno
tpot_p99_ms,122.35,41.88,120.89,vllm
e2e_median_ms,195.54,79.39,140.30,vllm
e2e_p99_ms,489.99,178.08,588.47,vllm
throughput_median_tps,6.52,15.43,10.24,vllm
total_output_tokens,1473,1471,1488,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,467.87,68.77,75.45,vllm
ttft_p99_ms,2452.97,176.87,141.55,sglang
tpot_median_ms,14.70,15.07,23.85,torchinferno
tpot_p99_ms,95.04,23.43,29.34,vllm
e2e_median_ms,1191.93,617.50,909.02,vllm
e2e_p99_ms,3111.37,1021.93,1735.25,vllm
throughput_median_tps,30.61,58.81,39.08,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1011.22,0.00,1427.75,1,0.70,1
torchinferno,few_shot,1,1013.03,0.00,1432.75,1,0.70,1
torchinferno,few_shot,2,1009.80,0.00,1430.60,1,0.70,1
torchinferno,few_shot,3,1529.03,0.00,1541.57,1,0.65,1
torchinferno,few_shot,4,1525.52,0.00,1544.76,1,0.65,1
torchinferno,few_shot,5,1533.77,0.00,1549.14,1,0.65,1
torchinferno,few_shot,6,1528.06,0.00,1545.80,1,0.65,1
torchinferno,few_shot,7,1520.41,0.00,1548.04,1,0.65,1
torchinferno,few_shot,8,1533.38,0.00,1560.01,1,0.64,1
torchinferno,few_shot,9,1520.36,30.91,1551.27,2,1.29,1
torchinferno,few_shot,10,1526.48,0.00,1550.92,1,0.64,1
torchinferno,few_shot,11,1521.67,0.00,1555.57,1,0.64,1
torchinferno,few_shot,12,1524.66,0.00,1555.26,1,0.64,1
torchinferno,few_shot,13,1530.41,0.00,1572.98,1,0.64,1
torchinferno,few_shot,14,1530.47,0.00,1562.57,1,0.64,1
torchinferno,few_shot,15,1547.69,0.00,1579.70,1,0.63,1
torchinferno,few_shot,16,1523.04,0.00,1567.48,1,0.64,1
torchinferno,few_shot,17,1527.33,0.00,1563.98,1,0.64,1
torchinferno,few_shot,18,1518.81,46.92,1565.73,2,1.28,1
torchinferno,few_shot,19,1545.23,0.00,1586.58,1,0.63,1
torchinferno,few_shot,20,1537.27,0.00,1581.24,1,0.63,1
torchinferno,few_shot,21,1519.54,47.59,1567.12,2,1.28,1
torchinferno,few_shot,22,1540.58,51.56,1592.14,2,1.26,1
torchinferno,few_shot,23,1542.35,0.00,1589.40,1,0.63,1
torchinferno,few_shot,24,1530.77,0.00,1577.60,1,0.63,1
torchinferno,few_shot,25,1537.11,51.85,1588.96,2,1.26,1
torchinferno,few_shot,26,1517.18,59.00,1576.18,2,1.27,1
torchinferno,few_shot,27,1536.17,57.61,1593.78,2,1.25,1
torchinferno,few_shot,28,1533.37,58.81,1592.19,2,1.26,1
torchinferno,few_shot,29,1528.54,0.00,1583.40,1,0.63,1
torchinferno,few_shot,30,1521.38,65.55,1586.92,2,1.26,1
torchinferno,few_shot,31,1536.77,67.97,1604.75,2,1.25,1
torchinferno,few_shot,32,1535.40,0.00,1603.28,1,0.62,1
torchinferno,few_shot,33,1538.59,0.00,1605.53,1,0.62,1
torchinferno,few_shot,34,1533.45,64.26,1597.71,2,1.25,1
torchinferno,few_shot,35,1523.26,71.73,1594.99,2,1.25,1
torchinferno,few_shot,36,1543.58,65.86,1609.43,2,1.24,1
torchinferno,few_shot,37,1542.50,70.96,1613.46,2,1.24,1
torchinferno,few_shot,38,1528.61,76.31,1604.92,2,1.25,1
torchinferno,few_shot,39,1523.72,81.95,1605.66,2,1.25,1
torchinferno,few_shot,40,1535.47,0.00,1605.17,1,0.62,1
torchinferno,few_shot,41,1522.29,78.95,1601.25,2,1.25,1
torchinferno,few_shot,42,1527.86,0.00,1609.10,1,0.62,1
torchinferno,few_shot,43,1534.15,0.00,1626.16,1,0.61,1
torchinferno,few_shot,44,1533.94,90.37,1624.32,2,1.23,1
torchinferno,few_shot,45,1530.37,80.15,1610.52,2,1.24,1
torchinferno,few_shot,46,1540.77,81.53,1622.30,2,1.23,1
torchinferno,few_shot,47,1528.57,0.00,1624.36,1,0.62,1
torchinferno,few_shot,48,1533.44,81.71,1615.15,2,1.24,1
torchinferno,few_shot,49,1531.77,0.00,1631.26,1,0.61,1
torchinferno,few_shot,50,1522.53,94.86,1617.38,2,1.24,1
torchinferno,few_shot,51,1536.55,100.43,1636.97,2,1.22,1
torchinferno,few_shot,52,1547.35,90.06,1637.41,2,1.22,1
torchinferno,few_shot,53,1528.89,0.00,1618.93,1,0.62,1
torchinferno,few_shot,54,1533.84,101.86,1635.69,2,1.22,1
torchinferno,few_shot,55,1535.77,101.22,1636.99,2,1.22,1
torchinferno,few_shot,56,1528.27,0.00,1622.91,1,0.62,1
torchinferno,few_shot,57,1538.06,104.40,1642.46,2,1.22,1
torchinferno,few_shot,58,1530.67,111.43,1642.10,2,1.22,1
torchinferno,few_shot,59,1544.12,0.00,1648.78,1,0.61,1
torchinferno,few_shot,60,1518.51,111.40,1629.91,2,1.23,1
torchinferno,few_shot,61,1531.12,118.57,1649.69,2,1.21,1
torchinferno,few_shot,62,1524.08,116.25,1640.33,2,1.22,1
torchinferno,few_shot,63,1519.55,125.10,1644.65,2,1.22,1
torchinferno,few_shot,64,378.88,0.00,437.07,1,2.29,1
torchinferno,few_shot,65,382.31,0.00,441.91,1,2.26,1
torchinferno,few_shot,66,379.62,0.00,440.55,1,2.27,1
torchinferno,few_shot,67,530.79,0.00,535.25,1,1.87,1
torchinferno,few_shot,68,628.15,0.00,632.47,1,1.58,1
torchinferno,few_shot,69,620.10,0.00,642.15,1,1.56,1
torchinferno,few_shot,70,598.71,0.00,614.52,1,1.63,1
torchinferno,few_shot,71,553.63,0.00,573.09,1,1.74,1
torchinferno,few_shot,72,599.32,0.00,615.66,1,1.62,1
torchinferno,few_shot,73,564.55,0.00,598.68,1,1.67,1
torchinferno,few_shot,74,547.41,0.00,582.04,1,1.72,1
torchinferno,few_shot,75,542.30,36.94,579.24,2,3.45,1
torchinferno,few_shot,76,604.30,0.00,637.56,1,1.57,1
torchinferno,few_shot,77,563.86,0.00,600.81,1,1.66,1
torchinferno,few_shot,78,637.67,0.00,665.77,1,1.50,1
torchinferno,few_shot,79,590.37,0.00,633.81,1,1.58,1
torchinferno,few_shot,80,587.41,0.00,616.71,1,1.62,1
torchinferno,few_shot,81,632.02,0.00,668.04,1,1.50,1
torchinferno,few_shot,82,552.23,44.63,596.85,2,3.35,1
torchinferno,few_shot,83,586.51,0.00,621.92,1,1.61,1
torchinferno,few_shot,84,608.23,0.00,645.85,1,1.55,1
torchinferno,few_shot,85,578.65,0.00,624.10,1,1.60,1
torchinferno,few_shot,86,615.70,43.70,659.40,2,3.03,1
torchinferno,few_shot,87,604.11,0.00,645.65,1,1.55,1
torchinferno,few_shot,88,577.97,5.29,583.26,2,3.43,1
torchinferno,few_shot,89,639.01,0.00,683.35,1,1.46,1
torchinferno,few_shot,90,559.06,0.00,615.82,1,1.62,1
torchinferno,few_shot,91,569.29,58.60,627.89,2,3.19,1
torchinferno,few_shot,92,548.82,0.00,606.36,1,1.65,1
torchinferno,few_shot,93,555.76,0.00,617.38,1,1.62,1
torchinferno,few_shot,94,579.12,0.00,632.17,1,1.58,1
torchinferno,few_shot,95,555.90,59.09,615.00,2,3.25,1
torchinferno,few_shot,96,585.51,68.43,653.94,2,3.06,1
torchinferno,few_shot,97,608.62,61.18,669.80,2,2.99,1
