model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-29T03:17:30.697252

Build Times
provider,build_time_s
torchinferno,368.4
vllm,1311.1
sglang,226.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,235.67,164.73,150.41,sglang
ttft_p99_ms,1022.48,948.88,7284.85,vllm
tpot_median_ms,58.96,61.07,75.26,torchinferno
tpot_p99_ms,140.87,140.40,7425.92,vllm
e2e_median_ms,296.50,219.53,218.70,sglang
e2e_p99_ms,1114.38,989.97,14697.75,vllm
throughput_median_tps,4.42,6.75,5.39,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,285.91,184.27,217.51,vllm
ttft_p99_ms,529.53,419.46,72353.34,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,332.65,209.80,346.50,vllm
e2e_p99_ms,654.38,484.71,72481.59,vllm
throughput_median_tps,3.01,4.77,2.89,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,732.01,164.94,159.21,sglang
ttft_p99_ms,2328.04,352.59,646.60,vllm
tpot_median_ms,55.96,57.45,101.04,torchinferno
tpot_p99_ms,107.86,204.02,252.54,torchinferno
e2e_median_ms,784.49,217.80,254.22,vllm
e2e_p99_ms,2347.48,432.66,805.63,vllm
throughput_median_tps,1.87,6.18,5.27,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,934.39,127.19,120.81,sglang
ttft_last_turn_ms,1460.38,171.03,175.20,vllm
ttft_growth_ratio,1.56,1.34,1.45,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,159.48,58.23,85.57,vllm
ttft_p99_ms,540.62,152.27,539.58,vllm
tpot_median_ms,28.10,27.86,47.73,vllm
tpot_p99_ms,285.00,39.13,551.40,vllm
e2e_median_ms,180.63,78.26,141.89,vllm
e2e_p99_ms,577.51,167.15,635.80,vllm
throughput_median_tps,6.64,15.47,9.59,vllm
total_output_tokens,1467,1448,1479,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.96,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,553.63,76.82,75.97,sglang
ttft_p99_ms,1717.37,154.46,147.90,sglang
tpot_median_ms,15.31,15.03,23.55,vllm
tpot_p99_ms,64.63,24.00,29.18,vllm
e2e_median_ms,1191.60,604.36,889.29,vllm
e2e_p99_ms,2688.91,1003.40,1692.59,vllm
throughput_median_tps,26.09,58.57,39.61,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,899.86,0.00,911.38,1,1.10,1
torchinferno,few_shot,1,901.82,0.00,915.12,1,1.09,1
torchinferno,few_shot,2,897.59,22.11,919.70,2,2.17,1
torchinferno,few_shot,3,899.46,22.82,922.28,2,2.17,1
torchinferno,few_shot,4,902.39,26.36,928.75,2,2.15,1
torchinferno,few_shot,5,1028.09,0.00,1029.38,1,0.97,1
torchinferno,few_shot,6,1019.14,0.00,1029.38,1,0.97,1
torchinferno,few_shot,7,1014.03,0.00,1027.87,1,0.97,1
torchinferno,few_shot,8,1009.38,0.00,1027.67,1,0.97,1
torchinferno,few_shot,9,1024.23,0.00,1038.22,1,0.96,1
torchinferno,few_shot,10,1011.21,0.00,1035.17,1,0.97,1
torchinferno,few_shot,11,1010.97,0.00,1035.20,1,0.97,1
torchinferno,few_shot,12,1014.91,0.00,1035.44,1,0.97,1
torchinferno,few_shot,13,1015.39,0.00,1039.40,1,0.96,1
torchinferno,few_shot,14,1014.08,0.00,1039.31,1,0.96,1
torchinferno,few_shot,15,1022.15,0.00,1050.39,1,0.95,1
torchinferno,few_shot,16,1010.41,37.23,1047.64,2,1.91,1
torchinferno,few_shot,17,1011.30,39.55,1050.85,2,1.90,1
torchinferno,few_shot,18,1009.91,0.00,1049.03,1,0.95,1
torchinferno,few_shot,19,1022.40,0.00,1049.15,1,0.95,1
torchinferno,few_shot,20,1018.84,0.00,1048.30,1,0.95,1
torchinferno,few_shot,21,1014.57,38.52,1053.09,2,1.90,1
torchinferno,few_shot,22,1022.35,0.00,1051.69,1,0.95,1
torchinferno,few_shot,23,1017.55,0.00,1053.03,1,0.95,1
torchinferno,few_shot,24,1029.27,34.34,1063.61,2,1.88,1
torchinferno,few_shot,25,1013.29,0.00,1054.80,1,0.95,1
torchinferno,few_shot,26,1013.09,43.33,1056.42,2,1.89,1
torchinferno,few_shot,27,1021.75,36.69,1058.44,2,1.89,1
torchinferno,few_shot,28,1021.56,0.00,1059.27,1,0.94,1
torchinferno,few_shot,29,1011.17,54.08,1065.25,2,1.88,1
torchinferno,few_shot,30,1010.80,53.10,1063.90,2,1.88,1
torchinferno,few_shot,31,1020.31,47.34,1067.65,2,1.87,1
torchinferno,few_shot,32,1028.67,0.00,1073.12,1,0.93,1
torchinferno,few_shot,33,1006.88,64.40,1071.29,2,1.87,1
torchinferno,few_shot,34,1014.60,0.00,1081.85,1,0.92,1
torchinferno,few_shot,35,1018.08,58.87,1076.95,2,1.86,1
torchinferno,few_shot,36,1019.58,57.72,1077.30,2,1.86,1
torchinferno,few_shot,37,1009.36,0.00,1081.58,1,0.92,1
torchinferno,few_shot,38,1016.58,69.75,1086.33,2,1.84,1
torchinferno,few_shot,39,1021.98,61.72,1083.70,2,1.85,1
torchinferno,few_shot,40,1028.19,0.00,1094.84,1,0.91,1
torchinferno,few_shot,41,1012.60,76.00,1088.61,2,1.84,1
torchinferno,few_shot,42,1014.53,72.43,1086.96,2,1.84,1
torchinferno,few_shot,43,1010.36,77.04,1087.40,2,1.84,1
torchinferno,few_shot,44,105.69,0.00,187.11,1,5.34,1
torchinferno,few_shot,45,1006.68,83.94,1090.62,2,1.83,1
torchinferno,few_shot,46,1017.76,0.00,1097.94,1,0.91,1
torchinferno,few_shot,47,1013.64,80.98,1094.62,2,1.83,1
torchinferno,few_shot,48,1017.13,84.13,1101.26,2,1.82,1
torchinferno,few_shot,49,1016.44,90.01,1106.45,2,1.81,1
torchinferno,few_shot,50,1022.90,0.00,1105.09,1,0.90,1
torchinferno,few_shot,51,1011.73,0.00,1100.91,1,0.91,1
torchinferno,few_shot,52,1013.25,0.00,1105.12,1,0.90,1
torchinferno,few_shot,53,1016.83,90.41,1107.25,2,1.81,1
torchinferno,few_shot,54,1011.44,96.70,1108.14,2,1.80,1
torchinferno,few_shot,55,1021.46,0.00,1114.38,1,0.90,1
torchinferno,few_shot,56,1030.20,94.17,1124.37,2,1.78,1
torchinferno,few_shot,57,200.09,0.00,209.43,1,4.77,1
torchinferno,few_shot,58,1013.75,0.00,1122.66,1,0.89,1
torchinferno,few_shot,59,1011.21,113.80,1125.00,2,1.78,1
torchinferno,few_shot,60,1019.47,104.10,1123.57,2,1.78,1
torchinferno,few_shot,61,1022.48,104.49,1126.97,2,1.77,1
torchinferno,few_shot,62,1009.24,0.00,1125.59,1,0.89,1
torchinferno,few_shot,63,1030.88,105.36,1136.24,2,1.76,1
torchinferno,few_shot,64,1028.56,0.00,1137.85,1,0.88,1
torchinferno,few_shot,65,1011.87,131.95,1143.83,2,1.75,1
torchinferno,few_shot,66,568.48,0.00,580.02,1,1.72,1
torchinferno,few_shot,67,570.01,0.00,583.12,1,1.71,1
torchinferno,few_shot,68,571.97,0.00,586.32,1,1.71,1
torchinferno,few_shot,69,545.53,0.00,559.37,1,1.79,1
torchinferno,few_shot,70,535.32,0.00,535.59,1,1.87,1
torchinferno,few_shot,71,504.36,0.00,504.71,1,1.98,1
torchinferno,few_shot,72,467.96,0.00,482.68,1,2.07,1
torchinferno,few_shot,73,548.62,0.00,571.70,1,1.75,1
torchinferno,few_shot,74,534.02,0.00,549.47,1,1.82,1
torchinferno,few_shot,75,513.36,0.00,543.72,1,1.84,1
torchinferno,few_shot,76,541.02,0.00,568.11,1,1.76,1
torchinferno,few_shot,77,519.41,0.00,550.86,1,1.82,1
torchinferno,few_shot,78,474.42,0.00,504.52,1,1.98,1
torchinferno,few_shot,79,531.70,0.00,555.30,1,1.80,1
torchinferno,few_shot,80,549.06,0.00,578.02,1,1.73,1
torchinferno,few_shot,81,480.61,0.00,515.24,1,1.94,1
torchinferno,few_shot,82,455.75,33.27,489.02,2,4.09,1
torchinferno,few_shot,83,506.85,0.00,548.56,1,1.82,1
torchinferno,few_shot,84,474.22,0.00,516.26,1,1.94,1
torchinferno,few_shot,85,546.14,38.76,584.90,2,3.42,1
torchinferno,few_shot,86,490.99,35.64,526.64,2,3.80,1
torchinferno,few_shot,87,520.27,0.00,561.24,1,1.78,1
torchinferno,few_shot,88,549.37,34.47,583.84,2,3.43,1
torchinferno,few_shot,89,452.37,0.00,494.50,1,2.02,1
torchinferno,few_shot,90,495.09,52.24,547.33,2,3.65,1
torchinferno,few_shot,91,478.89,0.00,521.66,1,1.92,1
torchinferno,few_shot,92,477.06,44.42,521.48,2,3.84,1
torchinferno,few_shot,93,502.21,42.46,544.68,2,3.67,1
torchinferno,few_shot,94,490.95,25.57,516.51,2,3.87,1
torchinferno,few_shot,95,466.59,0.00,514.47,1,1.94,1
torchinferno,few_shot,96,519.25,0.00,570.48,1,1.75,1
torchinferno,few_shot,97,465.31,59.04,524.35,2,3.81,1
torchinferno,few_shot,98,482.44,0.00,540.84,1,1.85,1
torchinferno,few_shot,99,543.37,66.66,610.03,2,3.28,1
torchinferno,few_shot,100,536.33,0.00,601.46,1,1.66,1
torchinferno,few_shot,101,534.16,58.30,592.46,2,3.38,1
torchinferno,few_shot,102,540.42,0.00,597.29,1,1.67,1
torchinferno,few_shot,103,530.25,72.52,602.77,2,3.32,1
torchinferno,few_shot,104,500.44,0.00,569.80,1,1.75,1
torchinferno,few_shot,105,455.49,60.26,515.74,2,3.88,1
torchinferno,few_shot,106,507.71,76.68,584.40,2,3.42,1
torchinferno,few_shot,107,456.57,77.15,533.72,2,3.75,1
torchinferno,few_shot,108,459.13,68.55,527.68,2,3.79,1
torchinferno,few_shot,109,464.55,0.00,544.78,1,1.84,1
torchinferno,few_shot,110,531.20,73.52,604.72,2,3.31,1
torchinferno,few_shot,111,496.77,72.95,569.72,2,3.51,1
torchinferno,few_shot,112,483.38,74.77,558.15,2,3.58,1
torchinferno,few_shot,113,525.11,0.00,610.82,1,1.64,1
torchinferno,few_shot,114,540.30,0.00,611.25,1,1.64,1
torchinferno,few_shot,115,445.46,0.00,518.96,1,1.93,1
torchinferno,few_shot,116,544.98,82.58,627.56,2,3.19,1
torchinferno,few_shot,117,506.69,0.00,589.54,1,1.70,1
torchinferno,few_shot,118,508.97,0.00,598.50,1,1.67,1
torchinferno,few_shot,119,462.74,81.89,544.62,2,3.67,1
torchinferno,few_shot,120,488.97,0.00,586.69,1,1.70,1
torchinferno,few_shot,121,453.97,0.00,550.70,1,1.82,1
torchinferno,few_shot,122,492.18,0.00,586.92,1,1.70,1
torchinferno,few_shot,123,493.67,90.39,584.06,2,3.42,1
torchinferno,few_shot,124,609.72,6.02,615.75,2,3.25,1
torchinferno,few_shot,125,506.09,0.00,597.36,1,1.67,1
torchinferno,few_shot,126,483.37,93.93,577.30,2,3.46,1
torchinferno,few_shot,127,506.59,0.00,605.36,1,1.65,1
torchinferno,few_shot,128,186.71,0.00,186.97,1,5.35,1
torchinferno,few_shot,129,529.74,120.90,650.64,2,3.07,1
torchinferno,few_shot,130,514.12,115.76,629.89,2,3.18,1
torchinferno,few_shot,131,182.56,0.00,203.04,1,4.93,1
torchinferno,few_shot,132,179.31,27.86,207.17,2,9.65,1
torchinferno,few_shot,133,141.35,0.00,150.47,1,6.65,1
torchinferno,few_shot,134,168.34,0.00,179.19,1,5.58,1
torchinferno,few_shot,135,132.87,0.00,149.32,1,6.70,1
torchinferno,few_shot,136,156.04,0.00,173.18,1,5.77,1
torchinferno,few_shot,137,137.03,0.00,154.91,1,6.46,1
torchinferno,few_shot,138,144.11,0.00,162.87,1,6.14,1
torchinferno,few_shot,139,163.26,22.54,185.80,2,10.76,1
torchinferno,few_shot,140,169.16,27.09,196.25,2,10.19,1
torchinferno,few_shot,141,172.10,25.91,198.01,2,10.10,1
torchinferno,few_shot,142,113.66,30.25,143.91,2,13.90,1
torchinferno,few_shot,143,151.98,29.36,181.34,2,11.03,1
torchinferno,few_shot,144,150.16,30.94,181.10,2,11.04,1
torchinferno,few_shot,145,154.53,30.84,185.37,2,10.79,1
torchinferno,few_shot,146,118.79,34.79,153.59,2,13.02,1
torchinferno,few_shot,147,166.55,36.78,203.33,2,9.84,1
torchinferno,few_shot,148,156.34,20.30,196.94,3,15.23,0
torchinferno,few_shot,149,270.68,0.00,287.34,1,3.48,1
torchinferno,few_shot,150,246.93,0.00,258.61,1,3.87,1
torchinferno,few_shot,151,223.25,0.00,243.34,1,4.11,1
torchinferno,few_shot,152,206.23,0.00,219.23,1,4.56,1
torchinferno,few_shot,153,247.89,0.00,263.10,1,3.80,1
torchinferno,few_shot,154,221.56,0.00,243.36,1,4.11,1
torchinferno,few_shot,155,213.71,0.00,235.89,1,4.24,1
torchinferno,few_shot,156,233.78,0.00,260.56,1,3.84,1
torchinferno,few_shot,157,225.88,0.00,256.24,1,3.90,1
torchinferno,few_shot,158,254.24,0.00,281.17,1,3.56,1
torchinferno,few_shot,159,277.47,24.02,301.49,2,6.63,1
torchinferno,few_shot,160,256.78,36.59,293.36,2,6.82,1
torchinferno,few_shot,161,215.23,37.74,252.98,2,7.91,1
torchinferno,few_shot,162,215.06,0.00,246.60,1,4.06,1
torchinferno,few_shot,163,216.05,30.31,246.36,2,8.12,1
torchinferno,few_shot,164,192.33,37.60,229.93,2,8.70,1
torchinferno,few_shot,165,210.38,34.74,245.12,2,8.16,1
torchinferno,few_shot,166,216.00,0.00,259.05,1,3.86,1
torchinferno,few_shot,167,254.39,0.00,298.26,1,3.35,1
torchinferno,few_shot,168,260.10,0.00,308.34,1,3.24,1
torchinferno,few_shot,169,294.91,0.00,335.70,1,2.98,1
torchinferno,few_shot,170,291.55,49.14,340.69,2,5.87,1
torchinferno,few_shot,171,189.06,0.00,231.18,1,4.33,1
torchinferno,few_shot,172,220.46,46.88,267.35,2,7.48,1
torchinferno,few_shot,173,226.44,0.00,278.00,1,3.60,1
torchinferno,few_shot,174,191.10,0.00,244.47,1,4.09,1
torchinferno,few_shot,175,247.33,48.19,295.52,2,6.77,1
