model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-18T12:09:59.514036

Build Times
provider,build_time_s
torchinferno,346.8
vllm,1080.2
sglang,166.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,274.50,163.84,137.26,sglang
ttft_p99_ms,1110.96,486.95,5114.62,vllm
tpot_median_ms,151.02,63.93,72.03,vllm
tpot_p99_ms,207.32,161.81,7305.19,vllm
e2e_median_ms,368.89,223.28,202.42,sglang
e2e_p99_ms,1302.31,591.96,12380.40,vllm
throughput_median_tps,4.09,6.58,6.12,vllm
total_output_tokens,1461,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,273.82,195.11,192.91,sglang
ttft_p99_ms,1504.71,246.42,70548.85,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,300.39,256.67,328.29,vllm
e2e_p99_ms,1535.98,344.39,70795.78,vllm
throughput_median_tps,3.33,3.90,3.05,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,522.78,168.84,156.70,sglang
ttft_p99_ms,1746.48,357.64,740.12,vllm
tpot_median_ms,134.18,60.83,99.14,vllm
tpot_p99_ms,528.76,192.80,229.64,vllm
e2e_median_ms,626.17,219.93,253.59,vllm
e2e_p99_ms,1979.82,441.45,801.54,vllm
throughput_median_tps,2.11,6.25,5.21,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,887.71,135.32,105.98,sglang
ttft_last_turn_ms,503.20,162.69,187.27,vllm
ttft_growth_ratio,0.57,1.20,1.77,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,337.88,58.18,75.19,vllm
ttft_p99_ms,819.21,124.06,563.41,vllm
tpot_median_ms,132.14,26.96,67.40,vllm
tpot_p99_ms,148.73,89.45,540.58,vllm
e2e_median_ms,435.90,78.57,151.33,vllm
e2e_p99_ms,943.59,152.88,621.66,vllm
throughput_median_tps,3.05,15.84,9.36,vllm
total_output_tokens,1466,1468,1463,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,695.88,66.60,64.19,sglang
ttft_p99_ms,2301.11,140.20,105.03,sglang
tpot_median_ms,15.56,15.13,22.43,vllm
tpot_p99_ms,32.94,21.29,27.79,vllm
e2e_median_ms,1302.43,622.66,836.85,vllm
e2e_p99_ms,3112.91,1003.40,1580.51,vllm
throughput_median_tps,28.17,58.67,42.13,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,411.77,0.00,593.62,1,1.68,1
torchinferno,few_shot,1,1121.17,0.00,1197.07,1,0.84,1
torchinferno,few_shot,2,1091.18,0.00,1180.83,1,0.85,1
torchinferno,few_shot,3,1096.90,0.00,1185.61,1,0.84,1
torchinferno,few_shot,4,1085.90,0.00,1181.88,1,0.85,1
torchinferno,few_shot,5,1095.27,0.00,1189.52,1,0.84,1
torchinferno,few_shot,6,1092.68,0.00,1183.15,1,0.85,1
torchinferno,few_shot,7,1088.35,0.00,1189.24,1,0.84,1
torchinferno,few_shot,8,1108.65,0.00,1200.59,1,0.83,1
torchinferno,few_shot,9,1091.96,0.00,1199.18,1,0.83,1
torchinferno,few_shot,10,1081.82,0.00,1186.00,1,0.84,1
torchinferno,few_shot,11,521.15,0.00,620.34,1,1.61,1
torchinferno,few_shot,12,1102.12,0.00,1198.42,1,0.83,1
torchinferno,few_shot,13,1076.75,0.00,1189.13,1,0.84,1
torchinferno,few_shot,14,1091.22,0.00,1203.68,1,0.83,1
torchinferno,few_shot,15,1092.61,0.00,1200.24,1,0.83,1
torchinferno,few_shot,16,1103.89,0.00,1222.61,1,0.82,1
torchinferno,few_shot,17,1106.25,0.00,1224.57,1,0.82,1
torchinferno,few_shot,18,1093.47,0.00,1211.73,1,0.83,1
torchinferno,few_shot,19,1103.75,0.00,1218.62,1,0.82,1
torchinferno,few_shot,20,1099.10,0.00,1218.60,1,0.82,1
torchinferno,few_shot,21,1096.31,0.00,1219.12,1,0.82,1
torchinferno,few_shot,22,1103.00,0.00,1233.22,1,0.81,1
torchinferno,few_shot,23,1082.88,0.00,1207.28,1,0.83,1
torchinferno,few_shot,24,1115.84,0.00,1237.85,1,0.81,1
torchinferno,few_shot,25,1102.64,0.00,1222.51,1,0.82,1
torchinferno,few_shot,26,1102.13,0.00,1240.94,1,0.81,1
torchinferno,few_shot,27,1103.24,0.00,1236.41,1,0.81,1
torchinferno,few_shot,28,1112.31,0.00,1246.33,1,0.80,1
torchinferno,few_shot,29,1108.58,0.00,1237.24,1,0.81,1
torchinferno,few_shot,30,1084.12,0.00,1223.08,1,0.82,1
torchinferno,few_shot,31,1113.70,0.00,1251.33,1,0.80,1
torchinferno,few_shot,32,1094.84,0.00,1253.04,1,0.80,1
torchinferno,few_shot,33,1096.04,170.96,1266.99,2,1.58,1
torchinferno,few_shot,34,1100.65,176.98,1277.63,2,1.57,1
torchinferno,few_shot,35,1089.02,175.97,1264.99,2,1.58,1
torchinferno,few_shot,36,1087.99,164.43,1252.42,2,1.60,1
torchinferno,few_shot,37,1098.93,168.81,1267.73,2,1.58,1
torchinferno,few_shot,38,1081.19,179.95,1261.14,2,1.59,1
torchinferno,few_shot,39,1084.71,179.36,1264.07,2,1.58,1
torchinferno,few_shot,40,1091.92,168.40,1260.33,2,1.59,1
torchinferno,few_shot,41,1118.95,173.65,1292.60,2,1.55,1
torchinferno,few_shot,42,1107.05,177.34,1284.39,2,1.56,1
torchinferno,few_shot,43,1092.52,179.39,1271.91,2,1.57,1
torchinferno,few_shot,44,1093.89,195.68,1289.57,2,1.55,1
torchinferno,few_shot,45,1089.44,191.12,1280.56,2,1.56,1
