model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-23T19:03:49.015216

Build Times
provider,build_time_s
torchinferno,417.0
vllm,1314.1
sglang,207.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,291.69,159.26,143.76,sglang
ttft_p99_ms,1793.09,947.90,5804.60,vllm
tpot_median_ms,154.91,48.87,75.85,vllm
tpot_p99_ms,214.84,138.79,7316.74,vllm
e2e_median_ms,393.27,202.94,214.82,vllm
e2e_p99_ms,1989.34,997.92,13084.74,vllm
throughput_median_tps,3.72,7.18,5.52,vllm
total_output_tokens,1460,1461,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,281.07,184.66,198.58,vllm
ttft_p99_ms,1654.49,434.33,71358.75,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,311.12,202.34,346.44,vllm
e2e_p99_ms,1721.65,456.89,71449.32,vllm
throughput_median_tps,3.21,4.94,2.89,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,981.65,167.37,160.94,sglang
ttft_p99_ms,2181.77,323.59,610.69,vllm
tpot_median_ms,116.12,60.70,93.11,vllm
tpot_p99_ms,411.03,177.12,238.70,vllm
e2e_median_ms,1060.31,212.17,251.63,vllm
e2e_p99_ms,2299.03,419.00,756.17,vllm
throughput_median_tps,1.34,6.44,5.16,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1108.82,138.94,112.79,sglang
ttft_last_turn_ms,791.69,165.54,168.64,vllm
ttft_growth_ratio,0.71,1.19,1.50,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,315.08,57.58,78.43,vllm
ttft_p99_ms,1073.57,135.06,777.84,vllm
tpot_median_ms,133.26,26.41,60.32,vllm
tpot_p99_ms,158.64,41.95,160.84,vllm
e2e_median_ms,412.64,77.50,148.37,vllm
e2e_p99_ms,1151.92,149.67,814.64,vllm
throughput_median_tps,3.66,15.75,9.63,vllm
total_output_tokens,1460,1458,1472,sglang
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,907.62,74.57,67.03,sglang
ttft_p99_ms,3189.43,172.62,113.68,sglang
tpot_median_ms,15.70,14.90,22.48,vllm
tpot_p99_ms,68.97,19.50,26.44,vllm
e2e_median_ms,1622.96,618.07,830.33,vllm
e2e_p99_ms,3621.17,1013.56,1575.26,vllm
throughput_median_tps,22.46,58.77,42.13,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,709.57,0.00,1029.79,1,0.97,1
torchinferno,few_shot,1,1780.89,0.00,1869.39,1,0.53,1
torchinferno,few_shot,2,1775.88,0.00,1864.18,1,0.54,1
torchinferno,few_shot,3,1792.07,0.00,1879.81,1,0.53,1
torchinferno,few_shot,4,1786.42,0.00,1876.74,1,0.53,1
torchinferno,few_shot,5,764.78,0.00,854.31,1,1.17,1
torchinferno,few_shot,6,1796.76,0.00,1883.27,1,0.53,1
torchinferno,few_shot,7,1780.54,0.00,1879.15,1,0.53,1
torchinferno,few_shot,8,1785.19,0.00,1872.42,1,0.53,1
torchinferno,few_shot,9,1794.22,0.00,1884.13,1,0.53,1
torchinferno,few_shot,10,1779.91,0.00,1885.98,1,0.53,1
torchinferno,few_shot,11,1781.80,0.00,1877.99,1,0.53,1
torchinferno,few_shot,12,1780.51,0.00,1888.17,1,0.53,1
torchinferno,few_shot,13,1799.04,0.00,1899.82,1,0.53,1
torchinferno,few_shot,14,1793.67,0.00,1895.05,1,0.53,1
torchinferno,few_shot,15,1781.55,0.00,1900.34,1,0.53,1
torchinferno,few_shot,16,1796.85,0.00,1897.85,1,0.53,1
torchinferno,few_shot,17,1785.58,0.00,1891.79,1,0.53,1
torchinferno,few_shot,18,1780.79,0.00,1890.12,1,0.53,1
torchinferno,few_shot,19,1791.68,0.00,1901.60,1,0.53,1
torchinferno,few_shot,20,1780.57,0.00,1902.39,1,0.53,1
torchinferno,few_shot,21,1793.17,0.00,1910.66,1,0.52,1
torchinferno,few_shot,22,1785.76,0.00,1909.40,1,0.52,1
torchinferno,few_shot,23,1774.63,0.00,1899.38,1,0.53,1
torchinferno,few_shot,24,1789.19,0.00,1904.41,1,0.53,1
torchinferno,few_shot,25,1783.82,0.00,1917.25,1,0.52,1
torchinferno,few_shot,26,1793.91,0.00,1914.58,1,0.52,1
torchinferno,few_shot,27,1793.09,0.00,1920.61,1,0.52,1
torchinferno,few_shot,28,1773.01,0.00,1911.46,1,0.52,1
torchinferno,few_shot,29,1778.68,0.00,1910.85,1,0.52,1
torchinferno,few_shot,30,1788.51,0.00,1921.32,1,0.52,1
torchinferno,few_shot,31,1783.34,0.00,1930.36,1,0.52,1
torchinferno,few_shot,32,1785.26,0.00,1934.15,1,0.52,1
torchinferno,few_shot,33,1782.60,161.44,1944.04,2,1.03,1
torchinferno,few_shot,34,1782.58,176.26,1958.84,2,1.02,1
torchinferno,few_shot,35,1779.22,170.18,1949.39,2,1.03,1
torchinferno,few_shot,36,1786.83,174.46,1961.29,2,1.02,1
torchinferno,few_shot,37,1786.25,175.39,1961.64,2,1.02,1
torchinferno,few_shot,38,1791.96,174.87,1966.83,2,1.02,1
torchinferno,few_shot,39,1796.26,171.40,1967.65,2,1.02,1
torchinferno,few_shot,40,1779.25,179.27,1958.52,2,1.02,1
torchinferno,few_shot,41,1772.13,187.05,1959.19,2,1.02,1
torchinferno,few_shot,42,1781.10,188.88,1969.98,2,1.02,1
torchinferno,few_shot,43,1785.21,175.99,1961.20,2,1.02,1
torchinferno,few_shot,44,1776.07,189.22,1965.29,2,1.02,1
torchinferno,few_shot,45,1784.33,197.86,1982.19,2,1.01,1
