model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-14T17:02:34.300264+00:00

Build Times
provider,build_time_s
torchinferno,44.7
vllm,408.7
sglang,155.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,143.09,69.33,79.11,vllm
ttft_p99_ms,734.46,125.69,538.44,vllm
tpot_median_ms,31.16,38.68,65.76,torchinferno
tpot_p99_ms,40.86,84.10,724.49,torchinferno
e2e_median_ms,167.17,97.23,133.15,vllm
e2e_p99_ms,752.01,163.20,731.72,vllm
throughput_median_tps,6.80,13.54,10.13,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,56.93,74.63,116.39,torchinferno
ttft_p99_ms,270.45,309.10,70385.88,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,75.40,90.65,197.49,torchinferno
e2e_p99_ms,286.30,326.66,70445.31,torchinferno
throughput_median_tps,13.26,11.03,5.06,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,194.03,79.29,82.04,vllm
ttft_p99_ms,995.88,162.02,432.27,vllm
tpot_median_ms,34.29,45.74,70.59,torchinferno
tpot_p99_ms,44.43,87.29,894.40,torchinferno
e2e_median_ms,222.32,112.07,140.05,vllm
e2e_p99_ms,1013.28,234.21,951.76,vllm
throughput_median_tps,5.07,11.83,9.37,vllm
total_output_tokens,1454,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,428.10,83.34,67.85,sglang
ttft_last_turn_ms,175.20,94.44,89.27,sglang
ttft_growth_ratio,0.41,1.13,1.32,torchinferno
ttft_first_turn_median_ms,231.23,68.86,58.94,sglang
ttft_first_turn_p99_ms,1094.11,159.99,115.08,sglang
ttft_last_turn_median_ms,190.00,87.06,90.27,vllm
ttft_last_turn_p99_ms,209.58,164.71,115.96,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,53.15,37.15,51.72,vllm
ttft_p99_ms,779.06,74.47,419.46,vllm
tpot_median_ms,35.12,27.53,406.94,vllm
tpot_p99_ms,95.84,35.07,1111.11,vllm
e2e_median_ms,75.46,56.18,491.65,vllm
e2e_p99_ms,800.77,127.76,1204.25,vllm
throughput_median_tps,19.00,23.15,2.76,vllm
total_output_tokens,1462,1471,1457,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,185.13,47.21,51.95,vllm
ttft_p99_ms,493.04,62.83,136.00,vllm
tpot_median_ms,19.23,15.60,24.08,vllm
tpot_p99_ms,25.16,18.32,81.80,vllm
e2e_median_ms,864.69,581.09,929.45,vllm
e2e_p99_ms,1592.02,1056.42,1831.22,vllm
throughput_median_tps,40.94,60.26,40.01,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,794.07,0.00,805.56,1,1.24,1,,,,,,,1,,,
torchinferno,few_shot,0,1,810.82,23.79,834.61,2,2.40,1,,,,,,,0,,,
torchinferno,few_shot,4,2,817.54,0.00,832.16,1,1.20,1,,,,,,,4,,,
torchinferno,few_shot,17,3,599.32,0.00,614.40,1,1.63,1,,,,,,,17,,,
torchinferno,few_shot,11,4,702.97,0.00,716.38,1,1.40,1,,,,,,,11,,,
torchinferno,few_shot,25,5,468.01,0.00,480.91,1,2.08,1,,,,,,,25,,,
torchinferno,few_shot,7,6,770.62,0.00,784.44,1,1.27,1,,,,,,,7,,,
torchinferno,few_shot,10,7,720.05,0.00,734.68,1,1.36,1,,,,,,,10,,,
torchinferno,few_shot,9,8,734.46,0.00,752.01,1,1.33,1,,,,,,,9,,,
torchinferno,few_shot,28,9,415.61,0.00,432.51,1,2.31,1,,,,,,,28,,,
torchinferno,few_shot,5,10,801.19,0.00,820.21,1,1.22,1,,,,,,,5,,,
torchinferno,few_shot,29,11,399.14,0.00,417.33,1,2.40,1,,,,,,,29,,,
torchinferno,few_shot,12,12,683.91,0.00,704.51,1,1.42,1,,,,,,,12,,,
torchinferno,few_shot,24,13,482.93,0.00,502.77,1,1.99,1,,,,,,,24,,,
torchinferno,few_shot,8,14,752.03,0.00,772.39,1,1.29,1,,,,,,,8,,,
torchinferno,few_shot,31,15,365.86,0.00,385.96,1,2.59,1,,,,,,,31,,,
torchinferno,few_shot,26,16,448.30,0.00,471.78,1,2.12,1,,,,,,,26,,,
torchinferno,few_shot,3,17,837.39,26.38,863.77,2,2.32,1,,,,,,,3,,,
torchinferno,few_shot,15,18,635.47,27.57,663.04,2,3.02,1,,,,,,,15,,,
torchinferno,few_shot,27,19,432.73,28.16,460.89,2,4.34,1,,,,,,,27,,,
torchinferno,few_shot,30,20,381.41,29.60,411.01,2,4.87,1,,,,,,,30,,,
torchinferno,few_shot,18,21,583.05,30.30,613.35,2,3.26,1,,,,,,,18,,,
torchinferno,few_shot,21,22,532.50,30.58,563.09,2,3.55,1,,,,,,,21,,,
torchinferno,few_shot,22,23,516.11,30.89,547.01,2,3.66,1,,,,,,,22,,,
torchinferno,few_shot,20,24,549.80,31.41,581.21,2,3.44,1,,,,,,,20,,,
torchinferno,few_shot,16,25,619.89,29.79,649.68,2,3.08,1,,,,,,,16,,,
torchinferno,few_shot,13,26,668.76,32.07,700.83,2,2.85,1,,,,,,,13,,,
torchinferno,few_shot,19,27,567.70,32.02,599.72,2,3.33,1,,,,,,,19,,,
torchinferno,few_shot,6,28,784.24,34.83,819.07,2,2.44,1,,,,,,,6,,,
torchinferno,few_shot,14,29,650.71,34.70,685.40,2,2.92,1,,,,,,,14,,,
torchinferno,few_shot,23,30,500.93,33.38,534.31,2,3.74,1,,,,,,,23,,,
torchinferno,few_shot,33,31,332.78,33.89,366.67,2,5.45,1,,,,,,,33,,,
torchinferno,few_shot,32,32,347.91,36.45,384.36,2,5.20,1,,,,,,,32,,,
torchinferno,few_shot,2,33,855.18,35.51,890.70,2,2.25,1,,,,,,,2,,,
torchinferno,few_shot,34,34,397.15,0.00,409.08,1,2.44,1,,,,,,,34,,,
torchinferno,few_shot,68,35,67.86,0.00,80.59,1,12.41,1,,,,,,,68,,,
torchinferno,few_shot,39,36,311.23,0.00,325.69,1,3.07,1,,,,,,,39,,,
torchinferno,few_shot,47,37,176.28,0.00,191.01,1,5.24,1,,,,,,,47,,,
torchinferno,few_shot,53,38,74.79,0.00,89.41,1,11.18,1,,,,,,,53,,,
torchinferno,few_shot,37,39,347.45,0.00,360.70,1,2.77,1,,,,,,,37,,,
torchinferno,few_shot,76,40,64.34,0.00,78.29,1,12.77,1,,,,,,,76,,,
torchinferno,few_shot,72,41,65.66,0.00,81.78,1,12.23,1,,,,,,,72,,,
torchinferno,few_shot,35,42,378.87,0.00,396.83,1,2.52,1,,,,,,,35,,,
torchinferno,few_shot,48,43,160.00,0.00,176.24,1,5.67,1,,,,,,,48,,,
torchinferno,few_shot,43,44,247.57,0.00,263.37,1,3.80,1,,,,,,,43,,,
torchinferno,few_shot,46,45,192.82,0.00,212.53,1,4.71,1,,,,,,,46,,,
torchinferno,few_shot,71,46,65.93,0.00,85.52,1,11.69,1,,,,,,,71,,,
torchinferno,few_shot,41,47,279.33,0.00,298.40,1,3.35,1,,,,,,,41,,,
torchinferno,few_shot,65,48,135.99,0.00,155.73,1,6.42,1,,,,,,,65,,,
torchinferno,few_shot,64,49,147.34,0.00,168.06,1,5.95,1,,,,,,,64,,,
torchinferno,few_shot,67,50,69.00,0.00,90.45,1,11.06,1,,,,,,,67,,,
torchinferno,few_shot,42,51,264.03,0.00,284.81,1,3.51,1,,,,,,,42,,,
