model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-11T21:03:02.852227

Build Times
provider,build_time_s
torchinferno,392.8
vllm,1353.1
sglang,218.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,315.52,156.49,145.13,sglang
ttft_p99_ms,1694.15,294.99,904.69,vllm
tpot_median_ms,95.42,46.18,68.33,vllm
tpot_p99_ms,642.65,141.33,591.67,vllm
e2e_median_ms,394.70,206.26,216.73,vllm
e2e_p99_ms,2324.42,338.24,972.28,vllm
throughput_median_tps,3.26,7.26,5.41,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,396.19,201.30,204.50,vllm
ttft_p99_ms,1154.81,488.05,70259.41,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,532.75,224.90,343.24,vllm
e2e_p99_ms,1522.25,537.04,70346.51,vllm
throughput_median_tps,1.88,4.45,2.91,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,695.75,168.85,173.67,vllm
ttft_p99_ms,2646.20,315.47,603.14,vllm
tpot_median_ms,65.77,58.08,98.40,vllm
tpot_p99_ms,189.20,205.37,273.32,torchinferno
e2e_median_ms,766.05,221.95,275.42,vllm
e2e_p99_ms,2691.34,423.91,650.67,vllm
throughput_median_tps,1.58,6.41,4.82,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1102.11,141.63,322.12,vllm
ttft_last_turn_ms,1147.16,173.03,197.50,vllm
ttft_growth_ratio,1.04,1.22,0.61,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,453.67,61.03,87.18,vllm
ttft_p99_ms,1054.29,3726.74,582.57,sglang
tpot_median_ms,58.86,28.44,43.69,vllm
tpot_p99_ms,454.67,1748.75,139.58,sglang
e2e_median_ms,501.29,82.35,145.89,vllm
e2e_p99_ms,1286.76,3790.32,624.09,sglang
throughput_median_tps,3.41,14.34,9.25,vllm
total_output_tokens,1465,1468,1461,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,201.54,78.19,77.33,sglang
ttft_p99_ms,1227.49,182.08,144.27,sglang
tpot_median_ms,26.42,15.11,24.11,vllm
tpot_p99_ms,54.82,20.29,30.60,vllm
e2e_median_ms,1223.66,642.91,892.93,vllm
e2e_p99_ms,2596.47,1052.32,1729.14,vllm
throughput_median_tps,30.82,57.81,38.81,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1306.72,0.00,1313.73,1,0.76,1
torchinferno,few_shot,1,1308.58,0.00,1319.09,1,0.76,1
torchinferno,few_shot,2,1306.01,0.00,1318.51,1,0.76,1
torchinferno,few_shot,3,1302.74,0.00,1318.22,1,0.76,1
torchinferno,few_shot,4,1309.13,19.16,1328.29,2,1.51,1
torchinferno,few_shot,5,1304.08,21.34,1325.42,2,1.51,1
torchinferno,few_shot,6,1305.99,20.31,1326.30,2,1.51,1
torchinferno,few_shot,7,1311.09,21.77,1332.86,2,1.50,1
torchinferno,few_shot,8,1673.01,0.00,2218.12,1,0.45,1
torchinferno,few_shot,9,1677.76,0.00,2226.95,1,0.45,1
torchinferno,few_shot,10,1683.95,0.00,2227.62,1,0.45,1
torchinferno,few_shot,11,1679.17,0.00,2237.68,1,0.45,1
torchinferno,few_shot,12,1690.56,0.00,2240.00,1,0.45,1
torchinferno,few_shot,13,1681.38,0.00,2234.83,1,0.45,1
torchinferno,few_shot,14,1675.26,0.00,2232.72,1,0.45,1
torchinferno,few_shot,15,1687.45,0.00,2245.57,1,0.45,1
torchinferno,few_shot,16,1680.56,0.00,2242.78,1,0.45,1
torchinferno,few_shot,17,1693.99,0.00,2253.75,1,0.44,1
torchinferno,few_shot,18,1675.86,570.21,2246.07,2,0.89,1
torchinferno,few_shot,19,1684.23,562.61,2246.83,2,0.89,1
torchinferno,few_shot,20,2238.06,0.00,2243.37,1,0.45,1
torchinferno,few_shot,21,1680.62,0.00,2250.14,1,0.44,1
torchinferno,few_shot,22,1677.41,0.00,2251.77,1,0.44,1
torchinferno,few_shot,23,1687.46,0.00,2249.17,1,0.44,1
torchinferno,few_shot,24,1696.04,0.00,2259.85,1,0.44,1
torchinferno,few_shot,25,1680.57,0.00,2253.22,1,0.44,1
torchinferno,few_shot,26,1684.50,575.63,2260.13,2,0.88,1
torchinferno,few_shot,27,1680.43,582.63,2263.06,2,0.88,1
torchinferno,few_shot,28,1684.41,0.00,2256.76,1,0.44,1
torchinferno,few_shot,29,1680.06,0.00,2259.79,1,0.44,1
torchinferno,few_shot,30,1675.84,583.76,2259.60,2,0.89,1
torchinferno,few_shot,31,1688.64,0.00,2262.80,1,0.44,1
torchinferno,few_shot,32,962.73,0.00,963.00,1,1.04,1
torchinferno,few_shot,33,1685.08,598.37,2283.45,2,0.88,1
torchinferno,few_shot,34,948.41,0.00,973.72,1,1.03,1
torchinferno,few_shot,35,1686.79,0.00,2302.50,1,0.43,1
torchinferno,few_shot,36,1687.47,609.02,2296.49,2,0.87,1
torchinferno,few_shot,37,1688.46,623.67,2312.13,2,0.87,1
torchinferno,few_shot,38,1681.92,617.94,2299.85,2,0.87,1
torchinferno,few_shot,39,1679.37,627.49,2306.86,2,0.87,1
torchinferno,few_shot,40,1676.05,0.00,2302.99,1,0.43,1
torchinferno,few_shot,41,2226.67,76.02,2302.69,2,0.87,1
torchinferno,few_shot,42,1676.05,634.01,2310.05,2,0.87,1
torchinferno,few_shot,43,911.04,0.00,996.75,1,1.00,1
torchinferno,few_shot,44,1682.06,633.53,2315.59,2,0.86,1
torchinferno,few_shot,45,1689.64,625.89,2315.53,2,0.86,1
