model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-26T23:03:01.326051+00:00

Build Times
provider,build_time_s
torchinferno,396.9
vllm,603.3
sglang,236.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,138.52,155.70,vllm
ttft_p99_ms,,1059.42,720.45,sglang
tpot_median_ms,,54.88,83.57,vllm
tpot_p99_ms,,133.66,399.22,vllm
e2e_median_ms,,187.96,231.50,vllm
e2e_p99_ms,,1112.94,898.56,sglang
throughput_median_tps,,7.59,5.37,vllm
total_output_tokens,,1464,1461,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,194.57,229.75,vllm
ttft_p99_ms,,403.87,69570.34,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,223.71,387.07,vllm
e2e_p99_ms,,499.69,69652.22,vllm
throughput_median_tps,,4.47,2.58,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,167.86,165.32,sglang
ttft_p99_ms,,343.23,572.22,vllm
tpot_median_ms,,53.16,104.80,vllm
tpot_p99_ms,,194.43,244.07,vllm
e2e_median_ms,,218.53,264.26,vllm
e2e_p99_ms,,430.26,682.25,vllm
throughput_median_tps,,6.33,5.09,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,150.05,114.76,sglang
ttft_last_turn_ms,,176.69,190.35,vllm
ttft_growth_ratio,,1.18,1.66,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,59.31,82.83,vllm
ttft_p99_ms,,3695.16,120.75,sglang
tpot_median_ms,,28.85,62.30,vllm
tpot_p99_ms,,1988.59,637.38,sglang
e2e_median_ms,,81.00,144.45,vllm
e2e_p99_ms,,3741.66,712.01,sglang
throughput_median_tps,,15.13,9.47,vllm
total_output_tokens,,1466,1463,vllm
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,75.86,75.93,vllm
ttft_p99_ms,,167.35,163.02,sglang
tpot_median_ms,,14.91,22.11,vllm
tpot_p99_ms,,19.90,26.78,vllm
e2e_median_ms,,600.71,836.55,vllm
e2e_p99_ms,,1014.62,1573.06,vllm
throughput_median_tps,,58.78,42.24,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,941.56,0.00,941.75,1,1.06,1
vllm,few_shot,1,946.25,0.00,946.36,1,1.06,1
vllm,few_shot,2,942.51,0.00,946.72,1,1.06,1
vllm,few_shot,3,945.41,0.00,948.12,1,1.05,1
vllm,few_shot,4,945.94,0.00,953.07,1,1.05,1
vllm,few_shot,5,949.60,0.00,958.54,1,1.04,1
vllm,few_shot,6,945.73,0.00,954.51,1,1.05,1
vllm,few_shot,7,961.14,0.00,974.16,1,1.03,1
vllm,few_shot,8,970.63,0.00,994.67,1,1.01,1
vllm,few_shot,9,996.99,0.00,1016.44,1,0.98,1
vllm,few_shot,10,995.01,0.00,1013.91,1,0.99,1
vllm,few_shot,11,992.64,0.00,1020.34,1,0.98,1
vllm,few_shot,12,1007.90,0.00,1038.23,1,0.96,1
vllm,few_shot,13,995.86,54.62,1050.48,2,1.90,1
vllm,few_shot,14,1008.82,0.00,1042.56,1,0.96,1
vllm,few_shot,15,990.96,56.17,1047.13,2,1.91,1
vllm,few_shot,16,1014.91,0.00,1044.90,1,0.96,1
vllm,few_shot,17,1010.65,0.00,1047.43,1,0.95,1
vllm,few_shot,18,990.26,61.25,1051.52,2,1.90,1
vllm,few_shot,19,1013.43,0.00,1048.70,1,0.95,1
vllm,few_shot,20,992.62,61.81,1054.43,2,1.90,1
vllm,few_shot,21,986.74,66.99,1053.72,2,1.90,1
vllm,few_shot,22,991.03,63.37,1054.40,2,1.90,1
vllm,few_shot,23,988.56,68.43,1056.99,2,1.89,1
vllm,few_shot,24,1006.71,0.00,1055.19,1,0.95,1
vllm,few_shot,25,1008.19,0.00,1056.70,1,0.95,1
vllm,few_shot,26,999.22,66.40,1065.63,2,1.88,1
vllm,few_shot,27,991.35,70.49,1061.84,2,1.88,1
vllm,few_shot,28,1039.64,0.00,1066.51,1,0.94,1
vllm,few_shot,29,1010.12,58.59,1068.71,2,1.87,1
vllm,few_shot,30,1035.16,0.00,1069.08,1,0.94,1
vllm,few_shot,31,1012.59,58.77,1071.36,2,1.87,1
vllm,few_shot,32,1037.77,0.00,1071.94,1,0.93,1
vllm,few_shot,33,1010.98,66.40,1077.38,2,1.86,1
vllm,few_shot,34,1031.85,0.00,1074.34,1,0.93,1
vllm,few_shot,35,1013.84,65.12,1078.96,2,1.85,1
vllm,few_shot,36,1009.86,70.86,1080.72,2,1.85,1
vllm,few_shot,37,1048.22,0.00,1079.29,1,0.93,1
vllm,few_shot,38,113.64,0.00,134.18,1,7.45,1
vllm,few_shot,39,1040.90,0.00,1080.63,1,0.93,1
vllm,few_shot,40,137.97,0.00,138.24,1,7.23,1
vllm,few_shot,41,1032.75,50.97,1083.72,2,1.85,1
vllm,few_shot,42,1044.99,0.00,1085.23,1,0.92,1
vllm,few_shot,43,1035.86,0.00,1088.05,1,0.92,1
vllm,few_shot,44,131.55,0.00,148.74,1,6.72,1
vllm,few_shot,45,1036.75,51.90,1088.64,2,1.84,1
vllm,few_shot,46,1048.54,0.00,1089.69,1,0.92,1
vllm,few_shot,47,1045.60,48.03,1093.63,2,1.83,1
vllm,few_shot,48,1072.04,20.62,1092.66,2,1.83,1
vllm,few_shot,49,1044.80,0.00,1095.54,1,0.91,1
vllm,few_shot,50,130.62,19.07,149.70,2,13.36,1
vllm,few_shot,51,1058.66,0.00,1095.91,1,0.91,1
vllm,few_shot,52,82.51,0.00,112.98,1,8.85,1
vllm,few_shot,53,1085.77,0.00,1099.29,1,0.91,1
vllm,few_shot,54,99.55,0.00,140.67,1,7.11,1
vllm,few_shot,55,119.81,0.00,164.04,1,6.10,1
vllm,few_shot,56,1072.36,31.14,1103.50,2,1.81,1
vllm,few_shot,57,1066.07,39.65,1105.72,2,1.81,1
vllm,few_shot,58,81.91,17.96,99.87,2,20.03,1
vllm,few_shot,59,1059.42,47.03,1106.45,2,1.81,1
vllm,few_shot,60,1103.58,5.31,1108.89,2,1.80,1
vllm,few_shot,61,1093.95,0.00,1108.61,1,0.90,1
vllm,few_shot,62,1038.38,74.56,1112.94,2,1.80,1
vllm,few_shot,63,71.86,0.00,72.10,1,13.87,1
vllm,few_shot,64,1032.37,83.03,1115.40,2,1.79,1
vllm,few_shot,65,1062.78,53.26,1116.04,2,1.79,1
vllm,few_shot,66,1043.41,76.68,1120.09,2,1.79,1
vllm,few_shot,67,1052.76,67.07,1119.83,2,1.79,1
vllm,few_shot,68,1058.36,59.42,1117.79,2,1.79,1
vllm,few_shot,69,163.83,0.00,181.59,1,5.51,1
vllm,few_shot,70,95.87,0.00,113.93,1,8.78,1
vllm,few_shot,71,1032.14,0.00,1124.49,1,0.89,1
vllm,few_shot,72,48.35,0.00,70.85,1,14.11,1
vllm,few_shot,73,138.29,0.00,194.09,1,5.15,1
vllm,few_shot,74,1060.25,67.54,1127.79,2,1.77,1
vllm,few_shot,75,1062.66,0.00,1129.21,1,0.89,1
vllm,few_shot,76,124.69,0.34,125.03,2,16.00,1
vllm,few_shot,77,86.53,0.00,102.00,1,9.80,1
vllm,few_shot,78,63.69,26.85,90.54,2,22.09,1
vllm,few_shot,79,78.41,15.53,93.94,2,21.29,1
vllm,few_shot,80,1007.95,138.21,1146.16,2,1.74,1
vllm,few_shot,81,74.54,0.00,94.05,1,10.63,1
vllm,few_shot,82,79.73,0.00,95.81,1,10.44,1
vllm,few_shot,83,78.89,0.00,100.82,1,9.92,1
vllm,few_shot,84,92.65,20.83,113.48,2,17.62,1
vllm,few_shot,85,80.12,0.00,104.10,1,9.61,1
vllm,few_shot,86,96.29,0.00,118.47,1,8.44,1
vllm,few_shot,87,100.51,28.79,129.30,2,15.47,1
vllm,few_shot,88,111.27,34.13,145.40,2,13.76,1
vllm,few_shot,89,121.37,0.00,140.36,1,7.12,1
vllm,few_shot,90,88.99,0.00,104.92,1,9.53,1
vllm,few_shot,91,139.57,0.00,156.50,1,6.39,1
vllm,few_shot,92,107.31,0.00,128.05,1,7.81,1
vllm,few_shot,93,113.66,0.00,133.79,1,7.47,1
vllm,few_shot,94,104.66,0.00,130.83,1,7.64,1
vllm,few_shot,95,124.34,35.55,159.89,2,12.51,1
vllm,few_shot,96,116.70,0.00,129.59,1,7.72,1
vllm,few_shot,97,138.94,0.00,167.45,1,5.97,1
vllm,few_shot,98,156.65,0.00,185.36,1,5.39,1
vllm,few_shot,99,92.83,0.00,126.16,1,7.93,1
vllm,few_shot,100,145.76,0.00,185.43,1,5.39,1
vllm,few_shot,101,140.38,49.10,189.48,2,10.56,1
vllm,few_shot,102,132.78,0.00,173.45,1,5.77,1
vllm,few_shot,103,119.96,59.88,179.84,2,11.12,1
vllm,few_shot,104,130.65,0.00,192.57,1,5.19,1
vllm,few_shot,105,140.86,0.00,204.74,1,4.88,1
vllm,few_shot,106,148.73,0.00,220.16,1,4.54,1
vllm,few_shot,107,117.80,102.64,220.44,2,9.07,1
vllm,few_shot,108,127.90,105.40,233.30,2,8.57,1
vllm,few_shot,109,161.66,0.00,228.48,1,4.38,1
vllm,few_shot,110,108.88,104.65,213.53,2,9.37,1
vllm,few_shot,111,169.24,0.00,243.66,1,4.10,1
vllm,few_shot,112,136.20,0.00,210.98,1,4.74,1
vllm,few_shot,113,126.40,0.00,208.07,1,4.81,1
vllm,few_shot,114,109.38,114.26,223.64,2,8.94,1
vllm,few_shot,115,203.28,0.00,229.65,1,4.35,1
vllm,few_shot,116,114.26,84.64,198.90,2,10.06,1
vllm,few_shot,117,130.77,81.55,212.32,2,9.42,1
vllm,few_shot,118,166.19,89.40,255.59,2,7.83,1
vllm,few_shot,119,148.44,0.00,230.88,1,4.33,1
vllm,few_shot,120,155.40,82.18,237.58,2,8.42,1
vllm,few_shot,121,217.46,0.00,240.40,1,4.16,1
vllm,few_shot,122,172.79,0.00,265.41,1,3.77,1
vllm,few_shot,123,239.07,0.00,270.66,1,3.69,1
vllm,few_shot,124,179.45,30.35,209.80,2,9.53,1
vllm,few_shot,125,134.17,0.00,160.98,1,6.21,1
vllm,few_shot,126,142.83,99.51,242.34,2,8.25,1
vllm,few_shot,127,223.83,34.43,258.26,2,7.74,1
vllm,few_shot,128,137.81,0.00,142.31,1,7.03,1
vllm,few_shot,129,227.16,0.00,263.90,1,3.79,1
vllm,few_shot,130,182.41,27.79,210.20,2,9.51,1
vllm,few_shot,131,174.62,0.00,216.10,1,4.63,1
vllm,few_shot,132,192.29,0.00,228.18,1,4.38,1
vllm,few_shot,133,133.94,103.37,237.31,2,8.43,1
vllm,few_shot,134,133.14,0.00,239.22,1,4.18,1
vllm,few_shot,135,193.87,99.09,292.96,2,6.83,1
vllm,few_shot,136,164.70,0.00,213.49,1,4.68,1
vllm,few_shot,137,139.65,112.26,251.91,2,7.94,1
vllm,few_shot,138,195.67,0.00,239.50,1,4.18,1
vllm,few_shot,139,193.60,54.34,247.94,2,8.07,1
vllm,few_shot,140,198.76,53.34,252.10,2,7.93,1
vllm,few_shot,141,121.59,0.00,236.33,1,4.23,1
vllm,few_shot,142,123.98,0.00,164.24,1,6.09,1
vllm,few_shot,143,162.05,0.00,214.25,1,4.67,1
vllm,few_shot,144,193.99,0.00,252.94,1,3.95,1
vllm,few_shot,145,181.62,48.70,230.32,2,8.68,1
