model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-01T15:05:50.634729

Build Times
provider,build_time_s
torchinferno,331.7
vllm,1247.2
sglang,210.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,147.10,177.30,154.89,torchinferno
ttft_p99_ms,2055.03,528.74,6089.90,vllm
tpot_median_ms,46.48,60.46,74.04,torchinferno
tpot_p99_ms,315.73,190.82,415.10,vllm
e2e_median_ms,193.72,237.80,224.77,torchinferno
e2e_p99_ms,2095.04,625.99,6471.75,vllm
throughput_median_tps,6.18,5.87,5.22,torchinferno
total_output_tokens,1461,1465,1465,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,356.46,219.26,206.84,sglang
ttft_p99_ms,1233.03,274.31,72542.40,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,450.16,321.28,340.53,vllm
e2e_p99_ms,1328.91,387.41,72679.07,vllm
throughput_median_tps,2.22,3.11,2.94,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,632.37,177.09,162.46,sglang
ttft_p99_ms,1712.72,364.39,660.48,vllm
tpot_median_ms,72.74,55.94,106.89,vllm
tpot_p99_ms,1097.55,195.64,250.88,vllm
e2e_median_ms,748.65,225.11,267.06,vllm
e2e_p99_ms,1979.02,439.64,849.01,vllm
throughput_median_tps,1.75,6.11,4.87,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,891.13,147.00,119.42,sglang
ttft_last_turn_ms,1180.42,188.11,176.07,sglang
ttft_growth_ratio,1.32,1.28,1.47,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,351.84,58.85,82.36,vllm
ttft_p99_ms,923.65,123.41,579.63,vllm
tpot_median_ms,28.72,28.16,54.73,vllm
tpot_p99_ms,503.50,100.68,141.37,vllm
e2e_median_ms,378.04,80.17,145.28,vllm
e2e_p99_ms,1004.76,154.24,632.98,vllm
throughput_median_tps,3.73,15.50,9.69,vllm
total_output_tokens,1479,1463,1475,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1103.24,71.68,73.62,vllm
ttft_p99_ms,2198.71,171.43,142.51,sglang
tpot_median_ms,31.69,15.03,22.97,vllm
tpot_p99_ms,83.84,23.98,28.85,vllm
e2e_median_ms,2107.77,621.59,878.97,vllm
e2e_p99_ms,3939.69,1015.83,1668.89,vllm
throughput_median_tps,17.29,58.33,40.49,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1530.28,0.00,1538.06,1,0.65,1
torchinferno,few_shot,1,1532.21,0.00,1543.26,1,0.65,1
torchinferno,few_shot,2,1528.20,0.00,1541.38,1,0.65,1
torchinferno,few_shot,3,1530.61,0.00,1545.82,1,0.65,1
torchinferno,few_shot,4,1533.35,0.00,1549.11,1,0.65,1
torchinferno,few_shot,5,1530.68,0.00,1547.19,1,0.65,1
torchinferno,few_shot,6,1533.72,158.36,1692.09,2,1.18,1
torchinferno,few_shot,7,1530.70,160.70,1691.40,2,1.18,1
torchinferno,few_shot,8,1972.66,0.00,1987.88,1,0.50,1
torchinferno,few_shot,9,1974.46,0.00,1992.68,1,0.50,1
torchinferno,few_shot,10,1971.81,0.00,1987.19,1,0.50,1
torchinferno,few_shot,11,1974.91,0.00,1991.38,1,0.50,1
torchinferno,few_shot,12,1972.38,0.00,1994.86,1,0.50,1
torchinferno,few_shot,13,1973.43,0.00,1994.37,1,0.50,1
torchinferno,few_shot,14,1974.39,0.00,1998.06,1,0.50,1
torchinferno,few_shot,15,1974.20,0.00,1999.42,1,0.50,1
torchinferno,few_shot,16,1974.74,0.00,1998.94,1,0.50,1
torchinferno,few_shot,17,1983.78,0.00,2008.71,1,0.50,1
torchinferno,few_shot,18,1979.53,28.13,2007.65,2,1.00,1
torchinferno,few_shot,19,1971.68,0.00,2006.70,1,0.50,1
torchinferno,few_shot,20,1969.65,38.52,2008.17,2,1.00,1
torchinferno,few_shot,21,1972.71,37.68,2010.40,2,0.99,1
torchinferno,few_shot,22,1974.85,42.83,2017.68,2,0.99,1
torchinferno,few_shot,23,1972.20,40.04,2012.23,2,0.99,1
torchinferno,few_shot,24,1974.38,36.89,2011.27,2,0.99,1
torchinferno,few_shot,25,1972.20,0.00,2015.30,1,0.50,1
torchinferno,few_shot,26,1971.45,43.36,2014.81,2,0.99,1
torchinferno,few_shot,27,1973.49,0.00,2017.45,1,0.50,1
torchinferno,few_shot,28,1971.52,47.23,2018.75,2,0.99,1
torchinferno,few_shot,29,1984.18,44.68,2028.86,2,0.99,1
torchinferno,few_shot,30,1977.84,47.35,2025.19,2,0.99,1
torchinferno,few_shot,31,1979.47,0.00,2027.14,1,0.49,1
torchinferno,few_shot,32,1975.05,52.21,2027.26,2,0.99,1
torchinferno,few_shot,33,1973.96,54.80,2028.76,2,0.99,1
torchinferno,few_shot,34,1975.56,55.44,2031.00,2,0.98,1
torchinferno,few_shot,35,1971.71,61.31,2033.02,2,0.98,1
torchinferno,few_shot,36,1972.36,60.90,2033.25,2,0.98,1
torchinferno,few_shot,37,1971.40,64.44,2035.84,2,0.98,1
torchinferno,few_shot,38,1981.40,57.29,2038.69,2,0.98,1
torchinferno,few_shot,39,1969.61,66.25,2035.86,2,0.98,1
torchinferno,few_shot,40,2052.13,0.00,2065.95,1,0.48,1
torchinferno,few_shot,41,524.12,0.00,532.73,1,1.88,1
torchinferno,few_shot,42,2057.83,0.00,2072.74,1,0.48,1
torchinferno,few_shot,43,2055.03,0.00,2072.22,1,0.48,1
torchinferno,few_shot,44,523.78,0.00,538.13,1,1.86,1
torchinferno,few_shot,45,2051.29,0.00,2077.19,1,0.48,1
