model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-10T15:07:31.695510

Build Times
provider,build_time_s
torchinferno,385.6
vllm,1384.9
sglang,207.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,303.07,159.70,145.51,sglang
ttft_p99_ms,1972.00,268.12,616.99,vllm
tpot_median_ms,96.31,57.12,76.54,vllm
tpot_p99_ms,639.14,142.40,418.90,vllm
e2e_median_ms,384.96,214.18,215.45,vllm
e2e_p99_ms,2606.34,334.47,947.81,vllm
throughput_median_tps,3.21,6.80,5.58,vllm
total_output_tokens,1461,1457,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,419.60,173.98,217.74,vllm
ttft_p99_ms,1223.98,383.07,70578.91,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,570.88,195.88,375.56,vllm
e2e_p99_ms,1554.65,409.87,70713.90,vllm
throughput_median_tps,1.75,5.11,2.66,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,705.61,172.52,163.10,sglang
ttft_p99_ms,2041.66,348.47,738.65,vllm
tpot_median_ms,66.41,68.94,97.98,torchinferno
tpot_p99_ms,198.03,202.06,219.29,torchinferno
e2e_median_ms,778.66,233.89,260.35,vllm
e2e_p99_ms,2077.90,426.27,774.83,vllm
throughput_median_tps,1.74,5.94,5.13,vllm
total_output_tokens,1450,1460,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,742.37,135.37,107.32,sglang
ttft_last_turn_ms,884.87,169.89,192.49,vllm
ttft_growth_ratio,1.19,1.25,1.79,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,359.57,58.79,81.78,vllm
ttft_p99_ms,1089.35,2149.78,710.13,sglang
tpot_median_ms,59.09,28.39,49.25,vllm
tpot_p99_ms,461.38,1702.21,161.52,sglang
e2e_median_ms,417.86,79.57,144.75,vllm
e2e_p99_ms,1338.87,2193.59,752.57,sglang
throughput_median_tps,3.58,15.14,9.64,vllm
total_output_tokens,1468,1464,1467,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,187.59,69.77,80.27,vllm
ttft_p99_ms,1339.80,114.34,150.29,vllm
tpot_median_ms,26.74,14.80,23.22,vllm
tpot_p99_ms,62.76,20.24,27.54,vllm
e2e_median_ms,1223.28,595.18,876.89,vllm
e2e_p99_ms,3575.26,1000.57,1668.05,vllm
throughput_median_tps,30.80,59.34,40.29,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1401.16,0.00,1408.84,1,0.71,1
torchinferno,few_shot,1,1399.21,0.00,1409.56,1,0.71,1
torchinferno,few_shot,2,1401.98,0.00,1412.34,1,0.71,1
torchinferno,few_shot,3,1405.70,0.00,1417.46,1,0.71,1
torchinferno,few_shot,4,1401.06,0.00,1416.59,1,0.71,1
torchinferno,few_shot,5,1405.66,199.94,1605.60,2,1.25,1
torchinferno,few_shot,6,1401.21,202.60,1603.81,2,1.25,1
torchinferno,few_shot,7,1971.60,0.00,2520.02,1,0.40,1
torchinferno,few_shot,8,1961.68,0.00,2518.40,1,0.40,1
torchinferno,few_shot,9,1968.63,0.00,2525.98,1,0.40,1
torchinferno,few_shot,10,1969.40,0.00,2520.66,1,0.40,1
torchinferno,few_shot,11,1961.47,0.00,2527.26,1,0.40,1
torchinferno,few_shot,12,1970.23,0.00,2531.28,1,0.40,1
torchinferno,few_shot,13,1968.59,0.00,2527.49,1,0.40,1
torchinferno,few_shot,14,1965.06,0.00,2530.60,1,0.40,1
torchinferno,few_shot,15,1968.41,0.00,2530.03,1,0.40,1
torchinferno,few_shot,16,1965.91,566.24,2532.15,2,0.79,1
torchinferno,few_shot,17,1970.73,570.13,2540.86,2,0.79,1
torchinferno,few_shot,18,1960.25,0.00,2541.53,1,0.39,1
torchinferno,few_shot,19,1962.24,576.32,2538.56,2,0.79,1
torchinferno,few_shot,20,1963.94,578.46,2542.40,2,0.79,1
torchinferno,few_shot,21,1121.54,0.00,1141.70,1,0.88,1
torchinferno,few_shot,22,2525.64,0.00,2543.53,1,0.39,1
torchinferno,few_shot,23,1969.50,581.53,2551.03,2,0.78,1
torchinferno,few_shot,24,2510.82,0.00,2545.94,1,0.39,1
torchinferno,few_shot,25,1109.88,0.00,1143.89,1,0.87,1
torchinferno,few_shot,26,1971.34,0.00,2552.23,1,0.39,1
torchinferno,few_shot,27,1961.28,595.51,2556.78,2,0.78,1
torchinferno,few_shot,28,1961.84,0.00,2554.68,1,0.39,1
torchinferno,few_shot,29,1966.87,587.13,2553.99,2,0.78,1
torchinferno,few_shot,30,1970.47,0.00,2559.78,1,0.39,1
torchinferno,few_shot,31,2516.05,0.00,2555.68,1,0.39,1
torchinferno,few_shot,32,1964.64,593.46,2558.10,2,0.78,1
torchinferno,few_shot,33,1962.48,0.00,2559.79,1,0.39,1
torchinferno,few_shot,34,1962.47,602.63,2565.10,2,0.78,1
torchinferno,few_shot,35,1969.83,601.48,2571.31,2,0.78,1
torchinferno,few_shot,36,2512.03,53.19,2565.21,2,0.78,1
torchinferno,few_shot,37,1958.58,0.00,2569.71,1,0.39,1
torchinferno,few_shot,38,1960.90,0.00,2571.38,1,0.39,1
torchinferno,few_shot,39,1964.89,618.71,2583.60,2,0.77,1
torchinferno,few_shot,40,1957.39,616.46,2573.85,2,0.78,1
torchinferno,few_shot,41,1969.74,0.00,2576.49,1,0.39,1
torchinferno,few_shot,42,1967.73,0.00,2586.59,1,0.39,1
torchinferno,few_shot,43,1960.14,622.84,2582.98,2,0.77,1
torchinferno,few_shot,44,1961.30,0.00,2581.75,1,0.39,1
torchinferno,few_shot,45,2528.45,51.49,2579.93,2,0.78,1
