model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-06T11:02:24.684555+00:00

Build Times
provider,build_time_s
torchinferno,35.9
vllm,265.0
sglang,172.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,147.11,128.02,131.05,vllm
ttft_p99_ms,455.95,255.66,444.87,vllm
tpot_median_ms,44.83,42.52,82.76,vllm
tpot_p99_ms,138.28,119.05,575.86,vllm
e2e_median_ms,186.50,161.97,214.14,vllm
e2e_p99_ms,494.35,333.59,662.56,vllm
throughput_median_tps,6.52,8.81,5.84,vllm
total_output_tokens,1460,1460,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,100.80,120.29,208.96,torchinferno
ttft_p99_ms,363.28,299.70,69407.18,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,105.83,145.80,360.22,torchinferno
e2e_p99_ms,367.43,341.08,69531.81,vllm
throughput_median_tps,9.45,6.86,2.78,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,258.12,145.49,161.93,vllm
ttft_p99_ms,606.19,514.20,696.45,vllm
tpot_median_ms,58.46,39.51,113.82,vllm
tpot_p99_ms,330.89,393.81,997.40,torchinferno
e2e_median_ms,312.53,184.86,282.20,vllm
e2e_p99_ms,720.86,584.98,1089.19,vllm
throughput_median_tps,4.31,7.79,4.62,vllm
total_output_tokens,1454,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,219.55,141.84,102.65,sglang
ttft_last_turn_ms,276.08,150.27,186.17,vllm
ttft_growth_ratio,1.26,1.06,1.81,vllm
ttft_first_turn_median_ms,197.66,131.51,100.06,sglang
ttft_first_turn_p99_ms,450.77,505.99,309.30,sglang
ttft_last_turn_median_ms,225.65,131.25,178.24,vllm
ttft_last_turn_p99_ms,609.14,465.42,298.01,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,81.39,32.73,50.85,vllm
ttft_p99_ms,290.07,42.74,215.83,vllm
tpot_median_ms,63.83,21.78,427.08,vllm
tpot_p99_ms,173.34,27.26,1263.07,vllm
e2e_median_ms,117.63,48.17,459.16,vllm
e2e_p99_ms,379.69,106.25,1314.28,vllm
throughput_median_tps,11.93,25.54,3.07,vllm
total_output_tokens,1471,1474,1469,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,255.76,76.28,69.32,sglang
ttft_p99_ms,1132.42,190.45,514.18,vllm
tpot_median_ms,20.17,14.59,22.27,vllm
tpot_p99_ms,42.97,17.52,99.00,vllm
e2e_median_ms,934.79,591.15,931.18,vllm
e2e_p99_ms,1928.43,1011.21,2334.19,vllm
throughput_median_tps,37.06,60.40,41.28,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,4,0,210.51,0.00,218.83,1,4.57,1,,,,,,,4,,,
torchinferno,few_shot,3,1,272.45,143.42,415.87,2,4.81,1,,,,,,,3,,,
torchinferno,few_shot,5,2,388.58,0.00,403.31,1,2.48,1,,,,,,,5,,,
torchinferno,few_shot,7,3,339.02,0.00,355.61,1,2.81,1,,,,,,,7,,,
torchinferno,few_shot,1,4,511.62,0.00,529.51,1,1.89,1,,,,,,,1,,,
torchinferno,few_shot,12,5,232.41,0.00,254.43,1,3.93,1,,,,,,,12,,,
torchinferno,few_shot,11,6,259.32,0.00,278.71,1,3.59,1,,,,,,,11,,,
torchinferno,few_shot,64,7,188.94,0.00,214.50,1,4.66,1,,,,,,,64,,,
torchinferno,few_shot,16,8,161.09,25.22,186.31,2,10.73,1,,,,,,,16,,,
torchinferno,few_shot,10,9,275.59,0.00,304.85,1,3.28,1,,,,,,,10,,,
torchinferno,few_shot,0,10,534.68,26.86,561.54,2,3.56,1,,,,,,,0,,,
torchinferno,few_shot,17,11,140.17,0.00,172.90,1,5.78,1,,,,,,,17,,,
torchinferno,few_shot,6,12,370.58,29.75,400.33,2,5.00,1,,,,,,,6,,,
torchinferno,few_shot,18,13,123.08,34.86,157.94,2,12.66,1,,,,,,,18,,,
torchinferno,few_shot,13,14,213.61,35.21,248.82,2,8.04,1,,,,,,,13,,,
torchinferno,few_shot,21,15,70.22,37.01,107.23,2,18.65,1,,,,,,,21,,,
torchinferno,few_shot,20,16,87.53,38.73,126.26,2,15.84,1,,,,,,,20,,,
torchinferno,few_shot,14,17,196.21,40.05,236.26,2,8.47,1,,,,,,,14,,,
torchinferno,few_shot,2,18,493.87,39.46,533.33,2,3.75,1,,,,,,,2,,,
torchinferno,few_shot,9,19,295.86,0.00,340.09,1,2.94,1,,,,,,,9,,,
torchinferno,few_shot,8,20,319.67,0.00,362.92,1,2.76,1,,,,,,,8,,,
torchinferno,few_shot,19,21,105.88,46.21,152.09,2,13.15,1,,,,,,,19,,,
torchinferno,few_shot,15,22,179.67,45.88,225.55,2,8.87,1,,,,,,,15,,,
torchinferno,few_shot,25,23,57.44,0.00,73.06,1,13.69,1,,,,,,,25,,,
torchinferno,few_shot,65,24,117.69,0.00,132.62,1,7.54,1,,,,,,,65,,,
torchinferno,few_shot,24,25,82.01,0.00,95.10,1,10.52,1,,,,,,,24,,,
torchinferno,few_shot,23,26,96.47,26.17,122.64,2,16.31,1,,,,,,,23,,,
torchinferno,few_shot,22,27,112.68,28.87,141.56,2,14.13,1,,,,,,,22,,,
torchinferno,few_shot,66,28,127.73,0.00,142.65,1,7.01,1,,,,,,,66,,,
torchinferno,few_shot,74,29,113.88,0.00,126.75,1,7.89,1,,,,,,,74,,,
torchinferno,few_shot,89,30,64.80,0.00,79.97,1,12.50,1,,,,,,,89,,,
torchinferno,few_shot,71,31,116.27,0.00,136.31,1,7.34,1,,,,,,,71,,,
torchinferno,few_shot,28,32,65.47,0.00,79.64,1,12.56,1,,,,,,,28,,,
torchinferno,few_shot,86,33,93.59,0.00,115.56,1,8.65,1,,,,,,,86,,,
torchinferno,few_shot,69,34,123.97,0.00,147.50,1,6.78,1,,,,,,,69,,,
torchinferno,few_shot,26,35,114.62,0.00,143.51,1,6.97,1,,,,,,,26,,,
torchinferno,few_shot,80,36,106.33,0.00,131.46,1,7.61,1,,,,,,,80,,,
torchinferno,few_shot,72,37,118.64,0.00,144.39,1,6.93,1,,,,,,,72,,,
torchinferno,few_shot,76,38,109.75,0.00,139.52,1,7.17,1,,,,,,,76,,,
torchinferno,few_shot,88,39,63.86,0.00,97.09,1,10.30,1,,,,,,,88,,,
torchinferno,few_shot,81,40,105.86,0.00,134.62,1,7.43,1,,,,,,,81,,,
torchinferno,few_shot,67,41,128.54,0.00,162.84,1,6.14,1,,,,,,,67,,,
torchinferno,few_shot,87,42,68.00,0.00,101.89,1,9.81,1,,,,,,,87,,,
torchinferno,few_shot,84,43,97.31,38.06,135.37,2,14.77,1,,,,,,,84,,,
torchinferno,few_shot,77,44,110.36,36.95,147.31,2,13.58,1,,,,,,,77,,,
torchinferno,few_shot,27,45,87.41,38.13,125.54,2,15.93,1,,,,,,,27,,,
torchinferno,few_shot,75,46,114.72,40.00,154.72,2,12.93,1,,,,,,,75,,,
