model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-19T19:02:22.621211+00:00

Build Times
provider,build_time_s
torchinferno,40.2
vllm,344.1
sglang,172.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,139.32,88.58,99.25,vllm
ttft_p99_ms,735.46,161.84,552.08,vllm
tpot_median_ms,31.56,39.62,71.66,torchinferno
tpot_p99_ms,43.73,110.45,912.81,torchinferno
e2e_median_ms,163.79,122.99,162.72,vllm
e2e_p99_ms,758.12,218.26,1030.30,vllm
throughput_median_tps,7.02,11.67,7.90,vllm
total_output_tokens,1460,1461,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,74.09,75.44,166.83,torchinferno
ttft_p99_ms,426.82,313.84,71359.00,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,89.98,92.87,242.41,torchinferno
e2e_p99_ms,457.87,319.59,71433.19,vllm
throughput_median_tps,11.11,10.77,4.13,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,193.02,86.52,102.56,vllm
ttft_p99_ms,1719.22,166.98,548.34,vllm
tpot_median_ms,35.37,35.75,78.77,torchinferno
tpot_p99_ms,47.99,97.68,857.39,torchinferno
e2e_median_ms,221.25,124.27,167.97,vllm
e2e_p99_ms,1763.79,206.10,932.48,vllm
throughput_median_tps,5.11,11.39,7.83,vllm
total_output_tokens,1442,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,815.13,88.42,80.64,sglang
ttft_last_turn_ms,172.15,85.97,105.69,vllm
ttft_growth_ratio,0.21,0.97,1.31,torchinferno
ttft_first_turn_median_ms,787.74,78.80,78.89,vllm
ttft_first_turn_p99_ms,1842.36,161.55,109.37,sglang
ttft_last_turn_median_ms,187.59,81.12,102.51,vllm
ttft_last_turn_p99_ms,208.91,163.39,144.11,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,54.07,39.86,62.63,vllm
ttft_p99_ms,807.40,115.43,388.81,vllm
tpot_median_ms,35.20,32.01,420.32,vllm
tpot_p99_ms,148.55,36.65,1112.34,vllm
e2e_median_ms,76.43,62.06,471.53,vllm
e2e_p99_ms,831.96,164.62,1139.47,vllm
throughput_median_tps,19.33,20.78,3.04,vllm
total_output_tokens,1479,1479,1460,
num_requests,992,992,992,
correctness_rate,0.97,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,187.28,47.34,58.66,vllm
ttft_p99_ms,444.14,62.93,112.44,vllm
tpot_median_ms,19.41,15.54,28.22,vllm
tpot_p99_ms,25.42,17.77,112.37,vllm
e2e_median_ms,880.03,580.34,1073.08,vllm
e2e_p99_ms,1592.36,1069.06,1981.84,vllm
throughput_median_tps,40.71,60.13,34.30,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,792.49,0.00,804.77,1,1.24,1,,,,,,,1,,,
torchinferno,few_shot,0,1,810.15,24.27,834.43,2,2.40,1,,,,,,,0,,,
torchinferno,few_shot,5,2,805.41,0.00,817.01,1,1.22,1,,,,,,,5,,,
torchinferno,few_shot,4,3,818.69,0.00,834.64,1,1.20,1,,,,,,,4,,,
torchinferno,few_shot,12,4,686.64,0.00,701.08,1,1.43,1,,,,,,,12,,,
torchinferno,few_shot,24,5,485.61,0.00,501.32,1,1.99,1,,,,,,,24,,,
torchinferno,few_shot,26,6,454.69,0.00,468.46,1,2.13,1,,,,,,,26,,,
torchinferno,few_shot,10,7,718.68,0.00,736.28,1,1.36,1,,,,,,,10,,,
torchinferno,few_shot,28,8,419.65,0.00,436.14,1,2.29,1,,,,,,,28,,,
torchinferno,few_shot,25,9,469.64,0.00,486.59,1,2.06,1,,,,,,,25,,,
torchinferno,few_shot,7,10,768.64,0.00,788.42,1,1.27,1,,,,,,,7,,,
torchinferno,few_shot,17,11,604.20,0.00,623.10,1,1.60,1,,,,,,,17,,,
torchinferno,few_shot,8,12,754.34,0.00,774.55,1,1.29,1,,,,,,,8,,,
torchinferno,few_shot,9,13,735.46,0.00,758.12,1,1.32,1,,,,,,,9,,,
torchinferno,few_shot,31,14,368.49,0.00,390.59,1,2.56,1,,,,,,,31,,,
torchinferno,few_shot,29,15,404.56,0.00,425.24,1,2.35,1,,,,,,,29,,,
torchinferno,few_shot,11,16,702.00,0.00,729.03,1,1.37,1,,,,,,,11,,,
torchinferno,few_shot,14,17,654.81,25.19,679.99,2,2.94,1,,,,,,,14,,,
torchinferno,few_shot,20,18,553.81,26.54,580.36,2,3.45,1,,,,,,,20,,,
torchinferno,few_shot,16,19,619.88,27.78,647.67,2,3.09,1,,,,,,,16,,,
torchinferno,few_shot,6,20,785.42,29.80,815.22,2,2.45,1,,,,,,,6,,,
torchinferno,few_shot,13,21,668.40,29.93,698.33,2,2.86,1,,,,,,,13,,,
torchinferno,few_shot,3,22,836.60,29.48,866.08,2,2.31,1,,,,,,,3,,,
torchinferno,few_shot,33,23,335.51,28.99,364.51,2,5.49,1,,,,,,,33,,,
torchinferno,few_shot,21,24,535.89,30.18,566.07,2,3.53,1,,,,,,,21,,,
torchinferno,few_shot,2,25,855.02,29.47,884.49,2,2.26,1,,,,,,,2,,,
torchinferno,few_shot,15,26,636.95,30.98,667.93,2,2.99,1,,,,,,,15,,,
torchinferno,few_shot,27,27,437.43,30.75,468.18,2,4.27,1,,,,,,,27,,,
torchinferno,few_shot,32,28,352.47,32.32,384.79,2,5.20,1,,,,,,,32,,,
torchinferno,few_shot,22,29,521.88,31.32,553.20,2,3.62,1,,,,,,,22,,,
torchinferno,few_shot,23,30,504.07,33.20,537.26,2,3.72,1,,,,,,,23,,,
torchinferno,few_shot,19,31,568.85,36.36,605.21,2,3.30,1,,,,,,,19,,,
torchinferno,few_shot,18,32,587.85,34.88,622.73,2,3.21,1,,,,,,,18,,,
torchinferno,few_shot,30,33,386.14,39.30,425.44,2,4.70,1,,,,,,,30,,,
torchinferno,few_shot,38,34,333.30,0.00,347.24,1,2.88,1,,,,,,,38,,,
torchinferno,few_shot,34,35,402.25,0.00,414.15,1,2.41,1,,,,,,,34,,,
torchinferno,few_shot,37,36,351.66,0.00,364.88,1,2.74,1,,,,,,,37,,,
torchinferno,few_shot,53,37,84.54,0.00,97.87,1,10.22,1,,,,,,,53,,,
torchinferno,few_shot,69,38,67.32,0.00,82.36,1,12.14,1,,,,,,,69,,,
torchinferno,few_shot,43,39,249.75,0.00,266.51,1,3.75,1,,,,,,,43,,,
torchinferno,few_shot,67,40,68.66,0.00,84.51,1,11.83,1,,,,,,,67,,,
torchinferno,few_shot,35,41,385.09,0.00,401.09,1,2.49,1,,,,,,,35,,,
torchinferno,few_shot,71,42,67.73,0.00,83.75,1,11.94,1,,,,,,,71,,,
torchinferno,few_shot,65,43,135.67,0.00,154.67,1,6.47,1,,,,,,,65,,,
torchinferno,few_shot,64,44,148.90,0.00,167.18,1,5.98,1,,,,,,,64,,,
torchinferno,few_shot,74,45,65.83,0.00,83.58,1,11.96,1,,,,,,,74,,,
