model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-16T15:09:09.166352

Build Times
provider,build_time_s
torchinferno,366.4
vllm,1129.3
sglang,175.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,285.82,165.19,143.75,sglang
ttft_p99_ms,1839.54,530.18,8025.51,vllm
tpot_median_ms,150.02,58.21,73.81,vllm
tpot_p99_ms,216.69,177.67,7318.27,vllm
e2e_median_ms,370.95,218.92,213.51,sglang
e2e_p99_ms,1933.89,635.39,15315.80,vllm
throughput_median_tps,3.90,6.78,5.75,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,291.00,203.24,207.34,vllm
ttft_p99_ms,1636.52,509.96,70295.12,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,317.06,227.57,340.63,vllm
e2e_p99_ms,1673.44,528.80,70430.45,vllm
throughput_median_tps,3.15,4.39,2.94,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,514.28,175.78,153.45,sglang
ttft_p99_ms,1358.91,318.96,761.00,vllm
tpot_median_ms,106.33,65.36,100.01,vllm
tpot_p99_ms,424.12,201.56,201.63,vllm
e2e_median_ms,619.31,237.97,250.66,vllm
e2e_p99_ms,1598.39,426.28,927.21,vllm
throughput_median_tps,2.15,6.01,5.28,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,693.40,142.59,110.89,sglang
ttft_last_turn_ms,434.03,166.40,173.66,vllm
ttft_growth_ratio,0.63,1.17,1.57,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,366.18,58.27,73.42,vllm
ttft_p99_ms,720.91,135.91,477.56,vllm
tpot_median_ms,133.91,26.98,65.83,vllm
tpot_p99_ms,153.54,99.61,443.45,vllm
e2e_median_ms,460.62,78.46,150.99,vllm
e2e_p99_ms,849.85,163.54,523.43,vllm
throughput_median_tps,3.05,15.63,9.53,vllm
total_output_tokens,1458,1477,1474,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,70.02,66.82,sglang
ttft_p99_ms,,153.47,113.43,sglang
tpot_median_ms,,15.03,22.38,vllm
tpot_p99_ms,,20.20,26.33,vllm
e2e_median_ms,,608.17,846.24,vllm
e2e_p99_ms,,1002.00,1547.93,vllm
throughput_median_tps,,58.93,42.15,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,859.37,0.00,1052.51,1,0.95,1
torchinferno,few_shot,1,1560.49,0.00,1638.56,1,0.61,1
torchinferno,few_shot,2,1546.34,0.00,1626.61,1,0.61,1
torchinferno,few_shot,3,1556.30,0.00,1642.55,1,0.61,1
torchinferno,few_shot,4,1543.62,0.00,1630.54,1,0.61,1
torchinferno,few_shot,5,1551.42,0.00,1648.21,1,0.61,1
torchinferno,few_shot,6,1550.35,0.00,1644.05,1,0.61,1
torchinferno,few_shot,7,1539.78,0.00,1637.78,1,0.61,1
torchinferno,few_shot,8,1564.99,0.00,1654.19,1,0.60,1
torchinferno,few_shot,9,1540.25,0.00,1640.67,1,0.61,1
torchinferno,few_shot,10,1541.33,0.00,1641.06,1,0.61,1
torchinferno,few_shot,11,1546.41,0.00,1644.63,1,0.61,1
torchinferno,few_shot,12,1548.54,0.00,1646.95,1,0.61,1
torchinferno,few_shot,13,1548.87,0.00,1651.51,1,0.61,1
torchinferno,few_shot,14,1556.69,0.00,1664.39,1,0.60,1
torchinferno,few_shot,15,1550.01,0.00,1662.58,1,0.60,1
torchinferno,few_shot,16,1542.20,0.00,1658.07,1,0.60,1
torchinferno,few_shot,17,1548.85,0.00,1657.09,1,0.60,1
torchinferno,few_shot,18,1555.43,0.00,1667.33,1,0.60,1
torchinferno,few_shot,19,1557.69,0.00,1674.92,1,0.60,1
torchinferno,few_shot,20,1547.40,0.00,1671.00,1,0.60,1
torchinferno,few_shot,21,1557.23,0.00,1673.88,1,0.60,1
torchinferno,few_shot,22,1564.15,0.00,1676.51,1,0.60,1
torchinferno,few_shot,23,1544.79,0.00,1665.67,1,0.60,1
torchinferno,few_shot,24,1553.24,0.00,1680.63,1,0.60,1
torchinferno,few_shot,25,1550.45,0.00,1679.20,1,0.60,1
torchinferno,few_shot,26,1560.61,158.99,1719.60,2,1.16,1
torchinferno,few_shot,27,1539.24,169.53,1708.77,2,1.17,1
torchinferno,few_shot,28,1553.98,174.06,1728.05,2,1.16,1
torchinferno,few_shot,29,1549.38,177.90,1727.28,2,1.16,1
torchinferno,few_shot,30,1549.10,178.76,1727.86,2,1.16,1
torchinferno,few_shot,31,1541.07,176.36,1717.43,2,1.16,1
torchinferno,few_shot,32,1545.14,177.52,1722.67,2,1.16,1
torchinferno,few_shot,33,1557.15,175.97,1733.12,2,1.15,1
torchinferno,few_shot,34,1550.26,175.50,1725.76,2,1.16,1
torchinferno,few_shot,35,1550.62,188.98,1739.60,2,1.15,1
torchinferno,few_shot,36,1538.59,190.69,1729.28,2,1.16,1
torchinferno,few_shot,37,1562.69,180.00,1742.68,2,1.15,1
torchinferno,few_shot,38,1552.86,183.13,1735.99,2,1.15,1
torchinferno,few_shot,39,1538.99,194.79,1733.77,2,1.15,1
torchinferno,few_shot,40,1558.29,187.29,1745.58,2,1.15,1
torchinferno,few_shot,41,1549.19,198.97,1748.16,2,1.14,1
torchinferno,few_shot,42,1564.72,190.64,1755.35,2,1.14,1
torchinferno,few_shot,43,1553.13,197.07,1750.20,2,1.14,1
torchinferno,few_shot,44,1565.84,192.15,1757.99,2,1.14,1
