model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-11T06:01:59.458396

Build Times
provider,build_time_s
vllm,1328.1
sglang,174.7
torchinferno,43.1

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,166.73,136.67,540.64,sglang
ttft_p99_ms,957.46,5057.42,1098.87,vllm
tpot_median_ms,56.64,74.73,571.43,vllm
tpot_p99_ms,139.38,7308.37,895.33,vllm
e2e_median_ms,224.87,205.33,1093.91,sglang
e2e_p99_ms,1029.42,12347.37,1945.14,vllm
throughput_median_tps,6.48,5.80,1.05,vllm
total_output_tokens,1466,1461,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,179.85,223.87,429.72,vllm
ttft_p99_ms,379.47,850.06,727.34,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,201.25,358.76,520.86,vllm
e2e_p99_ms,407.23,928.95,799.92,vllm
throughput_median_tps,4.97,2.79,1.92,vllm
total_output_tokens,1000,1000,1000,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,172.53,161.38,,sglang
ttft_p99_ms,334.83,769.96,,vllm
tpot_median_ms,52.30,98.00,,vllm
tpot_p99_ms,199.84,236.79,,vllm
e2e_median_ms,217.97,262.00,,vllm
e2e_p99_ms,403.08,859.51,,vllm
throughput_median_tps,6.43,5.22,,vllm
total_output_tokens,1450,1450,,vllm
num_requests,1000,1000,,
correctness_rate,0.98,0.98,,vllm
ttft_first_turn_ms,147.90,105.39,,sglang
ttft_last_turn_ms,164.74,200.51,,vllm
ttft_growth_ratio,1.11,1.90,,vllm

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,56.96,73.14,,vllm
ttft_p99_ms,81.50,589.35,,vllm
tpot_median_ms,26.20,72.99,,vllm
tpot_p99_ms,40.77,172.12,,vllm
e2e_median_ms,76.21,157.80,,vllm
e2e_p99_ms,108.25,599.98,,vllm
throughput_median_tps,15.79,9.40,,vllm
total_output_tokens,1455,1469,,sglang
num_requests,992,992,,
correctness_rate,0.97,0.97,,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,69.98,67.88,,sglang
ttft_p99_ms,221.07,111.94,,sglang
tpot_median_ms,14.93,22.60,,vllm
tpot_p99_ms,21.62,27.91,,vllm
e2e_median_ms,622.08,842.78,,vllm
e2e_p99_ms,996.37,1583.21,,vllm
throughput_median_tps,58.38,41.83,,vllm
total_output_tokens,36715,36715,,vllm
num_requests,1000,1000,,
correctness_rate,1.00,1.00,,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,861.53,0.00,871.57,1,1.15,1
vllm,few_shot,1,862.34,0.00,873.99,1,1.14,1
vllm,few_shot,2,870.13,0.00,957.48,1,1.04,1
vllm,few_shot,3,870.40,0.00,961.27,1,1.04,1
vllm,few_shot,4,862.99,107.17,970.16,2,2.06,1
vllm,few_shot,5,950.28,0.00,957.86,1,1.04,1
vllm,few_shot,6,949.83,0.00,962.40,1,1.04,1
vllm,few_shot,7,874.38,109.37,983.74,2,2.03,1
vllm,few_shot,8,942.78,0.00,969.26,1,1.03,1
vllm,few_shot,9,951.80,0.00,969.10,1,1.03,1
vllm,few_shot,10,935.13,0.00,965.94,1,1.04,1
vllm,few_shot,11,945.08,0.00,972.15,1,1.03,1
vllm,few_shot,12,947.12,0.00,973.87,1,1.03,1
vllm,few_shot,13,948.17,0.00,983.62,1,1.02,1
vllm,few_shot,14,952.39,0.00,972.98,1,1.03,1
vllm,few_shot,15,968.19,0.00,989.32,1,1.01,1
vllm,few_shot,16,936.07,0.00,976.63,1,1.02,1
vllm,few_shot,17,951.89,0.00,973.58,1,1.03,1
vllm,few_shot,18,938.28,36.53,974.81,2,2.05,1
vllm,few_shot,19,945.29,0.00,982.73,1,1.02,1
vllm,few_shot,20,934.54,0.00,980.71,1,1.02,1
vllm,few_shot,21,954.60,0.00,997.74,1,1.00,1
vllm,few_shot,22,940.78,0.00,988.59,1,1.01,1
vllm,few_shot,23,949.37,50.53,999.90,2,2.00,1
vllm,few_shot,24,947.63,41.81,989.44,2,2.02,1
vllm,few_shot,25,941.64,42.32,983.97,2,2.03,1
vllm,few_shot,26,946.02,55.66,1001.68,2,2.00,1
vllm,few_shot,27,957.46,46.55,1004.00,2,1.99,1
vllm,few_shot,28,950.95,0.00,990.19,1,1.01,1
vllm,few_shot,29,930.21,0.00,989.25,1,1.01,1
vllm,few_shot,30,950.51,0.00,1011.63,1,0.99,1
vllm,few_shot,31,951.41,0.00,997.75,1,1.00,1
vllm,few_shot,32,940.48,56.78,997.26,2,2.01,1
vllm,few_shot,33,938.78,0.00,999.83,1,1.00,1
vllm,few_shot,34,942.59,54.16,996.75,2,2.01,1
vllm,few_shot,35,939.74,0.00,1005.18,1,0.99,1
vllm,few_shot,36,943.54,57.41,1000.95,2,2.00,1
vllm,few_shot,37,947.42,0.00,1016.76,1,0.98,1
vllm,few_shot,38,956.25,60.83,1017.08,2,1.97,1
vllm,few_shot,39,933.51,0.00,1003.22,1,1.00,1
vllm,few_shot,40,938.83,66.19,1005.02,2,1.99,1
vllm,few_shot,41,974.37,0.00,1026.41,1,0.97,1
vllm,few_shot,42,966.05,0.00,1022.92,1,0.98,1
vllm,few_shot,43,939.05,70.08,1009.13,2,1.98,1
vllm,few_shot,44,959.13,56.32,1015.45,2,1.97,1
vllm,few_shot,45,936.80,72.59,1009.39,2,1.98,1
vllm,few_shot,46,969.80,58.13,1027.93,2,1.95,1
