model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-15T11:08:17.049869

Build Times
provider,build_time_s
torchinferno,273.2
vllm,1129.1
sglang,164.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,302.14,164.00,133.26,sglang
ttft_p99_ms,2040.06,479.74,8223.88,vllm
tpot_median_ms,160.73,57.70,69.64,vllm
tpot_p99_ms,201.68,159.44,7307.51,vllm
e2e_median_ms,398.53,216.33,195.86,sglang
e2e_p99_ms,2193.94,604.84,15507.76,vllm
throughput_median_tps,3.64,6.64,6.16,vllm
total_output_tokens,1461,1461,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,290.79,189.50,197.06,vllm
ttft_p99_ms,1718.51,447.38,70089.19,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,352.08,213.09,332.82,vllm
e2e_p99_ms,1781.87,479.56,70233.42,vllm
throughput_median_tps,2.84,4.69,3.00,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,561.27,169.82,156.15,sglang
ttft_p99_ms,1370.08,345.92,781.51,vllm
tpot_median_ms,153.26,60.17,96.97,vllm
tpot_p99_ms,426.96,186.90,240.48,vllm
e2e_median_ms,654.08,222.19,250.90,vllm
e2e_p99_ms,1616.75,440.40,847.62,vllm
throughput_median_tps,2.01,6.23,5.37,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,806.16,131.32,106.51,sglang
ttft_last_turn_ms,613.22,155.07,187.09,vllm
ttft_growth_ratio,0.76,1.18,1.76,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,382.29,58.12,72.86,vllm
ttft_p99_ms,959.38,145.56,689.69,vllm
tpot_median_ms,135.50,27.10,58.32,vllm
tpot_p99_ms,167.52,44.57,666.68,vllm
e2e_median_ms,496.89,78.41,143.40,vllm
e2e_p99_ms,1092.10,172.52,747.75,vllm
throughput_median_tps,2.57,15.45,9.88,vllm
total_output_tokens,1476,1457,1468,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,624.44,70.14,66.33,sglang
ttft_p99_ms,2483.74,174.29,130.25,sglang
tpot_median_ms,15.41,15.08,22.06,vllm
tpot_p99_ms,70.49,20.26,26.72,vllm
e2e_median_ms,1203.49,612.30,833.52,vllm
e2e_p99_ms,2792.99,1010.56,1540.19,vllm
throughput_median_tps,26.73,58.93,42.39,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,951.61,196.55,1148.16,2,1.74,1
torchinferno,few_shot,1,1724.67,0.00,1810.36,1,0.55,1
torchinferno,few_shot,2,1732.35,0.00,1807.11,1,0.55,1
torchinferno,few_shot,3,1724.80,0.00,1815.42,1,0.55,1
torchinferno,few_shot,4,1723.06,0.00,1810.07,1,0.55,1
torchinferno,few_shot,5,1726.62,0.00,1813.16,1,0.55,1
torchinferno,few_shot,6,1726.96,0.00,1821.22,1,0.55,1
torchinferno,few_shot,7,1723.79,0.00,1817.63,1,0.55,1
torchinferno,few_shot,8,1730.74,0.00,1821.33,1,0.55,1
torchinferno,few_shot,9,1726.98,0.00,1821.82,1,0.55,1
torchinferno,few_shot,10,1738.74,0.00,1826.92,1,0.55,1
torchinferno,few_shot,11,1724.76,0.00,1828.71,1,0.55,1
torchinferno,few_shot,12,1724.68,0.00,1829.54,1,0.55,1
torchinferno,few_shot,13,1735.50,0.00,1831.12,1,0.55,1
torchinferno,few_shot,14,1725.98,0.00,1828.01,1,0.55,1
torchinferno,few_shot,15,1722.97,0.00,1828.94,1,0.55,1
torchinferno,few_shot,16,1729.21,0.00,1831.93,1,0.55,1
torchinferno,few_shot,17,1723.38,0.00,1837.54,1,0.54,1
torchinferno,few_shot,18,1734.31,0.00,1836.35,1,0.54,1
torchinferno,few_shot,19,1729.99,0.00,1838.77,1,0.54,1
torchinferno,few_shot,20,1735.70,0.00,1840.25,1,0.54,1
torchinferno,few_shot,21,1721.28,0.00,1839.89,1,0.54,1
torchinferno,few_shot,22,1727.52,0.00,1842.82,1,0.54,1
torchinferno,few_shot,23,1726.31,0.00,1841.95,1,0.54,1
torchinferno,few_shot,24,1735.53,0.00,1846.98,1,0.54,1
torchinferno,few_shot,25,1723.85,0.00,1846.74,1,0.54,1
torchinferno,few_shot,26,1728.66,0.00,1855.20,1,0.54,1
torchinferno,few_shot,27,1726.43,0.00,1850.75,1,0.54,1
torchinferno,few_shot,28,1724.10,180.85,1904.95,2,1.05,1
torchinferno,few_shot,29,1734.35,169.20,1903.55,2,1.05,1
torchinferno,few_shot,30,1731.34,177.90,1909.24,2,1.05,1
torchinferno,few_shot,31,1732.45,174.86,1907.31,2,1.05,1
torchinferno,few_shot,32,1733.64,173.12,1906.76,2,1.05,1
torchinferno,few_shot,33,1723.53,185.73,1909.26,2,1.05,1
torchinferno,few_shot,34,1730.38,181.11,1911.49,2,1.05,1
torchinferno,few_shot,35,1727.35,189.80,1917.15,2,1.04,1
torchinferno,few_shot,36,1733.74,184.48,1918.22,2,1.04,1
torchinferno,few_shot,37,1732.01,189.99,1922.01,2,1.04,1
torchinferno,few_shot,38,1735.67,183.61,1919.28,2,1.04,1
torchinferno,few_shot,39,1724.10,196.04,1920.14,2,1.04,1
torchinferno,few_shot,40,1730.26,193.14,1923.40,2,1.04,1
torchinferno,few_shot,41,1725.07,200.64,1925.71,2,1.04,1
torchinferno,few_shot,42,1723.91,204.12,1928.02,2,1.04,1
torchinferno,few_shot,43,1728.12,195.69,1923.81,2,1.04,1
torchinferno,few_shot,44,1730.40,201.68,1932.08,2,1.04,1
torchinferno,few_shot,45,1729.16,200.78,1929.94,2,1.04,1
