model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-10T17:07:47.690766+00:00

Build Times
provider,build_time_s
torchinferno,36.9
vllm,297.4
sglang,211.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,73.81,73.60,sglang
ttft_p99_ms,,154.41,474.11,vllm
tpot_median_ms,,37.27,66.83,vllm
tpot_p99_ms,,91.99,934.96,vllm
e2e_median_ms,,103.01,128.76,vllm
e2e_p99_ms,,193.20,970.38,vllm
throughput_median_tps,,12.75,10.58,vllm
total_output_tokens,,1466,1461,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,74.96,122.52,vllm
ttft_p99_ms,,306.73,71541.53,vllm
tpot_median_ms,,0.00,0.00,
tpot_p99_ms,,0.00,0.00,
e2e_median_ms,,94.02,207.91,vllm
e2e_p99_ms,,315.91,71584.12,vllm
throughput_median_tps,,10.64,4.81,vllm
total_output_tokens,,1000,1000,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,
unique_final_answers,,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,84.68,79.85,sglang
ttft_p99_ms,,155.58,554.85,vllm
tpot_median_ms,,39.75,82.03,vllm
tpot_p99_ms,,85.63,806.22,vllm
e2e_median_ms,,113.98,148.16,vllm
e2e_p99_ms,,226.70,853.83,vllm
throughput_median_tps,,12.11,9.30,vllm
total_output_tokens,,1450,1450,
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang
ttft_first_turn_ms,,81.59,64.40,sglang
ttft_last_turn_ms,,89.31,80.50,sglang
ttft_growth_ratio,,1.09,1.25,vllm
ttft_first_turn_median_ms,,66.85,68.26,vllm
ttft_first_turn_p99_ms,,152.64,103.74,sglang
ttft_last_turn_median_ms,,80.52,82.71,vllm
ttft_last_turn_p99_ms,,156.59,103.02,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,32.13,40.99,vllm
ttft_p99_ms,,86.15,77.31,sglang
tpot_median_ms,,21.54,130.14,vllm
tpot_p99_ms,,32.38,978.95,vllm
e2e_median_ms,,47.70,133.49,vllm
e2e_p99_ms,,117.73,1034.51,vllm
throughput_median_tps,,26.07,10.94,vllm
total_output_tokens,,1460,1464,sglang
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,45.78,49.24,vllm
ttft_p99_ms,,61.30,121.19,vllm
tpot_median_ms,,15.29,24.56,vllm
tpot_p99_ms,,17.29,63.20,vllm
e2e_median_ms,,570.74,899.46,vllm
e2e_p99_ms,,1046.79,1735.56,vllm
throughput_median_tps,,61.53,39.34,vllm
total_output_tokens,,36715,36715,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
vllm,few_shot,0,0,58.65,25.47,84.12,2,23.78,1,,,,,,,0,,,
vllm,few_shot,1,1,64.21,0.00,83.93,1,11.92,1,,,,,,,1,,,
vllm,few_shot,2,2,45.46,30.99,76.45,2,26.16,1,,,,,,,2,,,
vllm,few_shot,3,3,45.16,25.17,70.33,2,28.44,1,,,,,,,3,,,
vllm,few_shot,5,4,31.53,0.00,45.62,1,21.92,1,,,,,,,5,,,
vllm,few_shot,64,5,45.77,0.00,59.57,1,16.79,1,,,,,,,64,,,
vllm,few_shot,4,6,50.85,0.00,66.46,1,15.05,1,,,,,,,4,,,
vllm,few_shot,65,7,40.93,0.00,59.26,1,16.87,1,,,,,,,65,,,
vllm,few_shot,66,8,46.74,0.00,62.32,1,16.05,1,,,,,,,66,,,
vllm,few_shot,67,9,49.49,0.00,64.00,1,15.62,1,,,,,,,67,,,
vllm,few_shot,6,10,46.09,32.21,78.30,2,25.54,1,,,,,,,6,,,
vllm,few_shot,7,11,42.69,0.00,60.08,1,16.65,1,,,,,,,7,,,
vllm,few_shot,69,12,50.38,0.00,64.99,1,15.39,1,,,,,,,69,,,
vllm,few_shot,68,13,50.97,0.00,66.81,1,14.97,1,,,,,,,68,,,
vllm,few_shot,8,14,38.29,0.00,53.33,1,18.75,1,,,,,,,8,,,
vllm,few_shot,70,15,49.65,29.85,79.50,2,25.16,1,,,,,,,70,,,
vllm,few_shot,71,16,46.84,0.00,62.03,1,16.12,1,,,,,,,71,,,
vllm,few_shot,72,17,46.41,0.00,69.76,1,14.34,1,,,,,,,72,,,
vllm,few_shot,74,18,54.08,0.00,70.41,1,14.20,1,,,,,,,74,,,
vllm,few_shot,9,19,60.37,0.00,76.97,1,12.99,1,,,,,,,9,,,
vllm,few_shot,10,20,56.74,0.00,75.01,1,13.33,1,,,,,,,10,,,
vllm,few_shot,76,21,55.93,0.00,75.15,1,13.31,1,,,,,,,76,,,
vllm,few_shot,75,22,53.83,35.39,89.23,2,22.41,1,,,,,,,75,,,
vllm,few_shot,73,23,55.49,36.51,92.00,2,21.74,1,,,,,,,73,,,
vllm,few_shot,11,24,55.30,0.00,70.73,1,14.14,1,,,,,,,11,,,
vllm,few_shot,80,25,60.28,0.00,74.86,1,13.36,1,,,,,,,80,,,
vllm,few_shot,77,26,56.56,34.35,90.91,2,22.00,1,,,,,,,77,,,
vllm,few_shot,79,27,59.44,37.23,96.67,2,20.69,1,,,,,,,79,,,
vllm,few_shot,81,28,50.69,0.00,73.49,1,13.61,1,,,,,,,81,,,
vllm,few_shot,12,29,53.10,0.00,74.51,1,13.42,1,,,,,,,12,,,
vllm,few_shot,78,30,60.19,39.41,99.60,2,20.08,1,,,,,,,78,,,
vllm,few_shot,82,31,55.42,0.00,73.81,1,13.55,1,,,,,,,82,,,
vllm,few_shot,13,32,53.13,32.93,86.06,2,23.24,1,,,,,,,13,,,
vllm,few_shot,87,33,54.03,0.00,68.81,1,14.53,1,,,,,,,87,,,
vllm,few_shot,85,34,54.74,0.00,70.96,1,14.09,1,,,,,,,85,,,
vllm,few_shot,86,35,53.90,0.00,70.98,1,14.09,1,,,,,,,86,,,
