model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-05T15:02:07.840780+00:00

Build Times
provider,build_time_s
torchinferno,45.3
vllm,351.7
sglang,205.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,153.54,137.64,147.99,vllm
ttft_p99_ms,771.89,253.59,600.31,vllm
tpot_median_ms,46.81,52.61,74.08,torchinferno
tpot_p99_ms,148.56,150.39,142.90,sglang
e2e_median_ms,202.49,177.99,224.13,vllm
e2e_p99_ms,824.50,322.02,659.66,vllm
throughput_median_tps,5.92,7.61,5.35,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,277.99,195.12,221.35,vllm
ttft_p99_ms,930.96,422.09,69467.13,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,317.25,218.58,370.41,vllm
e2e_p99_ms,1164.50,456.75,69543.82,vllm
throughput_median_tps,3.15,4.58,2.70,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,309.80,173.53,166.22,sglang
ttft_p99_ms,663.46,349.65,585.10,vllm
tpot_median_ms,62.23,51.70,106.00,vllm
tpot_p99_ms,210.51,192.10,252.91,vllm
e2e_median_ms,361.50,221.54,268.49,vllm
e2e_p99_ms,708.82,431.96,662.92,vllm
throughput_median_tps,4.10,6.24,4.98,vllm
total_output_tokens,1447,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,189.46,155.17,106.72,sglang
ttft_last_turn_ms,294.75,167.17,200.08,vllm
ttft_growth_ratio,1.56,1.08,1.87,vllm
ttft_first_turn_median_ms,150.31,154.78,95.71,sglang
ttft_first_turn_p99_ms,444.15,323.68,185.32,sglang
ttft_last_turn_median_ms,296.34,161.62,191.49,vllm
ttft_last_turn_p99_ms,495.12,315.37,302.37,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,121.73,61.63,74.71,vllm
ttft_p99_ms,194.30,2132.54,462.95,torchinferno
tpot_median_ms,29.13,30.25,51.97,torchinferno
tpot_p99_ms,107.22,2010.86,473.77,torchinferno
e2e_median_ms,145.41,85.42,134.52,vllm
e2e_p99_ms,273.97,2172.74,550.71,torchinferno
throughput_median_tps,9.33,13.90,10.16,vllm
total_output_tokens,1479,1463,1472,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,280.12,77.80,73.30,sglang
ttft_p99_ms,911.54,286.17,381.75,vllm
tpot_median_ms,19.33,15.01,22.19,vllm
tpot_p99_ms,36.46,23.60,32.76,vllm
e2e_median_ms,922.31,638.11,835.60,vllm
e2e_p99_ms,1975.60,1020.09,1545.62,vllm
throughput_median_tps,37.74,57.72,41.14,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,17,0,694.90,0.00,707.56,1,1.41,1,,,,,,,17,,,
torchinferno,few_shot,9,1,699.83,0.00,711.45,1,1.41,1,,,,,,,9,,,
torchinferno,few_shot,12,2,695.42,0.00,712.00,1,1.40,1,,,,,,,12,,,
torchinferno,few_shot,11,3,701.57,0.00,713.57,1,1.40,1,,,,,,,11,,,
torchinferno,few_shot,10,4,701.06,0.00,715.26,1,1.40,1,,,,,,,10,,,
torchinferno,few_shot,24,5,691.03,0.00,707.11,1,1.41,1,,,,,,,24,,,
torchinferno,few_shot,5,6,702.93,0.00,719.57,1,1.39,1,,,,,,,5,,,
torchinferno,few_shot,1,7,701.54,0.00,723.43,1,1.38,1,,,,,,,1,,,
torchinferno,few_shot,19,8,701.18,18.30,719.48,2,2.78,1,,,,,,,19,,,
torchinferno,few_shot,7,9,699.36,0.00,725.60,1,1.38,1,,,,,,,7,,,
torchinferno,few_shot,0,10,705.92,24.59,730.52,2,2.74,1,,,,,,,0,,,
torchinferno,few_shot,6,11,699.92,29.44,729.36,2,2.74,1,,,,,,,6,,,
torchinferno,few_shot,2,12,699.36,32.86,732.22,2,2.73,1,,,,,,,2,,,
torchinferno,few_shot,18,13,698.60,30.16,728.76,2,2.74,1,,,,,,,18,,,
torchinferno,few_shot,22,14,695.12,28.10,723.22,2,2.77,1,,,,,,,22,,,
torchinferno,few_shot,21,15,691.55,33.01,724.56,2,2.76,1,,,,,,,21,,,
torchinferno,few_shot,8,16,700.96,0.00,734.88,1,1.36,1,,,,,,,8,,,
torchinferno,few_shot,3,17,701.63,36.62,738.25,2,2.71,1,,,,,,,3,,,
torchinferno,few_shot,23,18,693.19,34.34,727.53,2,2.75,1,,,,,,,23,,,
torchinferno,few_shot,16,19,698.15,38.53,736.67,2,2.71,1,,,,,,,16,,,
torchinferno,few_shot,15,20,695.86,42.50,738.35,2,2.71,1,,,,,,,15,,,
torchinferno,few_shot,14,21,701.98,37.60,739.58,2,2.70,1,,,,,,,14,,,
torchinferno,few_shot,20,22,688.84,45.36,734.20,2,2.72,1,,,,,,,20,,,
torchinferno,few_shot,13,23,696.84,45.43,742.27,2,2.69,1,,,,,,,13,,,
torchinferno,few_shot,4,24,704.73,0.00,746.96,1,1.34,1,,,,,,,4,,,
torchinferno,few_shot,26,25,765.22,0.00,781.09,1,1.28,1,,,,,,,26,,,
torchinferno,few_shot,25,26,766.25,0.00,782.65,1,1.28,1,,,,,,,25,,,
torchinferno,few_shot,29,27,768.49,0.00,786.53,1,1.27,1,,,,,,,29,,,
torchinferno,few_shot,55,28,763.82,0.00,781.08,1,1.28,1,,,,,,,55,,,
torchinferno,few_shot,48,29,765.20,0.00,786.76,1,1.27,1,,,,,,,48,,,
torchinferno,few_shot,43,30,765.89,0.00,789.78,1,1.27,1,,,,,,,43,,,
torchinferno,few_shot,35,31,764.55,0.00,793.19,1,1.26,1,,,,,,,35,,,
torchinferno,few_shot,39,32,766.40,0.00,793.23,1,1.26,1,,,,,,,39,,,
torchinferno,few_shot,28,33,771.79,0.00,796.83,1,1.25,1,,,,,,,28,,,
torchinferno,few_shot,30,34,772.19,26.77,798.96,2,2.50,1,,,,,,,30,,,
torchinferno,few_shot,33,35,772.48,27.00,799.47,2,2.50,1,,,,,,,33,,,
torchinferno,few_shot,32,36,771.89,28.91,800.79,2,2.50,1,,,,,,,32,,,
torchinferno,few_shot,54,37,765.70,30.38,796.09,2,2.51,1,,,,,,,54,,,
torchinferno,few_shot,56,38,757.85,38.58,796.43,2,2.51,1,,,,,,,56,,,
