model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-10T21:09:27.549192

Build Times
provider,build_time_s
torchinferno,381.9
vllm,1363.0
sglang,221.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,248.92,159.75,150.74,sglang
ttft_p99_ms,3105.42,281.38,902.23,vllm
tpot_median_ms,99.17,58.08,72.96,vllm
tpot_p99_ms,1345.51,144.37,704.37,vllm
e2e_median_ms,352.75,210.97,218.72,vllm
e2e_p99_ms,3198.26,331.75,1040.16,vllm
throughput_median_tps,3.61,7.04,5.48,vllm
total_output_tokens,1466,1460,1460,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,353.57,189.49,213.72,vllm
ttft_p99_ms,1282.77,352.16,71361.54,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,492.01,224.35,353.99,vllm
e2e_p99_ms,1692.61,422.20,71491.01,vllm
throughput_median_tps,2.03,4.46,2.82,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,662.82,186.32,163.19,sglang
ttft_p99_ms,2010.60,356.85,274.50,sglang
tpot_median_ms,66.69,52.30,107.93,vllm
tpot_p99_ms,196.53,184.44,226.89,vllm
e2e_median_ms,741.22,231.03,259.63,vllm
e2e_p99_ms,2049.04,424.73,425.75,vllm
throughput_median_tps,1.71,6.08,5.18,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,922.06,156.85,110.64,sglang
ttft_last_turn_ms,1016.51,172.36,168.81,sglang
ttft_growth_ratio,1.10,1.10,1.53,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,398.89,61.09,81.47,vllm
ttft_p99_ms,1234.51,2059.90,534.30,sglang
tpot_median_ms,63.58,27.61,50.04,vllm
tpot_p99_ms,351.70,1719.51,518.10,torchinferno
e2e_median_ms,449.61,83.44,146.60,vllm
e2e_p99_ms,1388.09,2109.88,609.10,sglang
throughput_median_tps,2.85,14.56,9.52,vllm
total_output_tokens,1470,1482,1455,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,193.97,71.06,88.14,vllm
ttft_p99_ms,1404.14,134.13,170.84,vllm
tpot_median_ms,26.74,14.86,23.44,vllm
tpot_p99_ms,61.66,23.36,28.95,vllm
e2e_median_ms,1222.21,608.08,887.21,vllm
e2e_p99_ms,2937.16,1011.06,1711.69,vllm
throughput_median_tps,29.93,59.12,39.61,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1283.67,0.00,1291.87,1,0.77,1
torchinferno,few_shot,1,1284.30,200.39,1484.69,2,1.35,1
torchinferno,few_shot,2,1286.79,200.95,1487.74,2,1.34,1
torchinferno,few_shot,3,1853.57,0.00,3109.38,1,0.32,1
torchinferno,few_shot,4,1848.75,0.00,3109.85,1,0.32,1
torchinferno,few_shot,5,1858.63,0.00,3114.47,1,0.32,1
torchinferno,few_shot,6,1848.45,0.00,3117.82,1,0.32,1
torchinferno,few_shot,7,1856.29,0.00,3112.55,1,0.32,1
torchinferno,few_shot,8,1852.82,0.00,3118.26,1,0.32,1
torchinferno,few_shot,9,1858.10,0.00,3117.87,1,0.32,1
torchinferno,few_shot,10,1849.01,1274.77,3123.78,2,0.64,1
torchinferno,few_shot,11,1849.29,0.00,3122.28,1,0.32,1
torchinferno,few_shot,12,1866.84,0.00,3134.31,1,0.32,1
torchinferno,few_shot,13,1855.43,1272.42,3127.85,2,0.64,1
torchinferno,few_shot,14,1854.97,0.00,3128.60,1,0.32,1
torchinferno,few_shot,15,3099.59,0.00,3126.95,1,0.32,1
torchinferno,few_shot,16,1851.39,0.00,3133.38,1,0.32,1
torchinferno,few_shot,17,1857.97,0.00,3133.51,1,0.32,1
torchinferno,few_shot,18,1843.94,1287.19,3131.13,2,0.64,1
torchinferno,few_shot,19,1851.66,1287.96,3139.62,2,0.64,1
torchinferno,few_shot,20,1857.71,0.00,3138.63,1,0.32,1
torchinferno,few_shot,21,1850.18,0.00,3144.93,1,0.32,1
torchinferno,few_shot,22,1848.37,1292.07,3140.44,2,0.64,1
torchinferno,few_shot,23,3115.57,23.14,3138.71,2,0.64,1
torchinferno,few_shot,24,1856.05,1292.25,3148.30,2,0.64,1
torchinferno,few_shot,25,1852.11,0.00,3147.44,1,0.32,1
torchinferno,few_shot,26,1851.95,1298.59,3150.54,2,0.63,1
torchinferno,few_shot,27,1857.58,0.00,3152.62,1,0.32,1
torchinferno,few_shot,28,1848.61,0.00,3152.86,1,0.32,1
torchinferno,few_shot,29,1856.36,1298.87,3155.23,2,0.63,1
torchinferno,few_shot,30,1854.34,0.00,3152.24,1,0.32,1
torchinferno,few_shot,31,3143.72,0.00,3154.12,1,0.32,1
torchinferno,few_shot,32,3113.74,38.20,3151.94,2,0.63,1
torchinferno,few_shot,33,1852.09,1308.35,3160.44,2,0.63,1
torchinferno,few_shot,34,1854.88,0.00,3165.04,1,0.32,1
torchinferno,few_shot,35,1854.42,1307.29,3161.71,2,0.63,1
torchinferno,few_shot,36,1856.10,0.00,3162.86,1,0.32,1
torchinferno,few_shot,37,1849.25,1319.15,3168.39,2,0.63,1
torchinferno,few_shot,38,3102.74,63.59,3166.33,2,0.63,1
torchinferno,few_shot,39,1855.58,0.00,3174.30,1,0.32,1
torchinferno,few_shot,40,1890.40,0.00,1890.67,1,0.53,1
torchinferno,few_shot,41,3159.84,14.34,3174.17,2,0.63,1
torchinferno,few_shot,42,1853.17,0.00,3185.02,1,0.31,1
torchinferno,few_shot,43,1849.65,1331.54,3181.20,2,0.63,1
torchinferno,few_shot,44,1851.26,1330.02,3181.28,2,0.63,1
