model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-10T15:01:54.361874

Build Times
provider,build_time_s
vllm,1295.7
sglang,183.9
torchinferno,44.3

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,144.92,134.35,,sglang
ttft_p99_ms,266.12,609.73,,vllm
tpot_median_ms,52.37,76.40,,vllm
tpot_p99_ms,134.15,455.10,,vllm
e2e_median_ms,191.62,207.33,,vllm
e2e_p99_ms,317.50,706.86,,vllm
throughput_median_tps,7.71,5.85,,vllm
total_output_tokens,14467,14455,,vllm
num_requests,10000,10000,,
correctness_rate,0.98,0.98,,sglang

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,196.16,195.92,,sglang
ttft_p99_ms,500.69,666.18,,vllm
tpot_median_ms,0.00,0.00,,vllm
tpot_p99_ms,0.00,0.00,,vllm
e2e_median_ms,271.01,346.15,,vllm
e2e_p99_ms,539.91,830.26,,vllm
throughput_median_tps,3.69,2.89,,vllm
total_output_tokens,10000,10000,,vllm
num_requests,10000,10000,,
correctness_rate,1.00,1.00,,vllm
unique_final_answers,1,1,,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,182.80,157.01,,sglang
ttft_p99_ms,338.36,570.91,,vllm
tpot_median_ms,69.85,104.79,,vllm
tpot_p99_ms,190.11,479.70,,vllm
e2e_median_ms,245.34,258.97,,vllm
e2e_p99_ms,414.95,677.61,,vllm
throughput_median_tps,5.82,5.10,,vllm
total_output_tokens,14516,14528,,sglang
num_requests,10000,10000,,
correctness_rate,0.98,0.98,,sglang
ttft_first_turn_ms,180.68,143.16,,sglang
ttft_last_turn_ms,187.06,205.99,,vllm
ttft_growth_ratio,1.04,1.44,,vllm

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,57.55,74.87,,vllm
ttft_p99_ms,103.16,480.55,,vllm
tpot_median_ms,26.64,60.56,,vllm
tpot_p99_ms,46.30,176.65,,vllm
e2e_median_ms,78.08,141.19,,vllm
e2e_p99_ms,143.05,679.06,,vllm
throughput_median_tps,16.01,9.98,,vllm
total_output_tokens,15020,15005,,vllm
num_requests,10013,10013,,
correctness_rate,0.97,0.97,,sglang

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,68.69,64.17,,sglang
ttft_p99_ms,245.52,237.23,,sglang
tpot_median_ms,14.61,22.36,,vllm
tpot_p99_ms,16.98,27.94,,vllm
e2e_median_ms,630.31,892.64,,vllm
e2e_p99_ms,999.40,1598.36,,vllm
throughput_median_tps,60.77,42.32,,vllm
total_output_tokens,377583,377583,,vllm
num_requests,10000,10000,,
correctness_rate,1.00,1.00,,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,730.44,0.00,731.00,1,1.37,1
vllm,few_shot,1,755.44,0.00,775.90,1,1.29,1
vllm,few_shot,2,745.65,35.86,781.51,2,2.56,1
vllm,few_shot,3,771.71,0.00,796.44,1,1.26,1
vllm,few_shot,4,776.90,0.00,801.49,1,1.25,1
vllm,few_shot,5,774.61,0.00,800.42,1,1.25,1
vllm,few_shot,6,770.02,0.00,795.21,1,1.26,1
vllm,few_shot,7,774.50,0.00,802.96,1,1.25,1
vllm,few_shot,8,771.92,0.00,802.84,1,1.25,1
vllm,few_shot,9,776.70,101.28,877.97,2,2.28,1
vllm,few_shot,10,790.28,0.00,875.58,1,1.14,1
vllm,few_shot,11,768.28,107.53,875.81,2,2.28,1
vllm,few_shot,12,776.88,107.17,884.05,2,2.26,1
vllm,few_shot,13,795.63,0.00,878.78,1,1.14,1
vllm,few_shot,14,795.91,107.24,903.15,2,2.21,1
vllm,few_shot,15,793.80,102.36,896.17,2,2.23,1
vllm,few_shot,16,853.95,0.00,883.35,1,1.13,1
vllm,few_shot,17,856.33,0.00,889.82,1,1.12,1
vllm,few_shot,18,856.84,0.00,891.71,1,1.12,1
vllm,few_shot,19,789.43,117.22,906.65,2,2.21,1
vllm,few_shot,20,858.59,0.00,892.46,1,1.12,1
vllm,few_shot,21,856.80,0.00,896.23,1,1.12,1
vllm,few_shot,22,859.51,0.00,896.63,1,1.12,1
vllm,few_shot,23,897.89,0.00,898.12,1,1.11,1
vllm,few_shot,24,788.18,123.39,911.57,2,2.19,1
vllm,few_shot,25,782.43,123.09,905.52,2,2.21,1
vllm,few_shot,26,788.09,118.67,906.77,2,2.21,1
vllm,few_shot,27,861.05,0.00,906.40,1,1.10,1
vllm,few_shot,28,852.58,54.22,906.80,2,2.21,1
vllm,few_shot,29,780.95,131.38,912.33,2,2.19,1
vllm,few_shot,30,856.79,54.23,911.03,2,2.20,1
vllm,few_shot,31,860.46,0.00,908.29,1,1.10,1
vllm,few_shot,32,787.68,134.95,922.63,2,2.17,1
vllm,few_shot,33,849.77,0.00,911.44,1,1.10,1
vllm,few_shot,34,859.87,0.00,916.16,1,1.09,1
vllm,few_shot,35,876.88,36.48,913.36,2,2.19,1
vllm,few_shot,36,144.34,0.00,158.88,1,6.29,1
vllm,few_shot,37,855.55,63.64,919.19,2,2.18,1
vllm,few_shot,38,879.62,33.58,913.20,2,2.19,1
vllm,few_shot,39,787.47,146.19,933.66,2,2.14,1
vllm,few_shot,40,856.44,0.00,924.76,1,1.08,1
vllm,few_shot,41,857.19,0.00,922.12,1,1.08,1
vllm,few_shot,42,853.13,0.00,925.11,1,1.08,1
vllm,few_shot,43,882.68,0.00,921.30,1,1.09,1
vllm,few_shot,44,885.98,0.00,921.48,1,1.09,1
vllm,few_shot,45,852.70,73.49,926.18,2,2.16,1
