model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-28T07:01:58.210694

Build Times
provider,build_time_s
torchinferno,356.2
vllm,1416.7
sglang,242.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,268.11,161.42,152.42,sglang
ttft_p99_ms,1142.01,574.08,7115.02,vllm
tpot_median_ms,62.30,58.58,71.76,vllm
tpot_p99_ms,137.95,152.03,7420.54,torchinferno
e2e_median_ms,335.24,220.67,221.53,vllm
e2e_p99_ms,1241.10,609.92,14509.98,vllm
throughput_median_tps,4.29,6.76,5.36,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,290.80,206.49,200.79,sglang
ttft_p99_ms,574.16,472.74,71884.43,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,328.80,227.07,332.98,vllm
e2e_p99_ms,609.31,502.36,71993.04,vllm
throughput_median_tps,3.04,4.40,3.00,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,744.34,177.84,169.84,sglang
ttft_p99_ms,2430.89,334.56,460.52,vllm
tpot_median_ms,55.40,61.76,103.40,torchinferno
tpot_p99_ms,119.59,185.36,222.12,torchinferno
e2e_median_ms,798.55,234.53,272.97,vllm
e2e_p99_ms,2451.36,416.49,511.44,vllm
throughput_median_tps,1.60,6.02,4.95,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,887.01,142.04,288.36,vllm
ttft_last_turn_ms,1526.55,169.07,174.81,vllm
ttft_growth_ratio,1.72,1.19,0.61,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,197.66,58.53,82.66,vllm
ttft_p99_ms,554.78,139.76,526.46,vllm
tpot_median_ms,27.31,26.95,40.46,vllm
tpot_p99_ms,65.82,40.81,490.32,vllm
e2e_median_ms,227.70,79.19,134.13,vllm
e2e_p99_ms,587.79,157.19,611.47,vllm
throughput_median_tps,6.35,15.59,9.61,vllm
total_output_tokens,1465,1455,1461,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,586.65,70.97,77.77,vllm
ttft_p99_ms,2536.88,138.82,152.91,vllm
tpot_median_ms,14.41,14.96,23.60,torchinferno
tpot_p99_ms,94.56,21.72,27.84,vllm
e2e_median_ms,1181.97,624.23,862.24,vllm
e2e_p99_ms,2856.44,1004.68,1709.84,vllm
throughput_median_tps,28.09,58.79,39.63,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1026.06,21.70,1047.76,2,1.91,1
torchinferno,few_shot,1,1021.54,22.67,1044.21,2,1.92,1
torchinferno,few_shot,2,1132.63,0.00,1142.78,1,0.88,1
torchinferno,few_shot,3,1143.71,0.00,1153.36,1,0.87,1
torchinferno,few_shot,4,1142.66,0.00,1157.89,1,0.86,1
torchinferno,few_shot,5,1138.97,0.00,1157.79,1,0.86,1
torchinferno,few_shot,6,1132.55,0.00,1163.85,1,0.86,1
torchinferno,few_shot,7,1133.04,28.83,1161.86,2,1.72,1
torchinferno,few_shot,8,1125.22,0.00,1156.35,1,0.86,1
torchinferno,few_shot,9,1149.40,0.00,1171.85,1,0.85,1
torchinferno,few_shot,10,1125.70,34.66,1160.36,2,1.72,1
torchinferno,few_shot,11,1128.62,39.53,1168.15,2,1.71,1
torchinferno,few_shot,12,1128.61,0.00,1164.25,1,0.86,1
torchinferno,few_shot,13,1138.38,34.19,1172.56,2,1.71,1
torchinferno,few_shot,14,1134.99,0.00,1176.03,1,0.85,1
torchinferno,few_shot,15,1137.69,0.00,1177.86,1,0.85,1
torchinferno,few_shot,16,1129.11,45.19,1174.30,2,1.70,1
torchinferno,few_shot,17,1137.21,51.26,1188.47,2,1.68,1
torchinferno,few_shot,18,1133.36,45.15,1178.51,2,1.70,1
torchinferno,few_shot,19,1133.08,44.88,1177.97,2,1.70,1
torchinferno,few_shot,20,1142.61,49.39,1192.01,2,1.68,1
torchinferno,few_shot,21,1138.33,0.00,1184.04,1,0.84,1
torchinferno,few_shot,22,1147.10,43.18,1190.27,2,1.68,1
torchinferno,few_shot,23,1135.97,52.95,1188.92,2,1.68,1
torchinferno,few_shot,24,1128.82,0.00,1187.45,1,0.84,1
torchinferno,few_shot,25,1145.83,50.74,1196.57,2,1.67,1
torchinferno,few_shot,26,1136.56,0.00,1192.78,1,0.84,1
torchinferno,few_shot,27,1128.79,0.00,1195.95,1,0.84,1
torchinferno,few_shot,28,1135.20,0.00,1203.85,1,0.83,1
torchinferno,few_shot,29,1132.17,0.00,1199.39,1,0.83,1
torchinferno,few_shot,30,1140.97,0.00,1201.92,1,0.83,1
torchinferno,few_shot,31,1130.23,70.79,1201.02,2,1.67,1
torchinferno,few_shot,32,1126.26,0.00,1201.78,1,0.83,1
torchinferno,few_shot,33,1148.86,0.00,1213.43,1,0.82,1
torchinferno,few_shot,34,1140.71,72.61,1213.32,2,1.65,1
torchinferno,few_shot,35,1136.81,82.71,1219.53,2,1.64,1
torchinferno,few_shot,36,1133.78,0.00,1213.71,1,0.82,1
torchinferno,few_shot,37,1135.68,82.03,1217.71,2,1.64,1
torchinferno,few_shot,38,1134.45,86.82,1221.27,2,1.64,1
torchinferno,few_shot,39,1133.52,82.37,1215.89,2,1.64,1
torchinferno,few_shot,40,1142.01,0.00,1220.44,1,0.82,1
torchinferno,few_shot,41,1131.85,0.00,1230.03,1,0.81,1
torchinferno,few_shot,42,1141.36,0.00,1225.69,1,0.82,1
torchinferno,few_shot,43,1130.78,0.00,1224.52,1,0.82,1
torchinferno,few_shot,44,1144.40,0.00,1231.01,1,0.81,1
torchinferno,few_shot,45,1128.35,102.95,1231.30,2,1.62,1
torchinferno,few_shot,46,1128.36,99.87,1228.23,2,1.63,1
torchinferno,few_shot,47,1129.91,0.00,1232.76,1,0.81,1
torchinferno,few_shot,48,1132.71,0.00,1232.30,1,0.81,1
torchinferno,few_shot,49,1138.22,93.82,1232.04,2,1.62,1
torchinferno,few_shot,50,1141.25,97.87,1239.12,2,1.61,1
torchinferno,few_shot,51,1140.17,96.58,1236.75,2,1.62,1
torchinferno,few_shot,52,1132.36,0.00,1237.57,1,0.81,1
torchinferno,few_shot,53,1132.70,0.00,1247.96,1,0.80,1
torchinferno,few_shot,54,1132.79,108.26,1241.05,2,1.61,1
torchinferno,few_shot,55,1140.36,100.74,1241.10,2,1.61,1
torchinferno,few_shot,56,1136.78,112.88,1249.67,2,1.60,1
torchinferno,few_shot,57,1130.52,0.00,1248.56,1,0.80,1
torchinferno,few_shot,58,1139.78,109.16,1248.94,2,1.60,1
torchinferno,few_shot,59,1141.34,107.75,1249.10,2,1.60,1
torchinferno,few_shot,60,1145.68,114.76,1260.44,2,1.59,1
torchinferno,few_shot,61,1139.76,0.00,1260.50,1,0.79,1
torchinferno,few_shot,62,1125.39,0.00,1259.69,1,0.79,1
torchinferno,few_shot,63,1140.19,133.42,1273.61,2,1.57,1
torchinferno,few_shot,64,323.49,0.00,554.17,1,1.80,1
torchinferno,few_shot,65,321.14,0.00,553.67,1,1.81,1
torchinferno,few_shot,66,728.78,0.00,729.10,1,1.37,1
torchinferno,few_shot,67,811.11,0.00,816.40,1,1.22,1
torchinferno,few_shot,68,853.16,0.00,862.70,1,1.16,1
torchinferno,few_shot,69,800.04,0.00,818.08,1,1.22,1
torchinferno,few_shot,70,794.41,0.00,823.15,1,1.21,1
torchinferno,few_shot,71,820.67,0.00,840.61,1,1.19,1
torchinferno,few_shot,72,845.36,0.00,860.97,1,1.16,1
torchinferno,few_shot,73,809.62,0.00,828.43,1,1.21,1
torchinferno,few_shot,74,825.10,0.00,863.71,1,1.16,1
torchinferno,few_shot,75,748.67,0.00,774.36,1,1.29,1
torchinferno,few_shot,76,755.34,39.63,794.98,2,2.52,1
torchinferno,few_shot,77,746.52,0.00,785.14,1,1.27,1
torchinferno,few_shot,78,758.75,0.00,789.29,1,1.27,1
torchinferno,few_shot,79,764.77,24.58,789.35,2,2.53,1
torchinferno,few_shot,80,787.83,48.53,836.36,2,2.39,1
torchinferno,few_shot,81,793.14,0.00,832.37,1,1.20,1
torchinferno,few_shot,82,830.12,39.40,869.52,2,2.30,1
torchinferno,few_shot,83,762.12,0.00,806.13,1,1.24,1
torchinferno,few_shot,84,827.63,0.00,876.86,1,1.14,1
torchinferno,few_shot,85,761.63,0.00,820.64,1,1.22,1
torchinferno,few_shot,86,815.22,0.00,871.01,1,1.15,1
torchinferno,few_shot,87,779.59,0.00,824.27,1,1.21,1
torchinferno,few_shot,88,822.97,57.44,880.41,2,2.27,1
torchinferno,few_shot,89,790.03,5.22,795.25,2,2.51,1
torchinferno,few_shot,90,827.12,0.00,889.10,1,1.12,1
torchinferno,few_shot,91,803.39,52.21,855.59,2,2.34,1
torchinferno,few_shot,92,822.82,0.00,823.18,1,1.21,1
torchinferno,few_shot,93,815.95,69.66,885.61,2,2.26,1
torchinferno,few_shot,94,845.33,0.00,913.64,1,1.09,1
torchinferno,few_shot,95,813.63,67.90,881.53,2,2.27,1
torchinferno,few_shot,96,830.89,0.00,908.74,1,1.10,1
torchinferno,few_shot,97,808.66,74.63,883.28,2,2.26,1
torchinferno,few_shot,98,784.17,62.24,846.41,2,2.36,1
torchinferno,few_shot,99,751.22,71.24,822.47,2,2.43,1
torchinferno,few_shot,100,760.76,81.01,841.76,2,2.38,1
torchinferno,few_shot,101,843.39,0.00,853.84,1,1.17,1
torchinferno,few_shot,102,780.02,0.00,858.88,1,1.16,1
torchinferno,few_shot,103,811.48,0.00,896.46,1,1.12,1
torchinferno,few_shot,104,754.49,0.00,838.51,1,1.19,1
torchinferno,few_shot,105,864.76,0.00,875.07,1,1.14,1
torchinferno,few_shot,106,728.21,90.65,818.86,2,2.44,1
torchinferno,few_shot,107,761.62,79.83,841.45,2,2.38,1
torchinferno,few_shot,108,767.86,87.04,854.89,2,2.34,1
torchinferno,few_shot,109,820.70,99.67,920.37,2,2.17,1
torchinferno,few_shot,110,808.72,0.00,902.12,1,1.11,1
torchinferno,few_shot,111,780.35,0.00,871.16,1,1.15,1
torchinferno,few_shot,112,758.99,92.98,851.97,2,2.35,1
torchinferno,few_shot,113,837.35,91.34,928.69,2,2.15,1
torchinferno,few_shot,114,738.84,89.44,828.28,2,2.41,1
torchinferno,few_shot,115,786.49,0.00,890.76,1,1.12,1
torchinferno,few_shot,116,778.56,104.03,882.58,2,2.27,1
torchinferno,few_shot,117,841.31,0.00,944.42,1,1.06,1
torchinferno,few_shot,118,747.10,103.46,850.55,2,2.35,1
torchinferno,few_shot,119,799.31,0.00,912.56,1,1.10,1
torchinferno,few_shot,120,840.56,105.11,945.66,2,2.11,1
torchinferno,few_shot,121,750.02,0.00,868.28,1,1.15,1
torchinferno,few_shot,122,889.54,0.00,898.34,1,1.11,1
torchinferno,few_shot,123,779.59,0.00,857.68,1,1.17,1
torchinferno,few_shot,124,506.15,0.00,519.73,1,1.92,1
torchinferno,few_shot,125,762.99,0.00,885.45,1,1.13,1
torchinferno,few_shot,126,768.27,127.01,895.28,2,2.23,1
torchinferno,few_shot,127,502.25,27.21,529.46,2,3.78,1
torchinferno,few_shot,128,865.41,63.16,928.57,2,2.15,1
torchinferno,few_shot,129,928.12,0.00,958.38,1,1.04,1
torchinferno,few_shot,130,186.48,0.00,386.57,1,2.59,1
torchinferno,few_shot,131,430.32,0.00,437.17,1,2.29,1
torchinferno,few_shot,132,481.62,0.00,502.44,1,1.99,1
torchinferno,few_shot,133,380.70,0.00,395.91,1,2.53,1
torchinferno,few_shot,134,435.34,0.00,462.82,1,2.16,1
torchinferno,few_shot,135,447.49,0.00,452.25,1,2.21,1
torchinferno,few_shot,136,413.59,0.00,440.15,1,2.27,1
torchinferno,few_shot,137,454.28,0.00,483.39,1,2.07,1
torchinferno,few_shot,138,373.93,0.00,399.44,1,2.50,1
torchinferno,few_shot,139,384.88,0.00,424.06,1,2.36,1
torchinferno,few_shot,140,475.49,23.52,499.01,2,4.01,1
torchinferno,few_shot,141,455.63,20.27,475.90,2,4.20,1
torchinferno,few_shot,142,395.68,0.00,436.48,1,2.29,1
torchinferno,few_shot,143,366.33,0.00,410.61,1,2.44,1
torchinferno,few_shot,144,422.24,0.00,452.12,1,2.21,1
torchinferno,few_shot,145,435.65,0.00,469.34,1,2.13,1
torchinferno,few_shot,146,460.11,29.99,490.10,2,4.08,1
torchinferno,few_shot,147,464.08,37.11,501.19,2,3.99,1
torchinferno,few_shot,148,414.43,0.00,461.55,1,2.17,1
torchinferno,few_shot,149,408.45,57.69,466.14,2,4.29,1
