model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-21T12:03:09.942846

Build Times
provider,build_time_s
torchinferno,401.5
vllm,1249.6
sglang,220.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,314.12,153.92,142.74,sglang
ttft_p99_ms,1985.66,535.08,7333.58,vllm
tpot_median_ms,153.44,54.11,73.71,vllm
tpot_p99_ms,210.32,151.72,8513.09,vllm
e2e_median_ms,433.99,208.35,213.63,vllm
e2e_p99_ms,2173.96,584.84,15819.20,vllm
throughput_median_tps,3.18,6.82,5.51,vllm
total_output_tokens,1461,1466,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,290.05,192.90,197.38,vllm
ttft_p99_ms,1714.32,478.62,70376.99,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,327.04,216.90,332.67,vllm
e2e_p99_ms,1811.97,518.28,70457.32,vllm
throughput_median_tps,3.06,4.61,3.01,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,833.34,171.35,157.52,sglang
ttft_p99_ms,2292.84,356.61,683.87,vllm
tpot_median_ms,119.04,55.07,103.69,vllm
tpot_p99_ms,629.27,177.49,226.01,vllm
e2e_median_ms,926.87,219.85,256.00,vllm
e2e_p99_ms,2521.99,431.40,888.64,vllm
throughput_median_tps,1.40,6.26,5.13,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1097.49,136.31,113.53,sglang
ttft_last_turn_ms,654.55,160.95,171.28,vllm
ttft_growth_ratio,0.60,1.18,1.51,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,343.96,57.74,78.43,vllm
ttft_p99_ms,914.97,129.51,629.59,vllm
tpot_median_ms,134.62,26.69,61.84,vllm
tpot_p99_ms,155.31,43.32,606.24,vllm
e2e_median_ms,444.98,78.66,158.78,vllm
e2e_p99_ms,1047.69,151.02,690.38,vllm
throughput_median_tps,2.73,15.65,9.23,vllm
total_output_tokens,1469,1464,1471,sglang
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,985.65,72.42,66.16,sglang
ttft_p99_ms,3841.27,232.62,112.80,sglang
tpot_median_ms,19.00,14.99,22.54,vllm
tpot_p99_ms,229.27,20.38,26.91,vllm
e2e_median_ms,1769.91,608.53,834.25,vllm
e2e_p99_ms,4352.15,1004.04,1612.43,vllm
throughput_median_tps,19.96,58.25,41.71,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,916.32,0.00,1261.95,1,0.79,1
torchinferno,few_shot,1,1971.79,0.00,2060.49,1,0.49,1
torchinferno,few_shot,2,1973.60,0.00,2063.59,1,0.48,1
torchinferno,few_shot,3,1977.36,0.00,2068.01,1,0.48,1
torchinferno,few_shot,4,1969.74,0.00,2068.28,1,0.48,1
torchinferno,few_shot,5,1976.22,0.00,2075.15,1,0.48,1
torchinferno,few_shot,6,1986.85,0.00,2072.73,1,0.48,1
torchinferno,few_shot,7,1983.55,0.00,2072.90,1,0.48,1
torchinferno,few_shot,8,1974.26,0.00,2078.13,1,0.48,1
torchinferno,few_shot,9,1981.95,0.00,2077.43,1,0.48,1
torchinferno,few_shot,10,1984.02,0.00,2078.10,1,0.48,1
torchinferno,few_shot,11,1978.22,0.00,2082.47,1,0.48,1
torchinferno,few_shot,12,1982.32,0.00,2090.23,1,0.48,1
torchinferno,few_shot,13,1977.75,0.00,2090.81,1,0.48,1
torchinferno,few_shot,14,1985.63,0.00,2088.53,1,0.48,1
torchinferno,few_shot,15,1988.12,0.00,2093.33,1,0.48,1
torchinferno,few_shot,16,1980.62,0.00,2095.51,1,0.48,1
torchinferno,few_shot,17,1979.77,0.00,2093.74,1,0.48,1
torchinferno,few_shot,18,1989.34,0.00,2100.08,1,0.48,1
torchinferno,few_shot,19,1976.54,0.00,2091.30,1,0.48,1
torchinferno,few_shot,20,1989.11,0.00,2098.30,1,0.48,1
torchinferno,few_shot,21,1975.30,0.00,2098.94,1,0.48,1
torchinferno,few_shot,22,1982.61,0.00,2102.22,1,0.48,1
torchinferno,few_shot,23,1978.84,0.00,2108.94,1,0.47,1
torchinferno,few_shot,24,1971.97,0.00,2102.06,1,0.48,1
torchinferno,few_shot,25,1973.23,0.00,2103.91,1,0.48,1
torchinferno,few_shot,26,717.84,0.00,853.44,1,1.17,1
torchinferno,few_shot,27,1974.09,0.00,2108.95,1,0.47,1
torchinferno,few_shot,28,1974.01,0.00,2107.86,1,0.47,1
torchinferno,few_shot,29,1972.38,0.00,2115.68,1,0.47,1
torchinferno,few_shot,30,1984.95,0.00,2113.62,1,0.47,1
torchinferno,few_shot,31,1975.28,0.00,2121.98,1,0.47,1
torchinferno,few_shot,32,1979.49,146.88,2126.37,2,0.94,1
torchinferno,few_shot,33,1988.77,0.00,2127.70,1,0.47,1
torchinferno,few_shot,34,1975.49,159.45,2134.94,2,0.94,1
torchinferno,few_shot,35,1984.57,150.60,2135.17,2,0.94,1
torchinferno,few_shot,36,1976.77,155.47,2132.24,2,0.94,1
torchinferno,few_shot,37,1983.82,151.23,2135.05,2,0.94,1
torchinferno,few_shot,38,1990.23,150.20,2140.43,2,0.93,1
torchinferno,few_shot,39,1969.61,167.36,2136.97,2,0.94,1
torchinferno,few_shot,40,1979.62,164.31,2143.93,2,0.93,1
torchinferno,few_shot,41,1978.02,163.12,2141.14,2,0.93,1
torchinferno,few_shot,42,1984.70,163.35,2148.04,2,0.93,1
torchinferno,few_shot,43,1989.91,159.07,2148.97,2,0.93,1
torchinferno,few_shot,44,1975.08,183.85,2158.92,2,0.93,1
torchinferno,few_shot,45,1975.77,173.16,2148.93,2,0.93,1
torchinferno,few_shot,46,1985.66,169.16,2154.82,2,0.93,1
torchinferno,few_shot,47,1975.63,182.34,2157.97,2,0.93,1
torchinferno,few_shot,48,1968.71,187.82,2156.53,2,0.93,1
torchinferno,few_shot,49,1985.45,171.79,2157.25,2,0.93,1
torchinferno,few_shot,50,1970.91,195.01,2165.91,2,0.92,1
torchinferno,few_shot,51,1980.98,186.27,2167.24,2,0.92,1
torchinferno,few_shot,52,1976.84,184.16,2161.00,2,0.93,1
torchinferno,few_shot,53,1973.59,193.49,2167.08,2,0.92,1
torchinferno,few_shot,54,1977.39,191.66,2169.04,2,0.92,1
torchinferno,few_shot,55,1987.72,189.30,2177.02,2,0.92,1
torchinferno,few_shot,56,1983.53,190.43,2173.96,2,0.92,1
torchinferno,few_shot,57,1982.67,195.70,2178.38,2,0.92,1
torchinferno,few_shot,58,1971.50,210.32,2181.82,2,0.92,1
torchinferno,few_shot,59,1980.46,198.95,2179.41,2,0.92,1
torchinferno,few_shot,60,1975.31,214.05,2189.37,2,0.91,1
torchinferno,few_shot,61,1974.56,218.19,2192.75,2,0.91,1
torchinferno,few_shot,62,1981.63,204.47,2186.09,2,0.91,1
torchinferno,few_shot,63,1984.37,211.23,2195.61,2,0.91,1
