model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-21T13:02:56.231442

Build Times
provider,build_time_s
torchinferno,379.5
vllm,523.6
sglang,266.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,134.97,132.25,147.53,vllm
ttft_p99_ms,1496.27,213.55,709.21,vllm
tpot_median_ms,45.37,42.66,76.45,vllm
tpot_p99_ms,135.69,107.40,395.98,vllm
e2e_median_ms,175.17,164.16,216.89,vllm
e2e_p99_ms,1537.18,279.75,895.12,vllm
throughput_median_tps,6.72,8.64,5.58,vllm
total_output_tokens,1461,1451,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,317.07,203.76,225.00,vllm
ttft_p99_ms,859.12,485.26,71551.41,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,429.08,233.29,378.29,vllm
e2e_p99_ms,1035.18,524.09,71677.84,vllm
throughput_median_tps,2.33,4.29,2.64,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,548.43,158.75,163.55,vllm
ttft_p99_ms,1188.49,319.62,274.55,sglang
tpot_median_ms,37.17,46.99,105.57,torchinferno
tpot_p99_ms,71.61,162.78,235.64,torchinferno
e2e_median_ms,581.39,196.67,259.32,vllm
e2e_p99_ms,1213.95,402.45,435.45,vllm
throughput_median_tps,2.16,6.53,5.13,vllm
total_output_tokens,1457,1450,1448,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,475.27,126.83,111.28,sglang
ttft_last_turn_ms,876.00,163.96,167.67,vllm
ttft_growth_ratio,1.84,1.29,1.51,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,225.19,58.59,84.69,vllm
ttft_p99_ms,929.48,2043.06,581.78,sglang
tpot_median_ms,31.33,28.35,45.13,vllm
tpot_p99_ms,254.71,70.98,550.43,vllm
e2e_median_ms,260.37,79.56,134.55,vllm
e2e_p99_ms,955.53,2071.44,666.07,sglang
throughput_median_tps,5.18,15.13,9.93,vllm
total_output_tokens,1464,1453,1473,sglang
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.96,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,337.54,67.55,74.65,vllm
ttft_p99_ms,1245.79,140.35,132.98,sglang
tpot_median_ms,21.51,14.85,22.47,vllm
tpot_p99_ms,33.78,19.89,28.15,vllm
e2e_median_ms,1078.76,600.27,851.86,vllm
e2e_p99_ms,2030.39,998.11,1598.15,vllm
throughput_median_tps,32.36,59.42,41.56,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1053.45,0.00,1062.38,1,0.94,1
torchinferno,few_shot,1,1049.33,0.00,1057.51,1,0.95,1
torchinferno,few_shot,2,1051.14,0.00,1062.12,1,0.94,1
torchinferno,few_shot,3,1048.74,0.00,1060.01,1,0.94,1
torchinferno,few_shot,4,1050.03,0.00,1062.63,1,0.94,1
torchinferno,few_shot,5,1050.17,0.00,1064.83,1,0.94,1
torchinferno,few_shot,6,1051.05,0.00,1066.28,1,0.94,1
torchinferno,few_shot,7,1048.98,134.84,1183.82,2,1.69,1
torchinferno,few_shot,8,1053.75,135.69,1189.44,2,1.68,1
torchinferno,few_shot,9,1052.59,134.96,1187.55,2,1.68,1
torchinferno,few_shot,10,1432.97,0.00,1447.92,1,0.69,1
torchinferno,few_shot,11,1419.16,0.00,1435.10,1,0.70,1
torchinferno,few_shot,12,1421.94,0.00,1434.65,1,0.70,1
torchinferno,few_shot,13,1417.85,0.00,1436.80,1,0.70,1
torchinferno,few_shot,14,1422.78,0.00,1440.34,1,0.69,1
torchinferno,few_shot,15,1418.48,0.00,1440.77,1,0.69,1
torchinferno,few_shot,16,1428.27,0.00,1449.75,1,0.69,1
torchinferno,few_shot,17,1418.98,0.00,1443.89,1,0.69,1
torchinferno,few_shot,18,1423.49,0.00,1448.22,1,0.69,1
torchinferno,few_shot,19,1418.79,29.40,1448.18,2,1.38,1
torchinferno,few_shot,20,1420.80,0.00,1451.52,1,0.69,1
torchinferno,few_shot,21,1429.78,0.00,1461.80,1,0.68,1
torchinferno,few_shot,22,1432.62,30.50,1463.12,2,1.37,1
torchinferno,few_shot,23,1433.10,33.54,1466.64,2,1.36,1
torchinferno,few_shot,24,1436.90,28.71,1465.61,2,1.36,1
torchinferno,few_shot,25,1434.54,0.00,1472.29,1,0.68,1
torchinferno,few_shot,26,1417.99,39.15,1457.14,2,1.37,1
torchinferno,few_shot,27,1419.80,0.00,1459.13,1,0.69,1
torchinferno,few_shot,28,1436.40,0.00,1472.91,1,0.68,1
torchinferno,few_shot,29,1436.87,36.32,1473.20,2,1.36,1
torchinferno,few_shot,30,1419.95,41.07,1461.03,2,1.37,1
torchinferno,few_shot,31,1423.32,0.00,1461.58,1,0.68,1
torchinferno,few_shot,32,1420.33,45.29,1465.62,2,1.36,1
torchinferno,few_shot,33,1430.69,47.75,1478.44,2,1.35,1
torchinferno,few_shot,34,1434.75,43.65,1478.40,2,1.35,1
torchinferno,few_shot,35,1436.35,44.45,1480.80,2,1.35,1
torchinferno,few_shot,36,1426.36,50.24,1476.60,2,1.35,1
torchinferno,few_shot,37,1437.02,51.76,1488.78,2,1.34,1
torchinferno,few_shot,38,1435.82,54.22,1490.03,2,1.34,1
torchinferno,few_shot,39,1445.20,52.91,1498.11,2,1.34,1
torchinferno,few_shot,40,1427.26,0.00,1482.35,1,0.67,1
torchinferno,few_shot,41,1436.64,65.16,1501.81,2,1.33,1
torchinferno,few_shot,42,1496.68,0.00,1504.41,1,0.66,1
torchinferno,few_shot,43,1496.91,0.00,1507.20,1,0.66,1
torchinferno,few_shot,44,1496.48,0.00,1511.37,1,0.66,1
torchinferno,few_shot,45,1487.48,0.00,1510.36,1,0.66,1
