model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-12T17:02:15.117521+00:00

Build Times
provider,build_time_s
torchinferno,36.3
vllm,294.2
sglang,160.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,146.87,74.68,83.39,vllm
ttft_p99_ms,722.65,139.05,584.79,vllm
tpot_median_ms,31.78,37.55,70.94,torchinferno
tpot_p99_ms,44.65,87.89,933.72,torchinferno
e2e_median_ms,173.72,100.95,143.31,vllm
e2e_p99_ms,738.53,179.19,1013.24,vllm
throughput_median_tps,6.80,13.15,9.08,vllm
total_output_tokens,1460,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,60.57,75.53,127.85,torchinferno
ttft_p99_ms,262.94,273.26,69805.78,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,79.41,93.29,219.35,torchinferno
e2e_p99_ms,276.20,291.76,69856.74,torchinferno
throughput_median_tps,12.59,10.72,4.56,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,192.17,79.16,86.81,vllm
ttft_p99_ms,1012.97,192.31,439.17,vllm
tpot_median_ms,36.18,34.01,70.67,vllm
tpot_p99_ms,279.54,121.48,894.18,vllm
e2e_median_ms,222.21,106.80,147.57,vllm
e2e_p99_ms,1031.51,240.85,939.43,vllm
throughput_median_tps,5.01,12.81,9.16,vllm
total_output_tokens,1442,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,431.17,80.08,63.53,sglang
ttft_last_turn_ms,212.00,84.77,91.13,vllm
ttft_growth_ratio,0.49,1.06,1.43,torchinferno
ttft_first_turn_median_ms,234.21,64.73,60.27,sglang
ttft_first_turn_p99_ms,1096.98,181.57,99.05,sglang
ttft_last_turn_median_ms,191.90,82.75,88.26,vllm
ttft_last_turn_p99_ms,451.03,176.25,116.99,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.25,35.59,52.00,vllm
ttft_p99_ms,804.59,2060.89,414.54,sglang
tpot_median_ms,34.32,23.45,417.14,vllm
tpot_p99_ms,71.37,1827.35,1118.67,torchinferno
e2e_median_ms,72.86,54.12,511.32,vllm
e2e_p99_ms,839.11,3762.66,1218.48,torchinferno
throughput_median_tps,20.05,24.07,2.76,vllm
total_output_tokens,1484,1483,1464,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,188.95,47.02,51.62,vllm
ttft_p99_ms,447.91,63.62,116.05,vllm
tpot_median_ms,19.36,15.40,24.83,vllm
tpot_p99_ms,25.47,17.37,63.66,vllm
e2e_median_ms,886.36,575.60,932.78,vllm
e2e_p99_ms,1543.50,1054.31,1738.44,vllm
throughput_median_tps,40.67,60.72,39.02,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,778.84,0.00,791.03,1,1.26,1,,,,,,,1,,,
torchinferno,few_shot,0,1,796.27,24.39,820.66,2,2.44,1,,,,,,,0,,,
torchinferno,few_shot,11,2,689.70,0.00,702.58,1,1.42,1,,,,,,,11,,,
torchinferno,few_shot,8,3,737.56,0.00,753.52,1,1.33,1,,,,,,,8,,,
torchinferno,few_shot,7,4,754.26,0.00,770.90,1,1.30,1,,,,,,,7,,,
torchinferno,few_shot,24,5,472.21,0.00,488.15,1,2.05,1,,,,,,,24,,,
torchinferno,few_shot,9,6,722.65,0.00,738.53,1,1.35,1,,,,,,,9,,,
torchinferno,few_shot,12,7,672.02,0.00,688.91,1,1.45,1,,,,,,,12,,,
torchinferno,few_shot,28,8,407.89,0.00,423.41,1,2.36,1,,,,,,,28,,,
torchinferno,few_shot,25,9,458.00,0.00,473.86,1,2.11,1,,,,,,,25,,,
torchinferno,few_shot,29,10,390.42,0.00,408.67,1,2.45,1,,,,,,,29,,,
torchinferno,few_shot,4,11,804.16,0.00,825.71,1,1.21,1,,,,,,,4,,,
torchinferno,few_shot,17,12,589.15,0.00,609.53,1,1.64,1,,,,,,,17,,,
torchinferno,few_shot,5,13,787.48,0.00,810.04,1,1.23,1,,,,,,,5,,,
torchinferno,few_shot,31,14,355.54,0.00,378.27,1,2.64,1,,,,,,,31,,,
torchinferno,few_shot,10,15,705.20,0.00,729.05,1,1.37,1,,,,,,,10,,,
torchinferno,few_shot,26,16,439.90,0.00,466.64,1,2.14,1,,,,,,,26,,,
torchinferno,few_shot,16,17,604.67,29.06,633.73,2,3.16,1,,,,,,,16,,,
torchinferno,few_shot,3,18,821.84,29.50,851.34,2,2.35,1,,,,,,,3,,,
torchinferno,few_shot,6,19,773.43,28.44,801.87,2,2.49,1,,,,,,,6,,,
torchinferno,few_shot,27,20,421.93,31.07,453.01,2,4.41,1,,,,,,,27,,,
torchinferno,few_shot,32,21,340.59,29.56,370.14,2,5.40,1,,,,,,,32,,,
torchinferno,few_shot,33,22,324.67,29.64,354.31,2,5.64,1,,,,,,,33,,,
torchinferno,few_shot,15,23,622.10,32.34,654.44,2,3.06,1,,,,,,,15,,,
torchinferno,few_shot,20,24,537.94,34.34,572.29,2,3.49,1,,,,,,,20,,,
torchinferno,few_shot,13,25,656.15,33.44,689.59,2,2.90,1,,,,,,,13,,,
torchinferno,few_shot,21,26,524.77,32.94,557.71,2,3.59,1,,,,,,,21,,,
torchinferno,few_shot,18,27,571.22,37.39,608.62,2,3.29,1,,,,,,,18,,,
torchinferno,few_shot,2,28,840.58,35.34,875.92,2,2.28,1,,,,,,,2,,,
torchinferno,few_shot,30,29,372.18,38.02,410.20,2,4.88,1,,,,,,,30,,,
torchinferno,few_shot,22,30,507.48,37.11,544.58,2,3.67,1,,,,,,,22,,,
torchinferno,few_shot,19,31,556.92,39.17,596.09,2,3.36,1,,,,,,,19,,,
torchinferno,few_shot,23,32,489.62,41.41,531.03,2,3.77,1,,,,,,,23,,,
torchinferno,few_shot,14,33,639.09,42.92,682.02,2,2.93,1,,,,,,,14,,,
torchinferno,few_shot,34,34,387.08,0.00,400.37,1,2.50,1,,,,,,,34,,,
torchinferno,few_shot,37,35,338.33,0.00,351.24,1,2.85,1,,,,,,,37,,,
torchinferno,few_shot,48,36,155.15,0.00,168.28,1,5.94,1,,,,,,,48,,,
torchinferno,few_shot,66,37,68.51,0.00,83.05,1,12.04,1,,,,,,,66,,,
torchinferno,few_shot,72,38,64.81,0.00,80.17,1,12.47,1,,,,,,,72,,,
