model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-08T07:02:01.100431

Build Times
provider,build_time_s
torchinferno,402.0
vllm,1318.1
sglang,195.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,309.55,167.11,146.67,sglang
ttft_p99_ms,3134.04,304.69,9184.78,vllm
tpot_median_ms,93.75,55.69,67.83,vllm
tpot_p99_ms,847.74,163.49,402.38,vllm
e2e_median_ms,387.36,218.15,211.94,sglang
e2e_p99_ms,3225.88,373.89,9557.48,vllm
throughput_median_tps,3.08,6.75,5.56,vllm
total_output_tokens,1461,1452,1460,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,401.82,210.73,238.28,vllm
ttft_p99_ms,1430.07,488.53,88956.99,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,558.67,233.12,377.11,vllm
e2e_p99_ms,1828.49,521.43,89033.90,vllm
throughput_median_tps,1.79,4.29,2.65,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,739.79,176.61,163.57,sglang
ttft_p99_ms,2956.27,360.82,283.63,sglang
tpot_median_ms,61.40,52.69,106.89,vllm
tpot_p99_ms,191.56,204.94,243.55,torchinferno
e2e_median_ms,784.52,219.60,263.28,vllm
e2e_p99_ms,2995.42,429.09,432.60,vllm
throughput_median_tps,1.66,6.17,5.09,vllm
total_output_tokens,1462,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,966.34,146.35,117.04,sglang
ttft_last_turn_ms,926.69,163.94,197.66,vllm
ttft_growth_ratio,0.96,1.12,1.69,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,463.99,62.61,86.50,vllm
ttft_p99_ms,1225.63,2041.26,562.49,sglang
tpot_median_ms,62.65,28.90,45.77,vllm
tpot_p99_ms,346.62,178.43,520.53,vllm
e2e_median_ms,502.42,84.58,143.90,vllm
e2e_p99_ms,1367.40,2072.72,621.82,sglang
throughput_median_tps,2.66,14.00,9.36,vllm
total_output_tokens,1476,1451,1469,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,501.99,74.02,78.42,vllm
ttft_p99_ms,1711.40,145.56,152.30,vllm
tpot_median_ms,21.73,14.82,24.00,vllm
tpot_p99_ms,43.76,22.72,28.41,vllm
e2e_median_ms,1276.33,605.77,896.95,vllm
e2e_p99_ms,3204.76,997.17,1720.18,vllm
throughput_median_tps,27.38,59.57,38.64,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1592.86,0.00,1601.13,1,0.62,1
torchinferno,few_shot,1,1591.43,200.18,1791.61,2,1.12,1
torchinferno,few_shot,2,1592.02,202.94,1794.96,2,1.11,1
torchinferno,few_shot,3,2382.64,0.00,3136.89,1,0.32,1
torchinferno,few_shot,4,2365.09,0.00,3126.41,1,0.32,1
torchinferno,few_shot,5,2379.04,0.00,3140.96,1,0.32,1
torchinferno,few_shot,6,2384.37,0.00,3147.38,1,0.32,1
torchinferno,few_shot,7,2360.40,0.00,3136.49,1,0.32,1
torchinferno,few_shot,8,2379.41,0.00,3149.18,1,0.32,1
torchinferno,few_shot,9,2364.40,0.00,3137.35,1,0.32,1
torchinferno,few_shot,10,2367.34,0.00,3149.94,1,0.32,1
torchinferno,few_shot,11,2367.76,0.00,3148.99,1,0.32,1
torchinferno,few_shot,12,3140.80,0.00,3141.07,1,0.32,1
torchinferno,few_shot,13,2366.24,0.00,3152.64,1,0.32,1
torchinferno,few_shot,14,2357.48,785.47,3142.95,2,0.64,1
torchinferno,few_shot,15,2366.79,778.58,3145.37,2,0.64,1
torchinferno,few_shot,16,2377.48,0.00,3157.38,1,0.32,1
torchinferno,few_shot,17,2364.04,788.30,3152.34,2,0.63,1
torchinferno,few_shot,18,2366.15,0.00,3154.38,1,0.32,1
torchinferno,few_shot,19,2376.02,788.37,3164.39,2,0.63,1
torchinferno,few_shot,20,2361.30,0.00,3155.97,1,0.32,1
torchinferno,few_shot,21,2368.29,800.15,3168.44,2,0.63,1
torchinferno,few_shot,22,3143.77,11.47,3155.24,2,0.63,1
torchinferno,few_shot,23,2366.02,808.75,3174.78,2,0.63,1
torchinferno,few_shot,24,2360.98,0.00,3164.38,1,0.32,1
torchinferno,few_shot,25,2375.83,803.27,3179.10,2,0.63,1
torchinferno,few_shot,26,2362.54,0.00,3169.10,1,0.32,1
torchinferno,few_shot,27,2358.72,0.00,3171.36,1,0.32,1
torchinferno,few_shot,28,1544.49,0.00,1587.92,1,0.63,1
torchinferno,few_shot,29,3126.86,0.00,3169.27,1,0.32,1
torchinferno,few_shot,30,2371.91,812.10,3184.01,2,0.63,1
torchinferno,few_shot,31,2357.45,815.19,3172.65,2,0.63,1
torchinferno,few_shot,32,2376.52,0.00,3189.42,1,0.31,1
torchinferno,few_shot,33,2377.17,811.33,3188.50,2,0.63,1
torchinferno,few_shot,34,2369.34,825.88,3195.23,2,0.63,1
torchinferno,few_shot,35,2357.19,0.00,3179.34,1,0.31,1
torchinferno,few_shot,36,2366.15,815.78,3181.93,2,0.63,1
torchinferno,few_shot,37,2368.35,832.68,3201.03,2,0.62,1
torchinferno,few_shot,38,2365.99,837.01,3203.00,2,0.62,1
torchinferno,few_shot,39,2364.68,830.72,3195.40,2,0.63,1
torchinferno,few_shot,40,2363.55,0.00,3203.02,1,0.31,1
torchinferno,few_shot,41,3131.47,0.00,3193.31,1,0.31,1
torchinferno,few_shot,42,2355.59,0.00,3197.27,1,0.31,1
torchinferno,few_shot,43,2356.69,840.36,3197.06,2,0.63,1
torchinferno,few_shot,44,2369.30,0.00,3215.69,1,0.31,1
torchinferno,few_shot,45,2355.78,847.74,3203.52,2,0.62,1
torchinferno,few_shot,46,2370.83,843.60,3214.43,2,0.62,1
torchinferno,few_shot,47,2378.93,0.00,3214.81,1,0.31,1
torchinferno,few_shot,48,2362.61,846.01,3208.61,2,0.62,1
torchinferno,few_shot,49,2358.63,0.00,3211.48,1,0.31,1
torchinferno,few_shot,50,2363.57,852.57,3216.14,2,0.62,1
torchinferno,few_shot,51,2375.46,0.00,3229.76,1,0.31,1
torchinferno,few_shot,52,3197.97,17.42,3215.39,2,0.62,1
torchinferno,few_shot,53,3161.11,54.73,3215.84,2,0.62,1
torchinferno,few_shot,54,2378.63,860.84,3239.47,2,0.62,1
torchinferno,few_shot,55,2383.11,0.00,3239.68,1,0.31,1
torchinferno,few_shot,56,3222.49,0.39,3222.89,2,0.62,1
torchinferno,few_shot,57,2369.37,870.83,3240.20,2,0.62,1
torchinferno,few_shot,58,3138.85,86.98,3225.83,2,0.62,1
torchinferno,few_shot,59,3156.97,68.91,3225.88,2,0.62,1
torchinferno,few_shot,60,3147.81,0.00,3228.92,1,0.31,1
torchinferno,few_shot,61,3126.62,103.72,3230.35,2,0.62,1
torchinferno,few_shot,62,3183.13,0.00,3232.85,1,0.31,1
torchinferno,few_shot,63,2367.42,884.45,3251.86,2,0.62,1
torchinferno,few_shot,64,3134.04,0.00,3239.77,1,0.31,1
torchinferno,few_shot,65,1795.99,0.00,1914.49,1,0.52,1
torchinferno,few_shot,66,1794.38,0.00,1914.25,1,0.52,1
torchinferno,few_shot,67,611.50,0.00,661.70,1,1.51,1
torchinferno,few_shot,68,584.91,0.00,635.89,1,1.57,1
torchinferno,few_shot,69,596.40,0.00,639.51,1,1.56,1
torchinferno,few_shot,70,563.58,0.00,606.11,1,1.65,1
torchinferno,few_shot,71,603.07,0.00,658.37,1,1.52,1
torchinferno,few_shot,72,644.76,0.00,698.06,1,1.43,1
