model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-21T03:03:02.202304

Build Times
provider,build_time_s
torchinferno,384.7
vllm,492.3
sglang,266.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,190.86,140.41,150.24,vllm
ttft_p99_ms,1522.61,235.56,668.17,vllm
tpot_median_ms,45.10,47.29,76.72,torchinferno
tpot_p99_ms,111.45,126.61,400.64,torchinferno
e2e_median_ms,231.85,183.80,220.86,vllm
e2e_p99_ms,1569.99,294.79,899.18,vllm
throughput_median_tps,5.54,7.83,5.44,vllm
total_output_tokens,1461,1457,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,292.32,195.28,216.33,vllm
ttft_p99_ms,553.76,479.10,71624.96,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,405.90,220.50,370.55,vllm
e2e_p99_ms,662.29,494.98,71736.17,vllm
throughput_median_tps,2.46,4.54,2.70,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,513.38,165.80,163.31,sglang
ttft_p99_ms,1107.55,328.46,277.59,sglang
tpot_median_ms,37.93,56.20,101.20,torchinferno
tpot_p99_ms,69.92,204.98,213.56,torchinferno
e2e_median_ms,563.93,217.55,263.40,vllm
e2e_p99_ms,1138.11,429.42,420.80,sglang
throughput_median_tps,2.24,6.41,5.20,vllm
total_output_tokens,1457,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,474.77,137.45,109.72,sglang
ttft_last_turn_ms,881.40,162.38,195.64,vllm
ttft_growth_ratio,1.86,1.18,1.78,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,202.77,58.05,88.44,vllm
ttft_p99_ms,807.10,2031.57,972.40,torchinferno
tpot_median_ms,30.82,28.51,38.07,vllm
tpot_p99_ms,252.16,1688.10,136.42,sglang
e2e_median_ms,232.16,79.88,136.06,vllm
e2e_p99_ms,868.28,2072.73,1001.23,torchinferno
throughput_median_tps,5.49,15.03,9.96,vllm
total_output_tokens,1462,1479,1470,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,335.34,65.66,67.68,vllm
ttft_p99_ms,1477.65,155.66,155.37,sglang
tpot_median_ms,21.69,14.95,22.60,vllm
tpot_p99_ms,47.49,25.56,26.21,vllm
e2e_median_ms,1151.51,597.93,859.08,vllm
e2e_p99_ms,2386.86,999.45,1568.97,vllm
throughput_median_tps,32.19,59.63,41.86,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1069.37,0.00,1078.21,1,0.93,1
torchinferno,few_shot,1,1064.84,0.00,1076.37,1,0.93,1
torchinferno,few_shot,2,1065.65,0.00,1078.49,1,0.93,1
torchinferno,few_shot,3,1068.41,0.00,1081.39,1,0.92,1
torchinferno,few_shot,4,1069.48,128.87,1198.35,2,1.67,1
torchinferno,few_shot,5,1067.31,128.57,1195.88,2,1.67,1
torchinferno,few_shot,6,1452.09,0.00,1463.55,1,0.68,1
torchinferno,few_shot,7,1451.19,0.00,1469.35,1,0.68,1
torchinferno,few_shot,8,1454.74,0.00,1474.09,1,0.68,1
torchinferno,few_shot,9,1446.13,0.00,1459.72,1,0.69,1
torchinferno,few_shot,10,1455.88,0.00,1476.38,1,0.68,1
torchinferno,few_shot,11,1445.93,0.00,1465.86,1,0.68,1
torchinferno,few_shot,12,1451.21,27.69,1478.89,2,1.35,1
torchinferno,few_shot,13,1443.24,0.00,1470.10,1,0.68,1
torchinferno,few_shot,14,1446.49,0.00,1471.85,1,0.68,1
torchinferno,few_shot,15,1445.39,25.47,1470.86,2,1.36,1
torchinferno,few_shot,16,1456.86,26.57,1483.43,2,1.35,1
torchinferno,few_shot,17,1457.19,0.00,1490.71,1,0.67,1
torchinferno,few_shot,18,1458.14,29.99,1488.13,2,1.34,1
torchinferno,few_shot,19,1447.47,0.00,1482.39,1,0.67,1
torchinferno,few_shot,20,1458.80,33.54,1492.34,2,1.34,1
torchinferno,few_shot,21,1446.93,0.00,1483.32,1,0.67,1
torchinferno,few_shot,22,1448.73,35.75,1484.48,2,1.35,1
torchinferno,few_shot,23,1450.05,44.32,1494.38,2,1.34,1
torchinferno,few_shot,24,1456.88,46.18,1503.07,2,1.33,1
torchinferno,few_shot,25,1456.34,0.00,1501.36,1,0.67,1
torchinferno,few_shot,26,1445.55,45.68,1491.23,2,1.34,1
torchinferno,few_shot,27,1449.07,53.98,1503.05,2,1.33,1
torchinferno,few_shot,28,1462.97,48.24,1511.21,2,1.32,1
torchinferno,few_shot,29,1451.86,0.00,1504.06,1,0.66,1
torchinferno,few_shot,30,1444.29,52.51,1496.80,2,1.34,1
torchinferno,few_shot,31,1447.49,59.53,1507.02,2,1.33,1
torchinferno,few_shot,32,1441.17,60.04,1501.21,2,1.33,1
torchinferno,few_shot,33,1453.55,62.13,1515.68,2,1.32,1
torchinferno,few_shot,34,1455.87,0.00,1511.27,1,0.66,1
torchinferno,few_shot,35,1439.65,64.81,1504.47,2,1.33,1
torchinferno,few_shot,36,1452.23,69.19,1521.42,2,1.31,1
torchinferno,few_shot,37,1450.06,72.78,1522.84,2,1.31,1
torchinferno,few_shot,38,1526.24,0.00,1527.93,1,0.65,1
torchinferno,few_shot,39,453.87,0.00,468.84,1,2.13,1
torchinferno,few_shot,40,1518.44,0.00,1537.96,1,0.65,1
torchinferno,few_shot,41,1532.49,0.00,1537.15,1,0.65,1
torchinferno,few_shot,42,1528.09,0.00,1539.06,1,0.65,1
torchinferno,few_shot,43,1524.28,20.31,1544.59,2,1.29,1
torchinferno,few_shot,44,1518.99,0.00,1544.64,1,0.65,1
torchinferno,few_shot,45,1517.76,28.29,1546.05,2,1.29,1
torchinferno,few_shot,46,1523.43,0.00,1545.57,1,0.65,1
torchinferno,few_shot,47,1510.77,35.93,1546.70,2,1.29,1
torchinferno,few_shot,48,371.81,0.00,372.11,1,2.69,1
torchinferno,few_shot,49,1541.39,0.00,1555.58,1,0.64,1
torchinferno,few_shot,50,1518.88,0.00,1552.92,1,0.64,1
torchinferno,few_shot,51,1512.94,42.41,1555.35,2,1.29,1
torchinferno,few_shot,52,1514.64,0.00,1559.61,1,0.64,1
torchinferno,few_shot,53,1518.76,0.00,1557.12,1,0.64,1
torchinferno,few_shot,54,1516.87,0.00,1561.47,1,0.64,1
torchinferno,few_shot,55,333.82,0.00,381.29,1,2.62,1
torchinferno,few_shot,56,457.53,0.00,500.96,1,2.00,1
torchinferno,few_shot,57,1563.05,0.00,1563.37,1,0.64,1
torchinferno,few_shot,58,1523.94,0.00,1569.99,1,0.64,1
torchinferno,few_shot,59,1515.43,55.88,1571.30,2,1.27,1
torchinferno,few_shot,60,457.50,0.00,512.12,1,1.95,1
torchinferno,few_shot,61,1518.74,57.48,1576.22,2,1.27,1
torchinferno,few_shot,62,1518.97,56.68,1575.65,2,1.27,1
torchinferno,few_shot,63,1558.65,20.26,1578.90,2,1.27,1
torchinferno,few_shot,64,1514.19,65.40,1579.59,2,1.27,1
torchinferno,few_shot,65,508.29,0.00,519.32,1,1.93,1
torchinferno,few_shot,66,1522.61,0.00,1587.12,1,0.63,1
torchinferno,few_shot,67,1521.16,64.76,1585.92,2,1.26,1
torchinferno,few_shot,68,1514.67,75.26,1589.94,2,1.26,1
torchinferno,few_shot,69,1512.42,85.89,1598.31,2,1.25,1
torchinferno,few_shot,70,130.29,0.00,140.77,1,7.10,1
torchinferno,few_shot,71,119.98,0.00,125.27,1,7.98,1
torchinferno,few_shot,72,141.68,0.00,154.15,1,6.49,1
torchinferno,few_shot,73,113.11,0.00,125.97,1,7.94,1
torchinferno,few_shot,74,107.81,0.00,125.38,1,7.98,1
torchinferno,few_shot,75,94.33,19.22,113.56,2,17.61,1
torchinferno,few_shot,76,104.13,0.00,122.75,1,8.15,1
torchinferno,few_shot,77,107.49,0.00,107.81,1,9.28,1
torchinferno,few_shot,78,131.67,24.85,156.52,2,12.78,1
torchinferno,few_shot,79,138.17,0.00,172.18,1,5.81,1
torchinferno,few_shot,80,129.40,33.47,162.87,2,12.28,1
torchinferno,few_shot,81,120.26,30.33,150.59,2,13.28,1
torchinferno,few_shot,82,136.77,0.00,168.91,1,5.92,1
torchinferno,few_shot,83,136.57,36.73,173.31,2,11.54,1
torchinferno,few_shot,84,96.36,41.90,138.26,2,14.47,1
torchinferno,few_shot,85,123.32,0.00,158.35,1,6.32,1
torchinferno,few_shot,86,130.04,38.10,168.15,2,11.89,1
torchinferno,few_shot,87,111.93,49.46,161.39,2,12.39,1
torchinferno,few_shot,88,127.28,47.57,174.85,2,11.44,1
torchinferno,few_shot,89,101.81,49.84,151.64,2,13.19,1
torchinferno,few_shot,90,116.47,0.00,129.35,1,7.73,1
torchinferno,few_shot,91,194.51,0.00,197.65,1,5.06,1
torchinferno,few_shot,92,120.66,0.00,137.91,1,7.25,1
torchinferno,few_shot,93,188.49,0.00,207.61,1,4.82,1
torchinferno,few_shot,94,164.84,0.00,181.86,1,5.50,1
torchinferno,few_shot,95,196.23,0.00,212.89,1,4.70,1
torchinferno,few_shot,96,145.20,0.00,158.55,1,6.31,1
torchinferno,few_shot,97,183.72,0.00,201.02,1,4.97,1
torchinferno,few_shot,98,102.93,27.91,130.85,2,15.29,1
torchinferno,few_shot,99,171.62,0.00,199.31,1,5.02,1
torchinferno,few_shot,100,167.65,0.00,193.33,1,5.17,1
torchinferno,few_shot,101,163.05,0.00,197.44,1,5.06,1
torchinferno,few_shot,102,170.98,34.50,205.48,2,9.73,1
torchinferno,few_shot,103,105.69,0.00,134.05,1,7.46,1
torchinferno,few_shot,104,208.90,38.94,247.83,2,8.07,1
torchinferno,few_shot,105,153.99,0.00,191.50,1,5.22,1
torchinferno,few_shot,106,126.32,39.95,166.28,2,12.03,1
torchinferno,few_shot,107,182.82,0.00,220.76,1,4.53,1
torchinferno,few_shot,108,148.87,0.00,161.07,1,6.21,1
torchinferno,few_shot,109,177.63,0.00,193.48,1,5.17,1
torchinferno,few_shot,110,123.20,0.00,143.71,1,6.96,1
