model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-04T01:07:43.133137

Build Times
provider,build_time_s
torchinferno,427.9
vllm,1420.9
sglang,199.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,309.08,149.14,153.80,vllm
ttft_p99_ms,2091.91,254.73,831.89,vllm
tpot_median_ms,56.14,48.44,68.11,vllm
tpot_p99_ms,173.22,119.62,7402.98,vllm
e2e_median_ms,360.50,193.76,219.23,vllm
e2e_p99_ms,2109.97,309.57,8208.84,vllm
throughput_median_tps,3.50,7.47,5.42,vllm
total_output_tokens,1460,1460,1461,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,254.96,188.09,208.13,vllm
ttft_p99_ms,936.68,409.78,70850.57,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,358.84,212.14,337.66,vllm
e2e_p99_ms,1056.19,433.71,70963.75,vllm
throughput_median_tps,2.79,4.71,2.96,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,764.95,174.37,168.49,sglang
ttft_p99_ms,2235.59,360.47,547.84,vllm
tpot_median_ms,103.81,62.19,95.22,vllm
tpot_p99_ms,599.87,198.67,536.98,vllm
e2e_median_ms,952.00,230.60,268.80,vllm
e2e_p99_ms,2603.79,428.56,636.65,vllm
throughput_median_tps,1.42,6.24,4.86,vllm
total_output_tokens,1450,1448,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1224.66,147.25,285.21,vllm
ttft_last_turn_ms,1177.68,163.72,200.58,vllm
ttft_growth_ratio,0.96,1.11,0.70,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,347.94,58.90,85.89,vllm
ttft_p99_ms,962.86,2036.78,616.20,sglang
tpot_median_ms,31.54,28.08,37.76,vllm
tpot_p99_ms,320.31,1987.78,175.66,sglang
e2e_median_ms,376.95,79.94,134.25,vllm
e2e_p99_ms,1023.95,2065.64,661.45,sglang
throughput_median_tps,3.32,14.78,9.78,vllm
total_output_tokens,1482,1466,1467,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,477.07,73.45,79.56,vllm
ttft_p99_ms,1640.66,154.30,144.01,sglang
tpot_median_ms,28.64,14.86,23.37,vllm
tpot_p99_ms,52.84,22.98,30.20,vllm
e2e_median_ms,1477.58,610.02,875.73,vllm
e2e_p99_ms,3588.49,1015.14,1693.34,vllm
throughput_median_tps,24.24,59.17,39.69,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1277.90,0.00,1285.86,1,0.78,1
torchinferno,few_shot,1,1278.72,0.00,1288.11,1,0.78,1
torchinferno,few_shot,2,1278.47,191.97,1470.44,2,1.36,1
torchinferno,few_shot,3,1280.81,192.81,1473.62,2,1.36,1
torchinferno,few_shot,4,1278.14,194.14,1472.27,2,1.36,1
torchinferno,few_shot,5,1823.67,0.00,1834.67,1,0.55,1
torchinferno,few_shot,6,1817.30,0.00,1834.52,1,0.55,1
torchinferno,few_shot,7,1813.42,0.00,1837.18,1,0.54,1
torchinferno,few_shot,8,1816.15,0.00,1845.15,1,0.54,1
torchinferno,few_shot,9,1819.12,0.00,1839.66,1,0.54,1
torchinferno,few_shot,10,1813.45,0.00,1842.41,1,0.54,1
torchinferno,few_shot,11,1811.71,0.00,1843.18,1,0.54,1
torchinferno,few_shot,12,1816.12,0.00,1847.34,1,0.54,1
torchinferno,few_shot,13,1817.61,31.32,1848.93,2,1.08,1
torchinferno,few_shot,14,1818.01,29.82,1847.84,2,1.08,1
torchinferno,few_shot,15,1829.73,24.50,1854.24,2,1.08,1
torchinferno,few_shot,16,1820.27,0.00,1852.99,1,0.54,1
torchinferno,few_shot,17,1818.11,0.00,1853.50,1,0.54,1
torchinferno,few_shot,18,1819.76,0.00,1858.83,1,0.54,1
torchinferno,few_shot,19,1833.26,0.00,1864.99,1,0.54,1
torchinferno,few_shot,20,1828.75,0.00,1861.34,1,0.54,1
torchinferno,few_shot,21,1824.60,0.00,1858.63,1,0.54,1
torchinferno,few_shot,22,1823.12,42.56,1865.68,2,1.07,1
torchinferno,few_shot,23,1820.13,0.00,1865.24,1,0.54,1
torchinferno,few_shot,24,1830.01,0.00,1869.72,1,0.53,1
torchinferno,few_shot,25,1817.09,0.00,1872.76,1,0.53,1
torchinferno,few_shot,26,1813.02,52.83,1865.85,2,1.07,1
torchinferno,few_shot,27,1826.68,0.00,1874.11,1,0.53,1
torchinferno,few_shot,28,1823.14,47.61,1870.75,2,1.07,1
torchinferno,few_shot,29,1821.09,49.66,1870.75,2,1.07,1
torchinferno,few_shot,30,1830.38,0.00,1878.89,1,0.53,1
torchinferno,few_shot,31,1817.97,61.95,1879.92,2,1.06,1
torchinferno,few_shot,32,1817.47,57.20,1874.67,2,1.07,1
torchinferno,few_shot,33,1824.35,56.89,1881.24,2,1.06,1
torchinferno,few_shot,34,1814.11,68.73,1882.84,2,1.06,1
torchinferno,few_shot,35,1824.05,58.05,1882.10,2,1.06,1
torchinferno,few_shot,36,1815.09,67.19,1882.28,2,1.06,1
torchinferno,few_shot,37,1814.47,72.89,1887.36,2,1.06,1
torchinferno,few_shot,38,1822.89,0.00,1890.02,1,0.53,1
torchinferno,few_shot,39,1814.33,75.67,1890.00,2,1.06,1
torchinferno,few_shot,40,1814.33,82.52,1896.85,2,1.05,1
torchinferno,few_shot,41,1818.50,81.04,1899.54,2,1.05,1
torchinferno,few_shot,42,1821.10,76.90,1898.00,2,1.05,1
torchinferno,few_shot,43,1820.24,85.94,1906.18,2,1.05,1
torchinferno,few_shot,44,1816.75,86.77,1903.52,2,1.05,1
torchinferno,few_shot,45,1817.79,87.88,1905.67,2,1.05,1
torchinferno,few_shot,46,1825.91,81.83,1907.74,2,1.05,1
torchinferno,few_shot,47,1825.32,0.00,1906.76,1,0.52,1
torchinferno,few_shot,48,1818.82,0.00,1908.09,1,0.52,1
torchinferno,few_shot,49,1820.37,0.00,1906.81,1,0.52,1
torchinferno,few_shot,50,1813.06,0.00,1909.70,1,0.52,1
torchinferno,few_shot,51,1815.99,98.75,1914.74,2,1.04,1
torchinferno,few_shot,52,1824.50,0.00,1917.93,1,0.52,1
torchinferno,few_shot,53,2095.42,0.00,2105.87,1,0.47,1
torchinferno,few_shot,54,2094.26,0.00,2109.97,1,0.47,1
torchinferno,few_shot,55,2097.37,0.00,2110.64,1,0.47,1
torchinferno,few_shot,56,2092.21,0.00,2111.85,1,0.47,1
torchinferno,few_shot,57,636.02,0.00,651.96,1,1.53,1
torchinferno,few_shot,58,815.57,0.00,836.05,1,1.20,1
torchinferno,few_shot,59,632.27,0.00,654.46,1,1.53,1
torchinferno,few_shot,60,815.49,0.00,841.62,1,1.19,1
torchinferno,few_shot,61,2093.30,27.27,2120.57,2,0.94,1
torchinferno,few_shot,62,2094.52,28.23,2122.76,2,0.94,1
torchinferno,few_shot,63,2097.71,26.64,2124.35,2,0.94,1
torchinferno,few_shot,64,2092.79,31.98,2124.76,2,0.94,1
torchinferno,few_shot,65,635.87,0.00,666.31,1,1.50,1
torchinferno,few_shot,66,2096.04,0.00,2127.27,1,0.47,1
torchinferno,few_shot,67,2091.83,36.76,2128.60,2,0.94,1
torchinferno,few_shot,68,2091.91,38.62,2130.54,2,0.94,1
torchinferno,few_shot,69,353.85,0.00,370.49,1,2.70,1
torchinferno,few_shot,70,339.32,0.00,356.50,1,2.81,1
torchinferno,few_shot,71,327.06,0.00,327.39,1,3.05,1
torchinferno,few_shot,72,301.57,0.00,309.91,1,3.23,1
torchinferno,few_shot,73,337.27,0.00,353.77,1,2.83,1
torchinferno,few_shot,74,316.28,0.00,330.22,1,3.03,1
torchinferno,few_shot,75,328.40,0.00,352.64,1,2.84,1
torchinferno,few_shot,76,288.45,25.38,313.84,2,6.37,1
torchinferno,few_shot,77,346.40,19.88,366.28,2,5.46,1
torchinferno,few_shot,78,348.57,0.00,377.96,1,2.65,1
torchinferno,few_shot,79,317.05,33.27,350.31,2,5.71,1
torchinferno,few_shot,80,290.60,0.00,318.21,1,3.14,1
torchinferno,few_shot,81,293.39,0.00,331.92,1,3.01,1
torchinferno,few_shot,82,321.55,0.00,357.53,1,2.80,1
torchinferno,few_shot,83,347.92,45.93,393.85,2,5.08,1
torchinferno,few_shot,84,300.48,35.06,335.54,2,5.96,1
torchinferno,few_shot,85,326.97,0.00,364.78,1,2.74,1
torchinferno,few_shot,86,279.01,0.00,327.68,1,3.05,1
torchinferno,few_shot,87,352.78,0.00,357.94,1,2.79,1
torchinferno,few_shot,88,331.27,0.00,381.80,1,2.62,1
torchinferno,few_shot,89,279.10,0.00,328.38,1,3.05,1
torchinferno,few_shot,90,359.02,0.00,401.09,1,2.49,1
torchinferno,few_shot,91,338.01,41.50,379.51,2,5.27,1
torchinferno,few_shot,92,325.57,0.00,378.90,1,2.64,1
torchinferno,few_shot,93,270.73,0.00,327.75,1,3.05,1
torchinferno,few_shot,94,342.96,0.00,400.83,1,2.49,1
torchinferno,few_shot,95,289.16,0.00,337.02,1,2.97,1
torchinferno,few_shot,96,279.86,61.77,341.63,2,5.85,1
torchinferno,few_shot,97,305.81,61.43,367.24,2,5.45,1
torchinferno,few_shot,98,306.33,0.00,373.56,1,2.68,1
torchinferno,few_shot,99,338.95,63.93,402.88,2,4.96,1
torchinferno,few_shot,100,327.41,69.85,397.26,2,5.03,1
torchinferno,few_shot,101,313.53,0.00,371.62,1,2.69,1
torchinferno,few_shot,102,336.42,0.00,401.56,1,2.49,1
torchinferno,few_shot,103,329.43,0.00,393.45,1,2.54,1
torchinferno,few_shot,104,279.24,61.59,340.83,2,5.87,1
torchinferno,few_shot,105,339.03,78.17,417.21,2,4.79,1
torchinferno,few_shot,106,294.71,77.46,372.16,2,5.37,1
torchinferno,few_shot,107,304.98,0.00,376.21,1,2.66,1
torchinferno,few_shot,108,324.94,0.00,396.40,1,2.52,1
torchinferno,few_shot,109,334.39,86.25,420.64,2,4.75,1
torchinferno,few_shot,110,315.76,80.35,396.12,2,5.05,1
torchinferno,few_shot,111,140.92,0.00,141.18,1,7.08,1
torchinferno,few_shot,112,325.45,0.00,412.68,1,2.42,1
torchinferno,few_shot,113,274.93,93.71,368.64,2,5.43,1
torchinferno,few_shot,114,171.22,0.00,171.52,1,5.83,1
torchinferno,few_shot,115,298.17,0.00,385.96,1,2.59,1
torchinferno,few_shot,116,128.00,0.00,153.82,1,6.50,1
torchinferno,few_shot,117,318.06,94.18,412.24,2,4.85,1
torchinferno,few_shot,118,135.81,24.97,160.77,2,12.44,1
torchinferno,few_shot,119,345.12,101.05,446.17,2,4.48,1
torchinferno,few_shot,120,164.68,0.00,173.87,1,5.75,1
torchinferno,few_shot,121,146.08,32.84,178.92,2,11.18,1
torchinferno,few_shot,122,178.54,4.79,183.33,2,10.91,1
torchinferno,few_shot,123,156.63,24.66,181.29,2,11.03,1
torchinferno,few_shot,124,136.26,0.00,179.13,1,5.58,1
torchinferno,few_shot,125,141.14,40.11,181.25,2,11.03,1
torchinferno,few_shot,126,297.56,109.04,406.60,2,4.92,1
torchinferno,few_shot,127,175.10,0.00,192.30,1,5.20,1
torchinferno,few_shot,128,137.52,45.66,183.18,2,10.92,1
torchinferno,few_shot,129,175.95,6.17,182.13,2,10.98,1
torchinferno,few_shot,130,150.62,42.83,193.45,2,10.34,1
torchinferno,few_shot,131,186.74,0.00,195.41,1,5.12,1
torchinferno,few_shot,132,157.42,0.00,196.04,1,5.10,1
torchinferno,few_shot,133,293.48,186.09,479.56,2,4.17,1
torchinferno,few_shot,134,556.95,0.00,573.23,1,1.74,1
torchinferno,few_shot,135,563.92,0.00,580.82,1,1.72,1
torchinferno,few_shot,136,533.40,0.00,557.03,1,1.80,1
torchinferno,few_shot,137,493.97,0.00,506.49,1,1.97,1
torchinferno,few_shot,138,554.33,0.00,580.84,1,1.72,1
torchinferno,few_shot,139,527.36,0.00,551.59,1,1.81,1
torchinferno,few_shot,140,508.06,0.00,527.52,1,1.90,1
torchinferno,few_shot,141,536.77,19.79,556.57,2,3.59,1
torchinferno,few_shot,142,527.76,0.00,554.46,1,1.80,1
torchinferno,few_shot,143,497.07,0.00,521.72,1,1.92,1
torchinferno,few_shot,144,461.30,0.00,493.17,1,2.03,1
torchinferno,few_shot,145,495.24,26.83,522.07,2,3.83,1
torchinferno,few_shot,146,536.00,31.36,567.37,2,3.53,1
torchinferno,few_shot,147,552.97,0.00,580.53,1,1.72,1
torchinferno,few_shot,148,496.00,0.00,525.61,1,1.90,1
torchinferno,few_shot,149,516.87,0.00,553.04,1,1.81,1
torchinferno,few_shot,150,508.42,0.00,545.47,1,1.83,1
torchinferno,few_shot,151,539.02,47.45,586.47,2,3.41,1
torchinferno,few_shot,152,521.51,0.00,567.52,1,1.76,1
torchinferno,few_shot,153,531.27,0.00,570.75,1,1.75,1
torchinferno,few_shot,154,473.42,46.38,519.79,2,3.85,1
torchinferno,few_shot,155,543.12,43.86,586.98,2,3.41,1
torchinferno,few_shot,156,518.68,52.66,571.34,2,3.50,1
torchinferno,few_shot,157,539.09,51.49,590.58,2,3.39,1
torchinferno,few_shot,158,557.10,0.00,606.43,1,1.65,1
torchinferno,few_shot,159,481.53,60.28,541.82,2,3.69,1
torchinferno,few_shot,160,554.89,0.00,617.41,1,1.62,1
torchinferno,few_shot,161,563.20,50.77,613.97,2,3.26,1
torchinferno,few_shot,162,478.71,51.88,530.59,2,3.77,1
torchinferno,few_shot,163,518.84,0.00,581.88,1,1.72,1
torchinferno,few_shot,164,535.86,0.00,597.26,1,1.67,1
torchinferno,few_shot,165,560.09,61.18,621.27,2,3.22,1
torchinferno,few_shot,166,483.06,67.09,550.15,2,3.64,1
torchinferno,few_shot,167,494.45,73.17,567.62,2,3.52,1
torchinferno,few_shot,168,533.71,68.37,602.07,2,3.32,1
torchinferno,few_shot,169,502.08,66.32,568.41,2,3.52,1
torchinferno,few_shot,170,538.81,69.14,607.95,2,3.29,1
torchinferno,few_shot,171,476.48,0.00,548.71,1,1.82,1
torchinferno,few_shot,172,516.82,0.00,588.07,1,1.70,1
torchinferno,few_shot,173,499.67,76.91,576.59,2,3.47,1
torchinferno,few_shot,174,475.93,78.57,554.51,2,3.61,1
torchinferno,few_shot,175,575.74,0.00,649.30,1,1.54,1
torchinferno,few_shot,176,521.61,0.00,607.84,1,1.65,1
torchinferno,few_shot,177,558.62,90.02,648.63,2,3.08,1
torchinferno,few_shot,178,525.11,77.92,603.03,2,3.32,1
torchinferno,few_shot,179,548.82,92.51,641.33,2,3.12,1
torchinferno,few_shot,180,547.49,96.29,643.78,2,3.11,1
torchinferno,few_shot,181,547.77,74.60,696.96,3,4.30,0
torchinferno,few_shot,182,193.44,0.00,210.25,1,4.76,1
torchinferno,few_shot,183,178.62,0.00,197.82,1,5.06,1
torchinferno,few_shot,184,670.51,0.00,693.76,1,1.44,1
torchinferno,few_shot,185,176.85,0.00,197.69,1,5.06,1
torchinferno,few_shot,186,178.06,0.00,195.25,1,5.12,1
torchinferno,few_shot,187,204.35,0.00,229.03,1,4.37,1
torchinferno,few_shot,188,183.49,0.00,197.67,1,5.06,1
torchinferno,few_shot,189,194.68,0.00,217.71,1,4.59,1
torchinferno,few_shot,190,154.91,0.00,186.53,1,5.36,1
torchinferno,few_shot,191,154.48,0.00,182.56,1,5.48,1
torchinferno,few_shot,192,700.56,0.00,736.30,1,1.36,1
torchinferno,few_shot,193,175.21,23.96,199.17,2,10.04,1
torchinferno,few_shot,194,670.40,0.00,698.63,1,1.43,1
torchinferno,few_shot,195,190.42,0.00,229.24,1,4.36,1
torchinferno,few_shot,196,186.46,0.00,212.11,1,4.71,1
torchinferno,few_shot,197,739.39,0.00,769.76,1,1.30,1
torchinferno,few_shot,198,705.25,0.00,749.00,1,1.34,1
torchinferno,few_shot,199,680.64,0.00,711.36,1,1.41,1
torchinferno,few_shot,200,165.62,0.00,207.13,1,4.83,1
torchinferno,few_shot,201,685.69,0.00,724.22,1,1.38,1
torchinferno,few_shot,202,179.44,0.00,220.98,1,4.53,1
torchinferno,few_shot,203,729.32,49.72,779.03,2,2.57,1
torchinferno,few_shot,204,730.64,42.26,772.89,2,2.59,1
torchinferno,few_shot,205,162.73,0.00,201.21,1,4.97,1
torchinferno,few_shot,206,706.59,0.00,747.02,1,1.34,1
torchinferno,few_shot,207,196.39,53.98,250.36,2,7.99,1
torchinferno,few_shot,208,171.94,52.74,224.67,2,8.90,1
torchinferno,few_shot,209,690.23,53.30,743.53,2,2.69,1
torchinferno,few_shot,210,146.36,55.10,201.46,2,9.93,1
torchinferno,few_shot,211,734.41,57.94,792.34,2,2.52,1
torchinferno,few_shot,212,186.37,0.00,247.50,1,4.04,1
torchinferno,few_shot,213,221.09,0.00,273.33,1,3.66,1
torchinferno,few_shot,214,161.94,61.83,223.77,2,8.94,1
torchinferno,few_shot,215,187.25,71.02,258.27,2,7.74,1
torchinferno,few_shot,216,192.45,70.31,262.76,2,7.61,1
torchinferno,few_shot,217,168.44,65.50,233.94,2,8.55,1
torchinferno,few_shot,218,169.66,64.49,234.15,2,8.54,1
torchinferno,few_shot,219,288.78,77.80,366.58,2,5.46,1
torchinferno,few_shot,220,216.47,72.39,288.86,2,6.92,1
torchinferno,few_shot,221,229.81,0.00,230.11,1,4.35,1
