model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-06T17:02:00.308993

Build Times
provider,build_time_s
torchinferno,459.2
vllm,1362.9
sglang,219.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,275.33,161.77,145.37,sglang
ttft_p99_ms,2023.23,264.15,6994.08,vllm
tpot_median_ms,48.25,59.02,75.77,torchinferno
tpot_p99_ms,204.35,143.72,398.08,vllm
e2e_median_ms,319.75,210.74,215.80,vllm
e2e_p99_ms,2115.23,324.36,7373.32,vllm
throughput_median_tps,4.20,6.77,5.50,vllm
total_output_tokens,1460,1454,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,247.32,181.58,220.38,vllm
ttft_p99_ms,877.02,452.14,70893.82,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,346.20,205.05,364.82,vllm
e2e_p99_ms,992.02,496.02,71032.27,vllm
throughput_median_tps,2.89,4.88,2.74,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,648.58,169.62,164.44,sglang
ttft_p99_ms,2116.59,333.63,726.84,vllm
tpot_median_ms,58.75,54.26,108.59,vllm
tpot_p99_ms,145.10,190.79,238.11,torchinferno
e2e_median_ms,714.00,219.17,272.90,vllm
e2e_p99_ms,2184.79,430.93,828.52,vllm
throughput_median_tps,1.84,6.17,4.97,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1015.70,153.04,114.12,sglang
ttft_last_turn_ms,1219.99,164.57,182.83,vllm
ttft_growth_ratio,1.20,1.08,1.60,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,431.73,59.26,77.20,vllm
ttft_p99_ms,1032.45,248.14,704.90,vllm
tpot_median_ms,31.71,29.14,55.36,vllm
tpot_p99_ms,244.35,116.84,164.02,vllm
e2e_median_ms,461.54,80.40,144.30,vllm
e2e_p99_ms,1049.72,288.10,735.79,vllm
throughput_median_tps,3.07,15.18,9.64,vllm
total_output_tokens,1462,1460,1461,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,532.66,67.74,82.56,vllm
ttft_p99_ms,1568.48,131.90,173.08,vllm
tpot_median_ms,31.13,15.05,23.75,vllm
tpot_p99_ms,84.14,23.78,29.00,vllm
e2e_median_ms,1609.87,616.48,897.86,vllm
e2e_p99_ms,4421.39,1008.92,1695.58,vllm
throughput_median_tps,22.46,58.87,39.09,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1464.40,0.00,1471.32,1,0.68,1
torchinferno,few_shot,1,1461.15,0.00,1472.61,1,0.68,1
torchinferno,few_shot,2,1460.48,0.00,1472.96,1,0.68,1
torchinferno,few_shot,3,1462.72,0.00,1475.95,1,0.68,1
torchinferno,few_shot,4,1464.21,201.69,1665.90,2,1.20,1
torchinferno,few_shot,5,1463.06,201.83,1664.89,2,1.20,1
torchinferno,few_shot,6,1464.27,204.35,1668.62,2,1.20,1
torchinferno,few_shot,7,2014.58,0.00,2028.99,1,0.49,1
torchinferno,few_shot,8,2018.42,0.00,2035.61,1,0.49,1
torchinferno,few_shot,9,2013.77,0.00,2028.06,1,0.49,1
torchinferno,few_shot,10,2022.83,0.00,2038.60,1,0.49,1
torchinferno,few_shot,11,2013.56,0.00,2034.02,1,0.49,1
torchinferno,few_shot,12,2013.03,0.00,2039.09,1,0.49,1
torchinferno,few_shot,13,2013.38,0.00,2039.21,1,0.49,1
torchinferno,few_shot,14,2012.57,26.77,2039.35,2,0.98,1
torchinferno,few_shot,15,2010.25,0.00,2046.58,1,0.49,1
torchinferno,few_shot,16,2019.42,0.00,2043.80,1,0.49,1
torchinferno,few_shot,17,2017.03,0.00,2044.19,1,0.49,1
torchinferno,few_shot,18,2012.09,0.00,2044.59,1,0.49,1
torchinferno,few_shot,19,2015.65,40.32,2055.97,2,0.97,1
torchinferno,few_shot,20,2009.08,36.63,2045.71,2,0.98,1
torchinferno,few_shot,21,2012.18,42.07,2054.25,2,0.97,1
torchinferno,few_shot,22,2012.34,0.00,2056.25,1,0.49,1
torchinferno,few_shot,23,2020.93,35.62,2056.55,2,0.97,1
torchinferno,few_shot,24,2007.76,0.00,2054.05,1,0.49,1
torchinferno,few_shot,25,2010.77,46.91,2057.68,2,0.97,1
torchinferno,few_shot,26,2013.22,42.70,2055.92,2,0.97,1
torchinferno,few_shot,27,2016.07,48.06,2064.13,2,0.97,1
torchinferno,few_shot,28,2015.50,0.00,2062.75,1,0.48,1
torchinferno,few_shot,29,2010.59,0.00,2063.05,1,0.48,1
torchinferno,few_shot,30,2011.31,0.00,2065.11,1,0.48,1
torchinferno,few_shot,31,2009.59,0.00,2063.53,1,0.48,1
torchinferno,few_shot,32,2015.98,0.00,2066.06,1,0.48,1
torchinferno,few_shot,33,2012.22,54.88,2067.10,2,0.97,1
torchinferno,few_shot,34,2011.89,56.11,2068.00,2,0.97,1
torchinferno,few_shot,35,2017.43,59.09,2076.52,2,0.96,1
torchinferno,few_shot,36,2017.86,0.00,2078.91,1,0.48,1
torchinferno,few_shot,37,2011.08,0.00,2080.42,1,0.48,1
torchinferno,few_shot,38,2012.00,0.00,2085.84,1,0.48,1
torchinferno,few_shot,39,2010.54,67.47,2078.01,2,0.96,1
torchinferno,few_shot,40,2009.54,71.25,2080.79,2,0.96,1
torchinferno,few_shot,41,2013.16,73.13,2086.29,2,0.96,1
torchinferno,few_shot,42,2011.06,74.71,2085.77,2,0.96,1
torchinferno,few_shot,43,2015.97,74.70,2090.66,2,0.96,1
torchinferno,few_shot,44,2013.99,0.00,2087.92,1,0.48,1
torchinferno,few_shot,45,2018.88,0.00,2090.60,1,0.48,1
