model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-13T09:03:07.278578

Build Times
provider,build_time_s
torchinferno,377.8
vllm,1376.0
sglang,211.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,291.99,159.29,162.89,vllm
ttft_p99_ms,2426.15,276.80,723.43,vllm
tpot_median_ms,97.98,56.40,77.66,vllm
tpot_p99_ms,649.59,151.12,433.86,vllm
e2e_median_ms,389.59,212.95,235.40,vllm
e2e_p99_ms,2531.01,325.69,927.52,vllm
throughput_median_tps,3.26,6.99,5.22,vllm
total_output_tokens,1461,1454,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,305.09,210.80,239.98,vllm
ttft_p99_ms,2618.14,500.28,70558.98,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,423.13,237.69,395.52,vllm
e2e_p99_ms,2772.48,536.01,70651.12,vllm
throughput_median_tps,2.36,4.21,2.53,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,761.45,179.46,157.85,sglang
ttft_p99_ms,1687.93,333.90,285.96,sglang
tpot_median_ms,64.33,58.86,101.31,vllm
tpot_p99_ms,196.76,200.03,251.44,torchinferno
e2e_median_ms,841.04,232.45,255.12,vllm
e2e_p99_ms,1765.03,436.39,441.82,vllm
throughput_median_tps,1.63,5.95,5.23,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,813.93,139.84,115.97,sglang
ttft_last_turn_ms,1021.94,182.06,182.70,vllm
ttft_growth_ratio,1.26,1.30,1.58,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,313.23,60.63,82.38,vllm
ttft_p99_ms,878.88,2037.80,614.22,sglang
tpot_median_ms,64.74,28.07,39.48,vllm
tpot_p99_ms,348.56,1716.18,136.59,sglang
e2e_median_ms,363.74,82.22,134.31,vllm
e2e_p99_ms,1012.18,3737.76,659.67,sglang
throughput_median_tps,4.16,14.52,10.22,vllm
total_output_tokens,1479,1478,1452,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,194.99,76.79,69.43,sglang
ttft_p99_ms,1249.60,189.25,125.81,sglang
tpot_median_ms,26.49,15.02,22.47,vllm
tpot_p99_ms,58.17,21.07,27.14,vllm
e2e_median_ms,1285.13,634.26,843.17,vllm
e2e_p99_ms,2835.26,1043.74,1633.78,vllm
throughput_median_tps,29.78,57.75,41.83,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1281.73,0.00,1290.54,1,0.77,1
torchinferno,few_shot,1,1279.07,0.00,1290.41,1,0.77,1
torchinferno,few_shot,2,1280.42,0.00,1291.87,1,0.77,1
torchinferno,few_shot,3,1283.07,252.40,1535.48,2,1.30,1
torchinferno,few_shot,4,1280.80,252.83,1533.62,2,1.30,1
torchinferno,few_shot,5,1279.78,253.21,1532.99,2,1.30,1
torchinferno,few_shot,6,1880.02,0.00,2437.30,1,0.41,1
torchinferno,few_shot,7,1885.24,0.00,2432.97,1,0.41,1
torchinferno,few_shot,8,1880.31,0.00,2439.31,1,0.41,1
torchinferno,few_shot,9,1876.35,0.00,2439.45,1,0.41,1
torchinferno,few_shot,10,1886.62,0.00,2438.21,1,0.41,1
torchinferno,few_shot,11,1884.61,0.00,2442.55,1,0.41,1
torchinferno,few_shot,12,1873.78,0.00,2441.18,1,0.41,1
torchinferno,few_shot,13,1879.91,0.00,2451.30,1,0.41,1
torchinferno,few_shot,14,1882.65,0.00,2452.00,1,0.41,1
torchinferno,few_shot,15,1882.79,574.09,2456.88,2,0.81,1
torchinferno,few_shot,16,1881.83,0.00,2455.20,1,0.41,1
torchinferno,few_shot,17,1888.37,564.11,2452.47,2,0.82,1
torchinferno,few_shot,18,1889.82,567.44,2457.26,2,0.81,1
torchinferno,few_shot,19,1876.99,0.00,2457.25,1,0.41,1
torchinferno,few_shot,20,1884.71,576.55,2461.26,2,0.81,1
torchinferno,few_shot,21,1883.38,0.00,2457.24,1,0.41,1
torchinferno,few_shot,22,1883.15,578.68,2461.83,2,0.81,1
torchinferno,few_shot,23,1877.04,582.61,2459.65,2,0.81,1
torchinferno,few_shot,24,1874.98,0.00,2462.25,1,0.41,1
torchinferno,few_shot,25,2440.24,22.02,2462.27,2,0.81,1
torchinferno,few_shot,26,1881.86,0.00,2466.35,1,0.41,1
torchinferno,few_shot,27,1883.26,0.00,2467.20,1,0.41,1
torchinferno,few_shot,28,1883.29,0.00,2471.68,1,0.40,1
torchinferno,few_shot,29,1881.30,0.00,2476.30,1,0.40,1
torchinferno,few_shot,30,1887.58,586.01,2473.59,2,0.81,1
torchinferno,few_shot,31,1154.80,0.00,1189.56,1,0.84,1
torchinferno,few_shot,32,1886.72,0.00,2473.27,1,0.40,1
torchinferno,few_shot,33,1891.65,0.00,2484.33,1,0.40,1
torchinferno,few_shot,34,1885.27,597.13,2482.40,2,0.81,1
torchinferno,few_shot,35,1156.79,0.00,1192.09,1,0.84,1
torchinferno,few_shot,36,1881.70,613.76,2495.46,2,0.80,1
torchinferno,few_shot,37,1885.39,617.42,2502.81,2,0.80,1
torchinferno,few_shot,38,1877.31,0.00,2494.48,1,0.40,1
torchinferno,few_shot,39,1887.83,616.31,2504.13,2,0.80,1
torchinferno,few_shot,40,1878.17,626.41,2504.58,2,0.80,1
torchinferno,few_shot,41,2426.38,79.19,2505.57,2,0.80,1
torchinferno,few_shot,42,1881.70,633.57,2515.27,2,0.80,1
torchinferno,few_shot,43,2486.16,0.00,2511.93,1,0.40,1
torchinferno,few_shot,44,1878.86,0.00,2518.16,1,0.40,1
torchinferno,few_shot,45,2440.05,0.00,2515.71,1,0.40,1
torchinferno,few_shot,46,1888.72,634.24,2522.96,2,0.79,1
torchinferno,few_shot,47,1881.96,638.39,2520.35,2,0.79,1
torchinferno,few_shot,48,2431.27,0.00,2520.71,1,0.40,1
torchinferno,few_shot,49,1879.91,642.77,2522.68,2,0.79,1
torchinferno,few_shot,50,2430.62,91.97,2522.58,2,0.79,1
torchinferno,few_shot,51,1887.97,643.05,2531.01,2,0.79,1
torchinferno,few_shot,52,1880.18,648.68,2528.87,2,0.79,1
torchinferno,few_shot,53,1889.80,0.00,2530.35,1,0.40,1
torchinferno,few_shot,54,1878.37,655.58,2533.94,2,0.79,1
torchinferno,few_shot,55,1880.63,649.59,2530.22,2,0.79,1
torchinferno,few_shot,56,2487.41,0.00,2529.46,1,0.40,1
torchinferno,few_shot,57,2426.15,104.03,2530.18,2,0.79,1
torchinferno,few_shot,58,1885.25,0.00,2533.04,1,0.39,1
torchinferno,few_shot,59,2490.67,41.78,2532.45,2,0.79,1
torchinferno,few_shot,60,1876.90,0.00,2535.24,1,0.39,1
torchinferno,few_shot,61,1879.08,656.36,2535.44,2,0.79,1
torchinferno,few_shot,62,1164.42,0.00,1253.63,1,0.80,1
torchinferno,few_shot,63,1878.13,660.25,2538.38,2,0.79,1
torchinferno,few_shot,64,1887.47,0.00,2543.81,1,0.39,1
torchinferno,few_shot,65,2480.42,57.79,2538.21,2,0.79,1
torchinferno,few_shot,66,1885.24,660.68,2545.93,2,0.79,1
torchinferno,few_shot,67,1143.39,0.00,1155.10,1,0.87,1
torchinferno,few_shot,68,1141.13,0.00,1153.58,1,0.87,1
torchinferno,few_shot,69,1142.90,0.00,1156.59,1,0.86,1
torchinferno,few_shot,70,290.08,0.00,339.90,1,2.94,1
torchinferno,few_shot,71,239.05,0.00,284.39,1,3.52,1
torchinferno,few_shot,72,310.23,0.00,353.56,1,2.83,1
torchinferno,few_shot,73,324.78,0.00,374.22,1,2.67,1
torchinferno,few_shot,74,300.42,0.00,351.46,1,2.85,1
torchinferno,few_shot,75,266.07,0.00,317.49,1,3.15,1
torchinferno,few_shot,76,240.47,0.00,289.52,1,3.45,1
torchinferno,few_shot,77,316.89,0.00,376.49,1,2.66,1
torchinferno,few_shot,78,255.14,0.00,305.73,1,3.27,1
torchinferno,few_shot,79,283.73,0.00,283.99,1,3.52,1
torchinferno,few_shot,80,258.81,0.00,323.68,1,3.09,1
torchinferno,few_shot,81,323.35,61.74,385.09,2,5.19,1
torchinferno,few_shot,82,311.05,0.00,381.71,1,2.62,1
torchinferno,few_shot,83,301.57,0.00,365.43,1,2.74,1
torchinferno,few_shot,84,233.68,0.00,299.53,1,3.34,1
torchinferno,few_shot,85,278.73,73.04,351.78,2,5.69,1
torchinferno,few_shot,86,296.31,63.84,360.15,2,5.55,1
torchinferno,few_shot,87,322.05,67.11,389.16,2,5.14,1
torchinferno,few_shot,88,282.27,0.00,292.52,1,3.42,1
torchinferno,few_shot,89,268.23,0.00,344.88,1,2.90,1
torchinferno,few_shot,90,276.55,22.84,299.40,2,6.68,1
torchinferno,few_shot,91,294.25,0.00,379.55,1,2.63,1
torchinferno,few_shot,92,295.94,74.61,370.55,2,5.40,1
torchinferno,few_shot,93,323.77,87.73,411.51,2,4.86,1
torchinferno,few_shot,94,282.38,0.00,307.60,1,3.25,1
torchinferno,few_shot,95,242.71,0.00,326.31,1,3.06,1
torchinferno,few_shot,96,305.26,0.00,397.02,1,2.52,1
torchinferno,few_shot,97,240.91,0.00,324.48,1,3.08,1
torchinferno,few_shot,98,280.34,0.00,375.29,1,2.66,1
torchinferno,few_shot,99,291.97,26.14,318.10,2,6.29,1
torchinferno,few_shot,100,312.19,84.38,396.57,2,5.04,1
torchinferno,few_shot,101,310.68,95.81,406.49,2,4.92,1
torchinferno,few_shot,102,293.58,0.00,314.21,1,3.18,1
torchinferno,few_shot,103,306.84,0.00,401.67,1,2.49,1
torchinferno,few_shot,104,273.65,46.07,319.72,2,6.26,1
torchinferno,few_shot,105,292.01,0.00,326.76,1,3.06,1
torchinferno,few_shot,106,238.88,95.36,334.24,2,5.98,1
torchinferno,few_shot,107,257.38,0.00,353.30,1,2.83,1
torchinferno,few_shot,108,283.09,0.00,389.72,1,2.57,1
torchinferno,few_shot,109,253.42,105.85,359.28,2,5.57,1
torchinferno,few_shot,110,305.03,104.70,409.72,2,4.88,1
torchinferno,few_shot,111,290.58,0.00,398.13,1,2.51,1
