model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-14T20:07:15.928770

Build Times
provider,build_time_s
torchinferno,323.3
vllm,1090.0
sglang,166.2

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,313.84,159.19,136.24,sglang
ttft_p99_ms,1627.97,497.49,8010.53,vllm
tpot_median_ms,169.32,56.96,76.05,vllm
tpot_p99_ms,220.59,172.71,7312.63,vllm
e2e_median_ms,413.71,217.72,205.49,sglang
e2e_p99_ms,1744.53,546.11,15294.93,vllm
throughput_median_tps,3.33,6.72,5.85,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,304.43,189.14,200.36,vllm
ttft_p99_ms,1464.80,424.00,70189.04,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,365.98,215.90,334.83,vllm
e2e_p99_ms,1579.43,503.27,70299.27,vllm
throughput_median_tps,2.73,4.63,2.99,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,572.98,167.18,158.27,sglang
ttft_p99_ms,1526.29,335.33,725.33,vllm
tpot_median_ms,151.30,65.86,100.49,vllm
tpot_p99_ms,552.52,187.07,710.67,vllm
e2e_median_ms,753.26,222.64,256.96,vllm
e2e_p99_ms,1863.46,403.30,892.48,vllm
throughput_median_tps,1.93,6.34,5.20,vllm
total_output_tokens,1450,1460,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,784.35,137.31,116.95,sglang
ttft_last_turn_ms,441.05,162.99,163.47,vllm
ttft_growth_ratio,0.56,1.19,1.40,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,431.47,58.40,73.35,vllm
ttft_p99_ms,1006.91,116.92,655.33,vllm
tpot_median_ms,209.93,26.76,61.61,vllm
tpot_p99_ms,294.40,41.91,166.82,vllm
e2e_median_ms,609.03,79.07,155.11,vllm
e2e_p99_ms,1238.48,154.96,695.53,vllm
throughput_median_tps,2.07,15.55,9.36,vllm
total_output_tokens,1487,1463,1469,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.96,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,555.69,74.71,67.50,sglang
ttft_p99_ms,2300.20,234.96,117.51,sglang
tpot_median_ms,16.50,14.95,22.07,vllm
tpot_p99_ms,37.40,19.81,27.21,vllm
e2e_median_ms,1267.44,650.18,809.75,vllm
e2e_p99_ms,2839.97,1002.63,1533.79,vllm
throughput_median_tps,25.63,58.11,42.99,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,633.42,0.00,821.22,1,1.22,1
torchinferno,few_shot,1,1314.47,0.00,1402.03,1,0.71,1
torchinferno,few_shot,2,1312.96,0.00,1401.63,1,0.71,1
torchinferno,few_shot,3,1328.85,0.00,1412.74,1,0.71,1
torchinferno,few_shot,4,1313.27,0.00,1406.83,1,0.71,1
torchinferno,few_shot,5,1322.32,0.00,1421.05,1,0.70,1
torchinferno,few_shot,6,1316.94,0.00,1411.89,1,0.71,1
torchinferno,few_shot,7,1320.96,0.00,1409.82,1,0.71,1
torchinferno,few_shot,8,1324.82,0.00,1414.47,1,0.71,1
torchinferno,few_shot,9,1328.04,0.00,1428.29,1,0.70,1
torchinferno,few_shot,10,1328.99,0.00,1430.33,1,0.70,1
torchinferno,few_shot,11,1323.35,0.00,1428.80,1,0.70,1
torchinferno,few_shot,12,1334.00,0.00,1436.46,1,0.70,1
torchinferno,few_shot,13,1331.24,0.00,1436.04,1,0.70,1
torchinferno,few_shot,14,1323.47,0.00,1434.47,1,0.70,1
torchinferno,few_shot,15,1326.86,0.00,1443.53,1,0.69,1
torchinferno,few_shot,16,1313.53,0.00,1430.44,1,0.70,1
torchinferno,few_shot,17,1334.30,0.00,1445.50,1,0.69,1
torchinferno,few_shot,18,1321.31,0.00,1431.03,1,0.70,1
torchinferno,few_shot,19,1314.97,0.00,1434.49,1,0.70,1
torchinferno,few_shot,20,1313.42,0.00,1436.95,1,0.70,1
torchinferno,few_shot,21,1320.11,0.00,1437.10,1,0.70,1
torchinferno,few_shot,22,1318.28,0.00,1440.75,1,0.69,1
torchinferno,few_shot,23,1332.15,0.00,1453.57,1,0.69,1
torchinferno,few_shot,24,1337.92,0.00,1458.12,1,0.69,1
torchinferno,few_shot,25,1324.48,0.00,1457.99,1,0.69,1
torchinferno,few_shot,26,1314.34,184.36,1498.70,2,1.33,1
torchinferno,few_shot,27,1323.60,184.26,1507.86,2,1.33,1
torchinferno,few_shot,28,1319.20,192.26,1511.46,2,1.32,1
torchinferno,few_shot,29,1310.85,189.70,1500.55,2,1.33,1
torchinferno,few_shot,30,1312.68,193.01,1505.69,2,1.33,1
torchinferno,few_shot,31,1324.37,198.28,1522.65,2,1.31,1
torchinferno,few_shot,32,1332.76,183.32,1516.08,2,1.32,1
torchinferno,few_shot,33,1312.70,200.77,1513.46,2,1.32,1
torchinferno,few_shot,34,1328.32,197.60,1525.92,2,1.31,1
torchinferno,few_shot,35,1329.36,198.25,1527.61,2,1.31,1
torchinferno,few_shot,36,1332.94,195.13,1528.07,2,1.31,1
torchinferno,few_shot,37,1318.03,200.01,1518.04,2,1.32,1
torchinferno,few_shot,38,1328.02,207.30,1535.32,2,1.30,1
torchinferno,few_shot,39,1324.05,213.71,1537.76,2,1.30,1
torchinferno,few_shot,40,1320.09,213.09,1533.18,2,1.30,1
torchinferno,few_shot,41,1319.68,207.70,1527.37,2,1.31,1
torchinferno,few_shot,42,1323.80,213.12,1536.92,2,1.30,1
torchinferno,few_shot,43,1321.71,220.59,1542.30,2,1.30,1
torchinferno,few_shot,44,1333.52,207.48,1541.00,2,1.30,1
torchinferno,few_shot,45,1311.52,221.56,1533.09,2,1.30,1
