model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-14T11:02:47.825734

Build Times
provider,build_time_s
torchinferno,331.8
vllm,1271.0
sglang,195.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,322.39,165.87,144.92,sglang
ttft_p99_ms,1808.77,297.09,1126.13,vllm
tpot_median_ms,98.32,60.58,73.78,vllm
tpot_p99_ms,610.28,169.02,403.85,vllm
e2e_median_ms,415.82,221.66,214.61,sglang
e2e_p99_ms,2415.40,389.97,1496.99,vllm
throughput_median_tps,2.97,6.56,5.45,vllm
total_output_tokens,1461,1464,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,302.49,189.87,227.57,vllm
ttft_p99_ms,599.12,423.75,70631.61,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,417.58,212.27,372.89,vllm
e2e_p99_ms,732.49,445.03,70794.08,vllm
throughput_median_tps,2.39,4.71,2.68,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,673.70,173.42,157.59,sglang
ttft_p99_ms,1839.25,325.51,280.90,sglang
tpot_median_ms,63.31,65.73,99.96,torchinferno
tpot_p99_ms,186.99,195.67,224.91,torchinferno
e2e_median_ms,745.50,228.95,254.54,vllm
e2e_p99_ms,1892.25,432.11,416.53,sglang
throughput_median_tps,1.94,6.02,5.46,vllm
total_output_tokens,1450,1448,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,755.81,153.14,108.65,sglang
ttft_last_turn_ms,1066.17,173.67,196.57,vllm
ttft_growth_ratio,1.41,1.13,1.81,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,243.01,62.04,77.78,vllm
ttft_p99_ms,855.87,175.48,613.63,vllm
tpot_median_ms,58.01,28.59,47.28,vllm
tpot_p99_ms,286.19,115.07,584.42,vllm
e2e_median_ms,309.03,83.88,142.18,vllm
e2e_p99_ms,1056.19,202.87,665.98,vllm
throughput_median_tps,4.25,14.52,9.64,vllm
total_output_tokens,1469,1458,1454,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,354.80,72.48,69.94,sglang
ttft_p99_ms,1404.47,146.53,133.52,sglang
tpot_median_ms,21.45,15.06,22.60,vllm
tpot_p99_ms,41.94,22.73,26.58,vllm
e2e_median_ms,1108.02,622.89,854.41,vllm
e2e_p99_ms,2595.88,1037.51,1593.56,vllm
throughput_median_tps,30.95,59.14,41.56,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1437.18,0.00,1444.63,1,0.69,1
torchinferno,few_shot,1,1437.45,0.00,1444.62,1,0.69,1
torchinferno,few_shot,2,1434.43,0.00,1444.98,1,0.69,1
torchinferno,few_shot,3,1433.55,0.00,1446.64,1,0.69,1
torchinferno,few_shot,4,1432.97,0.00,1448.65,1,0.69,1
torchinferno,few_shot,5,1436.15,0.00,1454.12,1,0.69,1
torchinferno,few_shot,6,1437.59,0.00,1453.97,1,0.69,1
torchinferno,few_shot,7,1434.09,0.00,1452.66,1,0.69,1
torchinferno,few_shot,8,1435.51,19.21,1454.72,2,1.37,1
torchinferno,few_shot,9,1439.41,21.07,1460.48,2,1.37,1
torchinferno,few_shot,10,1434.55,22.87,1457.42,2,1.37,1
torchinferno,few_shot,11,1437.67,26.48,1464.15,2,1.37,1
torchinferno,few_shot,12,1434.22,29.46,1463.68,2,1.37,1
torchinferno,few_shot,13,1438.23,32.20,1470.43,2,1.36,1
torchinferno,few_shot,14,1803.98,0.00,2331.19,1,0.43,1
torchinferno,few_shot,15,1799.68,0.00,2337.13,1,0.43,1
torchinferno,few_shot,16,1803.51,0.00,2334.62,1,0.43,1
torchinferno,few_shot,17,1799.48,0.00,2332.64,1,0.43,1
torchinferno,few_shot,18,1797.59,0.00,2335.66,1,0.43,1
torchinferno,few_shot,19,1799.54,0.00,2339.10,1,0.43,1
torchinferno,few_shot,20,1807.41,0.00,2338.68,1,0.43,1
torchinferno,few_shot,21,1792.96,0.00,2337.69,1,0.43,1
torchinferno,few_shot,22,1810.06,0.00,2342.80,1,0.43,1
torchinferno,few_shot,23,1799.66,0.00,2343.72,1,0.43,1
torchinferno,few_shot,24,1802.45,0.00,2342.48,1,0.43,1
torchinferno,few_shot,25,1803.93,0.00,2346.92,1,0.43,1
torchinferno,few_shot,26,1799.95,546.04,2345.99,2,0.85,1
torchinferno,few_shot,27,1799.98,0.00,2347.54,1,0.43,1
torchinferno,few_shot,28,1808.26,542.89,2351.15,2,0.85,1
torchinferno,few_shot,29,1797.27,553.99,2351.25,2,0.85,1
torchinferno,few_shot,30,1811.09,549.14,2360.23,2,0.85,1
torchinferno,few_shot,31,1809.26,551.08,2360.35,2,0.85,1
torchinferno,few_shot,32,1799.30,557.67,2356.97,2,0.85,1
torchinferno,few_shot,33,1802.93,562.76,2365.69,2,0.85,1
torchinferno,few_shot,34,1807.16,0.00,2364.73,1,0.42,1
torchinferno,few_shot,35,1793.32,0.00,2370.67,1,0.42,1
torchinferno,few_shot,36,1813.48,567.25,2380.73,2,0.84,1
torchinferno,few_shot,37,1801.92,579.31,2381.23,2,0.84,1
torchinferno,few_shot,38,1804.41,583.80,2388.21,2,0.84,1
torchinferno,few_shot,39,1802.16,586.20,2388.35,2,0.84,1
torchinferno,few_shot,40,1795.74,0.00,2393.96,1,0.42,1
torchinferno,few_shot,41,1799.40,602.00,2401.40,2,0.83,1
torchinferno,few_shot,42,1792.66,604.57,2397.23,2,0.83,1
torchinferno,few_shot,43,1797.84,599.80,2397.64,2,0.83,1
torchinferno,few_shot,44,1801.62,600.09,2401.71,2,0.83,1
torchinferno,few_shot,45,1797.54,0.00,2405.45,1,0.42,1
torchinferno,few_shot,46,1797.22,604.97,2402.19,2,0.83,1
torchinferno,few_shot,47,1798.33,611.81,2410.14,2,0.83,1
torchinferno,few_shot,48,1813.04,597.42,2410.46,2,0.83,1
torchinferno,few_shot,49,1811.47,600.68,2412.15,2,0.83,1
torchinferno,few_shot,50,1801.53,0.00,2411.57,1,0.41,1
torchinferno,few_shot,51,1796.11,610.28,2406.39,2,0.83,1
torchinferno,few_shot,52,1803.03,0.00,2409.62,1,0.42,1
torchinferno,few_shot,53,1799.47,610.25,2409.72,2,0.83,1
torchinferno,few_shot,54,1799.90,615.79,2415.68,2,0.83,1
torchinferno,few_shot,55,1801.31,0.00,2416.38,1,0.41,1
torchinferno,few_shot,56,1809.95,608.09,2418.04,2,0.83,1
torchinferno,few_shot,57,1798.46,0.00,2417.77,1,0.41,1
torchinferno,few_shot,58,2377.94,0.00,2415.40,1,0.41,1
torchinferno,few_shot,59,1808.15,0.00,2424.55,1,0.41,1
torchinferno,few_shot,60,1799.10,624.00,2423.10,2,0.83,1
torchinferno,few_shot,61,1794.13,0.00,2420.42,1,0.41,1
torchinferno,few_shot,62,1808.77,615.32,2424.08,2,0.83,1
torchinferno,few_shot,63,2327.03,199.88,2526.91,2,0.79,1
torchinferno,few_shot,64,1168.29,0.00,1376.24,1,0.73,1
torchinferno,few_shot,65,271.50,0.00,484.73,1,2.06,1
torchinferno,few_shot,66,211.56,0.00,422.70,1,2.37,1
torchinferno,few_shot,67,245.20,0.00,463.15,1,2.16,1
torchinferno,few_shot,68,209.08,0.00,424.13,1,2.36,1
torchinferno,few_shot,69,254.42,0.00,474.86,1,2.11,1
torchinferno,few_shot,70,1169.13,0.00,1396.30,1,0.72,1
torchinferno,few_shot,71,265.79,0.00,490.52,1,2.04,1
torchinferno,few_shot,72,414.78,0.00,423.02,1,2.36,1
torchinferno,few_shot,73,201.25,0.00,430.65,1,2.32,1
torchinferno,few_shot,74,1170.75,0.00,1398.63,1,0.71,1
torchinferno,few_shot,75,1164.75,0.00,1403.49,1,0.71,1
torchinferno,few_shot,76,271.99,0.00,504.63,1,1.98,1
torchinferno,few_shot,77,1170.85,0.00,1409.53,1,0.71,1
torchinferno,few_shot,78,1155.80,0.00,1399.23,1,0.71,1
torchinferno,few_shot,79,1156.99,246.69,1403.68,2,1.42,1
torchinferno,few_shot,80,432.92,0.00,433.35,1,2.31,1
torchinferno,few_shot,81,1157.20,0.00,1407.82,1,0.71,1
torchinferno,few_shot,82,268.45,0.00,508.58,1,1.97,1
torchinferno,few_shot,83,235.82,248.47,484.29,2,4.13,1
torchinferno,few_shot,84,1164.48,244.32,1408.80,2,1.42,1
torchinferno,few_shot,85,249.37,0.00,496.92,1,2.01,1
torchinferno,few_shot,86,263.18,0.00,519.99,1,1.92,1
torchinferno,few_shot,87,1150.57,259.22,1409.79,2,1.42,1
torchinferno,few_shot,88,266.28,0.00,518.60,1,1.93,1
torchinferno,few_shot,89,1147.55,0.00,1411.97,1,0.71,1
torchinferno,few_shot,90,232.67,0.00,485.69,1,2.06,1
torchinferno,few_shot,91,271.83,261.27,533.10,2,3.75,1
torchinferno,few_shot,92,419.18,45.72,464.90,2,4.30,1
torchinferno,few_shot,93,285.82,261.55,547.37,2,3.65,1
torchinferno,few_shot,94,229.16,0.00,489.54,1,2.04,1
torchinferno,few_shot,95,219.96,269.99,489.95,2,4.08,1
torchinferno,few_shot,96,213.97,266.71,480.69,2,4.16,1
torchinferno,few_shot,97,452.65,15.52,468.17,2,4.27,1
torchinferno,few_shot,98,464.86,0.00,480.37,1,2.08,1
torchinferno,few_shot,99,274.92,278.20,553.11,2,3.62,1
torchinferno,few_shot,100,214.52,278.40,492.92,2,4.06,1
torchinferno,few_shot,101,207.33,274.01,481.34,2,4.16,1
torchinferno,few_shot,102,275.88,0.00,553.33,1,1.81,1
torchinferno,few_shot,103,421.29,0.00,470.86,1,2.12,1
torchinferno,few_shot,104,1149.40,283.74,1433.14,2,1.40,1
torchinferno,few_shot,105,424.63,0.00,486.27,1,2.06,1
torchinferno,few_shot,106,410.21,68.25,478.47,2,4.18,1
torchinferno,few_shot,107,245.04,0.00,533.60,1,1.87,1
torchinferno,few_shot,108,213.89,281.79,495.68,2,4.03,1
torchinferno,few_shot,109,1169.57,0.00,1456.67,1,0.69,1
torchinferno,few_shot,110,229.94,0.00,522.80,1,1.91,1
torchinferno,few_shot,111,273.81,0.00,568.76,1,1.76,1
torchinferno,few_shot,112,426.30,58.96,485.26,2,4.12,1
torchinferno,few_shot,113,258.24,291.95,550.18,2,3.64,1
torchinferno,few_shot,114,258.97,0.00,559.89,1,1.79,1
torchinferno,few_shot,115,427.33,68.47,495.80,2,4.03,1
torchinferno,few_shot,116,490.66,0.37,491.03,2,4.07,1
torchinferno,few_shot,117,262.98,0.00,560.75,1,1.78,1
torchinferno,few_shot,118,462.11,0.00,504.38,1,1.98,1
torchinferno,few_shot,119,253.71,306.62,560.33,2,3.57,1
torchinferno,few_shot,120,493.59,0.00,500.85,1,2.00,1
torchinferno,few_shot,121,274.39,303.74,578.12,2,3.46,1
torchinferno,few_shot,122,253.86,315.22,569.08,2,3.51,1
torchinferno,few_shot,123,1163.41,0.00,1468.15,1,0.68,1
torchinferno,few_shot,124,209.58,0.00,525.06,1,1.90,1
torchinferno,few_shot,125,412.27,92.98,505.25,2,3.96,1
torchinferno,few_shot,126,366.69,0.00,453.74,1,2.20,1
torchinferno,few_shot,127,474.18,193.51,667.68,2,3.00,1
torchinferno,few_shot,128,325.14,0.00,373.27,1,2.68,1
torchinferno,few_shot,129,342.49,0.00,379.56,1,2.63,1
torchinferno,few_shot,130,338.62,0.00,378.26,1,2.64,1
torchinferno,few_shot,131,300.10,0.00,347.62,1,2.88,1
torchinferno,few_shot,132,263.37,0.00,310.59,1,3.22,1
torchinferno,few_shot,133,267.70,0.00,315.58,1,3.17,1
torchinferno,few_shot,134,347.76,0.00,396.83,1,2.52,1
torchinferno,few_shot,135,342.12,0.00,402.12,1,2.49,1
torchinferno,few_shot,136,351.77,0.00,404.62,1,2.47,1
torchinferno,few_shot,137,279.10,0.00,342.18,1,2.92,1
torchinferno,few_shot,138,330.40,58.82,389.22,2,5.14,1
torchinferno,few_shot,139,321.06,67.03,388.10,2,5.15,1
torchinferno,few_shot,140,281.36,67.93,349.29,2,5.73,1
torchinferno,few_shot,141,252.81,59.67,312.48,2,6.40,1
torchinferno,few_shot,142,254.38,0.00,318.72,1,3.14,1
torchinferno,few_shot,143,305.91,0.00,379.06,1,2.64,1
torchinferno,few_shot,144,298.31,76.50,374.81,2,5.34,1
torchinferno,few_shot,145,308.48,71.52,380.00,2,5.26,1
torchinferno,few_shot,146,289.32,0.00,368.41,1,2.71,1
torchinferno,few_shot,147,274.64,78.77,353.41,2,5.66,1
torchinferno,few_shot,148,305.38,72.96,378.34,2,5.29,1
torchinferno,few_shot,149,275.53,74.72,350.25,2,5.71,1
torchinferno,few_shot,150,282.12,0.00,371.49,1,2.69,1
torchinferno,few_shot,151,324.19,0.00,357.92,1,2.79,1
torchinferno,few_shot,152,251.50,90.55,342.06,2,5.85,1
torchinferno,few_shot,153,314.37,91.81,406.18,2,4.92,1
torchinferno,few_shot,154,372.67,38.14,410.80,2,4.87,1
torchinferno,few_shot,155,287.65,0.00,376.74,1,2.65,1
torchinferno,few_shot,156,317.70,92.03,409.73,2,4.88,1
torchinferno,few_shot,157,321.72,0.00,407.90,1,2.45,1
torchinferno,few_shot,158,369.38,0.00,389.95,1,2.56,1
torchinferno,few_shot,159,339.19,5.54,344.74,2,5.80,1
torchinferno,few_shot,160,250.96,0.00,350.78,1,2.85,1
torchinferno,few_shot,161,330.52,0.00,373.63,1,2.68,1
torchinferno,few_shot,162,253.24,101.33,354.58,2,5.64,1
torchinferno,few_shot,163,270.76,103.11,373.87,2,5.35,1
torchinferno,few_shot,164,294.96,95.36,390.32,2,5.12,1
torchinferno,few_shot,165,257.85,99.67,357.52,2,5.59,1
torchinferno,few_shot,166,354.57,0.00,370.00,1,2.70,1
torchinferno,few_shot,167,310.58,110.26,420.84,2,4.75,1
torchinferno,few_shot,168,349.38,30.71,380.09,2,5.26,1
torchinferno,few_shot,169,362.79,0.00,363.38,1,2.75,1
torchinferno,few_shot,170,328.32,120.29,448.61,2,4.46,1
torchinferno,few_shot,171,273.46,107.52,380.98,2,5.25,1
torchinferno,few_shot,172,278.45,116.63,395.07,2,5.06,1
torchinferno,few_shot,173,388.83,0.00,399.18,1,2.51,1
torchinferno,few_shot,174,341.12,0.00,457.67,1,2.18,1
torchinferno,few_shot,175,344.96,116.77,461.73,2,4.33,1
torchinferno,few_shot,176,306.21,122.80,429.01,2,4.66,1
torchinferno,few_shot,177,355.41,117.72,473.13,2,4.23,1
