model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-31T19:01:37.361356

Build Times
provider,build_time_s
torchinferno,274.8
vllm,1225.4
sglang,192.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,216.82,163.27,147.34,sglang
ttft_p99_ms,6179.77,271.47,1310.24,vllm
tpot_median_ms,43.78,53.30,74.46,torchinferno
tpot_p99_ms,531.00,161.26,7314.31,vllm
e2e_median_ms,259.74,214.09,216.67,vllm
e2e_p99_ms,6564.43,329.32,8602.96,vllm
throughput_median_tps,5.50,6.96,5.59,vllm
total_output_tokens,1461,1449,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,357.46,202.96,204.42,vllm
ttft_p99_ms,891.26,466.05,72106.40,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,449.80,231.15,335.03,vllm
e2e_p99_ms,990.51,495.91,72195.65,vllm
throughput_median_tps,2.22,4.33,2.98,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,909.84,179.30,167.31,sglang
ttft_p99_ms,2636.11,350.52,642.33,vllm
tpot_median_ms,134.78,65.81,102.98,vllm
tpot_p99_ms,954.79,209.82,219.63,vllm
e2e_median_ms,1234.08,232.49,263.50,vllm
e2e_p99_ms,2972.93,428.57,758.31,vllm
throughput_median_tps,1.13,5.98,5.04,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,826.95,144.65,118.50,sglang
ttft_last_turn_ms,1702.19,171.56,181.92,vllm
ttft_growth_ratio,2.06,1.19,1.54,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,415.50,60.52,81.36,vllm
ttft_p99_ms,1921.04,116.32,635.31,vllm
tpot_median_ms,27.56,26.97,48.42,vllm
tpot_p99_ms,328.69,104.95,163.84,vllm
e2e_median_ms,440.32,81.39,139.65,vllm
e2e_p99_ms,1954.10,149.93,660.74,vllm
throughput_median_tps,3.50,15.26,9.29,vllm
total_output_tokens,1468,1461,1464,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,320.32,78.75,81.93,vllm
ttft_p99_ms,41747.53,221.31,141.23,sglang
tpot_median_ms,23.26,14.91,23.07,vllm
tpot_p99_ms,77.39,21.75,27.80,vllm
e2e_median_ms,1329.00,632.47,881.16,vllm
e2e_p99_ms,43380.45,1016.92,1653.71,vllm
throughput_median_tps,27.00,57.34,39.75,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1183.26,0.00,1190.27,1,0.84,1
torchinferno,few_shot,1,1182.54,0.00,1192.98,1,0.84,1
torchinferno,few_shot,2,1189.23,0.00,1199.22,1,0.83,1
torchinferno,few_shot,3,1181.69,0.00,1194.68,1,0.84,1
torchinferno,few_shot,4,1181.12,0.00,1198.38,1,0.83,1
torchinferno,few_shot,5,1182.06,0.00,1201.15,1,0.83,1
torchinferno,few_shot,6,1186.75,199.72,1386.46,2,1.44,1
torchinferno,few_shot,7,1185.57,199.39,1384.96,2,1.44,1
torchinferno,few_shot,8,1187.31,201.14,1388.45,2,1.44,1
torchinferno,few_shot,9,1185.20,204.50,1389.70,2,1.44,1
torchinferno,few_shot,10,1667.37,0.00,1682.76,1,0.59,1
torchinferno,few_shot,11,1664.70,0.00,1675.96,1,0.60,1
torchinferno,few_shot,12,1660.07,0.00,1678.31,1,0.60,1
torchinferno,few_shot,13,1668.74,0.00,1686.35,1,0.59,1
torchinferno,few_shot,14,1667.41,0.00,1681.58,1,0.59,1
torchinferno,few_shot,15,1670.39,0.00,1687.70,1,0.59,1
torchinferno,few_shot,16,1661.37,0.00,1684.88,1,0.59,1
torchinferno,few_shot,17,1673.48,17.57,1691.05,2,1.18,1
torchinferno,few_shot,18,1663.63,0.00,1692.60,1,0.59,1
torchinferno,few_shot,19,1670.15,0.00,1694.10,1,0.59,1
torchinferno,few_shot,20,1670.58,27.45,1698.03,2,1.18,1
torchinferno,few_shot,21,1666.81,0.00,1697.46,1,0.59,1
torchinferno,few_shot,22,1662.49,0.00,1697.40,1,0.59,1
torchinferno,few_shot,23,1665.30,0.00,1697.15,1,0.59,1
torchinferno,few_shot,24,1662.27,37.25,1699.52,2,1.18,1
torchinferno,few_shot,25,1665.37,41.48,1706.85,2,1.17,1
torchinferno,few_shot,26,1667.22,0.00,1704.80,1,0.59,1
torchinferno,few_shot,27,1672.87,35.92,1708.79,2,1.17,1
torchinferno,few_shot,28,1665.33,0.00,1704.05,1,0.59,1
torchinferno,few_shot,29,1666.36,0.00,1715.81,1,0.58,1
torchinferno,few_shot,30,1663.90,45.46,1709.36,2,1.17,1
torchinferno,few_shot,31,1660.56,51.60,1712.17,2,1.17,1
torchinferno,few_shot,32,1670.79,45.96,1716.74,2,1.16,1
torchinferno,few_shot,33,1666.74,49.03,1715.77,2,1.17,1
torchinferno,few_shot,34,1666.45,54.83,1721.29,2,1.16,1
torchinferno,few_shot,35,1661.80,58.89,1720.70,2,1.16,1
torchinferno,few_shot,36,1668.05,0.00,1721.41,1,0.58,1
torchinferno,few_shot,37,1663.90,61.43,1725.33,2,1.16,1
torchinferno,few_shot,38,1662.94,0.00,1722.34,1,0.58,1
torchinferno,few_shot,39,1676.22,0.00,1736.10,1,0.58,1
torchinferno,few_shot,40,1665.06,71.77,1736.83,2,1.15,1
torchinferno,few_shot,41,1665.36,75.48,1740.83,2,1.15,1
torchinferno,few_shot,42,555.98,0.00,569.31,1,1.76,1
torchinferno,few_shot,43,1741.54,0.00,1755.72,1,0.57,1
torchinferno,few_shot,44,557.52,0.00,572.62,1,1.75,1
torchinferno,few_shot,45,555.71,0.00,575.19,1,1.74,1
torchinferno,few_shot,46,558.03,0.00,573.86,1,1.74,1
torchinferno,few_shot,47,567.20,0.00,584.24,1,1.71,1
torchinferno,few_shot,48,1738.04,0.00,1765.71,1,0.57,1
torchinferno,few_shot,49,361.01,0.00,394.00,1,2.54,1
torchinferno,few_shot,50,1738.28,0.00,1770.13,1,0.56,1
torchinferno,few_shot,51,366.09,0.00,395.96,1,2.53,1
torchinferno,few_shot,52,1735.57,37.78,1773.35,2,1.13,1
torchinferno,few_shot,53,1740.97,0.00,1777.55,1,0.56,1
torchinferno,few_shot,54,548.34,0.00,586.84,1,1.70,1
torchinferno,few_shot,55,1744.46,0.00,1780.69,1,0.56,1
torchinferno,few_shot,56,1777.36,5.08,1782.44,2,1.12,1
torchinferno,few_shot,57,1740.98,42.16,1783.14,2,1.12,1
torchinferno,few_shot,58,1737.58,45.29,1782.87,2,1.12,1
torchinferno,few_shot,59,1782.88,4.32,1787.21,2,1.12,1
torchinferno,few_shot,60,1742.15,46.92,1789.07,2,1.12,1
torchinferno,few_shot,61,1736.43,54.50,1790.93,2,1.12,1
torchinferno,few_shot,62,1731.96,61.00,1792.96,2,1.12,1
torchinferno,few_shot,63,1735.82,60.84,1796.66,2,1.11,1
torchinferno,few_shot,64,1740.99,0.00,1799.11,1,0.56,1
torchinferno,few_shot,65,363.44,64.80,428.24,2,4.67,1
torchinferno,few_shot,66,1740.96,67.80,1808.76,2,1.11,1
torchinferno,few_shot,67,143.94,0.00,148.45,1,6.74,1
torchinferno,few_shot,68,105.21,0.00,119.49,1,8.37,1
torchinferno,few_shot,69,142.87,0.00,161.16,1,6.20,1
torchinferno,few_shot,70,121.94,0.00,142.62,1,7.01,1
torchinferno,few_shot,71,122.23,0.00,140.49,1,7.12,1
torchinferno,few_shot,72,112.14,0.00,131.10,1,7.63,1
torchinferno,few_shot,73,122.41,0.00,141.44,1,7.07,1
torchinferno,few_shot,74,106.53,0.00,133.04,1,7.52,1
torchinferno,few_shot,75,98.84,0.00,129.66,1,7.71,1
torchinferno,few_shot,76,153.14,0.00,176.91,1,5.65,1
torchinferno,few_shot,77,91.12,29.10,120.22,2,16.64,1
torchinferno,few_shot,78,136.48,0.00,168.67,1,5.93,1
torchinferno,few_shot,79,151.04,32.08,183.12,2,10.92,1
torchinferno,few_shot,80,140.51,39.29,179.80,2,11.12,1
