model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-22T14:03:40.744430

Build Times
provider,build_time_s
torchinferno,374.4
vllm,1314.2
sglang,185.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,301.71,160.49,138.21,sglang
ttft_p99_ms,1873.96,562.31,7921.20,vllm
tpot_median_ms,153.34,54.31,71.04,vllm
tpot_p99_ms,210.99,135.19,7301.05,vllm
e2e_median_ms,404.91,212.04,203.92,sglang
e2e_p99_ms,2064.45,615.92,15192.87,vllm
throughput_median_tps,3.68,7.02,5.95,vllm
total_output_tokens,1466,1465,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,289.34,197.81,196.25,sglang
ttft_p99_ms,1641.96,476.01,70894.43,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,314.94,222.82,324.79,vllm
e2e_p99_ms,1668.21,508.25,71025.95,vllm
throughput_median_tps,3.18,4.49,3.08,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,790.45,176.58,158.05,sglang
ttft_p99_ms,2304.44,342.26,787.68,vllm
tpot_median_ms,106.85,61.89,106.80,vllm
tpot_p99_ms,398.89,187.33,223.67,vllm
e2e_median_ms,872.94,231.75,252.43,vllm
e2e_p99_ms,2423.52,422.80,910.13,vllm
throughput_median_tps,1.50,6.19,5.25,vllm
total_output_tokens,1450,1448,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1175.02,141.47,108.16,sglang
ttft_last_turn_ms,764.62,168.73,186.06,vllm
ttft_growth_ratio,0.65,1.19,1.72,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,355.91,57.61,75.82,vllm
ttft_p99_ms,1228.91,118.23,613.25,vllm
tpot_median_ms,129.96,26.30,47.18,vllm
tpot_p99_ms,152.72,51.79,586.34,vllm
e2e_median_ms,462.28,77.97,129.01,vllm
e2e_p99_ms,1332.03,149.85,666.11,vllm
throughput_median_tps,2.84,15.75,10.10,vllm
total_output_tokens,1478,1454,1484,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,984.44,67.61,66.67,sglang
ttft_p99_ms,3009.50,129.95,111.70,sglang
tpot_median_ms,19.55,15.07,22.30,vllm
tpot_p99_ms,68.21,19.88,26.76,vllm
e2e_median_ms,1674.96,604.20,846.36,vllm
e2e_p99_ms,4031.97,1007.68,1571.45,vllm
throughput_median_tps,21.01,59.59,42.31,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,909.54,0.00,1200.58,1,0.83,1
torchinferno,few_shot,1,1863.67,0.00,1950.46,1,0.51,1
torchinferno,few_shot,2,1855.34,0.00,1942.75,1,0.51,1
torchinferno,few_shot,3,1868.52,0.00,1944.99,1,0.51,1
torchinferno,few_shot,4,1851.05,0.00,1943.74,1,0.51,1
torchinferno,few_shot,5,1855.21,0.00,1947.62,1,0.51,1
torchinferno,few_shot,6,1869.56,0.00,1962.19,1,0.51,1
torchinferno,few_shot,7,1865.79,0.00,1959.35,1,0.51,1
torchinferno,few_shot,8,1850.58,0.00,1952.52,1,0.51,1
torchinferno,few_shot,9,1870.26,0.00,1965.06,1,0.51,1
torchinferno,few_shot,10,1866.85,0.00,1969.68,1,0.51,1
torchinferno,few_shot,11,1868.20,0.00,1976.53,1,0.51,1
torchinferno,few_shot,12,1859.79,0.00,1964.43,1,0.51,1
torchinferno,few_shot,13,1868.65,0.00,1976.92,1,0.51,1
torchinferno,few_shot,14,1871.43,0.00,1980.49,1,0.50,1
torchinferno,few_shot,15,678.56,0.00,782.59,1,1.28,1
torchinferno,few_shot,16,1873.26,0.00,1980.12,1,0.51,1
torchinferno,few_shot,17,1865.20,0.00,1984.07,1,0.50,1
torchinferno,few_shot,18,1861.64,0.00,1972.89,1,0.51,1
torchinferno,few_shot,19,1859.57,0.00,1984.60,1,0.50,1
torchinferno,few_shot,20,1863.29,0.00,1991.49,1,0.50,1
torchinferno,few_shot,21,1866.94,0.00,1980.30,1,0.50,1
torchinferno,few_shot,22,1853.53,0.00,1978.82,1,0.51,1
torchinferno,few_shot,23,1863.78,0.00,1979.34,1,0.51,1
torchinferno,few_shot,24,1866.75,0.00,1991.28,1,0.50,1
torchinferno,few_shot,25,1876.71,0.00,2001.30,1,0.50,1
torchinferno,few_shot,26,1875.21,0.00,2000.65,1,0.50,1
torchinferno,few_shot,27,1859.63,0.00,1997.09,1,0.50,1
torchinferno,few_shot,28,1860.36,0.00,1992.99,1,0.50,1
torchinferno,few_shot,29,1862.80,0.00,2001.67,1,0.50,1
torchinferno,few_shot,30,1850.30,0.00,1991.03,1,0.50,1
torchinferno,few_shot,31,1867.65,0.00,2011.89,1,0.50,1
torchinferno,few_shot,32,1882.29,0.00,2018.49,1,0.50,1
torchinferno,few_shot,33,1880.42,156.72,2037.14,2,0.98,1
torchinferno,few_shot,34,1865.54,162.28,2027.83,2,0.99,1
torchinferno,few_shot,35,1864.58,161.84,2026.43,2,0.99,1
torchinferno,few_shot,36,1870.86,168.82,2039.68,2,0.98,1
torchinferno,few_shot,37,1870.29,173.95,2044.25,2,0.98,1
torchinferno,few_shot,38,1881.52,166.92,2048.45,2,0.98,1
torchinferno,few_shot,39,1866.84,180.56,2047.40,2,0.98,1
torchinferno,few_shot,40,1875.40,171.30,2046.70,2,0.98,1
torchinferno,few_shot,41,1855.29,183.46,2038.75,2,0.98,1
torchinferno,few_shot,42,1856.25,182.64,2038.89,2,0.98,1
torchinferno,few_shot,43,1881.92,174.64,2056.56,2,0.97,1
torchinferno,few_shot,44,1857.03,182.53,2039.56,2,0.98,1
torchinferno,few_shot,45,1865.78,193.97,2059.75,2,0.97,1
