model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-15T03:02:56.185558

Build Times
provider,build_time_s
torchinferno,355.8
vllm,477.8
sglang,255.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,453.23,165.58,148.08,sglang
ttft_p99_ms,2225.97,274.65,1220.77,vllm
tpot_median_ms,52.20,51.32,72.64,vllm
tpot_p99_ms,257.89,148.81,406.56,vllm
e2e_median_ms,512.05,218.73,220.50,vllm
e2e_p99_ms,2420.56,335.95,1601.22,vllm
throughput_median_tps,2.98,6.96,5.41,vllm
total_output_tokens,1461,1455,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,272.43,182.96,202.24,vllm
ttft_p99_ms,486.73,251.76,71426.88,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,384.73,240.85,340.96,vllm
e2e_p99_ms,622.77,350.79,71610.66,vllm
throughput_median_tps,2.60,4.15,2.93,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,680.83,168.89,162.85,sglang
ttft_p99_ms,1685.10,345.71,768.64,vllm
tpot_median_ms,61.67,55.28,100.80,vllm
tpot_p99_ms,154.62,181.87,204.64,torchinferno
e2e_median_ms,757.41,216.40,253.05,vllm
e2e_p99_ms,1760.96,430.86,860.73,vllm
throughput_median_tps,1.79,6.36,5.19,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,518.05,144.78,115.22,sglang
ttft_last_turn_ms,839.26,165.85,181.63,vllm
ttft_growth_ratio,1.62,1.15,1.58,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,192.37,63.15,81.85,vllm
ttft_p99_ms,466.97,2035.68,511.12,torchinferno
tpot_median_ms,33.41,28.36,58.25,vllm
tpot_p99_ms,256.68,1727.96,494.07,torchinferno
e2e_median_ms,223.96,85.77,152.26,vllm
e2e_p99_ms,661.12,2083.05,571.22,sglang
throughput_median_tps,5.71,14.30,9.29,vllm
total_output_tokens,1480,1462,1468,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,352.44,74.71,68.03,sglang
ttft_p99_ms,1226.58,162.08,122.34,sglang
tpot_median_ms,22.18,14.76,21.63,vllm
tpot_p99_ms,43.26,21.76,26.34,vllm
e2e_median_ms,1132.31,614.46,813.48,vllm
e2e_p99_ms,2723.35,996.24,1534.45,vllm
throughput_median_tps,30.12,59.51,43.35,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1666.96,0.00,1676.78,1,0.60,1
torchinferno,few_shot,1,1669.25,0.00,1678.46,1,0.60,1
torchinferno,few_shot,2,1672.13,0.00,1682.39,1,0.59,1
torchinferno,few_shot,3,1667.03,0.00,1681.50,1,0.59,1
torchinferno,few_shot,4,1668.48,0.00,1682.36,1,0.59,1
torchinferno,few_shot,5,1666.85,252.03,1918.88,2,1.04,1
torchinferno,few_shot,6,1671.04,255.88,1926.92,2,1.04,1
torchinferno,few_shot,7,1671.95,253.92,1925.87,2,1.04,1
torchinferno,few_shot,8,1670.23,257.91,1928.13,2,1.04,1
torchinferno,few_shot,9,1669.32,257.89,1927.21,2,1.04,1
torchinferno,few_shot,10,2218.13,0.00,2340.65,1,0.43,1
torchinferno,few_shot,11,2213.70,0.00,2339.32,1,0.43,1
torchinferno,few_shot,12,2222.97,0.00,2336.28,1,0.43,1
torchinferno,few_shot,13,2213.95,0.00,2346.20,1,0.43,1
torchinferno,few_shot,14,2216.71,0.00,2342.69,1,0.43,1
torchinferno,few_shot,15,2215.09,0.00,2346.79,1,0.43,1
torchinferno,few_shot,16,2224.65,0.00,2346.68,1,0.43,1
torchinferno,few_shot,17,2217.75,0.00,2351.51,1,0.43,1
torchinferno,few_shot,18,2214.78,141.20,2355.98,2,0.85,1
torchinferno,few_shot,19,2213.64,137.51,2351.14,2,0.85,1
torchinferno,few_shot,20,2219.73,135.03,2354.76,2,0.85,1
torchinferno,few_shot,21,2222.92,0.00,2365.11,1,0.42,1
torchinferno,few_shot,22,2221.82,0.00,2356.43,1,0.42,1
torchinferno,few_shot,23,2207.64,0.00,2355.60,1,0.42,1
torchinferno,few_shot,24,2211.90,0.00,2360.19,1,0.42,1
torchinferno,few_shot,25,2224.47,141.14,2365.60,2,0.85,1
torchinferno,few_shot,26,2225.36,142.10,2367.46,2,0.84,1
torchinferno,few_shot,27,2219.30,142.42,2361.72,2,0.85,1
torchinferno,few_shot,28,2213.12,151.03,2364.16,2,0.85,1
torchinferno,few_shot,29,2223.64,149.04,2372.68,2,0.84,1
torchinferno,few_shot,30,2223.10,146.79,2369.89,2,0.84,1
torchinferno,few_shot,31,2218.93,0.00,2374.38,1,0.42,1
torchinferno,few_shot,32,2227.75,151.51,2379.26,2,0.84,1
torchinferno,few_shot,33,2215.60,0.00,2372.17,1,0.42,1
torchinferno,few_shot,34,2220.37,160.51,2380.89,2,0.84,1
torchinferno,few_shot,35,2220.12,0.00,2376.69,1,0.42,1
torchinferno,few_shot,36,2224.22,0.00,2397.10,1,0.42,1
torchinferno,few_shot,37,2221.06,0.00,2384.03,1,0.42,1
torchinferno,few_shot,38,2211.12,0.00,2389.62,1,0.42,1
torchinferno,few_shot,39,2217.91,0.00,2389.72,1,0.42,1
torchinferno,few_shot,40,2224.11,0.00,2391.23,1,0.42,1
torchinferno,few_shot,41,2213.03,178.83,2391.87,2,0.84,1
torchinferno,few_shot,42,2223.56,170.08,2393.65,2,0.84,1
torchinferno,few_shot,43,2215.76,184.92,2400.68,2,0.83,1
torchinferno,few_shot,44,2213.73,190.03,2403.76,2,0.83,1
torchinferno,few_shot,45,2230.63,0.00,2407.48,1,0.42,1
torchinferno,few_shot,46,2218.10,0.00,2402.71,1,0.42,1
torchinferno,few_shot,47,2225.97,181.81,2407.78,2,0.83,1
torchinferno,few_shot,48,2218.90,0.00,2408.48,1,0.42,1
torchinferno,few_shot,49,2215.61,194.25,2409.87,2,0.83,1
torchinferno,few_shot,50,2213.67,0.00,2408.31,1,0.42,1
torchinferno,few_shot,51,2214.44,0.00,2413.64,1,0.41,1
torchinferno,few_shot,52,2214.65,199.61,2414.26,2,0.83,1
torchinferno,few_shot,53,2226.37,194.19,2420.56,2,0.83,1
torchinferno,few_shot,54,2224.44,194.09,2418.53,2,0.83,1
torchinferno,few_shot,55,2211.72,0.00,2424.44,1,0.41,1
torchinferno,few_shot,56,2220.51,208.36,2428.87,2,0.82,1
torchinferno,few_shot,57,2215.54,222.24,2437.77,2,0.82,1
torchinferno,few_shot,58,907.96,0.00,919.23,1,1.09,1
torchinferno,few_shot,59,905.39,0.00,918.45,1,1.09,1
torchinferno,few_shot,60,659.29,0.00,675.59,1,1.48,1
torchinferno,few_shot,61,2570.69,0.00,2590.21,1,0.39,1
torchinferno,few_shot,62,663.26,0.00,679.71,1,1.47,1
torchinferno,few_shot,63,904.48,0.00,925.67,1,1.08,1
torchinferno,few_shot,64,662.50,0.00,685.48,1,1.46,1
torchinferno,few_shot,65,898.48,0.00,923.69,1,1.08,1
torchinferno,few_shot,66,656.55,27.26,683.81,2,2.92,1
torchinferno,few_shot,67,2574.21,25.91,2600.13,2,0.77,1
torchinferno,few_shot,68,662.32,28.02,690.34,2,2.90,1
torchinferno,few_shot,69,2574.64,29.18,2603.82,2,0.77,1
torchinferno,few_shot,70,2571.95,33.63,2605.58,2,0.77,1
torchinferno,few_shot,71,904.80,0.00,936.43,1,1.07,1
torchinferno,few_shot,72,2573.14,35.83,2608.97,2,0.77,1
torchinferno,few_shot,73,2569.59,41.14,2610.73,2,0.77,1
torchinferno,few_shot,74,297.02,0.00,302.52,1,3.31,1
torchinferno,few_shot,75,339.60,0.00,345.80,1,2.89,1
torchinferno,few_shot,76,287.61,0.00,296.60,1,3.37,1
torchinferno,few_shot,77,314.76,0.00,328.79,1,3.04,1
torchinferno,few_shot,78,259.14,0.00,274.28,1,3.65,1
torchinferno,few_shot,79,318.69,0.00,337.16,1,2.97,1
torchinferno,few_shot,80,312.73,0.00,340.92,1,2.93,1
torchinferno,few_shot,81,272.95,0.00,294.98,1,3.39,1
torchinferno,few_shot,82,236.91,0.00,266.47,1,3.75,1
torchinferno,few_shot,83,297.97,0.00,320.17,1,3.12,1
torchinferno,few_shot,84,306.39,36.25,342.64,2,5.84,1
torchinferno,few_shot,85,302.94,0.00,332.39,1,3.01,1
torchinferno,few_shot,86,262.12,38.29,300.42,2,6.66,1
torchinferno,few_shot,87,251.13,39.07,290.20,2,6.89,1
torchinferno,few_shot,88,250.54,37.63,288.16,2,6.94,1
torchinferno,few_shot,89,312.29,0.00,351.36,1,2.85,1
torchinferno,few_shot,90,326.22,32.33,358.54,2,5.58,1
torchinferno,few_shot,91,243.51,34.68,278.19,2,7.19,1
torchinferno,few_shot,92,305.24,0.00,348.60,1,2.87,1
torchinferno,few_shot,93,299.08,0.00,343.50,1,2.91,1
torchinferno,few_shot,94,293.78,46.58,340.36,2,5.88,1
torchinferno,few_shot,95,292.12,0.00,336.64,1,2.97,1
torchinferno,few_shot,96,255.02,0.00,308.56,1,3.24,1
torchinferno,few_shot,97,283.07,0.00,329.93,1,3.03,1
torchinferno,few_shot,98,314.89,59.57,374.46,2,5.34,1
torchinferno,few_shot,99,279.99,0.00,323.97,1,3.09,1
torchinferno,few_shot,100,282.50,47.00,329.50,2,6.07,1
torchinferno,few_shot,101,259.43,0.00,314.25,1,3.18,1
torchinferno,few_shot,102,329.57,0.00,385.53,1,2.59,1
torchinferno,few_shot,103,284.45,0.00,351.00,1,2.85,1
torchinferno,few_shot,104,289.48,68.91,358.38,2,5.58,1
torchinferno,few_shot,105,254.41,55.86,310.27,2,6.45,1
torchinferno,few_shot,106,264.66,0.00,330.01,1,3.03,1
torchinferno,few_shot,107,312.68,0.00,374.42,1,2.67,1
torchinferno,few_shot,108,287.84,68.72,356.56,2,5.61,1
torchinferno,few_shot,109,230.17,67.35,297.52,2,6.72,1
torchinferno,few_shot,110,275.49,0.00,347.97,1,2.87,1
torchinferno,few_shot,111,255.39,0.00,319.64,1,3.13,1
torchinferno,few_shot,112,303.88,0.00,384.69,1,2.60,1
torchinferno,few_shot,113,355.89,0.00,380.33,1,2.63,1
torchinferno,few_shot,114,323.23,78.19,401.42,2,4.98,1
torchinferno,few_shot,115,304.09,75.53,379.62,2,5.27,1
torchinferno,few_shot,116,336.88,71.96,408.84,2,4.89,1
torchinferno,few_shot,117,313.49,80.06,393.55,2,5.08,1
torchinferno,few_shot,118,282.64,77.08,359.73,2,5.56,1
torchinferno,few_shot,119,267.49,85.50,352.99,2,5.67,1
torchinferno,few_shot,120,263.73,0.00,353.28,1,2.83,1
torchinferno,few_shot,121,127.08,0.00,153.73,1,6.50,1
torchinferno,few_shot,122,135.67,0.00,144.53,1,6.92,1
torchinferno,few_shot,123,145.88,0.00,151.22,1,6.61,1
torchinferno,few_shot,124,157.82,0.41,158.23,2,12.64,1
torchinferno,few_shot,125,166.98,4.46,171.44,2,11.67,1
torchinferno,few_shot,126,142.80,0.00,168.08,1,5.95,1
torchinferno,few_shot,127,265.45,97.02,362.47,2,5.52,1
torchinferno,few_shot,128,165.11,9.36,174.48,2,11.46,1
torchinferno,few_shot,129,138.07,0.00,156.39,1,6.39,1
torchinferno,few_shot,130,175.36,0.40,175.75,2,11.38,1
torchinferno,few_shot,131,142.64,0.00,170.50,1,5.87,1
torchinferno,few_shot,132,145.31,39.31,184.62,2,10.83,1
torchinferno,few_shot,133,137.66,0.00,190.77,1,5.24,1
torchinferno,few_shot,134,181.03,0.00,194.25,1,5.15,1
torchinferno,few_shot,135,165.56,11.52,177.08,2,11.29,1
torchinferno,few_shot,136,151.57,0.00,185.34,1,5.40,1
torchinferno,few_shot,137,185.78,0.00,193.10,1,5.18,1
torchinferno,few_shot,138,281.54,293.35,574.90,2,3.48,1
torchinferno,few_shot,139,630.09,0.00,632.58,1,1.58,1
torchinferno,few_shot,140,566.55,0.00,579.80,1,1.72,1
torchinferno,few_shot,141,613.74,0.00,614.03,1,1.63,1
torchinferno,few_shot,142,629.09,0.00,652.97,1,1.53,1
torchinferno,few_shot,143,591.78,0.00,605.68,1,1.65,1
torchinferno,few_shot,144,604.00,0.00,617.16,1,1.62,1
torchinferno,few_shot,145,626.75,0.00,641.66,1,1.56,1
torchinferno,few_shot,146,579.22,0.00,609.13,1,1.64,1
torchinferno,few_shot,147,559.01,0.00,589.32,1,1.70,1
torchinferno,few_shot,148,611.30,31.63,642.93,2,3.11,1
torchinferno,few_shot,149,587.04,0.00,620.44,1,1.61,1
torchinferno,few_shot,150,610.86,0.00,647.56,1,1.54,1
torchinferno,few_shot,151,582.59,0.00,613.95,1,1.63,1
torchinferno,few_shot,152,637.19,44.29,681.47,2,2.93,1
torchinferno,few_shot,153,633.84,0.00,667.39,1,1.50,1
torchinferno,few_shot,154,610.66,0.00,649.46,1,1.54,1
torchinferno,few_shot,155,591.51,47.49,638.99,2,3.13,1
torchinferno,few_shot,156,577.90,0.00,618.41,1,1.62,1
torchinferno,few_shot,157,610.32,37.68,648.00,2,3.09,1
torchinferno,few_shot,158,603.69,0.00,651.75,1,1.53,1
torchinferno,few_shot,159,631.60,51.55,683.14,2,2.93,1
torchinferno,few_shot,160,581.22,51.81,633.03,2,3.16,1
torchinferno,few_shot,161,646.36,15.00,661.36,2,3.02,1
torchinferno,few_shot,162,630.22,47.73,677.95,2,2.95,1
torchinferno,few_shot,163,666.91,0.00,667.52,1,1.50,1
torchinferno,few_shot,164,596.88,55.82,652.70,2,3.06,1
torchinferno,few_shot,165,572.20,58.19,630.39,2,3.17,1
torchinferno,few_shot,166,623.81,67.47,691.28,2,2.89,1
torchinferno,few_shot,167,582.22,58.26,640.48,2,3.12,1
torchinferno,few_shot,168,642.65,0.00,706.53,1,1.42,1
torchinferno,few_shot,169,596.29,0.00,666.43,1,1.50,1
torchinferno,few_shot,170,541.89,0.00,609.37,1,1.64,1
torchinferno,few_shot,171,609.07,65.81,674.89,2,2.96,1
torchinferno,few_shot,172,720.17,0.35,720.52,2,2.78,1
torchinferno,few_shot,173,628.01,0.00,628.32,1,1.59,1
torchinferno,few_shot,174,574.15,71.16,645.31,2,3.10,1
torchinferno,few_shot,175,625.86,0.00,696.20,1,1.44,1
torchinferno,few_shot,176,615.46,0.00,701.57,1,1.43,1
torchinferno,few_shot,177,614.04,0.00,694.48,1,1.44,1
torchinferno,few_shot,178,565.33,0.00,646.00,1,1.55,1
torchinferno,few_shot,179,588.76,92.24,680.99,2,2.94,1
torchinferno,few_shot,180,610.66,0.00,624.94,1,1.60,1
torchinferno,few_shot,181,619.91,0.00,639.80,1,1.56,1
torchinferno,few_shot,182,717.12,0.00,737.05,1,1.36,1
torchinferno,few_shot,183,656.45,0.00,747.89,1,1.34,1
torchinferno,few_shot,184,561.93,99.36,661.29,2,3.02,1
torchinferno,few_shot,185,140.05,26.24,166.29,2,12.03,1
torchinferno,few_shot,186,626.66,32.19,658.85,2,3.04,1
torchinferno,few_shot,187,657.99,95.36,753.35,2,2.65,1
torchinferno,few_shot,188,643.29,0.00,658.55,1,1.52,1
torchinferno,few_shot,189,656.32,0.00,676.42,1,1.48,1
torchinferno,few_shot,190,617.89,35.20,653.10,2,3.06,1
torchinferno,few_shot,191,635.51,101.78,737.29,2,2.71,1
torchinferno,few_shot,192,586.43,0.00,694.32,1,1.44,1
torchinferno,few_shot,193,649.83,108.46,758.29,2,2.64,1
torchinferno,few_shot,194,625.68,119.57,745.25,2,2.68,1
torchinferno,few_shot,195,665.71,35.97,701.68,2,2.85,1
torchinferno,few_shot,196,619.00,123.25,742.25,2,2.69,1
torchinferno,few_shot,197,709.83,0.39,710.22,2,2.82,1
torchinferno,few_shot,198,667.99,3.56,671.55,2,2.98,1
torchinferno,few_shot,199,665.58,0.00,668.43,1,1.50,1
torchinferno,few_shot,200,712.80,55.09,767.90,2,2.60,1
torchinferno,few_shot,201,678.63,31.23,709.87,2,2.82,1
torchinferno,few_shot,202,701.05,83.44,867.93,3,3.46,0
torchinferno,few_shot,203,270.73,0.00,278.73,1,3.59,1
torchinferno,few_shot,204,237.19,0.00,250.39,1,3.99,1
torchinferno,few_shot,205,265.09,0.00,270.30,1,3.70,1
torchinferno,few_shot,206,199.75,0.00,217.72,1,4.59,1
torchinferno,few_shot,207,188.75,0.00,204.28,1,4.90,1
torchinferno,few_shot,208,231.67,0.00,260.39,1,3.84,1
torchinferno,few_shot,209,202.11,0.00,219.12,1,4.56,1
torchinferno,few_shot,210,236.80,0.00,256.43,1,3.90,1
torchinferno,few_shot,211,295.73,0.00,313.55,1,3.19,1
torchinferno,few_shot,212,277.01,0.00,309.54,1,3.23,1
torchinferno,few_shot,213,186.71,31.94,218.65,2,9.15,1
torchinferno,few_shot,214,257.14,0.00,294.87,1,3.39,1
torchinferno,few_shot,215,250.44,35.37,285.81,2,7.00,1
torchinferno,few_shot,216,273.74,0.00,309.15,1,3.23,1
torchinferno,few_shot,217,221.96,33.48,255.44,2,7.83,1
torchinferno,few_shot,218,181.84,0.00,224.61,1,4.45,1
torchinferno,few_shot,219,203.17,0.00,235.43,1,4.25,1
torchinferno,few_shot,220,266.93,0.00,309.42,1,3.23,1
torchinferno,few_shot,221,183.67,0.00,234.83,1,4.26,1
torchinferno,few_shot,222,253.83,0.00,298.19,1,3.35,1
torchinferno,few_shot,223,277.08,46.72,323.80,2,6.18,1
torchinferno,few_shot,224,214.99,46.96,261.95,2,7.63,1
torchinferno,few_shot,225,213.13,0.00,265.01,1,3.77,1
torchinferno,few_shot,226,226.83,0.00,282.14,1,3.54,1
torchinferno,few_shot,227,290.44,0.00,336.14,1,2.97,1
torchinferno,few_shot,228,227.54,44.70,272.25,2,7.35,1
torchinferno,few_shot,229,277.26,0.00,315.07,1,3.17,1
torchinferno,few_shot,230,201.67,60.49,262.16,2,7.63,1
torchinferno,few_shot,231,274.54,59.13,333.67,2,5.99,1
torchinferno,few_shot,232,252.95,0.00,311.25,1,3.21,1
torchinferno,few_shot,233,176.39,0.00,238.42,1,4.19,1
torchinferno,few_shot,234,243.41,0.00,316.02,1,3.16,1
torchinferno,few_shot,235,245.25,75.76,321.01,2,6.23,1
torchinferno,few_shot,236,187.98,76.63,264.60,2,7.56,1
torchinferno,few_shot,237,221.42,0.00,298.10,1,3.35,1
torchinferno,few_shot,238,215.85,76.63,292.48,2,6.84,1
torchinferno,few_shot,239,287.69,0.00,288.20,1,3.47,1
torchinferno,few_shot,240,339.77,0.00,340.28,1,2.94,1
torchinferno,few_shot,241,220.87,0.00,287.36,1,3.48,1
torchinferno,few_shot,242,251.80,0.72,252.51,2,7.92,1
torchinferno,few_shot,243,262.50,27.56,290.06,2,6.90,1
torchinferno,few_shot,244,259.89,0.00,348.21,1,2.87,1
torchinferno,few_shot,245,197.98,85.35,283.33,2,7.06,1
torchinferno,few_shot,246,259.66,0.00,287.67,1,3.48,1
torchinferno,few_shot,247,307.76,0.00,313.12,1,3.19,1
torchinferno,few_shot,248,247.49,91.25,338.74,2,5.90,1
torchinferno,few_shot,249,229.36,0.00,319.02,1,3.13,1
torchinferno,few_shot,250,233.46,36.34,269.80,2,7.41,1
torchinferno,few_shot,251,347.34,39.39,386.74,2,5.17,1
torchinferno,few_shot,252,180.35,96.66,277.01,2,7.22,1
torchinferno,few_shot,253,323.22,19.04,342.26,2,5.84,1
torchinferno,few_shot,254,178.42,0.00,287.65,1,3.48,1
torchinferno,few_shot,255,267.41,40.76,308.17,2,6.49,1
torchinferno,few_shot,256,281.50,38.61,320.11,2,6.25,1
torchinferno,few_shot,257,360.53,0.00,368.64,1,2.71,1
torchinferno,few_shot,258,225.67,0.00,347.00,1,2.88,1
torchinferno,few_shot,259,260.16,0.00,384.84,1,2.60,1
torchinferno,few_shot,260,275.08,0.00,396.97,1,2.52,1
