model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-11T09:01:10.081190

Build Times
provider,build_time_s
vllm,1045.7
sglang,281.2
torchinferno,81.2

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,163.75,150.17,743.87,sglang
ttft_p99_ms,805.36,7169.74,2399.03,vllm
tpot_median_ms,57.57,76.15,403.70,vllm
tpot_p99_ms,132.92,7506.47,1926.99,vllm
e2e_median_ms,216.66,224.13,1131.00,vllm
e2e_p99_ms,875.28,14674.06,4306.97,vllm
throughput_median_tps,6.66,5.36,1.38,vllm
total_output_tokens,1466,1461,1460,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,179.75,227.53,429.82,vllm
ttft_p99_ms,489.16,717.63,715.77,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,203.86,391.72,552.48,vllm
e2e_p99_ms,515.08,792.00,840.25,vllm
throughput_median_tps,4.91,2.55,1.81,vllm
total_output_tokens,1000,1000,1000,vllm
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,179.41,163.95,1271.52,sglang
ttft_p99_ms,372.81,788.97,2941.66,vllm
tpot_median_ms,53.40,112.05,323.88,vllm
tpot_p99_ms,185.07,250.01,2014.78,vllm
e2e_median_ms,229.38,271.11,1542.30,vllm
e2e_p99_ms,471.26,949.18,4883.12,vllm
throughput_median_tps,6.00,4.90,0.80,vllm
total_output_tokens,1462,1450,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,149.29,120.54,2152.85,sglang
ttft_last_turn_ms,172.35,171.75,1622.17,sglang
ttft_growth_ratio,1.15,1.42,0.75,torchinferno

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,60.67,77.98,,vllm
ttft_p99_ms,136.44,453.49,,vllm
tpot_median_ms,26.91,56.96,,vllm
tpot_p99_ms,50.61,429.07,,vllm
e2e_median_ms,81.41,142.68,,vllm
e2e_p99_ms,166.76,601.58,,vllm
throughput_median_tps,15.17,9.34,,vllm
total_output_tokens,1469,1476,,sglang
num_requests,992,992,,
correctness_rate,0.97,0.97,,sglang

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,80.70,72.23,,sglang
ttft_p99_ms,258.21,297.11,,vllm
tpot_median_ms,15.06,22.22,,vllm
tpot_p99_ms,21.83,42.11,,vllm
e2e_median_ms,643.51,822.66,,vllm
e2e_p99_ms,1014.18,1543.20,,vllm
throughput_median_tps,57.58,42.19,,vllm
total_output_tokens,36715,36715,,vllm
num_requests,1000,1000,,
correctness_rate,1.00,1.00,,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,719.09,0.00,724.28,1,1.38,1
vllm,few_shot,1,723.31,85.81,809.12,2,2.47,1
vllm,few_shot,2,791.41,0.00,809.01,1,1.24,1
vllm,few_shot,3,785.10,0.00,812.17,1,1.23,1
vllm,few_shot,4,782.87,0.00,797.84,1,1.25,1
vllm,few_shot,5,800.03,0.00,815.45,1,1.23,1
vllm,few_shot,6,788.05,0.00,810.94,1,1.23,1
vllm,few_shot,7,810.58,0.00,833.11,1,1.20,1
vllm,few_shot,8,814.81,0.00,835.23,1,1.20,1
vllm,few_shot,9,796.43,0.00,813.14,1,1.23,1
vllm,few_shot,10,799.00,0.00,817.67,1,1.22,1
vllm,few_shot,11,788.71,0.00,816.48,1,1.22,1
vllm,few_shot,12,811.58,0.00,843.95,1,1.18,1
vllm,few_shot,13,782.82,0.00,824.26,1,1.21,1
vllm,few_shot,14,788.12,0.00,814.48,1,1.23,1
vllm,few_shot,15,786.79,0.00,819.55,1,1.22,1
vllm,few_shot,16,800.77,0.00,828.82,1,1.21,1
vllm,few_shot,17,792.06,30.63,822.69,2,2.43,1
vllm,few_shot,18,790.61,0.00,825.01,1,1.21,1
vllm,few_shot,19,790.40,32.82,823.22,2,2.43,1
vllm,few_shot,20,777.00,0.00,818.66,1,1.22,1
vllm,few_shot,21,777.46,0.00,828.80,1,1.21,1
vllm,few_shot,22,797.77,43.74,841.51,2,2.38,1
vllm,few_shot,23,803.67,0.00,845.06,1,1.18,1
vllm,few_shot,24,793.51,0.00,830.94,1,1.20,1
vllm,few_shot,25,774.16,58.70,832.86,2,2.40,1
vllm,few_shot,26,806.74,0.00,859.54,1,1.16,1
vllm,few_shot,27,781.26,0.00,836.75,1,1.20,1
vllm,few_shot,28,785.94,48.29,834.22,2,2.40,1
vllm,few_shot,29,818.82,0.00,861.47,1,1.16,1
vllm,few_shot,30,778.03,63.56,841.59,2,2.38,1
vllm,few_shot,31,806.91,61.27,868.17,2,2.30,1
vllm,few_shot,32,787.55,57.75,845.29,2,2.37,1
vllm,few_shot,33,779.31,0.00,833.05,1,1.20,1
vllm,few_shot,34,784.91,67.79,852.69,2,2.35,1
vllm,few_shot,35,773.52,67.51,841.03,2,2.38,1
vllm,few_shot,36,785.13,0.00,837.34,1,1.19,1
vllm,few_shot,37,794.82,0.00,845.49,1,1.18,1
vllm,few_shot,38,775.94,65.40,841.34,2,2.38,1
vllm,few_shot,39,793.27,68.12,861.39,2,2.32,1
vllm,few_shot,40,817.74,0.00,878.29,1,1.14,1
vllm,few_shot,41,797.70,65.63,863.33,2,2.32,1
vllm,few_shot,42,821.16,59.33,880.49,2,2.27,1
vllm,few_shot,43,795.09,0.00,857.35,1,1.17,1
vllm,few_shot,44,787.05,79.34,866.39,2,2.31,1
vllm,few_shot,45,777.98,78.35,856.33,2,2.34,1
vllm,few_shot,46,805.36,80.67,886.02,2,2.26,1
vllm,few_shot,47,794.30,77.39,871.69,2,2.29,1
vllm,few_shot,48,801.19,71.89,873.08,2,2.29,1
vllm,few_shot,49,785.74,0.00,866.14,1,1.15,1
vllm,few_shot,50,805.95,0.00,890.45,1,1.12,1
vllm,few_shot,51,790.90,80.89,871.78,2,2.29,1
vllm,few_shot,52,792.29,76.28,868.57,2,2.30,1
