model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-20T15:03:03.024728

Build Times
provider,build_time_s
torchinferno,400.6
vllm,561.7
sglang,267.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,221.95,138.41,146.34,vllm
ttft_p99_ms,2279.68,247.84,652.23,vllm
tpot_median_ms,34.41,48.53,76.93,torchinferno
tpot_p99_ms,363.94,130.88,412.47,vllm
e2e_median_ms,250.77,185.34,215.65,vllm
e2e_p99_ms,2309.90,312.10,941.65,vllm
throughput_median_tps,5.28,7.61,5.63,vllm
total_output_tokens,1461,1463,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,296.04,179.13,222.59,vllm
ttft_p99_ms,724.85,433.97,71524.80,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,410.91,202.83,365.91,vllm
e2e_p99_ms,846.04,467.96,71593.60,vllm
throughput_median_tps,2.43,4.93,2.73,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,503.53,154.62,164.52,vllm
ttft_p99_ms,1187.94,321.67,288.93,sglang
tpot_median_ms,36.80,47.49,103.79,torchinferno
tpot_p99_ms,61.33,178.63,230.89,torchinferno
e2e_median_ms,544.33,196.14,265.93,vllm
e2e_p99_ms,1214.63,399.05,433.66,vllm
throughput_median_tps,2.26,6.85,5.22,vllm
total_output_tokens,1450,1450,1448,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,461.56,124.95,109.78,sglang
ttft_last_turn_ms,931.29,157.33,209.28,vllm
ttft_growth_ratio,2.02,1.26,1.91,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,240.88,57.28,82.46,vllm
ttft_p99_ms,619.82,2050.23,495.01,sglang
tpot_median_ms,31.50,29.38,44.08,vllm
tpot_p99_ms,248.06,1739.57,132.22,sglang
e2e_median_ms,275.34,80.12,142.85,vllm
e2e_p99_ms,867.88,2078.76,554.15,sglang
throughput_median_tps,5.25,15.03,9.92,vllm
total_output_tokens,1472,1475,1478,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,351.22,67.02,69.96,vllm
ttft_p99_ms,1458.95,161.07,127.27,sglang
tpot_median_ms,22.15,15.11,22.51,vllm
tpot_p99_ms,42.88,25.87,27.67,vllm
e2e_median_ms,1076.76,620.69,829.51,vllm
e2e_p99_ms,2430.56,1025.81,1587.76,vllm
throughput_median_tps,32.07,58.91,41.88,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1063.28,122.69,1185.97,2,1.69,1
torchinferno,few_shot,1,1656.94,0.00,1994.46,1,0.50,1
torchinferno,few_shot,2,1658.35,0.00,1996.74,1,0.50,1
torchinferno,few_shot,3,1657.93,0.00,1998.96,1,0.50,1
torchinferno,few_shot,4,1657.63,0.00,1999.09,1,0.50,1
torchinferno,few_shot,5,1656.02,0.00,2001.53,1,0.50,1
torchinferno,few_shot,6,1654.32,0.00,2000.82,1,0.50,1
torchinferno,few_shot,7,1657.82,0.00,2004.30,1,0.50,1
torchinferno,few_shot,8,1657.10,0.00,2005.51,1,0.50,1
torchinferno,few_shot,9,1656.14,0.00,2008.48,1,0.50,1
torchinferno,few_shot,10,1662.92,0.00,2013.10,1,0.50,1
torchinferno,few_shot,11,1654.39,356.17,2010.56,2,0.99,1
torchinferno,few_shot,12,1654.21,356.32,2010.53,2,0.99,1
torchinferno,few_shot,13,1657.62,355.82,2013.43,2,0.99,1
torchinferno,few_shot,14,1653.31,361.75,2015.05,2,0.99,1
torchinferno,few_shot,15,1654.19,364.56,2018.75,2,0.99,1
torchinferno,few_shot,16,1656.46,361.53,2017.99,2,0.99,1
torchinferno,few_shot,17,1655.99,368.86,2024.85,2,0.99,1
torchinferno,few_shot,18,1663.07,363.94,2027.01,2,0.99,1
torchinferno,few_shot,19,1654.75,369.97,2024.73,2,0.99,1
torchinferno,few_shot,20,1656.37,371.79,2028.16,2,0.99,1
torchinferno,few_shot,21,2224.58,0.00,2231.77,1,0.45,1
torchinferno,few_shot,22,2217.58,0.00,2233.36,1,0.45,1
torchinferno,few_shot,23,2216.78,0.00,2232.30,1,0.45,1
torchinferno,few_shot,24,2220.03,0.00,2234.58,1,0.45,1
torchinferno,few_shot,25,2217.54,0.00,2237.57,1,0.45,1
torchinferno,few_shot,26,2218.88,0.00,2237.62,1,0.45,1
torchinferno,few_shot,27,2219.62,0.00,2240.92,1,0.45,1
torchinferno,few_shot,28,2217.63,0.00,2241.83,1,0.45,1
torchinferno,few_shot,29,2218.45,28.80,2247.25,2,0.89,1
torchinferno,few_shot,30,2219.30,27.43,2246.73,2,0.89,1
torchinferno,few_shot,31,2220.83,27.54,2248.37,2,0.89,1
torchinferno,few_shot,32,2225.10,26.21,2251.30,2,0.89,1
torchinferno,few_shot,33,2219.40,33.73,2253.13,2,0.89,1
torchinferno,few_shot,34,2221.15,0.00,2252.68,1,0.44,1
torchinferno,few_shot,35,2217.62,0.00,2253.65,1,0.44,1
torchinferno,few_shot,36,2221.38,34.35,2255.73,2,0.89,1
torchinferno,few_shot,37,2218.47,37.72,2256.18,2,0.89,1
torchinferno,few_shot,38,2221.11,36.99,2258.10,2,0.89,1
torchinferno,few_shot,39,2216.97,0.00,2259.48,1,0.44,1
torchinferno,few_shot,40,2222.34,43.94,2266.29,2,0.88,1
torchinferno,few_shot,41,2279.68,0.00,2292.89,1,0.44,1
torchinferno,few_shot,42,2279.43,0.00,2294.04,1,0.44,1
torchinferno,few_shot,43,2277.83,0.00,2293.96,1,0.44,1
torchinferno,few_shot,44,2281.71,0.00,2297.63,1,0.44,1
torchinferno,few_shot,45,2279.47,0.00,2297.08,1,0.44,1
