model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-25T05:02:53.523464+00:00

Build Times
provider,build_time_s
torchinferno,423.7
vllm,541.2
sglang,280.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,128.27,158.20,vllm
ttft_p99_ms,,937.56,665.29,sglang
tpot_median_ms,,45.50,76.90,vllm
tpot_p99_ms,,121.66,594.32,vllm
e2e_median_ms,,165.76,233.11,vllm
e2e_p99_ms,,1020.57,894.76,sglang
throughput_median_tps,,8.04,5.29,vllm
total_output_tokens,,1457,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,205.80,219.13,vllm
ttft_p99_ms,,481.42,72583.80,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,226.35,384.90,vllm
e2e_p99_ms,,519.70,72739.17,vllm
throughput_median_tps,,4.42,2.60,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,161.81,165.01,vllm
ttft_p99_ms,,329.56,291.85,sglang
tpot_median_ms,,46.14,104.50,vllm
tpot_p99_ms,,204.74,240.19,vllm
e2e_median_ms,,204.27,262.34,vllm
e2e_p99_ms,,402.86,435.18,vllm
throughput_median_tps,,6.64,5.06,vllm
total_output_tokens,,1450,1450,vllm
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,sglang
ttft_first_turn_ms,,139.02,115.14,sglang
ttft_last_turn_ms,,157.21,212.85,vllm
ttft_growth_ratio,,1.13,1.85,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,59.69,86.20,vllm
ttft_p99_ms,,2065.23,614.89,sglang
tpot_median_ms,,28.64,33.25,vllm
tpot_p99_ms,,1713.18,131.72,sglang
e2e_median_ms,,81.47,133.91,vllm
e2e_p99_ms,,2102.81,644.39,sglang
throughput_median_tps,,14.89,9.80,vllm
total_output_tokens,,1466,1464,vllm
num_requests,,992,992,
correctness_rate,,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,81.15,74.51,sglang
ttft_p99_ms,,192.26,189.08,sglang
tpot_median_ms,,14.92,22.17,vllm
tpot_p99_ms,,24.41,26.35,vllm
e2e_median_ms,,605.36,828.56,vllm
e2e_p99_ms,,1001.29,1570.86,vllm
throughput_median_tps,,57.97,42.07,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,837.73,0.00,837.88,1,1.19,1
vllm,few_shot,1,836.67,0.00,841.01,1,1.19,1
vllm,few_shot,2,836.14,0.00,839.48,1,1.19,1
vllm,few_shot,3,836.27,0.00,840.20,1,1.19,1
vllm,few_shot,4,838.60,0.00,842.66,1,1.19,1
vllm,few_shot,5,837.26,0.00,840.83,1,1.19,1
vllm,few_shot,6,848.24,0.00,849.31,1,1.18,1
vllm,few_shot,7,839.36,0.00,849.34,1,1.18,1
vllm,few_shot,8,847.83,0.00,852.86,1,1.17,1
vllm,few_shot,9,873.98,0.00,894.36,1,1.12,1
vllm,few_shot,10,873.19,0.00,894.19,1,1.12,1
vllm,few_shot,11,876.78,0.00,898.15,1,1.11,1
vllm,few_shot,12,870.74,0.00,896.58,1,1.12,1
vllm,few_shot,13,870.27,41.52,911.79,2,2.19,1
vllm,few_shot,14,873.44,40.40,913.84,2,2.19,1
vllm,few_shot,15,888.85,0.00,916.61,1,1.09,1
vllm,few_shot,16,872.84,46.80,919.65,2,2.17,1
vllm,few_shot,17,893.90,0.00,915.63,1,1.09,1
vllm,few_shot,18,889.49,0.00,917.16,1,1.09,1
vllm,few_shot,19,873.30,46.57,919.87,2,2.17,1
vllm,few_shot,20,871.50,49.74,921.24,2,2.17,1
vllm,few_shot,21,906.79,0.00,932.71,1,1.07,1
vllm,few_shot,22,888.13,50.22,938.35,2,2.13,1
vllm,few_shot,23,919.70,0.00,937.41,1,1.07,1
vllm,few_shot,24,903.09,0.00,936.45,1,1.07,1
vllm,few_shot,25,909.15,0.00,937.03,1,1.07,1
vllm,few_shot,26,892.37,52.40,944.77,2,2.12,1
vllm,few_shot,27,906.40,0.00,941.14,1,1.06,1
vllm,few_shot,28,904.85,0.00,939.91,1,1.06,1
vllm,few_shot,29,887.16,58.24,945.40,2,2.12,1
vllm,few_shot,30,884.99,60.50,945.50,2,2.12,1
vllm,few_shot,31,907.54,0.00,946.33,1,1.06,1
vllm,few_shot,32,888.72,61.31,950.03,2,2.11,1
vllm,few_shot,33,907.58,0.00,950.76,1,1.05,1
vllm,few_shot,34,887.09,66.27,953.36,2,2.10,1
vllm,few_shot,35,903.76,0.00,951.06,1,1.05,1
vllm,few_shot,36,910.00,82.84,992.84,2,2.01,1
vllm,few_shot,37,920.18,0.00,986.67,1,1.01,1
vllm,few_shot,38,935.87,0.00,987.90,1,1.01,1
vllm,few_shot,39,932.18,0.00,996.62,1,1.00,1
vllm,few_shot,40,920.38,0.00,992.08,1,1.01,1
vllm,few_shot,41,908.39,95.03,1003.41,2,1.99,1
vllm,few_shot,42,928.61,0.00,1004.76,1,1.00,1
vllm,few_shot,43,119.86,0.00,120.08,1,8.33,1
vllm,few_shot,44,158.45,0.00,174.69,1,5.72,1
vllm,few_shot,45,929.88,78.51,1008.39,2,1.98,1
