model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-02T19:02:02.988410

Build Times
provider,build_time_s
torchinferno,423.8
vllm,1330.2
sglang,244.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,143.84,138.33,152.03,vllm
ttft_p99_ms,1706.94,277.67,7624.81,vllm
tpot_median_ms,44.82,44.21,71.56,vllm
tpot_p99_ms,76.54,153.34,390.78,torchinferno
e2e_median_ms,183.89,179.23,222.11,vllm
e2e_p99_ms,1747.14,333.64,7999.76,vllm
throughput_median_tps,6.35,7.53,5.63,vllm
total_output_tokens,1461,1462,1460,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1050.55,239.80,213.90,sglang
ttft_p99_ms,1493.71,4073.54,73393.51,torchinferno
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,1150.97,267.91,347.94,vllm
e2e_p99_ms,1595.45,4241.53,73508.54,torchinferno
throughput_median_tps,0.87,3.73,2.87,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,2366.78,178.43,163.21,sglang
ttft_p99_ms,4589.88,344.16,575.34,vllm
tpot_median_ms,380.06,61.01,106.76,vllm
tpot_p99_ms,1342.06,198.04,245.44,vllm
e2e_median_ms,2723.79,234.49,266.72,vllm
e2e_p99_ms,4687.56,434.33,621.95,vllm
throughput_median_tps,0.46,6.09,5.11,vllm
total_output_tokens,1450,1450,1460,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,1578.61,139.15,107.88,sglang
ttft_last_turn_ms,3414.26,161.75,187.10,vllm
ttft_growth_ratio,2.16,1.16,1.73,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,738.26,60.36,78.68,vllm
ttft_p99_ms,1230.69,114.69,547.63,vllm
tpot_median_ms,27.36,29.28,51.22,torchinferno
tpot_p99_ms,78.43,66.03,133.51,vllm
e2e_median_ms,759.35,82.08,137.14,vllm
e2e_p99_ms,1252.84,152.96,564.43,vllm
throughput_median_tps,1.77,15.07,10.16,vllm
total_output_tokens,1460,1462,1458,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,2894.26,68.65,78.59,vllm
ttft_p99_ms,5356.42,137.27,150.19,vllm
tpot_median_ms,89.14,14.82,23.54,vllm
tpot_p99_ms,212.67,25.25,28.54,vllm
e2e_median_ms,5728.65,606.18,886.56,vllm
e2e_p99_ms,11894.56,996.55,1708.28,vllm
throughput_median_tps,5.79,59.69,39.49,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1216.19,0.00,1224.11,1,0.82,1
torchinferno,few_shot,1,1216.54,0.00,1226.26,1,0.82,1
torchinferno,few_shot,2,1219.16,123.18,1342.34,2,1.49,1
torchinferno,few_shot,3,1630.80,0.00,1642.61,1,0.61,1
torchinferno,few_shot,4,1635.56,0.00,1649.01,1,0.61,1
torchinferno,few_shot,5,1631.35,0.00,1651.29,1,0.61,1
torchinferno,few_shot,6,1631.39,0.00,1653.59,1,0.60,1
torchinferno,few_shot,7,1629.37,0.00,1643.06,1,0.61,1
torchinferno,few_shot,8,1631.97,0.00,1655.19,1,0.60,1
torchinferno,few_shot,9,1626.04,0.00,1644.49,1,0.61,1
torchinferno,few_shot,10,1640.10,0.00,1662.33,1,0.60,1
torchinferno,few_shot,11,1627.88,0.00,1658.98,1,0.60,1
torchinferno,few_shot,12,1619.99,29.57,1649.56,2,1.21,1
torchinferno,few_shot,13,1623.22,0.00,1651.89,1,0.61,1
torchinferno,few_shot,14,1634.28,29.58,1663.86,2,1.20,1
torchinferno,few_shot,15,1621.99,34.22,1656.21,2,1.21,1
torchinferno,few_shot,16,1636.71,0.00,1671.05,1,0.60,1
torchinferno,few_shot,17,1637.26,0.00,1669.77,1,0.60,1
torchinferno,few_shot,18,1635.32,39.96,1675.28,2,1.19,1
torchinferno,few_shot,19,1629.43,42.94,1672.37,2,1.20,1
torchinferno,few_shot,20,1636.95,38.34,1675.29,2,1.19,1
torchinferno,few_shot,21,1634.67,40.08,1674.75,2,1.19,1
torchinferno,few_shot,22,1630.90,0.00,1674.72,1,0.60,1
torchinferno,few_shot,23,1633.06,51.16,1684.22,2,1.19,1
torchinferno,few_shot,24,1629.46,49.37,1678.83,2,1.19,1
torchinferno,few_shot,25,1622.62,50.73,1673.34,2,1.20,1
torchinferno,few_shot,26,1631.45,52.74,1684.18,2,1.19,1
torchinferno,few_shot,27,1634.10,49.45,1683.55,2,1.19,1
torchinferno,few_shot,28,1635.96,54.26,1690.22,2,1.18,1
torchinferno,few_shot,29,1636.75,51.64,1688.39,2,1.18,1
torchinferno,few_shot,30,1619.93,0.00,1680.37,1,0.60,1
torchinferno,few_shot,31,1620.49,0.00,1682.47,1,0.59,1
torchinferno,few_shot,32,1630.04,61.02,1691.07,2,1.18,1
torchinferno,few_shot,33,1625.86,58.51,1684.37,2,1.19,1
torchinferno,few_shot,34,1632.91,61.16,1694.08,2,1.18,1
torchinferno,few_shot,35,1703.58,0.00,1711.39,1,0.58,1
torchinferno,few_shot,36,1709.88,0.00,1714.51,1,0.58,1
torchinferno,few_shot,37,1705.91,0.00,1713.83,1,0.58,1
torchinferno,few_shot,38,1691.61,0.00,1714.41,1,0.58,1
torchinferno,few_shot,39,509.43,0.00,509.73,1,1.96,1
torchinferno,few_shot,40,1695.19,0.00,1720.32,1,0.58,1
torchinferno,few_shot,41,505.05,0.00,514.35,1,1.94,1
torchinferno,few_shot,42,1698.90,0.00,1721.39,1,0.58,1
torchinferno,few_shot,43,1701.35,0.00,1725.77,1,0.58,1
torchinferno,few_shot,44,1695.75,33.76,1729.51,2,1.16,1
torchinferno,few_shot,45,1708.03,0.00,1732.57,1,0.58,1
