model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-13T06:07:15.308815

Build Times
provider,build_time_s
torchinferno,345.7
vllm,987.2
sglang,167.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,399.52,156.50,137.49,sglang
ttft_p99_ms,1332.69,528.84,7713.28,vllm
tpot_median_ms,478.58,56.18,76.22,vllm
tpot_p99_ms,639.87,135.28,7318.46,vllm
e2e_median_ms,793.57,211.61,205.14,sglang
e2e_p99_ms,1956.25,574.74,15008.06,vllm
throughput_median_tps,1.71,6.98,5.90,vllm
total_output_tokens,1461,1461,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,718.71,209.03,,vllm
ttft_p99_ms,988.23,510.22,,vllm
tpot_median_ms,0.00,0.00,,torchinferno
tpot_p99_ms,0.00,0.00,,torchinferno
e2e_median_ms,749.65,229.84,,vllm
e2e_p99_ms,1018.01,521.64,,vllm
throughput_median_tps,1.33,4.35,,vllm
total_output_tokens,1000,1000,,torchinferno
num_requests,1000,1000,,
correctness_rate,1.00,1.00,,torchinferno
unique_final_answers,1,1,,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,632.08,176.33,,vllm
ttft_p99_ms,1100.89,334.98,,vllm
tpot_median_ms,271.48,53.20,,vllm
tpot_p99_ms,492.55,178.40,,vllm
e2e_median_ms,808.86,224.58,,vllm
e2e_p99_ms,1426.25,406.76,,vllm
throughput_median_tps,1.59,6.17,,vllm
total_output_tokens,1450,1460,,vllm
num_requests,1000,1000,,
correctness_rate,0.98,0.98,,vllm
ttft_first_turn_ms,615.07,149.63,,vllm
ttft_last_turn_ms,598.40,163.40,,vllm
ttft_growth_ratio,0.97,1.09,,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,494.41,57.92,,vllm
ttft_p99_ms,1739.10,119.66,,vllm
tpot_median_ms,465.12,26.56,,vllm
tpot_p99_ms,613.19,46.46,,vllm
e2e_median_ms,873.60,78.59,,vllm
e2e_p99_ms,2074.55,150.99,,vllm
throughput_median_tps,1.52,15.77,,vllm
total_output_tokens,1478,1468,,torchinferno
num_requests,992,992,,
correctness_rate,0.97,0.97,,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,608.38,69.01,,vllm
ttft_p99_ms,2072.20,157.97,,vllm
tpot_median_ms,31.12,14.98,,vllm
tpot_p99_ms,73.35,20.26,,vllm
e2e_median_ms,1978.71,603.36,,vllm
e2e_p99_ms,3064.53,1007.62,,vllm
throughput_median_tps,18.44,59.14,,vllm
total_output_tokens,36715,36715,,torchinferno
num_requests,1000,1000,,
correctness_rate,1.00,1.00,,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,699.09,0.00,810.63,1,1.23,1
torchinferno,few_shot,1,1333.95,0.00,1730.41,1,0.58,1
torchinferno,few_shot,2,1321.15,0.00,1738.25,1,0.58,1
torchinferno,few_shot,3,1321.83,0.00,1736.72,1,0.58,1
torchinferno,few_shot,4,1327.80,0.00,1740.57,1,0.57,1
torchinferno,few_shot,5,1320.11,0.00,1740.39,1,0.57,1
torchinferno,few_shot,6,1327.04,0.00,1743.12,1,0.57,1
torchinferno,few_shot,7,523.34,0.00,937.76,1,1.07,1
torchinferno,few_shot,8,1330.69,0.00,1743.79,1,0.57,1
torchinferno,few_shot,9,1329.51,0.00,1744.30,1,0.57,1
torchinferno,few_shot,10,1320.43,0.00,1750.55,1,0.57,1
torchinferno,few_shot,11,1325.24,0.00,1748.89,1,0.57,1
torchinferno,few_shot,12,1325.32,0.00,1760.52,1,0.57,1
torchinferno,few_shot,13,1333.68,0.00,1755.66,1,0.57,1
torchinferno,few_shot,14,1333.94,0.00,1755.50,1,0.57,1
torchinferno,few_shot,15,1334.81,0.00,1761.12,1,0.57,1
torchinferno,few_shot,16,1320.27,0.00,1759.70,1,0.57,1
torchinferno,few_shot,17,1325.49,0.00,1768.30,1,0.57,1
torchinferno,few_shot,18,1321.02,0.00,1765.69,1,0.57,1
torchinferno,few_shot,19,1323.84,0.00,1763.79,1,0.57,1
torchinferno,few_shot,20,1331.21,0.00,1763.07,1,0.57,1
torchinferno,few_shot,21,1331.69,0.00,1769.99,1,0.56,1
torchinferno,few_shot,22,1330.71,0.00,1769.89,1,0.57,1
torchinferno,few_shot,23,1329.96,0.00,1770.20,1,0.56,1
torchinferno,few_shot,24,1325.14,0.00,1777.91,1,0.56,1
torchinferno,few_shot,25,1325.93,0.00,1783.41,1,0.56,1
torchinferno,few_shot,26,1338.49,0.00,1783.69,1,0.56,1
torchinferno,few_shot,27,1323.64,0.00,1784.65,1,0.56,1
torchinferno,few_shot,28,1325.38,0.00,1780.20,1,0.56,1
torchinferno,few_shot,29,1326.64,0.00,1781.55,1,0.56,1
torchinferno,few_shot,30,1330.70,0.00,1787.99,1,0.56,1
torchinferno,few_shot,31,1331.28,0.00,1785.24,1,0.56,1
torchinferno,few_shot,32,1329.59,0.00,1799.95,1,0.56,1
torchinferno,few_shot,33,1328.31,592.09,1920.40,2,1.04,1
torchinferno,few_shot,34,1324.16,606.45,1930.61,2,1.04,1
torchinferno,few_shot,35,1336.67,596.55,1933.22,2,1.03,1
torchinferno,few_shot,36,1322.93,598.87,1921.81,2,1.04,1
torchinferno,few_shot,37,1333.31,593.16,1926.47,2,1.04,1
torchinferno,few_shot,38,1323.76,602.68,1926.44,2,1.04,1
torchinferno,few_shot,39,1324.53,609.67,1934.21,2,1.03,1
torchinferno,few_shot,40,1320.89,615.04,1935.93,2,1.03,1
torchinferno,few_shot,41,1332.26,608.45,1940.72,2,1.03,1
