model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-29T15:03:13.021214+00:00

Build Times
provider,build_time_s
torchinferno,703.1
vllm,608.8
sglang,276.8

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,168.70,135.22,148.12,vllm
ttft_p99_ms,2252.67,235.53,621.60,vllm
tpot_median_ms,48.00,43.55,71.37,vllm
tpot_p99_ms,845.58,130.07,144.07,vllm
e2e_median_ms,211.94,170.13,217.62,vllm
e2e_p99_ms,2285.12,304.64,647.21,vllm
throughput_median_tps,5.50,7.98,5.41,vllm
total_output_tokens,1461,1454,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,260.37,227.64,224.38,sglang
ttft_p99_ms,601.29,574.20,70195.09,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,281.82,256.81,367.94,vllm
e2e_p99_ms,618.50,601.60,70268.71,vllm
throughput_median_tps,3.55,3.89,2.72,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,289.38,163.78,159.89,sglang
ttft_p99_ms,435.81,345.05,277.42,sglang
tpot_median_ms,54.43,47.92,103.46,vllm
tpot_p99_ms,110.48,169.05,223.91,torchinferno
e2e_median_ms,341.94,207.93,256.76,vllm
e2e_p99_ms,482.73,414.57,422.34,vllm
throughput_median_tps,4.15,6.54,5.30,vllm
total_output_tokens,1446,1469,1450,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,273.45,141.57,112.68,sglang
ttft_last_turn_ms,377.66,165.41,201.15,vllm
ttft_growth_ratio,1.38,1.17,1.79,vllm
ttft_first_turn_median_ms,255.90,135.01,105.48,sglang
ttft_first_turn_p99_ms,423.33,292.66,192.67,sglang
ttft_last_turn_median_ms,379.12,161.28,203.56,vllm
ttft_last_turn_p99_ms,440.24,347.22,294.90,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,196.79,61.46,82.07,vllm
ttft_p99_ms,649.44,2036.23,474.10,sglang
tpot_median_ms,57.83,31.68,47.66,vllm
tpot_p99_ms,98.18,1744.49,130.95,torchinferno
e2e_median_ms,242.59,85.33,132.99,vllm
e2e_p99_ms,696.03,2070.30,550.75,sglang
throughput_median_tps,5.74,13.99,9.92,vllm
total_output_tokens,1458,1468,1453,vllm
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,309.64,71.33,69.27,sglang
ttft_p99_ms,897.89,140.95,176.67,vllm
tpot_median_ms,23.58,14.89,22.49,vllm
tpot_p99_ms,55.69,22.64,26.62,vllm
e2e_median_ms,1153.86,602.10,843.42,vllm
e2e_p99_ms,2105.55,988.14,1616.59,vllm
throughput_median_tps,31.61,58.81,41.54,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,1235.21,0.00,1736.74,1,0.58,1,,,,,,,1,,,
torchinferno,few_shot,17,1,1225.87,0.00,1735.35,1,0.58,1,,,,,,,17,,,
torchinferno,few_shot,11,2,1230.43,0.00,1739.46,1,0.57,1,,,,,,,11,,,
torchinferno,few_shot,12,3,1227.54,0.00,1741.23,1,0.57,1,,,,,,,12,,,
torchinferno,few_shot,5,4,1235.75,0.00,1745.77,1,0.57,1,,,,,,,5,,,
torchinferno,few_shot,7,5,1226.29,0.00,1745.65,1,0.57,1,,,,,,,7,,,
torchinferno,few_shot,4,6,1234.10,0.00,1749.42,1,0.57,1,,,,,,,4,,,
torchinferno,few_shot,9,7,1229.50,0.00,1748.96,1,0.57,1,,,,,,,9,,,
torchinferno,few_shot,8,8,1232.74,0.00,1751.12,1,0.57,1,,,,,,,8,,,
torchinferno,few_shot,10,9,1231.91,0.00,1753.53,1,0.57,1,,,,,,,10,,,
torchinferno,few_shot,6,10,1227.68,837.21,2064.89,2,0.97,1,,,,,,,6,,,
torchinferno,few_shot,13,11,1229.28,835.66,2064.94,2,0.97,1,,,,,,,13,,,
torchinferno,few_shot,22,12,1227.34,839.60,2066.94,2,0.97,1,,,,,,,22,,,
torchinferno,few_shot,14,13,1226.46,843.23,2069.69,2,0.97,1,,,,,,,14,,,
torchinferno,few_shot,20,14,1230.63,840.28,2070.91,2,0.97,1,,,,,,,20,,,
torchinferno,few_shot,0,15,1232.44,846.72,2079.16,2,0.96,1,,,,,,,0,,,
torchinferno,few_shot,3,16,1233.41,845.58,2078.99,2,0.96,1,,,,,,,3,,,
torchinferno,few_shot,15,17,1225.14,851.77,2076.90,2,0.96,1,,,,,,,15,,,
torchinferno,few_shot,2,18,1232.40,850.78,2083.18,2,0.96,1,,,,,,,2,,,
torchinferno,few_shot,21,19,1224.88,854.20,2079.08,2,0.96,1,,,,,,,21,,,
torchinferno,few_shot,29,20,2170.98,0.00,2179.93,1,0.46,1,,,,,,,29,,,
torchinferno,few_shot,37,21,2168.24,0.00,2182.29,1,0.46,1,,,,,,,37,,,
torchinferno,few_shot,47,22,2163.05,0.00,2182.54,1,0.46,1,,,,,,,47,,,
torchinferno,few_shot,34,23,2163.70,0.00,2185.67,1,0.46,1,,,,,,,34,,,
torchinferno,few_shot,28,24,2165.38,0.00,2187.94,1,0.46,1,,,,,,,28,,,
torchinferno,few_shot,24,25,2166.95,0.00,2189.70,1,0.46,1,,,,,,,24,,,
torchinferno,few_shot,35,26,2164.58,0.00,2190.12,1,0.46,1,,,,,,,35,,,
torchinferno,few_shot,55,27,2163.88,0.00,2188.11,1,0.46,1,,,,,,,55,,,
torchinferno,few_shot,48,28,2166.84,0.00,2190.35,1,0.46,1,,,,,,,48,,,
torchinferno,few_shot,42,29,2166.71,0.00,2192.35,1,0.46,1,,,,,,,42,,,
torchinferno,few_shot,39,30,2168.85,0.00,2196.29,1,0.46,1,,,,,,,39,,,
torchinferno,few_shot,33,31,2168.39,30.02,2198.40,2,0.91,1,,,,,,,33,,,
torchinferno,few_shot,30,32,2167.93,32.79,2200.71,2,0.91,1,,,,,,,30,,,
torchinferno,few_shot,31,33,2164.57,0.00,2201.46,1,0.45,1,,,,,,,31,,,
torchinferno,few_shot,19,34,2172.67,32.09,2204.76,2,0.91,1,,,,,,,19,,,
torchinferno,few_shot,43,35,2166.77,0.00,2202.24,1,0.45,1,,,,,,,43,,,
torchinferno,few_shot,44,36,2169.48,34.33,2203.81,2,0.91,1,,,,,,,44,,,
