model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-29T16:55:51.450060+00:00

Build Times
provider,build_time_s
vllm,0.0
sglang,0.0
torchinferno,0.0

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,234.08,123.83,166.48,sglang
ttft_p99_ms,645.43,550.21,4596.93,sglang
tpot_median_ms,89.63,73.85,50.16,torchinferno
tpot_p99_ms,221.77,153.73,1202.98,sglang
e2e_median_ms,312.59,199.26,210.11,sglang
e2e_p99_ms,727.31,600.42,4652.21,sglang
throughput_median_tps,4.99,6.20,5.47,sglang
total_output_tokens,1466,1459,1454,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,244.07,216.71,358.91,sglang
ttft_p99_ms,521.77,706.03,888.58,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,299.39,375.86,394.86,vllm
e2e_p99_ms,608.78,830.50,906.83,vllm
throughput_median_tps,3.34,2.66,2.53,vllm
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,256.73,167.06,308.04,sglang
ttft_p99_ms,478.32,717.64,545.41,vllm
tpot_median_ms,93.50,127.61,66.60,torchinferno
tpot_p99_ms,335.62,333.12,302.82,torchinferno
e2e_median_ms,361.55,288.10,368.20,sglang
e2e_p99_ms,576.58,863.53,678.86,vllm
throughput_median_tps,4.15,4.49,3.53,sglang
total_output_tokens,1450,1445,1448,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,
ttft_first_turn_ms,186.68,150.35,399.04,sglang
ttft_last_turn_ms,269.55,182.69,376.62,sglang
ttft_growth_ratio,1.44,1.22,0.94,torchinferno
ttft_first_turn_median_ms,151.43,78.46,380.23,sglang
ttft_first_turn_p99_ms,373.99,384.81,697.34,vllm
ttft_last_turn_median_ms,288.70,177.92,376.20,sglang
ttft_last_turn_p99_ms,467.11,288.42,512.81,sglang

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,123.85,62.05,282.91,sglang
ttft_p99_ms,200.46,576.12,670.68,vllm
tpot_median_ms,81.73,66.14,46.73,torchinferno
tpot_p99_ms,161.92,265.14,288.71,vllm
e2e_median_ms,186.35,140.74,324.18,sglang
e2e_p99_ms,292.23,644.18,710.60,vllm
throughput_median_tps,6.79,9.77,4.50,sglang
total_output_tokens,1471,1460,1477,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.96,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,89.14,61.63,296.12,sglang
ttft_p99_ms,390.81,420.26,1882.10,vllm
tpot_median_ms,26.50,24.51,25.07,sglang
tpot_p99_ms,40.45,51.21,70.65,vllm
e2e_median_ms,1082.88,911.58,1246.81,sglang
e2e_p99_ms,2091.06,1774.25,2999.55,sglang
throughput_median_tps,34.71,38.23,30.68,sglang
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
vllm,few_shot,4,0,413.47,0.00,455.37,1,2.20,1,,,,,,,4,,,
vllm,few_shot,1,1,458.32,0.00,500.54,1,2.00,1,,,,,,,1,,,
vllm,few_shot,6,2,454.07,201.66,655.73,2,3.05,1,,,,,,,6,,,
vllm,few_shot,7,3,497.67,0.00,660.57,1,1.51,1,,,,,,,7,,,
vllm,few_shot,2,4,458.33,205.89,664.22,2,3.01,1,,,,,,,2,,,
vllm,few_shot,12,5,487.79,0.00,658.23,1,1.52,1,,,,,,,12,,,
vllm,few_shot,8,6,495.33,0.00,666.36,1,1.50,1,,,,,,,8,,,
vllm,few_shot,11,7,492.24,0.00,661.46,1,1.51,1,,,,,,,11,,,
vllm,few_shot,10,8,490.30,0.00,663.62,1,1.51,1,,,,,,,10,,,
vllm,few_shot,0,9,455.44,218.86,674.30,2,2.97,1,,,,,,,0,,,
vllm,few_shot,5,10,496.46,0.00,673.84,1,1.48,1,,,,,,,5,,,
vllm,few_shot,9,11,493.77,0.00,667.86,1,1.50,1,,,,,,,9,,,
vllm,few_shot,3,12,455.75,221.77,677.52,2,2.95,1,,,,,,,3,,,
vllm,few_shot,15,13,486.55,195.69,682.24,2,2.93,1,,,,,,,15,,,
vllm,few_shot,29,14,639.29,0.00,677.67,1,1.48,1,,,,,,,29,,,
vllm,few_shot,13,15,492.37,194.08,686.45,2,2.91,1,,,,,,,13,,,
vllm,few_shot,42,16,635.36,0.00,673.38,1,1.49,1,,,,,,,42,,,
vllm,few_shot,53,17,626.98,0.00,670.33,1,1.49,1,,,,,,,53,,,
vllm,few_shot,48,18,626.25,0.00,673.94,1,1.48,1,,,,,,,48,,,
vllm,few_shot,46,19,630.03,0.00,677.34,1,1.48,1,,,,,,,46,,,
vllm,few_shot,60,20,633.85,0.00,673.49,1,1.48,1,,,,,,,60,,,
vllm,few_shot,25,21,651.72,0.00,691.89,1,1.45,1,,,,,,,25,,,
vllm,few_shot,18,22,486.97,209.05,696.02,2,2.87,1,,,,,,,18,,,
vllm,few_shot,14,23,489.40,209.15,698.54,2,2.86,1,,,,,,,14,,,
vllm,few_shot,58,24,622.60,0.00,679.16,1,1.47,1,,,,,,,58,,,
vllm,few_shot,55,25,636.05,0.00,680.88,1,1.47,1,,,,,,,55,,,
vllm,few_shot,28,26,643.31,0.00,696.03,1,1.44,1,,,,,,,28,,,
vllm,few_shot,35,27,650.37,0.00,694.51,1,1.44,1,,,,,,,35,,,
vllm,few_shot,24,28,645.43,0.00,701.68,1,1.43,1,,,,,,,24,,,
vllm,few_shot,38,29,638.11,0.00,694.76,1,1.44,1,,,,,,,38,,,
vllm,few_shot,43,30,629.62,0.00,691.69,1,1.45,1,,,,,,,43,,,
vllm,few_shot,31,31,642.37,0.00,700.34,1,1.43,1,,,,,,,31,,,
vllm,few_shot,47,32,635.26,0.00,692.79,1,1.44,1,,,,,,,47,,,
vllm,few_shot,17,33,643.67,0.00,709.60,1,1.41,1,,,,,,,17,,,
vllm,few_shot,57,34,646.14,0.00,690.47,1,1.45,1,,,,,,,57,,,
vllm,few_shot,26,35,640.41,0.00,706.76,1,1.41,1,,,,,,,26,,,
vllm,few_shot,39,36,641.69,0.00,699.40,1,1.43,1,,,,,,,39,,,
vllm,few_shot,34,37,639.75,0.00,705.12,1,1.42,1,,,,,,,34,,,
vllm,few_shot,16,38,487.93,226.50,714.43,2,2.80,1,,,,,,,16,,,
vllm,few_shot,41,39,645.69,0.00,702.61,1,1.42,1,,,,,,,41,,,
vllm,few_shot,37,40,635.83,0.00,707.85,1,1.41,1,,,,,,,37,,,
vllm,few_shot,36,41,635.82,79.16,714.98,2,2.80,1,,,,,,,36,,,
vllm,few_shot,19,42,641.68,82.93,724.62,2,2.76,1,,,,,,,19,,,
vllm,few_shot,33,43,640.84,77.97,718.81,2,2.78,1,,,,,,,33,,,
vllm,few_shot,27,44,654.31,67.63,721.94,2,2.77,1,,,,,,,27,,,
vllm,few_shot,50,45,632.83,79.58,712.40,2,2.81,1,,,,,,,50,,,
vllm,few_shot,21,46,641.25,88.27,729.52,2,2.74,1,,,,,,,21,,,
vllm,few_shot,40,47,642.95,75.39,718.34,2,2.78,1,,,,,,,40,,,
vllm,few_shot,52,48,635.78,78.52,714.30,2,2.80,1,,,,,,,52,,,
vllm,few_shot,20,49,641.06,93.41,734.47,2,2.72,1,,,,,,,20,,,
vllm,few_shot,22,50,654.35,80.48,734.82,2,2.72,1,,,,,,,22,,,
vllm,few_shot,51,51,626.16,93.12,719.28,2,2.78,1,,,,,,,51,,,
vllm,few_shot,59,52,640.52,77.35,717.87,2,2.79,1,,,,,,,59,,,
vllm,few_shot,44,53,626.02,99.10,725.12,2,2.76,1,,,,,,,44,,,
vllm,few_shot,49,54,638.61,84.92,723.53,2,2.76,1,,,,,,,49,,,
vllm,few_shot,63,55,631.23,88.87,720.10,2,2.78,1,,,,,,,63,,,
vllm,few_shot,56,56,630.87,92.42,723.29,2,2.77,1,,,,,,,56,,,
vllm,few_shot,64,57,237.84,0.00,299.18,1,3.34,1,,,,,,,64,,,
vllm,few_shot,30,58,651.26,87.61,738.87,2,2.71,1,,,,,,,30,,,
vllm,few_shot,62,59,628.61,96.56,725.16,2,2.76,1,,,,,,,62,,,
vllm,few_shot,32,60,642.57,97.81,740.38,2,2.70,1,,,,,,,32,,,
vllm,few_shot,61,61,642.53,84.78,727.31,2,2.75,1,,,,,,,61,,,
vllm,few_shot,54,62,644.42,86.02,730.44,2,2.74,1,,,,,,,54,,,
vllm,few_shot,23,63,654.46,94.77,749.23,2,2.67,1,,,,,,,23,,,
vllm,few_shot,45,64,646.44,93.39,739.82,2,2.70,1,,,,,,,45,,,
vllm,few_shot,65,65,234.35,0.00,272.42,1,3.67,1,,,,,,,65,,,
vllm,few_shot,68,66,131.72,0.00,150.00,1,6.67,1,,,,,,,68,,,
vllm,few_shot,74,67,121.09,0.00,140.30,1,7.13,1,,,,,,,74,,,
vllm,few_shot,76,68,119.28,0.00,138.83,1,7.20,1,,,,,,,76,,,
vllm,few_shot,67,69,133.90,0.00,155.16,1,6.44,1,,,,,,,67,,,
vllm,few_shot,66,70,139.93,0.00,161.76,1,6.18,1,,,,,,,66,,,
vllm,few_shot,69,71,130.62,0.00,152.74,1,6.55,1,,,,,,,69,,,
vllm,few_shot,72,72,125.49,0.00,148.81,1,6.72,1,,,,,,,72,,,
vllm,few_shot,71,73,126.79,0.00,151.60,1,6.60,1,,,,,,,71,,,
vllm,few_shot,70,74,127.49,165.83,293.32,2,6.82,1,,,,,,,70,,,
vllm,few_shot,75,75,123.04,167.15,290.19,2,6.89,1,,,,,,,75,,,
vllm,few_shot,73,76,124.32,171.81,296.13,2,6.75,1,,,,,,,73,,,
vllm,few_shot,88,77,254.41,0.00,290.27,1,3.45,1,,,,,,,88,,,
vllm,few_shot,90,78,244.80,0.00,290.64,1,3.44,1,,,,,,,90,,,
vllm,few_shot,109,79,223.63,0.00,264.30,1,3.78,1,,,,,,,109,,,
vllm,few_shot,80,80,260.82,0.00,311.18,1,3.21,1,,,,,,,80,,,
vllm,few_shot,100,81,233.93,0.00,288.24,1,3.47,1,,,,,,,100,,,
vllm,few_shot,102,82,243.15,0.00,287.40,1,3.48,1,,,,,,,102,,,
vllm,few_shot,101,83,243.19,0.00,290.18,1,3.45,1,,,,,,,101,,,
vllm,few_shot,95,84,243.58,0.00,296.98,1,3.37,1,,,,,,,95,,,
vllm,few_shot,81,85,263.71,0.00,316.25,1,3.16,1,,,,,,,81,,,
vllm,few_shot,98,86,242.59,0.00,296.10,1,3.38,1,,,,,,,98,,,
