model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-17T16:04:52.519999+00:00

Build Times
provider,build_time_s
torchinferno,51.7
vllm,266.9
sglang,162.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,143.28,93.54,96.42,vllm
ttft_p99_ms,719.37,169.82,520.47,vllm
tpot_median_ms,31.48,37.13,71.85,torchinferno
tpot_p99_ms,42.02,94.90,870.62,torchinferno
e2e_median_ms,167.41,122.07,162.04,vllm
e2e_p99_ms,735.23,206.69,951.73,vllm
throughput_median_tps,6.85,11.67,7.82,vllm
total_output_tokens,1461,1461,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,55.59,79.37,123.45,torchinferno
ttft_p99_ms,249.74,360.25,70867.42,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,73.97,97.17,210.16,torchinferno
e2e_p99_ms,268.44,367.78,70897.12,torchinferno
throughput_median_tps,13.52,10.29,4.76,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,190.93,89.95,95.49,vllm
ttft_p99_ms,1009.20,184.14,539.43,vllm
tpot_median_ms,34.37,33.34,77.59,vllm
tpot_p99_ms,118.43,111.73,896.37,vllm
e2e_median_ms,218.56,113.85,160.77,vllm
e2e_p99_ms,1040.03,231.65,949.72,vllm
throughput_median_tps,5.15,11.54,8.28,vllm
total_output_tokens,1442,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,432.18,81.33,79.15,sglang
ttft_last_turn_ms,172.04,91.33,100.38,vllm
ttft_growth_ratio,0.40,1.12,1.27,torchinferno
ttft_first_turn_median_ms,229.39,75.98,75.50,sglang
ttft_first_turn_p99_ms,1096.64,176.81,128.64,sglang
ttft_last_turn_median_ms,182.99,90.73,96.35,vllm
ttft_last_turn_p99_ms,208.57,177.68,137.28,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,52.99,35.15,62.44,vllm
ttft_p99_ms,802.88,109.60,305.52,vllm
tpot_median_ms,34.91,22.98,387.32,vllm
tpot_p99_ms,175.06,34.01,1007.60,vllm
e2e_median_ms,75.30,53.09,459.01,vllm
e2e_p99_ms,824.86,157.85,1106.99,vllm
throughput_median_tps,19.62,24.46,3.03,vllm
total_output_tokens,1478,1472,1473,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,177.18,47.52,54.95,vllm
ttft_p99_ms,472.11,64.10,264.70,vllm
tpot_median_ms,19.15,15.59,27.52,vllm
tpot_p99_ms,25.36,17.87,105.74,vllm
e2e_median_ms,896.47,584.14,1045.50,vllm
e2e_p99_ms,1522.34,1066.09,1966.31,vllm
throughput_median_tps,41.78,60.20,35.36,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,775.65,0.00,787.81,1,1.27,1,,,,,,,1,,,
torchinferno,few_shot,0,1,794.23,23.66,817.89,2,2.45,1,,,,,,,0,,,
torchinferno,few_shot,8,2,735.38,0.00,747.45,1,1.34,1,,,,,,,8,,,
torchinferno,few_shot,5,3,782.61,0.00,798.42,1,1.25,1,,,,,,,5,,,
torchinferno,few_shot,10,4,698.23,0.00,714.90,1,1.40,1,,,,,,,10,,,
torchinferno,few_shot,26,5,432.02,0.00,446.31,1,2.24,1,,,,,,,26,,,
torchinferno,few_shot,24,6,464.18,0.00,480.55,1,2.08,1,,,,,,,24,,,
torchinferno,few_shot,25,7,446.37,0.00,464.24,1,2.15,1,,,,,,,25,,,
torchinferno,few_shot,9,8,719.37,0.00,735.23,1,1.36,1,,,,,,,9,,,
torchinferno,few_shot,4,9,799.58,0.00,819.77,1,1.22,1,,,,,,,4,,,
torchinferno,few_shot,29,10,380.21,0.00,399.23,1,2.50,1,,,,,,,29,,,
torchinferno,few_shot,28,11,398.91,0.00,416.58,1,2.40,1,,,,,,,28,,,
torchinferno,few_shot,12,12,664.41,0.00,685.95,1,1.46,1,,,,,,,12,,,
torchinferno,few_shot,17,13,580.11,0.00,602.14,1,1.66,1,,,,,,,17,,,
torchinferno,few_shot,11,14,684.63,0.00,704.64,1,1.42,1,,,,,,,11,,,
torchinferno,few_shot,6,15,769.08,25.47,794.55,2,2.52,1,,,,,,,6,,,
torchinferno,few_shot,31,16,345.91,0.00,374.37,1,2.67,1,,,,,,,31,,,
torchinferno,few_shot,2,17,836.95,26.79,863.75,2,2.32,1,,,,,,,2,,,
torchinferno,few_shot,27,18,413.17,29.01,442.18,2,4.52,1,,,,,,,27,,,
torchinferno,few_shot,16,19,599.88,27.71,627.59,2,3.19,1,,,,,,,16,,,
torchinferno,few_shot,22,20,498.14,29.24,527.38,2,3.79,1,,,,,,,22,,,
torchinferno,few_shot,30,21,364.46,29.59,394.05,2,5.08,1,,,,,,,30,,,
torchinferno,few_shot,15,22,614.89,31.09,645.98,2,3.10,1,,,,,,,15,,,
torchinferno,few_shot,19,23,549.29,29.83,579.12,2,3.45,1,,,,,,,19,,,
torchinferno,few_shot,14,24,632.14,31.43,663.57,2,3.01,1,,,,,,,14,,,
torchinferno,few_shot,23,25,479.92,33.52,513.44,2,3.90,1,,,,,,,23,,,
torchinferno,few_shot,3,26,818.87,33.23,852.10,2,2.35,1,,,,,,,3,,,
torchinferno,few_shot,18,27,565.59,33.26,598.85,2,3.34,1,,,,,,,18,,,
torchinferno,few_shot,7,28,748.91,0.00,785.72,1,1.27,1,,,,,,,7,,,
torchinferno,few_shot,33,29,314.20,34.51,348.71,2,5.74,1,,,,,,,33,,,
torchinferno,few_shot,21,30,513.67,36.78,550.45,2,3.63,1,,,,,,,21,,,
torchinferno,few_shot,20,31,530.75,37.17,567.92,2,3.52,1,,,,,,,20,,,
torchinferno,few_shot,13,32,647.82,38.85,686.67,2,2.91,1,,,,,,,13,,,
torchinferno,few_shot,32,33,330.62,38.48,369.09,2,5.42,1,,,,,,,32,,,
torchinferno,few_shot,34,34,377.66,0.00,389.08,1,2.57,1,,,,,,,34,,,
torchinferno,few_shot,64,35,144.14,0.00,158.59,1,6.31,1,,,,,,,64,,,
torchinferno,few_shot,48,36,143.11,0.00,156.34,1,6.40,1,,,,,,,48,,,
torchinferno,few_shot,65,37,132.96,0.00,148.31,1,6.74,1,,,,,,,65,,,
torchinferno,few_shot,72,38,62.11,0.00,77.59,1,12.89,1,,,,,,,72,,,
