model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-02T05:12:22.140599

Build Times
provider,build_time_s
torchinferno,314.7
vllm,1331.9
sglang,214.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,242.07,166.29,139.97,sglang
ttft_p99_ms,1850.85,912.89,1308.14,vllm
tpot_median_ms,46.40,59.28,77.36,torchinferno
tpot_p99_ms,160.37,142.10,7029.12,vllm
e2e_median_ms,280.55,224.33,213.21,sglang
e2e_p99_ms,1905.07,983.69,8318.02,vllm
throughput_median_tps,5.23,6.45,5.70,vllm
total_output_tokens,1461,1461,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,1043.49,183.62,196.21,vllm
ttft_p99_ms,1621.16,444.32,72099.43,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,1144.10,205.32,330.55,vllm
e2e_p99_ms,1733.12,473.10,72184.92,vllm
throughput_median_tps,0.87,4.87,3.03,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,2641.18,168.65,166.93,sglang
ttft_p99_ms,5687.94,331.03,683.12,vllm
tpot_median_ms,391.70,56.23,99.56,vllm
tpot_p99_ms,1978.03,201.30,243.63,vllm
e2e_median_ms,2934.26,217.08,268.37,vllm
e2e_p99_ms,5891.78,430.88,758.55,vllm
throughput_median_tps,0.43,6.32,4.95,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang
ttft_first_turn_ms,1677.81,142.21,109.80,sglang
ttft_last_turn_ms,4003.92,171.48,196.57,vllm
ttft_growth_ratio,2.39,1.21,1.79,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,747.87,57.56,80.56,vllm
ttft_p99_ms,1329.45,131.68,731.08,vllm
tpot_median_ms,27.34,28.67,48.27,torchinferno
tpot_p99_ms,92.72,115.04,138.99,torchinferno
e2e_median_ms,771.60,77.91,140.07,vllm
e2e_p99_ms,1348.81,162.79,771.73,vllm
throughput_median_tps,1.54,15.48,9.74,vllm
total_output_tokens,1462,1463,1471,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,2897.49,68.46,74.57,vllm
ttft_p99_ms,5706.68,114.93,159.53,vllm
tpot_median_ms,93.57,15.01,22.91,vllm
tpot_p99_ms,248.63,19.83,27.65,vllm
e2e_median_ms,5775.53,599.29,860.36,vllm
e2e_p99_ms,12755.43,1010.32,1645.60,vllm
throughput_median_tps,5.47,59.14,40.87,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1335.32,0.00,1344.81,1,0.74,1
torchinferno,few_shot,1,1338.49,0.00,1350.18,1,0.74,1
torchinferno,few_shot,2,1335.73,0.00,1346.95,1,0.74,1
torchinferno,few_shot,3,1335.97,0.00,1351.12,1,0.74,1
torchinferno,few_shot,4,1340.63,159.37,1500.00,2,1.33,1
torchinferno,few_shot,5,1342.68,160.37,1503.06,2,1.33,1
torchinferno,few_shot,6,1780.39,0.00,1796.70,1,0.56,1
torchinferno,few_shot,7,1770.71,0.00,1788.00,1,0.56,1
torchinferno,few_shot,8,1771.24,0.00,1787.27,1,0.56,1
torchinferno,few_shot,9,1775.84,0.00,1792.33,1,0.56,1
torchinferno,few_shot,10,1771.55,0.00,1791.42,1,0.56,1
torchinferno,few_shot,11,1775.04,0.00,1796.69,1,0.56,1
torchinferno,few_shot,12,1775.39,0.00,1803.05,1,0.55,1
torchinferno,few_shot,13,1779.06,32.17,1811.22,2,1.10,1
torchinferno,few_shot,14,1769.85,0.00,1803.01,1,0.55,1
torchinferno,few_shot,15,1776.84,30.02,1806.86,2,1.11,1
torchinferno,few_shot,16,1786.78,0.00,1819.85,1,0.55,1
torchinferno,few_shot,17,1780.15,30.28,1810.43,2,1.10,1
torchinferno,few_shot,18,1769.48,37.06,1806.54,2,1.11,1
torchinferno,few_shot,19,1774.34,35.32,1809.66,2,1.11,1
torchinferno,few_shot,20,1786.59,35.90,1822.49,2,1.10,1
torchinferno,few_shot,21,1776.67,39.14,1815.81,2,1.10,1
torchinferno,few_shot,22,1778.39,0.00,1817.01,1,0.55,1
torchinferno,few_shot,23,1780.52,48.06,1828.58,2,1.09,1
torchinferno,few_shot,24,1796.50,0.00,1837.90,1,0.54,1
torchinferno,few_shot,25,1775.05,44.10,1819.15,2,1.10,1
torchinferno,few_shot,26,1770.69,0.00,1821.72,1,0.55,1
torchinferno,few_shot,27,1769.71,53.57,1823.28,2,1.10,1
torchinferno,few_shot,28,1771.40,0.00,1822.10,1,0.55,1
torchinferno,few_shot,29,1784.88,0.00,1837.72,1,0.54,1
torchinferno,few_shot,30,1784.50,0.00,1842.92,1,0.54,1
torchinferno,few_shot,31,1778.11,52.03,1830.13,2,1.09,1
torchinferno,few_shot,32,1774.96,57.76,1832.71,2,1.09,1
torchinferno,few_shot,33,1768.38,63.92,1832.30,2,1.09,1
torchinferno,few_shot,34,1779.20,66.06,1845.26,2,1.08,1
torchinferno,few_shot,35,1783.27,68.44,1851.72,2,1.08,1
torchinferno,few_shot,36,1773.52,66.98,1840.50,2,1.09,1
torchinferno,few_shot,37,1792.76,65.64,1858.41,2,1.08,1
torchinferno,few_shot,38,1858.35,0.00,1868.27,1,0.54,1
torchinferno,few_shot,39,1856.15,0.00,1868.48,1,0.54,1
torchinferno,few_shot,40,515.86,0.00,535.43,1,1.87,1
torchinferno,few_shot,41,375.64,0.00,392.67,1,2.55,1
torchinferno,few_shot,42,526.68,0.00,547.14,1,1.83,1
torchinferno,few_shot,43,1850.85,23.02,1873.87,2,1.07,1
torchinferno,few_shot,44,1870.20,0.00,1870.48,1,0.53,1
torchinferno,few_shot,45,1853.12,0.00,1877.88,1,0.53,1
