model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-17T11:02:24.464303+00:00

Build Times
provider,build_time_s
torchinferno,44.4
vllm,358.3
sglang,165.9

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,141.59,74.20,96.59,vllm
ttft_p99_ms,731.70,139.82,531.88,vllm
tpot_median_ms,31.95,35.49,73.51,torchinferno
tpot_p99_ms,45.73,88.78,915.76,torchinferno
e2e_median_ms,166.30,102.67,162.93,vllm
e2e_p99_ms,749.57,174.96,986.73,vllm
throughput_median_tps,6.94,13.49,8.06,vllm
total_output_tokens,1461,1461,1460,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,55.08,71.90,134.60,torchinferno
ttft_p99_ms,296.17,316.01,70943.13,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,73.01,90.30,212.06,torchinferno
e2e_p99_ms,302.77,449.79,71015.33,torchinferno
throughput_median_tps,13.70,11.07,4.72,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,191.92,88.04,88.94,vllm
ttft_p99_ms,1011.56,204.48,551.91,vllm
tpot_median_ms,35.01,34.19,82.20,vllm
tpot_p99_ms,47.81,128.06,901.52,torchinferno
e2e_median_ms,219.67,116.01,158.27,vllm
e2e_p99_ms,1026.04,251.51,949.78,vllm
throughput_median_tps,5.12,11.84,8.74,vllm
total_output_tokens,1448,1450,1450,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,425.29,85.34,67.71,sglang
ttft_last_turn_ms,176.65,94.51,94.15,sglang
ttft_growth_ratio,0.42,1.11,1.39,torchinferno
ttft_first_turn_median_ms,216.79,76.40,68.80,sglang
ttft_first_turn_p99_ms,1092.68,171.83,105.03,sglang
ttft_last_turn_median_ms,189.79,87.84,91.68,vllm
ttft_last_turn_p99_ms,207.65,204.48,132.18,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,53.01,36.84,58.07,vllm
ttft_p99_ms,770.34,113.38,150.24,vllm
tpot_median_ms,34.73,27.13,470.42,vllm
tpot_p99_ms,76.46,39.41,1292.24,vllm
e2e_median_ms,75.84,55.53,483.83,vllm
e2e_p99_ms,797.25,179.30,1421.98,vllm
throughput_median_tps,19.51,23.41,3.03,vllm
total_output_tokens,1462,1465,1466,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,188.94,47.25,55.24,vllm
ttft_p99_ms,539.09,65.75,131.35,vllm
tpot_median_ms,19.50,15.08,26.92,vllm
tpot_p99_ms,27.49,18.49,115.80,vllm
e2e_median_ms,837.14,575.83,1019.01,vllm
e2e_p99_ms,1694.42,1011.50,1894.01,vllm
throughput_median_tps,41.65,61.67,35.91,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,789.88,0.00,801.74,1,1.25,1,,,,,,,1,,,
torchinferno,few_shot,0,1,807.29,24.06,831.35,2,2.41,1,,,,,,,0,,,
torchinferno,few_shot,7,2,766.01,0.00,777.82,1,1.29,1,,,,,,,7,,,
torchinferno,few_shot,10,3,711.85,0.00,728.10,1,1.37,1,,,,,,,10,,,
torchinferno,few_shot,26,4,444.07,0.00,458.51,1,2.18,1,,,,,,,26,,,
torchinferno,few_shot,11,5,695.28,0.00,712.31,1,1.40,1,,,,,,,11,,,
torchinferno,few_shot,4,6,812.86,0.00,830.65,1,1.20,1,,,,,,,4,,,
torchinferno,few_shot,12,7,678.14,0.00,696.15,1,1.44,1,,,,,,,12,,,
torchinferno,few_shot,28,8,410.82,0.00,426.83,1,2.34,1,,,,,,,28,,,
torchinferno,few_shot,25,9,461.22,0.00,478.12,1,2.09,1,,,,,,,25,,,
torchinferno,few_shot,29,10,392.96,0.00,411.30,1,2.43,1,,,,,,,29,,,
torchinferno,few_shot,5,11,798.59,0.00,816.55,1,1.22,1,,,,,,,5,,,
torchinferno,few_shot,9,12,731.70,0.00,749.57,1,1.33,1,,,,,,,9,,,
torchinferno,few_shot,31,13,359.54,0.00,378.95,1,2.64,1,,,,,,,31,,,
torchinferno,few_shot,17,14,594.61,0.00,615.95,1,1.62,1,,,,,,,17,,,
torchinferno,few_shot,24,15,477.54,0.00,498.22,1,2.01,1,,,,,,,24,,,
torchinferno,few_shot,8,16,746.58,0.00,769.40,1,1.30,1,,,,,,,8,,,
torchinferno,few_shot,3,17,829.74,29.06,858.79,2,2.33,1,,,,,,,3,,,
torchinferno,few_shot,30,18,377.90,25.68,403.58,2,4.96,1,,,,,,,30,,,
torchinferno,few_shot,33,19,325.85,27.72,353.56,2,5.66,1,,,,,,,33,,,
torchinferno,few_shot,13,20,664.29,27.70,691.99,2,2.89,1,,,,,,,13,,,
torchinferno,few_shot,32,21,342.11,29.43,371.53,2,5.38,1,,,,,,,32,,,
torchinferno,few_shot,15,22,630.03,29.12,659.15,2,3.03,1,,,,,,,15,,,
torchinferno,few_shot,20,23,543.98,31.20,575.18,2,3.48,1,,,,,,,20,,,
torchinferno,few_shot,27,24,427.91,29.64,457.55,2,4.37,1,,,,,,,27,,,
torchinferno,few_shot,6,25,779.56,32.48,812.04,2,2.46,1,,,,,,,6,,,
torchinferno,few_shot,21,26,528.25,31.55,559.80,2,3.57,1,,,,,,,21,,,
torchinferno,few_shot,18,27,577.64,33.34,610.97,2,3.27,1,,,,,,,18,,,
torchinferno,few_shot,22,28,512.90,31.05,543.96,2,3.68,1,,,,,,,22,,,
torchinferno,few_shot,19,29,562.05,34.01,596.06,2,3.36,1,,,,,,,19,,,
torchinferno,few_shot,14,30,644.61,36.32,680.94,2,2.94,1,,,,,,,14,,,
torchinferno,few_shot,16,31,613.66,34.32,647.99,2,3.09,1,,,,,,,16,,,
torchinferno,few_shot,23,32,493.57,36.64,530.21,2,3.77,1,,,,,,,23,,,
torchinferno,few_shot,2,33,850.32,35.37,885.70,2,2.26,1,,,,,,,2,,,
torchinferno,few_shot,34,34,392.86,0.00,404.82,1,2.47,1,,,,,,,34,,,
torchinferno,few_shot,35,35,375.36,0.00,388.65,1,2.57,1,,,,,,,35,,,
torchinferno,few_shot,65,36,137.51,0.00,149.68,1,6.68,1,,,,,,,65,,,
torchinferno,few_shot,66,37,70.05,0.00,83.97,1,11.91,1,,,,,,,66,,,
torchinferno,few_shot,38,38,325.60,0.00,339.95,1,2.94,1,,,,,,,38,,,
