model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-06T15:01:54.282440

Build Times
provider,build_time_s
torchinferno,344.0
vllm,1266.5
sglang,200.0

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,401.95,148.96,165.39,vllm
ttft_p99_ms,2076.74,285.58,997.03,vllm
tpot_median_ms,51.01,52.97,70.67,torchinferno
tpot_p99_ms,137.13,144.16,7296.92,torchinferno
e2e_median_ms,448.28,200.18,230.98,vllm
e2e_p99_ms,2098.69,348.75,8282.45,vllm
throughput_median_tps,3.27,7.31,5.11,vllm
total_output_tokens,1461,1463,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,281.88,195.14,206.25,vllm
ttft_p99_ms,823.66,229.95,69989.59,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,383.19,242.90,334.45,vllm
e2e_p99_ms,965.41,324.28,70101.01,vllm
throughput_median_tps,2.61,4.12,2.99,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,735.71,173.79,168.78,sglang
ttft_p99_ms,1787.41,345.60,545.76,vllm
tpot_median_ms,64.36,61.72,100.31,vllm
tpot_p99_ms,156.06,186.83,519.11,torchinferno
e2e_median_ms,787.34,223.15,269.48,vllm
e2e_p99_ms,1858.00,435.52,622.50,vllm
throughput_median_tps,1.85,6.11,4.82,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,876.40,138.05,286.17,vllm
ttft_last_turn_ms,1084.27,177.32,196.87,vllm
ttft_growth_ratio,1.24,1.28,0.69,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,360.55,59.36,84.02,vllm
ttft_p99_ms,1059.81,3632.97,497.57,sglang
tpot_median_ms,30.97,28.76,49.86,vllm
tpot_p99_ms,267.70,1730.79,136.60,sglang
e2e_median_ms,390.33,80.25,146.49,vllm
e2e_p99_ms,1099.81,3746.47,540.54,sglang
throughput_median_tps,3.53,14.96,9.42,vllm
total_output_tokens,1462,1462,1458,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,516.49,67.36,79.88,vllm
ttft_p99_ms,1561.98,118.76,167.75,vllm
tpot_median_ms,30.29,15.05,22.87,vllm
tpot_p99_ms,58.68,21.11,29.05,vllm
e2e_median_ms,1579.59,603.12,866.02,vllm
e2e_p99_ms,3760.77,1015.62,1655.24,vllm
throughput_median_tps,22.81,59.23,40.62,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1256.22,0.00,1264.26,1,0.79,1
torchinferno,few_shot,1,1259.89,195.78,1455.67,2,1.37,1
torchinferno,few_shot,2,1257.86,197.97,1455.83,2,1.37,1
torchinferno,few_shot,3,1812.84,0.00,1827.23,1,0.55,1
torchinferno,few_shot,4,1816.68,0.00,1826.27,1,0.55,1
torchinferno,few_shot,5,1812.56,0.00,1838.01,1,0.54,1
torchinferno,few_shot,6,1815.81,0.00,1838.96,1,0.54,1
torchinferno,few_shot,7,1817.29,0.00,1834.91,1,0.54,1
torchinferno,few_shot,8,1812.29,27.33,1839.62,2,1.09,1
torchinferno,few_shot,9,1812.02,0.00,1839.16,1,0.54,1
torchinferno,few_shot,10,1823.39,0.00,1849.85,1,0.54,1
torchinferno,few_shot,11,1813.37,0.00,1844.27,1,0.54,1
torchinferno,few_shot,12,1816.95,31.78,1848.73,2,1.08,1
torchinferno,few_shot,13,1824.15,0.00,1854.84,1,0.54,1
torchinferno,few_shot,14,1819.34,0.00,1848.87,1,0.54,1
torchinferno,few_shot,15,1828.63,0.00,1856.75,1,0.54,1
torchinferno,few_shot,16,1826.39,30.28,1856.67,2,1.08,1
torchinferno,few_shot,17,1816.28,39.36,1855.65,2,1.08,1
torchinferno,few_shot,18,1809.67,45.15,1854.82,2,1.08,1
torchinferno,few_shot,19,1818.03,0.00,1866.52,1,0.54,1
torchinferno,few_shot,20,1814.61,49.44,1864.06,2,1.07,1
torchinferno,few_shot,21,1813.12,0.00,1864.93,1,0.54,1
torchinferno,few_shot,22,1813.42,53.08,1866.50,2,1.07,1
torchinferno,few_shot,23,1813.28,51.26,1864.53,2,1.07,1
torchinferno,few_shot,24,1812.51,0.00,1865.12,1,0.54,1
torchinferno,few_shot,25,1821.89,0.00,1865.57,1,0.54,1
torchinferno,few_shot,26,1824.16,47.40,1871.56,2,1.07,1
torchinferno,few_shot,27,1825.60,0.00,1872.40,1,0.53,1
torchinferno,few_shot,28,1822.51,51.77,1874.28,2,1.07,1
torchinferno,few_shot,29,1819.50,55.11,1874.61,2,1.07,1
torchinferno,few_shot,30,1813.45,0.00,1876.46,1,0.53,1
torchinferno,few_shot,31,1815.21,61.76,1876.97,2,1.07,1
torchinferno,few_shot,32,1824.12,60.01,1884.13,2,1.06,1
torchinferno,few_shot,33,1822.00,0.00,1882.81,1,0.53,1
torchinferno,few_shot,34,1811.80,0.00,1880.24,1,0.53,1
torchinferno,few_shot,35,1818.66,0.00,1885.60,1,0.53,1
torchinferno,few_shot,36,1819.71,0.00,1888.19,1,0.53,1
torchinferno,few_shot,37,1815.32,71.12,1886.44,2,1.06,1
torchinferno,few_shot,38,1816.44,77.81,1894.25,2,1.06,1
torchinferno,few_shot,39,1829.85,62.84,1892.68,2,1.06,1
torchinferno,few_shot,40,1818.47,85.79,1904.26,2,1.05,1
torchinferno,few_shot,41,1825.14,76.37,1901.50,2,1.05,1
torchinferno,few_shot,42,1820.27,0.00,1899.27,1,0.53,1
torchinferno,few_shot,43,1815.38,0.00,1900.51,1,0.53,1
torchinferno,few_shot,44,1813.17,0.00,1907.14,1,0.52,1
torchinferno,few_shot,45,1814.53,92.77,1907.30,2,1.05,1
