model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-28T09:01:44.701819

Build Times
provider,build_time_s
torchinferno,390.0
vllm,1363.7
sglang,203.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,258.95,162.90,149.58,sglang
ttft_p99_ms,1196.47,1074.80,7864.24,vllm
tpot_median_ms,65.08,57.27,69.53,vllm
tpot_p99_ms,147.41,153.08,7120.41,torchinferno
e2e_median_ms,319.89,219.17,215.72,sglang
e2e_p99_ms,1287.35,1138.97,14950.47,vllm
throughput_median_tps,4.11,6.57,5.61,vllm
total_output_tokens,1461,1465,1466,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,sglang

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,270.77,196.34,210.10,vllm
ttft_p99_ms,525.45,494.63,71701.57,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,311.10,221.57,346.32,vllm
e2e_p99_ms,633.03,527.68,71856.20,vllm
throughput_median_tps,3.21,4.51,2.89,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,759.50,173.28,163.78,sglang
ttft_p99_ms,1658.16,329.64,622.10,vllm
tpot_median_ms,56.16,57.38,98.33,torchinferno
tpot_p99_ms,110.19,185.56,224.99,torchinferno
e2e_median_ms,808.43,223.78,265.25,vllm
e2e_p99_ms,1714.62,421.54,667.51,vllm
throughput_median_tps,1.72,6.21,5.12,vllm
total_output_tokens,1462,1450,1462,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,830.05,132.25,111.52,sglang
ttft_last_turn_ms,878.98,173.47,195.94,vllm
ttft_growth_ratio,1.06,1.31,1.76,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,198.28,57.20,77.70,vllm
ttft_p99_ms,775.26,151.55,539.50,vllm
tpot_median_ms,28.97,27.35,45.74,vllm
tpot_p99_ms,114.58,114.94,130.62,torchinferno
e2e_median_ms,236.92,77.07,133.04,vllm
e2e_p99_ms,799.52,179.72,587.07,vllm
throughput_median_tps,5.68,15.78,10.44,vllm
total_output_tokens,1495,1466,1467,torchinferno
num_requests,992,992,992,
correctness_rate,0.96,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,549.68,68.57,77.76,vllm
ttft_p99_ms,1738.53,129.78,156.25,vllm
tpot_median_ms,14.68,14.98,23.86,torchinferno
tpot_p99_ms,58.23,21.89,30.07,vllm
e2e_median_ms,1259.71,607.23,927.08,vllm
e2e_p99_ms,2831.19,1006.93,1732.76,vllm
throughput_median_tps,27.75,59.11,38.77,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1079.85,0.00,1092.23,1,0.92,1
torchinferno,few_shot,1,1080.80,0.00,1093.10,1,0.91,1
torchinferno,few_shot,2,1083.29,0.00,1098.99,1,0.91,1
torchinferno,few_shot,3,1079.71,20.93,1100.63,2,1.82,1
torchinferno,few_shot,4,1084.92,23.30,1108.21,2,1.80,1
torchinferno,few_shot,5,1083.92,24.52,1108.44,2,1.80,1
torchinferno,few_shot,6,1191.30,0.00,1197.20,1,0.84,1
torchinferno,few_shot,7,1190.71,0.00,1212.02,1,0.83,1
torchinferno,few_shot,8,1191.75,0.00,1210.38,1,0.83,1
torchinferno,few_shot,9,1183.93,0.00,1199.11,1,0.83,1
torchinferno,few_shot,10,1182.29,0.00,1202.36,1,0.83,1
torchinferno,few_shot,11,1188.67,0.00,1205.70,1,0.83,1
torchinferno,few_shot,12,1182.55,0.00,1203.31,1,0.83,1
torchinferno,few_shot,13,1199.48,0.00,1221.47,1,0.82,1
torchinferno,few_shot,14,1179.84,0.00,1210.13,1,0.83,1
torchinferno,few_shot,15,1182.22,0.00,1209.91,1,0.83,1
torchinferno,few_shot,16,1185.69,0.00,1208.53,1,0.83,1
torchinferno,few_shot,17,1188.10,21.42,1209.52,2,1.65,1
torchinferno,few_shot,18,104.78,0.00,137.84,1,7.25,1
torchinferno,few_shot,19,1187.40,0.00,1227.60,1,0.81,1
torchinferno,few_shot,20,1178.61,0.00,1220.77,1,0.82,1
torchinferno,few_shot,21,1176.73,43.58,1220.32,2,1.64,1
torchinferno,few_shot,22,1176.42,43.69,1220.11,2,1.64,1
torchinferno,few_shot,23,1196.43,39.35,1235.78,2,1.62,1
torchinferno,few_shot,24,1190.14,0.00,1234.10,1,0.81,1
torchinferno,few_shot,25,1188.59,36.54,1225.13,2,1.63,1
torchinferno,few_shot,26,1183.29,44.74,1228.03,2,1.63,1
torchinferno,few_shot,27,1184.50,47.67,1232.17,2,1.62,1
torchinferno,few_shot,28,1191.27,55.44,1246.71,2,1.60,1
torchinferno,few_shot,29,1204.91,0.00,1248.78,1,0.80,1
torchinferno,few_shot,30,1178.62,51.08,1229.70,2,1.63,1
torchinferno,few_shot,31,1190.42,0.00,1233.66,1,0.81,1
torchinferno,few_shot,32,1196.47,0.00,1245.85,1,0.80,1
torchinferno,few_shot,33,104.11,0.00,158.41,1,6.31,1
torchinferno,few_shot,34,1208.60,0.00,1259.86,1,0.79,1
torchinferno,few_shot,35,1180.52,63.00,1243.52,2,1.61,1
torchinferno,few_shot,36,1184.79,0.00,1242.83,1,0.80,1
torchinferno,few_shot,37,1193.52,67.02,1260.54,2,1.59,1
torchinferno,few_shot,38,1186.48,0.00,1258.50,1,0.79,1
torchinferno,few_shot,39,1199.48,0.00,1264.31,1,0.79,1
torchinferno,few_shot,40,112.15,0.00,171.35,1,5.84,1
torchinferno,few_shot,41,1189.34,77.09,1266.43,2,1.58,1
torchinferno,few_shot,42,1245.82,5.53,1251.35,2,1.60,1
torchinferno,few_shot,43,1193.94,65.39,1259.33,2,1.59,1
torchinferno,few_shot,44,1178.07,0.00,1256.96,1,0.80,1
torchinferno,few_shot,45,1180.60,0.00,1261.88,1,0.79,1
