model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-24T13:23:39.451404

Build Times
provider,build_time_s
torchinferno,20.0
vllm,532.2
sglang,214.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,193.55,150.37,148.91,sglang
ttft_p99_ms,2318.87,263.89,617.98,vllm
tpot_median_ms,56.81,43.98,78.74,vllm
tpot_p99_ms,203.44,146.45,402.53,vllm
e2e_median_ms,255.80,189.75,223.06,vllm
e2e_p99_ms,2372.94,322.24,902.95,vllm
throughput_median_tps,4.99,7.41,5.39,vllm
total_output_tokens,1460,1452,1461,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,279.93,184.30,229.93,vllm
ttft_p99_ms,583.69,454.21,69696.48,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,299.97,217.35,376.44,vllm
e2e_p99_ms,584.00,502.96,69772.37,vllm
throughput_median_tps,3.33,4.60,2.66,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,404.81,175.41,179.77,vllm
ttft_p99_ms,1817.05,378.51,702.89,vllm
tpot_median_ms,70.16,55.30,101.52,vllm
tpot_p99_ms,130.54,223.90,249.12,torchinferno
e2e_median_ms,477.97,227.91,284.44,vllm
e2e_p99_ms,1863.10,444.43,780.50,vllm
throughput_median_tps,2.41,6.11,4.73,vllm
total_output_tokens,1448,1450,1448,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,612.49,136.48,118.15,sglang
ttft_last_turn_ms,1043.39,175.80,213.94,vllm
ttft_growth_ratio,1.70,1.29,1.81,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,307.52,64.77,85.81,vllm
ttft_p99_ms,1730.98,2119.34,505.76,sglang
tpot_median_ms,43.30,30.39,60.81,vllm
tpot_p99_ms,559.17,1795.36,136.27,sglang
e2e_median_ms,354.57,87.85,148.15,vllm
e2e_p99_ms,1767.83,2175.07,509.52,sglang
throughput_median_tps,3.72,13.62,9.56,vllm
total_output_tokens,1482,1462,1470,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,vllm

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,284.33,89.15,87.29,sglang
ttft_p99_ms,1033.02,262.28,508.34,vllm
tpot_median_ms,30.52,15.02,22.53,vllm
tpot_p99_ms,59.81,22.08,50.84,vllm
e2e_median_ms,1429.34,653.60,878.66,vllm
e2e_p99_ms,2662.89,1043.73,1660.27,vllm
throughput_median_tps,26.11,55.70,40.40,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1224.06,0.00,1237.65,1,0.81,1
torchinferno,few_shot,1,1221.54,634.23,1855.77,2,1.08,1
torchinferno,few_shot,2,1225.58,636.14,1861.72,2,1.07,1
torchinferno,few_shot,3,2237.99,0.00,2253.35,1,0.44,1
torchinferno,few_shot,4,2241.87,0.00,2265.82,1,0.44,1
torchinferno,few_shot,5,2228.74,0.00,2252.05,1,0.44,1
torchinferno,few_shot,6,2222.82,0.00,2250.24,1,0.44,1
torchinferno,few_shot,7,2248.62,0.00,2275.50,1,0.44,1
torchinferno,few_shot,8,2232.38,0.00,2261.55,1,0.44,1
torchinferno,few_shot,9,2248.80,0.00,2278.28,1,0.44,1
torchinferno,few_shot,10,2238.92,0.00,2279.26,1,0.44,1
torchinferno,few_shot,11,2225.13,38.10,2263.22,2,0.88,1
torchinferno,few_shot,12,2230.90,37.00,2267.90,2,0.88,1
torchinferno,few_shot,13,2227.94,43.91,2271.85,2,0.88,1
torchinferno,few_shot,14,2226.43,47.69,2274.12,2,0.88,1
torchinferno,few_shot,15,2231.35,45.15,2276.51,2,0.88,1
torchinferno,few_shot,16,2246.44,0.00,2293.34,1,0.44,1
torchinferno,few_shot,17,2234.64,50.98,2285.62,2,0.88,1
torchinferno,few_shot,18,2246.88,0.00,2296.32,1,0.44,1
torchinferno,few_shot,19,2230.60,0.00,2280.28,1,0.44,1
torchinferno,few_shot,20,2227.93,51.96,2279.89,2,0.88,1
torchinferno,few_shot,21,2230.61,0.00,2284.63,1,0.44,1
torchinferno,few_shot,22,2228.08,58.82,2286.90,2,0.87,1
torchinferno,few_shot,23,2245.93,54.85,2300.78,2,0.87,1
torchinferno,few_shot,24,2243.59,0.00,2304.29,1,0.43,1
torchinferno,few_shot,25,2228.32,0.00,2287.16,1,0.44,1
torchinferno,few_shot,26,2237.61,58.60,2296.21,2,0.87,1
torchinferno,few_shot,27,2252.44,61.48,2313.92,2,0.86,1
torchinferno,few_shot,28,2249.61,0.00,2311.99,1,0.43,1
torchinferno,few_shot,29,2242.19,70.38,2312.56,2,0.86,1
torchinferno,few_shot,30,2231.82,65.97,2297.79,2,0.87,1
torchinferno,few_shot,31,2233.26,0.00,2301.49,1,0.43,1
torchinferno,few_shot,32,2242.19,82.42,2324.62,2,0.86,1
torchinferno,few_shot,33,2237.97,76.56,2314.53,2,0.86,1
torchinferno,few_shot,34,2226.40,91.71,2318.11,2,0.86,1
torchinferno,few_shot,35,2319.62,0.00,2335.45,1,0.43,1
torchinferno,few_shot,36,2315.63,0.00,2340.74,1,0.43,1
torchinferno,few_shot,37,2321.75,0.00,2329.02,1,0.43,1
torchinferno,few_shot,38,2328.88,0.00,2342.04,1,0.43,1
torchinferno,few_shot,39,2303.55,0.00,2333.01,1,0.43,1
torchinferno,few_shot,40,2317.40,0.00,2335.53,1,0.43,1
torchinferno,few_shot,41,2316.77,0.00,2345.00,1,0.43,1
torchinferno,few_shot,42,2319.71,0.00,2347.52,1,0.43,1
torchinferno,few_shot,43,2318.87,0.00,2355.13,1,0.42,1
torchinferno,few_shot,44,2316.73,0.00,2353.77,1,0.42,1
torchinferno,few_shot,45,2316.66,0.00,2356.43,1,0.42,1
