model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-29T13:03:08.453073+00:00

Build Times
provider,build_time_s
torchinferno,580.1
vllm,600.7
sglang,305.1

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,166.55,137.33,147.68,vllm
ttft_p99_ms,2744.23,236.31,969.49,vllm
tpot_median_ms,49.26,46.88,74.23,vllm
tpot_p99_ms,860.63,122.40,874.58,vllm
e2e_median_ms,208.22,177.07,220.74,vllm
e2e_p99_ms,2761.21,290.93,1020.14,vllm
throughput_median_tps,5.52,7.96,5.40,vllm
total_output_tokens,1461,1455,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,261.25,219.93,212.55,sglang
ttft_p99_ms,635.21,262.41,71491.20,vllm
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,282.84,306.27,381.35,torchinferno
e2e_p99_ms,671.05,376.71,71623.60,vllm
throughput_median_tps,3.54,3.27,2.62,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,319.03,161.16,158.53,sglang
ttft_p99_ms,589.57,338.74,273.56,sglang
tpot_median_ms,57.20,55.48,99.79,vllm
tpot_p99_ms,117.77,173.87,252.87,torchinferno
e2e_median_ms,376.06,204.29,257.78,vllm
e2e_p99_ms,643.39,423.01,426.44,vllm
throughput_median_tps,3.54,6.57,5.29,vllm
total_output_tokens,1468,1450,1462,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,431.28,139.18,120.69,sglang
ttft_last_turn_ms,429.16,165.18,184.66,vllm
ttft_growth_ratio,1.00,1.19,1.53,torchinferno
ttft_first_turn_median_ms,414.57,128.37,109.49,sglang
ttft_first_turn_p99_ms,612.72,296.47,279.03,sglang
ttft_last_turn_median_ms,417.60,162.76,180.55,vllm
ttft_last_turn_p99_ms,564.85,307.73,308.14,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,190.74,65.06,85.82,vllm
ttft_p99_ms,435.65,2292.39,618.84,torchinferno
tpot_median_ms,57.33,31.78,37.08,vllm
tpot_p99_ms,92.22,1760.11,569.98,torchinferno
e2e_median_ms,235.30,90.37,131.33,vllm
e2e_p99_ms,495.64,2325.55,665.67,torchinferno
throughput_median_tps,5.72,13.43,9.80,vllm
total_output_tokens,1469,1468,1468,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,340.12,75.30,82.05,vllm
ttft_p99_ms,1339.83,159.41,604.65,vllm
tpot_median_ms,22.85,14.96,21.97,vllm
tpot_p99_ms,54.78,23.04,33.43,vllm
e2e_median_ms,1207.36,621.35,853.42,vllm
e2e_p99_ms,2595.78,1011.90,1773.47,vllm
throughput_median_tps,30.70,58.65,41.68,vllm
total_output_tokens,36715,36715,36715,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,9,0,1716.93,0.00,2186.74,1,0.46,1,,,,,,,9,,,
torchinferno,few_shot,8,1,1719.64,0.00,2191.08,1,0.46,1,,,,,,,8,,,
torchinferno,few_shot,24,2,1715.66,0.00,2189.10,1,0.46,1,,,,,,,24,,,
torchinferno,few_shot,11,3,1715.30,0.00,2194.75,1,0.46,1,,,,,,,11,,,
torchinferno,few_shot,17,4,1713.54,0.00,2195.22,1,0.46,1,,,,,,,17,,,
torchinferno,few_shot,4,5,1717.42,0.00,2201.16,1,0.45,1,,,,,,,4,,,
torchinferno,few_shot,5,6,1718.63,0.00,2202.25,1,0.45,1,,,,,,,5,,,
torchinferno,few_shot,10,7,1718.17,0.00,2202.25,1,0.45,1,,,,,,,10,,,
torchinferno,few_shot,12,8,1721.83,0.00,2204.04,1,0.45,1,,,,,,,12,,,
torchinferno,few_shot,7,9,1723.14,0.00,2206.99,1,0.45,1,,,,,,,7,,,
torchinferno,few_shot,1,10,1721.26,0.00,2213.59,1,0.45,1,,,,,,,1,,,
torchinferno,few_shot,14,11,1715.10,855.17,2570.27,2,0.78,1,,,,,,,14,,,
torchinferno,few_shot,0,12,1718.51,858.12,2576.63,2,0.78,1,,,,,,,0,,,
torchinferno,few_shot,6,13,1721.81,852.54,2574.34,2,0.78,1,,,,,,,6,,,
torchinferno,few_shot,20,14,1712.38,860.63,2573.01,2,0.78,1,,,,,,,20,,,
torchinferno,few_shot,16,15,1719.95,855.48,2575.43,2,0.78,1,,,,,,,16,,,
torchinferno,few_shot,13,16,1719.45,858.30,2577.74,2,0.78,1,,,,,,,13,,,
torchinferno,few_shot,2,17,1722.49,860.51,2583.00,2,0.77,1,,,,,,,2,,,
torchinferno,few_shot,21,18,1715.95,862.38,2578.33,2,0.78,1,,,,,,,21,,,
torchinferno,few_shot,15,19,1719.56,861.94,2581.50,2,0.77,1,,,,,,,15,,,
torchinferno,few_shot,22,20,1715.13,865.75,2580.88,2,0.77,1,,,,,,,22,,,
torchinferno,few_shot,3,21,1722.57,867.66,2590.23,2,0.77,1,,,,,,,3,,,
torchinferno,few_shot,35,22,2656.73,0.00,2671.53,1,0.37,1,,,,,,,35,,,
torchinferno,few_shot,38,23,2662.29,0.00,2673.11,1,0.37,1,,,,,,,38,,,
torchinferno,few_shot,37,24,2662.23,0.00,2678.18,1,0.37,1,,,,,,,37,,,
torchinferno,few_shot,39,25,2656.75,0.00,2679.19,1,0.37,1,,,,,,,39,,,
torchinferno,few_shot,25,26,2658.41,0.00,2681.98,1,0.37,1,,,,,,,25,,,
torchinferno,few_shot,34,27,2662.23,0.00,2681.60,1,0.37,1,,,,,,,34,,,
torchinferno,few_shot,46,28,2655.92,0.00,2680.95,1,0.37,1,,,,,,,46,,,
torchinferno,few_shot,47,29,2661.55,0.00,2681.67,1,0.37,1,,,,,,,47,,,
torchinferno,few_shot,29,30,2663.92,0.00,2685.39,1,0.37,1,,,,,,,29,,,
torchinferno,few_shot,31,31,2658.83,0.00,2686.60,1,0.37,1,,,,,,,31,,,
torchinferno,few_shot,41,32,2657.71,0.00,2686.33,1,0.37,1,,,,,,,41,,,
torchinferno,few_shot,32,33,2656.35,32.85,2689.20,2,0.74,1,,,,,,,32,,,
torchinferno,few_shot,27,34,2660.44,31.06,2691.50,2,0.74,1,,,,,,,27,,,
torchinferno,few_shot,30,35,2656.90,35.70,2692.59,2,0.74,1,,,,,,,30,,,
torchinferno,few_shot,54,36,2656.45,33.80,2690.25,2,0.74,1,,,,,,,54,,,
