model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-21T02:03:19.797599

Build Times
provider,build_time_s
torchinferno,313.7
vllm,1101.1
sglang,176.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,271.07,159.62,136.11,sglang
ttft_p99_ms,2066.51,947.38,4181.63,vllm
tpot_median_ms,148.47,61.35,77.68,vllm
tpot_p99_ms,211.50,150.65,7311.49,vllm
e2e_median_ms,367.29,217.52,206.30,sglang
e2e_p99_ms,2265.24,988.40,11463.87,vllm
throughput_median_tps,4.07,7.16,5.75,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,275.47,187.87,204.78,vllm
ttft_p99_ms,1828.08,378.33,70481.50,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,299.66,211.03,336.40,vllm
e2e_p99_ms,1874.37,454.54,70636.87,vllm
throughput_median_tps,3.34,4.74,2.97,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,803.15,171.54,156.96,sglang
ttft_p99_ms,2267.62,352.26,594.42,vllm
tpot_median_ms,151.08,42.30,106.17,vllm
tpot_p99_ms,610.99,179.31,239.98,vllm
e2e_median_ms,901.79,210.82,259.20,vllm
e2e_p99_ms,2401.42,422.94,729.78,vllm
throughput_median_tps,1.46,6.50,5.10,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1147.05,141.59,120.75,sglang
ttft_last_turn_ms,659.96,165.67,179.86,vllm
ttft_growth_ratio,0.58,1.17,1.49,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,326.84,57.54,74.70,vllm
ttft_p99_ms,1065.63,143.16,481.79,vllm
tpot_median_ms,127.88,26.71,65.48,vllm
tpot_p99_ms,152.62,40.60,513.15,vllm
e2e_median_ms,414.01,78.18,154.39,vllm
e2e_p99_ms,1185.27,165.58,578.86,vllm
throughput_median_tps,3.54,15.64,9.36,vllm
total_output_tokens,1483,1479,1474,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,76.22,67.06,sglang
ttft_p99_ms,,224.12,106.12,sglang
tpot_median_ms,,15.07,22.29,vllm
tpot_p99_ms,,21.02,27.50,vllm
e2e_median_ms,,623.29,846.73,vllm
e2e_p99_ms,,1025.68,1553.24,vllm
throughput_median_tps,,58.58,42.20,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1108.12,271.77,1379.89,2,1.45,1
torchinferno,few_shot,1,2062.46,0.00,2145.13,1,0.47,1
torchinferno,few_shot,2,2061.67,0.00,2146.16,1,0.47,1
torchinferno,few_shot,3,2056.93,0.00,2149.81,1,0.47,1
torchinferno,few_shot,4,2058.90,0.00,2147.20,1,0.47,1
torchinferno,few_shot,5,2072.19,0.00,2153.86,1,0.46,1
torchinferno,few_shot,6,2065.61,0.00,2150.29,1,0.47,1
torchinferno,few_shot,7,2053.54,0.00,2153.09,1,0.46,1
torchinferno,few_shot,8,2066.07,0.00,2155.51,1,0.46,1
torchinferno,few_shot,9,2052.92,0.00,2160.01,1,0.46,1
torchinferno,few_shot,10,2066.49,0.00,2169.16,1,0.46,1
torchinferno,few_shot,11,2053.63,0.00,2161.20,1,0.46,1
torchinferno,few_shot,12,2052.92,0.00,2165.56,1,0.46,1
torchinferno,few_shot,13,2062.92,0.00,2167.23,1,0.46,1
torchinferno,few_shot,14,691.20,0.00,791.11,1,1.26,1
torchinferno,few_shot,15,2055.86,0.00,2170.38,1,0.46,1
torchinferno,few_shot,16,2066.63,0.00,2176.69,1,0.46,1
torchinferno,few_shot,17,2056.79,0.00,2175.07,1,0.46,1
torchinferno,few_shot,18,2060.98,0.00,2175.81,1,0.46,1
torchinferno,few_shot,19,2059.80,0.00,2178.15,1,0.46,1
torchinferno,few_shot,20,2050.65,0.00,2175.85,1,0.46,1
torchinferno,few_shot,21,2054.52,0.00,2179.13,1,0.46,1
torchinferno,few_shot,22,2061.05,0.00,2182.18,1,0.46,1
torchinferno,few_shot,23,2053.70,0.00,2184.78,1,0.46,1
torchinferno,few_shot,24,2066.51,0.00,2190.14,1,0.46,1
torchinferno,few_shot,25,2054.24,0.00,2189.58,1,0.46,1
torchinferno,few_shot,26,2059.40,0.00,2193.37,1,0.46,1
torchinferno,few_shot,27,2053.76,0.00,2186.89,1,0.46,1
torchinferno,few_shot,28,2054.02,0.00,2190.84,1,0.46,1
torchinferno,few_shot,29,2057.58,0.00,2192.74,1,0.46,1
torchinferno,few_shot,30,2067.28,0.00,2197.41,1,0.46,1
torchinferno,few_shot,31,2066.68,0.00,2208.21,1,0.45,1
torchinferno,few_shot,32,2065.17,0.00,2209.42,1,0.45,1
torchinferno,few_shot,33,2064.40,0.00,2217.58,1,0.45,1
torchinferno,few_shot,34,2053.01,179.49,2232.50,2,0.90,1
torchinferno,few_shot,35,2062.36,167.84,2230.20,2,0.90,1
torchinferno,few_shot,36,2056.28,179.59,2235.87,2,0.89,1
torchinferno,few_shot,37,2064.30,171.87,2236.17,2,0.89,1
torchinferno,few_shot,38,2059.86,173.72,2233.58,2,0.90,1
torchinferno,few_shot,39,2057.42,184.63,2242.05,2,0.89,1
torchinferno,few_shot,40,2067.13,175.13,2242.26,2,0.89,1
torchinferno,few_shot,41,2064.60,179.75,2244.35,2,0.89,1
torchinferno,few_shot,42,2052.33,190.24,2242.57,2,0.89,1
torchinferno,few_shot,43,2054.92,190.14,2245.06,2,0.89,1
torchinferno,few_shot,44,2070.10,176.07,2246.18,2,0.89,1
