model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-07-11T03:02:27.213389+00:00

Build Times
provider,build_time_s
torchinferno,42.2
vllm,199.8
sglang,204.7

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,141.46,80.62,80.04,sglang
ttft_p99_ms,721.47,153.72,504.72,vllm
tpot_median_ms,32.58,36.51,65.63,torchinferno
tpot_p99_ms,43.95,93.25,851.06,torchinferno
e2e_median_ms,165.76,113.23,135.39,vllm
e2e_p99_ms,736.24,194.19,941.42,vllm
throughput_median_tps,6.94,12.40,9.71,vllm
total_output_tokens,1461,1460,1461,
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,23.90,71.95,122.15,torchinferno
ttft_p99_ms,142.82,287.73,70101.82,torchinferno
tpot_median_ms,0.00,0.00,0.00,
tpot_p99_ms,0.00,0.00,0.00,
e2e_median_ms,24.48,89.37,210.78,torchinferno
e2e_p99_ms,142.88,287.78,70129.63,torchinferno
throughput_median_tps,40.85,11.19,4.74,torchinferno
total_output_tokens,1000,1000,1000,
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,
unique_final_answers,1,1,1,

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,71.23,83.09,vllm
ttft_p99_ms,,131.83,561.89,vllm
tpot_median_ms,,34.24,77.51,vllm
tpot_p99_ms,,83.18,678.20,vllm
e2e_median_ms,,94.64,142.88,vllm
e2e_p99_ms,,172.42,687.51,vllm
throughput_median_tps,,14.32,9.39,vllm
total_output_tokens,,1450,1450,
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,
ttft_first_turn_ms,,68.83,68.35,sglang
ttft_last_turn_ms,,71.23,83.35,vllm
ttft_growth_ratio,,1.03,1.22,vllm
ttft_first_turn_median_ms,,64.91,70.57,vllm
ttft_first_turn_p99_ms,,136.41,112.36,sglang
ttft_last_turn_median_ms,,70.51,81.21,vllm
ttft_last_turn_p99_ms,,129.22,122.17,sglang

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,34.04,51.87,vllm
ttft_p99_ms,,103.58,351.59,vllm
tpot_median_ms,,22.36,342.74,vllm
tpot_p99_ms,,32.98,1055.32,vllm
e2e_median_ms,,51.41,401.40,vllm
e2e_p99_ms,,138.62,1119.19,vllm
throughput_median_tps,,25.37,3.43,vllm
total_output_tokens,,1463,1480,sglang
num_requests,,992,992,
correctness_rate,,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,44.60,51.44,vllm
ttft_p99_ms,,59.21,104.46,vllm
tpot_median_ms,,15.01,24.36,vllm
tpot_p99_ms,,16.57,65.33,vllm
e2e_median_ms,,563.04,918.73,vllm
e2e_p99_ms,,1020.92,1703.47,vllm
throughput_median_tps,,62.46,39.55,vllm
total_output_tokens,,36715,36715,
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,

Per-Request Raw Data
provider,benchmark,request_idx,completion_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct,metadata_branch_idx,metadata_candidate_idx,metadata_conversation_idx,metadata_depth_idx,metadata_digit_len,metadata_max_tokens,metadata_request_idx,metadata_request_kind,metadata_tree_idx,metadata_turn_idx
torchinferno,few_shot,1,0,779.12,0.00,791.29,1,1.26,1,,,,,,,1,,,
torchinferno,few_shot,0,1,796.39,24.82,821.21,2,2.44,1,,,,,,,0,,,
torchinferno,few_shot,5,2,788.00,0.00,802.70,1,1.25,1,,,,,,,5,,,
torchinferno,few_shot,9,3,721.47,0.00,736.24,1,1.36,1,,,,,,,9,,,
torchinferno,few_shot,7,4,757.84,0.00,770.16,1,1.30,1,,,,,,,7,,,
torchinferno,few_shot,4,5,804.55,0.00,821.34,1,1.22,1,,,,,,,4,,,
torchinferno,few_shot,31,6,353.70,0.00,367.87,1,2.72,1,,,,,,,31,,,
torchinferno,few_shot,12,7,673.16,0.00,688.51,1,1.45,1,,,,,,,12,,,
torchinferno,few_shot,26,8,435.87,0.00,454.26,1,2.20,1,,,,,,,26,,,
torchinferno,few_shot,8,9,740.69,0.00,757.29,1,1.32,1,,,,,,,8,,,
torchinferno,few_shot,17,10,589.07,0.00,606.47,1,1.65,1,,,,,,,17,,,
torchinferno,few_shot,28,11,402.83,0.00,423.61,1,2.36,1,,,,,,,28,,,
torchinferno,few_shot,10,12,706.87,0.00,728.10,1,1.37,1,,,,,,,10,,,
torchinferno,few_shot,11,13,688.76,0.00,712.00,1,1.40,1,,,,,,,11,,,
torchinferno,few_shot,24,14,471.93,0.00,493.94,1,2.02,1,,,,,,,24,,,
torchinferno,few_shot,29,15,386.78,0.00,411.66,1,2.43,1,,,,,,,29,,,
torchinferno,few_shot,25,16,452.81,0.00,480.21,1,2.08,1,,,,,,,25,,,
torchinferno,few_shot,14,17,638.32,28.17,666.48,2,3.00,1,,,,,,,14,,,
torchinferno,few_shot,20,18,537.89,28.24,566.13,2,3.53,1,,,,,,,20,,,
torchinferno,few_shot,22,19,504.11,28.82,532.93,2,3.75,1,,,,,,,22,,,
torchinferno,few_shot,21,20,519.71,31.00,550.71,2,3.63,1,,,,,,,21,,,
torchinferno,few_shot,18,21,571.93,29.97,601.90,2,3.32,1,,,,,,,18,,,
torchinferno,few_shot,30,22,369.37,30.94,400.31,2,5.00,1,,,,,,,30,,,
torchinferno,few_shot,13,23,653.70,33.76,687.46,2,2.91,1,,,,,,,13,,,
torchinferno,few_shot,33,24,320.62,30.97,351.59,2,5.69,1,,,,,,,33,,,
torchinferno,few_shot,15,25,620.16,34.89,655.05,2,3.05,1,,,,,,,15,,,
torchinferno,few_shot,19,26,553.24,35.57,588.81,2,3.40,1,,,,,,,19,,,
torchinferno,few_shot,16,27,603.18,36.37,639.55,2,3.13,1,,,,,,,16,,,
torchinferno,few_shot,2,28,838.23,37.49,875.72,2,2.28,1,,,,,,,2,,,
torchinferno,few_shot,27,29,419.29,36.58,455.87,2,4.39,1,,,,,,,27,,,
torchinferno,few_shot,32,30,336.35,35.91,372.27,2,5.37,1,,,,,,,32,,,
torchinferno,few_shot,6,31,771.22,40.35,811.58,2,2.46,1,,,,,,,6,,,
torchinferno,few_shot,3,32,825.30,39.09,864.39,2,2.31,1,,,,,,,3,,,
torchinferno,few_shot,23,33,487.43,42.70,530.13,2,3.77,1,,,,,,,23,,,
torchinferno,few_shot,34,34,381.63,0.00,396.48,1,2.52,1,,,,,,,34,,,
torchinferno,few_shot,64,35,145.31,0.00,160.64,1,6.22,1,,,,,,,64,,,
