model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-08T05:02:07.404879

Build Times
provider,build_time_s
torchinferno,400.8
vllm,1349.5
sglang,224.6

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,275.40,156.91,149.99,sglang
ttft_p99_ms,3426.09,255.34,6492.05,vllm
tpot_median_ms,97.71,56.83,77.85,vllm
tpot_p99_ms,843.17,144.38,674.06,vllm
e2e_median_ms,381.09,205.02,225.68,vllm
e2e_p99_ms,3517.55,328.95,6855.77,vllm
throughput_median_tps,3.06,7.15,5.30,vllm
total_output_tokens,1460,1453,1460,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,364.61,200.05,209.83,vllm
ttft_p99_ms,1599.83,354.25,70881.66,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,494.59,246.69,351.75,vllm
e2e_p99_ms,1926.87,420.19,71005.29,vllm
throughput_median_tps,2.02,4.05,2.84,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,647.19,185.48,168.18,sglang
ttft_p99_ms,2168.57,356.80,656.12,vllm
tpot_median_ms,66.76,64.65,100.63,vllm
tpot_p99_ms,189.47,205.30,213.08,torchinferno
e2e_median_ms,710.29,238.76,265.22,vllm
e2e_p99_ms,2212.09,448.19,688.48,vllm
throughput_median_tps,1.72,5.86,5.03,vllm
total_output_tokens,1450,1448,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,1074.13,142.54,114.76,sglang
ttft_last_turn_ms,1048.76,178.35,201.51,vllm
ttft_growth_ratio,0.98,1.25,1.76,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,429.71,61.73,85.47,vllm
ttft_p99_ms,1192.73,2050.33,625.55,sglang
tpot_median_ms,64.89,27.69,46.72,vllm
tpot_p99_ms,343.51,1675.49,150.28,sglang
e2e_median_ms,490.47,83.53,149.07,vllm
e2e_p99_ms,1340.83,2078.26,670.74,sglang
throughput_median_tps,2.61,14.40,9.21,vllm
total_output_tokens,1470,1458,1464,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,493.99,71.55,82.53,vllm
ttft_p99_ms,2052.15,128.42,154.70,vllm
tpot_median_ms,21.68,14.82,23.50,vllm
tpot_p99_ms,44.48,20.68,28.16,vllm
e2e_median_ms,1324.67,601.87,879.02,vllm
e2e_p99_ms,2975.19,1027.22,1684.02,vllm
throughput_median_tps,26.31,59.37,39.46,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1816.78,0.00,1825.35,1,0.55,1
torchinferno,few_shot,1,1820.77,270.13,2090.91,2,0.96,1
torchinferno,few_shot,2,1816.77,273.14,2089.91,2,0.96,1
torchinferno,few_shot,3,1819.40,273.85,2093.24,2,0.96,1
torchinferno,few_shot,4,2659.03,0.00,3422.78,1,0.29,1
torchinferno,few_shot,5,2664.81,0.00,3433.61,1,0.29,1
torchinferno,few_shot,6,2660.76,0.00,3427.62,1,0.29,1
torchinferno,few_shot,7,2660.17,0.00,3436.88,1,0.29,1
torchinferno,few_shot,8,2676.41,0.00,3439.45,1,0.29,1
torchinferno,few_shot,9,2668.36,0.00,3441.44,1,0.29,1
torchinferno,few_shot,10,2670.83,0.00,3442.20,1,0.29,1
torchinferno,few_shot,11,2662.52,775.74,3438.27,2,0.58,1
torchinferno,few_shot,12,2663.29,780.68,3443.97,2,0.58,1
torchinferno,few_shot,13,3439.20,0.00,3439.45,1,0.29,1
torchinferno,few_shot,14,2669.71,0.00,3447.36,1,0.29,1
torchinferno,few_shot,15,2660.04,791.48,3451.52,2,0.58,1
torchinferno,few_shot,16,2665.42,784.38,3449.80,2,0.58,1
torchinferno,few_shot,17,2665.09,791.30,3456.38,2,0.58,1
torchinferno,few_shot,18,2658.01,797.06,3455.07,2,0.58,1
torchinferno,few_shot,19,2663.63,794.06,3457.69,2,0.58,1
torchinferno,few_shot,20,2657.25,0.00,3456.68,1,0.29,1
torchinferno,few_shot,21,3455.55,0.46,3456.01,2,0.58,1
torchinferno,few_shot,22,2659.63,802.92,3462.56,2,0.58,1
torchinferno,few_shot,23,2666.75,0.00,3461.91,1,0.29,1
torchinferno,few_shot,24,2659.11,0.00,3463.01,1,0.29,1
torchinferno,few_shot,25,2663.27,0.00,3468.06,1,0.29,1
torchinferno,few_shot,26,2663.58,0.00,3467.33,1,0.29,1
torchinferno,few_shot,27,2663.20,0.00,3468.19,1,0.29,1
torchinferno,few_shot,28,3422.96,41.59,3464.55,2,0.58,1
torchinferno,few_shot,29,3426.09,39.48,3465.57,2,0.58,1
torchinferno,few_shot,30,2670.33,801.58,3471.91,2,0.58,1
torchinferno,few_shot,31,2664.09,0.00,3471.92,1,0.29,1
torchinferno,few_shot,32,2660.98,816.47,3477.45,2,0.58,1
torchinferno,few_shot,33,3432.27,0.00,3471.19,1,0.29,1
torchinferno,few_shot,34,2665.54,0.00,3477.10,1,0.29,1
torchinferno,few_shot,35,3477.95,0.00,3478.30,1,0.29,1
torchinferno,few_shot,36,2662.49,820.56,3483.05,2,0.57,1
torchinferno,few_shot,37,2660.88,823.30,3484.18,2,0.57,1
torchinferno,few_shot,38,2663.77,826.94,3490.71,2,0.57,1
torchinferno,few_shot,39,2667.38,820.57,3487.95,2,0.57,1
torchinferno,few_shot,40,2662.68,830.74,3493.41,2,0.57,1
torchinferno,few_shot,41,2668.37,0.00,3491.19,1,0.29,1
torchinferno,few_shot,42,2661.79,830.06,3491.86,2,0.57,1
torchinferno,few_shot,43,2658.57,0.00,3493.00,1,0.29,1
torchinferno,few_shot,44,3466.75,25.44,3492.19,2,0.57,1
torchinferno,few_shot,45,2667.14,0.00,3498.88,1,0.29,1
torchinferno,few_shot,46,2666.85,0.00,3501.30,1,0.29,1
torchinferno,few_shot,47,3422.46,75.35,3497.82,2,0.57,1
torchinferno,few_shot,48,2662.71,838.32,3501.03,2,0.57,1
torchinferno,few_shot,49,2668.15,0.00,3513.97,1,0.28,1
torchinferno,few_shot,50,2667.38,0.00,3509.05,1,0.28,1
torchinferno,few_shot,51,2667.26,0.00,3515.15,1,0.28,1
torchinferno,few_shot,52,2670.37,843.17,3513.54,2,0.57,1
