model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-06-05T03:01:57.055420

Build Times
provider,build_time_s
torchinferno,386.0
vllm,1201.5
sglang,181.3

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,165.97,164.56,sglang
ttft_p99_ms,,293.04,1491.69,vllm
tpot_median_ms,,63.51,69.97,vllm
tpot_p99_ms,,157.14,7514.41,vllm
e2e_median_ms,,224.06,233.96,vllm
e2e_p99_ms,,346.78,8974.68,vllm
throughput_median_tps,,6.57,5.05,vllm
total_output_tokens,,1456,1461,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,197.52,227.10,vllm
ttft_p99_ms,,479.63,70921.99,vllm
tpot_median_ms,,0.00,0.00,vllm
tpot_p99_ms,,0.00,0.00,vllm
e2e_median_ms,,221.12,365.30,vllm
e2e_p99_ms,,532.86,71056.30,vllm
throughput_median_tps,,4.52,2.74,vllm
total_output_tokens,,1000,1000,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm
unique_final_answers,,1,1,vllm

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,168.32,158.96,sglang
ttft_p99_ms,,345.30,274.10,sglang
tpot_median_ms,,55.07,103.53,vllm
tpot_p99_ms,,175.53,217.49,vllm
e2e_median_ms,,213.93,257.34,vllm
e2e_p99_ms,,414.81,433.00,vllm
throughput_median_tps,,6.22,5.22,vllm
total_output_tokens,,1448,1462,sglang
num_requests,,1000,1000,
correctness_rate,,0.98,0.98,vllm
ttft_first_turn_ms,,135.98,112.77,sglang
ttft_last_turn_ms,,168.76,180.49,vllm
ttft_growth_ratio,,1.24,1.60,vllm

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,64.97,79.69,vllm
ttft_p99_ms,,2060.35,894.05,sglang
tpot_median_ms,,29.13,55.02,vllm
tpot_p99_ms,,1800.02,153.82,sglang
e2e_median_ms,,88.33,142.40,vllm
e2e_p99_ms,,2091.18,935.32,sglang
throughput_median_tps,,13.95,9.62,vllm
total_output_tokens,,1469,1458,vllm
num_requests,,992,992,
correctness_rate,,0.96,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,81.19,77.99,sglang
ttft_p99_ms,,162.38,161.22,sglang
tpot_median_ms,,14.92,23.15,vllm
tpot_p99_ms,,22.47,28.01,vllm
e2e_median_ms,,609.48,862.31,vllm
e2e_p99_ms,,1016.50,1622.36,vllm
throughput_median_tps,,58.31,40.18,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,182.27,0.00,182.50,1,5.48,1
vllm,few_shot,1,161.17,0.00,164.56,1,6.08,1
vllm,few_shot,2,157.54,0.00,161.43,1,6.19,1
vllm,few_shot,3,169.66,0.00,169.79,1,5.89,1
vllm,few_shot,4,179.08,0.00,179.22,1,5.58,1
vllm,few_shot,5,184.00,0.00,188.88,1,5.29,1
vllm,few_shot,6,182.56,0.00,186.81,1,5.35,1
vllm,few_shot,7,158.42,0.00,166.43,1,6.01,1
vllm,few_shot,8,167.59,0.00,174.76,1,5.72,1
vllm,few_shot,9,179.64,0.00,193.98,1,5.16,1
vllm,few_shot,10,180.85,0.00,184.78,1,5.41,1
vllm,few_shot,11,187.21,0.00,188.95,1,5.29,1
vllm,few_shot,12,186.73,0.00,210.10,1,4.76,1
vllm,few_shot,13,172.50,41.41,213.91,2,9.35,1
vllm,few_shot,14,194.29,0.00,214.87,1,4.65,1
vllm,few_shot,15,189.09,45.86,234.95,2,8.51,1
vllm,few_shot,16,218.09,0.00,242.44,1,4.12,1
vllm,few_shot,17,191.32,48.16,239.48,2,8.35,1
vllm,few_shot,18,214.59,0.00,244.27,1,4.09,1
vllm,few_shot,19,202.06,0.00,272.18,1,3.67,1
vllm,few_shot,20,204.63,93.33,297.96,2,6.71,1
vllm,few_shot,21,192.17,0.00,266.49,1,3.75,1
vllm,few_shot,22,209.91,0.00,288.46,1,3.47,1
vllm,few_shot,23,199.33,97.64,296.96,2,6.73,1
vllm,few_shot,24,208.70,0.00,281.92,1,3.55,1
vllm,few_shot,25,204.73,99.95,304.68,2,6.56,1
vllm,few_shot,26,209.08,0.00,293.18,1,3.41,1
vllm,few_shot,27,211.90,0.00,290.76,1,3.44,1
vllm,few_shot,28,190.99,0.00,276.97,1,3.61,1
vllm,few_shot,29,199.49,103.77,303.27,2,6.59,1
vllm,few_shot,30,244.75,0.00,279.87,1,3.57,1
vllm,few_shot,31,249.18,0.00,275.56,1,3.63,1
vllm,few_shot,32,230.15,0.00,270.00,1,3.70,1
vllm,few_shot,33,259.40,0.00,294.96,1,3.39,1
vllm,few_shot,34,256.07,0.00,292.23,1,3.42,1
vllm,few_shot,35,254.56,0.00,295.16,1,3.39,1
vllm,few_shot,36,201.68,106.71,308.39,2,6.49,1
vllm,few_shot,37,247.95,0.00,282.97,1,3.53,1
vllm,few_shot,38,269.79,0.00,273.98,1,3.65,1
vllm,few_shot,39,248.10,36.51,284.60,2,7.03,1
vllm,few_shot,40,175.13,0.00,193.92,1,5.16,1
vllm,few_shot,41,252.08,0.00,301.80,1,3.31,1
vllm,few_shot,42,193.76,0.00,202.27,1,4.94,1
vllm,few_shot,43,169.93,18.71,188.64,2,10.60,1
vllm,few_shot,44,233.23,52.31,285.54,2,7.00,1
vllm,few_shot,45,194.59,0.00,198.47,1,5.04,1
