model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-14T16:08:06.929411

Build Times
provider,build_time_s
torchinferno,332.6
vllm,1125.4
sglang,170.4

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,316.15,154.21,141.35,sglang
ttft_p99_ms,2055.52,539.80,7908.25,vllm
tpot_median_ms,167.46,55.57,77.33,vllm
tpot_p99_ms,200.25,150.06,7326.85,vllm
e2e_median_ms,406.35,203.99,212.81,vllm
e2e_p99_ms,2155.08,585.93,15200.16,vllm
throughput_median_tps,3.58,6.91,5.72,vllm
total_output_tokens,1460,1465,1461,vllm
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,215.42,192.00,198.32,vllm
ttft_p99_ms,1491.00,467.18,70016.22,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,342.89,211.63,336.48,vllm
e2e_p99_ms,1585.40,492.92,70114.75,vllm
throughput_median_tps,2.92,4.73,2.97,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,653.99,166.30,150.37,sglang
ttft_p99_ms,1554.38,338.69,583.65,vllm
tpot_median_ms,211.60,58.67,100.96,vllm
tpot_p99_ms,437.33,188.85,229.77,vllm
e2e_median_ms,811.45,222.27,247.29,vllm
e2e_p99_ms,1898.41,420.95,677.86,vllm
throughput_median_tps,1.67,6.27,5.27,vllm
total_output_tokens,1450,1450,1450,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm
ttft_first_turn_ms,858.94,136.24,106.36,sglang
ttft_last_turn_ms,576.90,170.89,180.72,vllm
ttft_growth_ratio,0.67,1.25,1.70,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,368.74,57.36,79.14,vllm
ttft_p99_ms,892.39,111.81,468.78,vllm
tpot_median_ms,234.22,26.87,63.70,vllm
tpot_p99_ms,290.61,42.56,478.95,vllm
e2e_median_ms,581.06,77.64,155.68,vllm
e2e_p99_ms,1034.18,145.44,558.20,vllm
throughput_median_tps,2.64,15.93,9.38,vllm
total_output_tokens,1478,1461,1480,sglang
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,torchinferno

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,577.18,70.50,64.76,sglang
ttft_p99_ms,2013.79,202.79,101.58,sglang
tpot_median_ms,16.21,14.98,22.23,vllm
tpot_p99_ms,37.54,24.64,27.16,vllm
e2e_median_ms,1320.26,618.92,833.53,vllm
e2e_p99_ms,2973.95,1031.83,1585.83,vllm
throughput_median_tps,25.54,58.68,42.61,vllm
total_output_tokens,36715,36715,36715,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,1017.95,196.58,1214.53,2,1.65,1
torchinferno,few_shot,1,1752.72,0.00,1829.32,1,0.55,1
torchinferno,few_shot,2,1746.66,0.00,1837.95,1,0.54,1
torchinferno,few_shot,3,1751.24,0.00,1835.17,1,0.54,1
torchinferno,few_shot,4,1748.40,0.00,1835.42,1,0.54,1
torchinferno,few_shot,5,1745.67,0.00,1839.08,1,0.54,1
torchinferno,few_shot,6,1745.61,0.00,1839.70,1,0.54,1
torchinferno,few_shot,7,1745.84,0.00,1844.69,1,0.54,1
torchinferno,few_shot,8,1752.84,0.00,1842.93,1,0.54,1
torchinferno,few_shot,9,1751.76,0.00,1844.56,1,0.54,1
torchinferno,few_shot,10,1749.60,0.00,1843.88,1,0.54,1
torchinferno,few_shot,11,1746.08,0.00,1843.96,1,0.54,1
torchinferno,few_shot,12,1752.15,0.00,1851.24,1,0.54,1
torchinferno,few_shot,13,1745.54,0.00,1847.49,1,0.54,1
torchinferno,few_shot,14,1751.73,0.00,1848.37,1,0.54,1
torchinferno,few_shot,15,1750.30,0.00,1853.91,1,0.54,1
torchinferno,few_shot,16,1745.21,0.00,1852.60,1,0.54,1
torchinferno,few_shot,17,1751.03,0.00,1858.37,1,0.54,1
torchinferno,few_shot,18,1757.12,0.00,1858.50,1,0.54,1
torchinferno,few_shot,19,1750.79,0.00,1853.92,1,0.54,1
torchinferno,few_shot,20,1750.07,0.00,1861.12,1,0.54,1
torchinferno,few_shot,21,1745.13,0.00,1859.79,1,0.54,1
torchinferno,few_shot,22,1746.02,0.00,1864.62,1,0.54,1
torchinferno,few_shot,23,1751.37,0.00,1861.41,1,0.54,1
torchinferno,few_shot,24,1745.35,0.00,1867.41,1,0.54,1
torchinferno,few_shot,25,1748.98,0.00,1867.22,1,0.54,1
torchinferno,few_shot,26,1747.80,0.00,1869.09,1,0.54,1
torchinferno,few_shot,27,1750.68,175.64,1926.31,2,1.04,1
torchinferno,few_shot,28,1757.36,173.10,1930.45,2,1.04,1
torchinferno,few_shot,29,1747.40,177.49,1924.89,2,1.04,1
torchinferno,few_shot,30,1745.79,184.96,1930.75,2,1.04,1
torchinferno,few_shot,31,1745.10,187.61,1932.71,2,1.03,1
torchinferno,few_shot,32,1747.79,188.32,1936.12,2,1.03,1
torchinferno,few_shot,33,1744.67,190.71,1935.38,2,1.03,1
torchinferno,few_shot,34,1750.09,192.16,1942.26,2,1.03,1
torchinferno,few_shot,35,1750.92,188.47,1939.39,2,1.03,1
torchinferno,few_shot,36,1746.78,197.58,1944.35,2,1.03,1
torchinferno,few_shot,37,1750.99,188.88,1939.87,2,1.03,1
torchinferno,few_shot,38,1744.73,196.04,1940.76,2,1.03,1
torchinferno,few_shot,39,1747.12,197.53,1944.65,2,1.03,1
torchinferno,few_shot,40,1751.34,192.97,1944.31,2,1.03,1
torchinferno,few_shot,41,1749.66,195.86,1945.52,2,1.03,1
torchinferno,few_shot,42,1748.41,199.41,1947.82,2,1.03,1
torchinferno,few_shot,43,1744.22,207.10,1951.31,2,1.02,1
torchinferno,few_shot,44,1748.97,198.80,1947.76,2,1.03,1
torchinferno,few_shot,45,1750.47,200.25,1950.72,2,1.03,1
