model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-23T02:02:54.276306

Build Times
provider,build_time_s
torchinferno,95.5
vllm,1359.2
sglang,179.5

few_shot
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,282.63,170.18,146.01,sglang
ttft_p99_ms,2527.65,489.54,6904.68,vllm
tpot_median_ms,161.04,61.26,82.53,vllm
tpot_p99_ms,221.82,167.00,7324.11,vllm
e2e_median_ms,381.43,229.22,221.03,sglang
e2e_p99_ms,2722.26,593.69,14178.98,vllm
throughput_median_tps,3.88,6.36,5.35,vllm
total_output_tokens,1461,1461,1461,torchinferno
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,vllm

self_consistency
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,281.01,195.52,223.07,vllm
ttft_p99_ms,2031.01,529.70,70229.36,vllm
tpot_median_ms,0.00,0.00,0.00,torchinferno
tpot_p99_ms,0.00,0.00,0.00,torchinferno
e2e_median_ms,337.20,219.04,374.90,vllm
e2e_p99_ms,2073.14,550.20,70405.80,vllm
throughput_median_tps,2.97,4.57,2.67,vllm
total_output_tokens,1000,1000,1000,torchinferno
num_requests,1000,1000,1000,
correctness_rate,1.00,1.00,1.00,torchinferno
unique_final_answers,1,1,1,torchinferno

multi_turn
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,997.19,183.05,170.49,sglang
ttft_p99_ms,3750.24,419.38,767.66,vllm
tpot_median_ms,125.20,57.57,101.27,vllm
tpot_p99_ms,1311.47,227.26,241.00,vllm
e2e_median_ms,1149.47,237.23,274.13,vllm
e2e_p99_ms,3888.54,465.72,831.04,vllm
throughput_median_tps,1.20,5.85,4.85,vllm
total_output_tokens,1450,1450,1462,sglang
num_requests,1000,1000,1000,
correctness_rate,0.98,0.98,0.98,torchinferno
ttft_first_turn_ms,1592.01,170.63,117.20,sglang
ttft_last_turn_ms,879.37,174.01,233.32,vllm
ttft_growth_ratio,0.55,1.02,1.99,torchinferno

tree_of_thought
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,415.93,61.73,76.68,vllm
ttft_p99_ms,1029.39,98.39,646.84,vllm
tpot_median_ms,134.84,27.78,57.43,vllm
tpot_p99_ms,155.00,39.97,165.73,vllm
e2e_median_ms,508.65,83.56,147.77,vllm
e2e_p99_ms,1121.79,211.06,674.24,vllm
throughput_median_tps,2.69,14.87,9.58,vllm
total_output_tokens,1471,1465,1466,torchinferno
num_requests,992,992,992,
correctness_rate,0.97,0.97,0.97,sglang

long_output
metric,torchinferno,vllm,sglang,winner
ttft_median_ms,,79.10,73.78,sglang
ttft_p99_ms,,179.06,357.70,vllm
tpot_median_ms,,14.98,22.13,vllm
tpot_p99_ms,,20.07,57.65,vllm
e2e_median_ms,,621.56,810.13,vllm
e2e_p99_ms,,990.95,1606.60,vllm
throughput_median_tps,,58.50,41.68,vllm
total_output_tokens,,36715,36715,vllm
num_requests,,1000,1000,
correctness_rate,,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
torchinferno,few_shot,0,889.63,661.02,1550.66,2,1.29,1
torchinferno,few_shot,1,2532.98,0.00,2609.70,1,0.38,1
torchinferno,few_shot,2,2510.56,0.00,2587.27,1,0.39,1
torchinferno,few_shot,3,2514.63,0.00,2611.09,1,0.38,1
torchinferno,few_shot,4,2506.40,0.00,2591.56,1,0.39,1
torchinferno,few_shot,5,2529.03,0.00,2617.84,1,0.38,1
torchinferno,few_shot,6,2523.07,0.00,2622.95,1,0.38,1
torchinferno,few_shot,7,2519.63,0.00,2609.44,1,0.38,1
torchinferno,few_shot,8,2516.22,0.00,2613.90,1,0.38,1
torchinferno,few_shot,9,2504.27,0.00,2602.56,1,0.38,1
torchinferno,few_shot,10,2520.63,0.00,2615.05,1,0.38,1
torchinferno,few_shot,11,2516.93,0.00,2613.14,1,0.38,1
torchinferno,few_shot,12,2518.02,0.00,2616.28,1,0.38,1
torchinferno,few_shot,13,2521.83,0.00,2621.31,1,0.38,1
torchinferno,few_shot,14,2507.76,0.00,2622.48,1,0.38,1
torchinferno,few_shot,15,2505.30,0.00,2620.92,1,0.38,1
torchinferno,few_shot,16,2512.30,0.00,2627.26,1,0.38,1
torchinferno,few_shot,17,2532.42,0.00,2639.66,1,0.38,1
torchinferno,few_shot,18,2512.14,0.00,2626.40,1,0.38,1
torchinferno,few_shot,19,2521.30,0.00,2629.30,1,0.38,1
torchinferno,few_shot,20,2512.76,0.00,2633.81,1,0.38,1
torchinferno,few_shot,21,2520.95,0.00,2631.06,1,0.38,1
torchinferno,few_shot,22,2519.77,0.00,2649.38,1,0.38,1
torchinferno,few_shot,23,2508.05,0.00,2634.71,1,0.38,1
torchinferno,few_shot,24,2509.06,0.00,2634.78,1,0.38,1
torchinferno,few_shot,25,2514.96,0.00,2640.84,1,0.38,1
torchinferno,few_shot,26,2527.65,0.00,2656.72,1,0.38,1
torchinferno,few_shot,27,2520.88,0.00,2657.11,1,0.38,1
torchinferno,few_shot,28,979.80,0.00,1107.06,1,0.90,1
torchinferno,few_shot,29,2505.15,0.00,2638.79,1,0.38,1
torchinferno,few_shot,30,2513.84,0.00,2652.54,1,0.38,1
torchinferno,few_shot,31,2502.16,0.00,2641.14,1,0.38,1
torchinferno,few_shot,32,2517.21,0.00,2666.23,1,0.38,1
torchinferno,few_shot,33,2530.92,0.00,2669.00,1,0.37,1
torchinferno,few_shot,34,2519.87,171.84,2691.72,2,0.74,1
torchinferno,few_shot,35,2503.43,175.73,2679.15,2,0.75,1
torchinferno,few_shot,36,2527.73,176.18,2703.90,2,0.74,1
torchinferno,few_shot,37,2519.94,188.25,2708.20,2,0.74,1
torchinferno,few_shot,38,2534.96,178.01,2712.97,2,0.74,1
torchinferno,few_shot,39,2517.86,183.13,2700.99,2,0.74,1
torchinferno,few_shot,40,2513.69,177.75,2691.44,2,0.74,1
torchinferno,few_shot,41,2512.36,188.92,2701.28,2,0.74,1
torchinferno,few_shot,42,2515.27,181.62,2696.89,2,0.74,1
torchinferno,few_shot,43,2515.73,200.55,2716.29,2,0.74,1
torchinferno,few_shot,44,2506.96,200.64,2707.59,2,0.74,1
