model,meta-llama/Meta-Llama-3.1-70B-Instruct
tensor_parallel_size,8
timestamp,2026-05-10T01:00:56.821182

Build Times
provider,build_time_s
vllm,1037.6
sglang,318.7
torchinferno,81.9

few_shot
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,25.12,30.27,37.08,vllm
ttft_p99_ms,639.04,13904.72,860.06,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,36.18,39.45,49.48,vllm
e2e_p99_ms,989.90,14037.35,873.49,torchinferno
throughput_median_tps,27.64,25.35,20.21,vllm
total_output_tokens,8,8,8,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm

self_consistency
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,74.70,513.48,292.98,vllm
ttft_p99_ms,93.63,528.10,311.98,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,89.43,523.42,1046.06,vllm
e2e_p99_ms,122.51,542.82,1070.65,vllm
throughput_median_tps,11.18,1.91,0.96,vllm
total_output_tokens,16,16,16,vllm
num_requests,16,16,16,
correctness_rate,1.00,1.00,1.00,vllm
unique_final_answers,1,1,1,vllm

multi_turn
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,24.56,30.37,35.49,vllm
ttft_p99_ms,24.86,32.87,36.52,vllm
tpot_median_ms,0.00,0.00,0.00,vllm
tpot_p99_ms,0.00,0.00,0.00,vllm
e2e_median_ms,35.43,40.03,48.81,vllm
e2e_p99_ms,35.65,40.95,523.63,vllm
throughput_median_tps,28.22,24.98,20.50,vllm
total_output_tokens,8,8,8,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm
ttft_first_turn_ms,21.99,32.14,34.42,vllm
ttft_last_turn_ms,24.68,29.69,36.52,vllm
ttft_growth_ratio,1.12,0.92,1.06,sglang

tree_of_thought
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,49.88,48.11,46.29,torchinferno
ttft_p99_ms,155.89,60.12,603.48,sglang
tpot_median_ms,24.10,19.63,36.81,sglang
tpot_p99_ms,25.95,21.35,36.82,sglang
e2e_median_ms,62.14,59.49,80.95,sglang
e2e_p99_ms,168.08,73.99,743.23,sglang
throughput_median_tps,16.14,16.93,12.53,sglang
total_output_tokens,33,33,33,vllm
num_requests,31,31,31,
correctness_rate,1.00,1.00,1.00,vllm

long_output
metric,vllm,sglang,torchinferno,winner
ttft_median_ms,25.18,32.61,521.60,vllm
ttft_p99_ms,25.66,36.74,698.65,vllm
tpot_median_ms,11.30,9.34,10.05,sglang
tpot_p99_ms,12.36,12.43,11.27,torchinferno
e2e_median_ms,443.07,377.30,933.79,sglang
e2e_p99_ms,762.27,641.80,1130.08,sglang
throughput_median_tps,85.71,100.66,40.18,sglang
total_output_tokens,303,303,303,vllm
num_requests,8,8,8,
correctness_rate,1.00,1.00,1.00,vllm

Per-Request Raw Data
provider,benchmark,request_idx,ttft_ms,tpot_ms,e2e_latency_ms,output_tokens,throughput_tps,correct
vllm,few_shot,0,639.04,0.00,989.90,1,1.01,1
vllm,few_shot,1,27.12,0.00,38.19,1,26.18,1
vllm,few_shot,2,25.54,0.00,36.61,1,27.31,1
vllm,few_shot,3,24.97,0.00,36.02,1,27.76,1
vllm,few_shot,4,25.23,0.00,36.15,1,27.66,1
vllm,few_shot,5,24.98,0.00,35.96,1,27.81,1
vllm,few_shot,6,25.01,0.00,36.22,1,27.61,1
vllm,few_shot,7,24.73,0.00,35.80,1,27.94,1
vllm,self_consistency,0,50.88,0.00,51.19,1,19.53,1
vllm,self_consistency,1,72.20,0.00,80.84,1,12.37,1
vllm,self_consistency,2,89.88,0.00,118.58,1,8.43,1
vllm,self_consistency,3,93.63,0.00,122.51,1,8.16,1
vllm,self_consistency,4,92.35,0.00,121.36,1,8.24,1
vllm,self_consistency,5,46.66,0.00,75.66,1,13.22,1
vllm,self_consistency,6,88.05,0.00,118.50,1,8.44,1
vllm,self_consistency,7,64.69,0.00,82.73,1,12.09,1
vllm,self_consistency,8,68.46,0.00,86.59,1,11.55,1
vllm,self_consistency,9,69.07,0.00,89.00,1,11.24,1
vllm,self_consistency,10,70.25,0.00,82.98,1,12.05,1
vllm,self_consistency,11,72.16,0.00,86.63,1,11.54,1
vllm,self_consistency,12,89.46,0.00,102.69,1,9.74,1
vllm,self_consistency,13,78.78,0.00,91.28,1,10.96,1
vllm,self_consistency,14,79.66,0.00,94.08,1,10.63,1
vllm,self_consistency,15,77.20,0.00,89.85,1,11.13,1
vllm,multi_turn,0,21.99,0.00,32.65,1,30.63,1
vllm,multi_turn,1,24.44,0.00,35.30,1,28.33,1
vllm,multi_turn,2,24.57,0.00,35.53,1,28.15,1
vllm,multi_turn,3,24.45,0.00,35.34,1,28.30,1
vllm,multi_turn,4,24.56,0.00,35.34,1,28.30,1
vllm,multi_turn,5,24.70,0.00,35.61,1,28.08,1
vllm,multi_turn,6,24.86,0.00,35.63,1,28.06,1
vllm,multi_turn,7,24.68,0.00,35.65,1,28.05,1
vllm,tree_of_thought,0,32.08,0.00,49.20,1,20.33,1
vllm,tree_of_thought,1,46.62,0.00,62.14,1,16.09,1
vllm,tree_of_thought,2,44.33,0.00,59.08,1,16.93,1
vllm,tree_of_thought,3,59.97,0.00,71.53,1,13.98,1
vllm,tree_of_thought,4,28.17,0.00,39.06,1,25.60,1
vllm,tree_of_thought,5,50.45,0.00,62.44,1,16.01,1
vllm,tree_of_thought,6,52.85,0.00,64.18,1,15.58,1
vllm,tree_of_thought,7,55.19,0.00,67.05,1,14.91,1
vllm,tree_of_thought,8,26.50,0.00,37.63,1,26.57,1
vllm,tree_of_thought,9,55.10,0.00,67.69,1,14.77,1
vllm,tree_of_thought,10,50.09,0.00,61.96,1,16.14,1
vllm,tree_of_thought,11,53.77,0.00,66.22,1,15.10,1
vllm,tree_of_thought,12,28.54,0.00,39.36,1,25.41,1
vllm,tree_of_thought,13,49.88,0.00,61.74,1,16.20,1
vllm,tree_of_thought,14,48.74,0.00,59.91,1,16.69,1
vllm,tree_of_thought,15,51.73,22.26,73.98,2,27.03,1
vllm,tree_of_thought,16,24.42,0.00,35.32,1,28.31,1
vllm,tree_of_thought,17,29.45,0.00,42.83,1,23.35,1
vllm,tree_of_thought,18,44.27,0.00,160.12,1,6.25,1
vllm,tree_of_thought,19,155.89,0.00,168.08,1,5.95,1
vllm,tree_of_thought,20,155.10,0.00,166.70,1,6.00,1
vllm,tree_of_thought,21,26.00,0.00,36.94,1,27.07,1
vllm,tree_of_thought,22,53.14,0.00,64.70,1,15.46,1
vllm,tree_of_thought,23,52.80,0.00,63.94,1,15.64,1
vllm,tree_of_thought,24,55.02,0.00,66.61,1,15.01,1
vllm,tree_of_thought,25,23.59,0.00,34.42,1,29.05,1
vllm,tree_of_thought,26,25.61,25.95,51.56,2,38.79,1
vllm,tree_of_thought,27,49.68,0.00,60.80,1,16.45,1
vllm,tree_of_thought,28,52.51,0.00,63.12,1,15.84,1
vllm,tree_of_thought,29,53.01,0.00,64.79,1,15.43,1
vllm,tree_of_thought,30,23.39,0.00,34.29,1,29.17,1
vllm,long_output,0,21.67,12.36,120.54,9,74.66,1
vllm,long_output,1,24.76,11.66,211.29,17,80.46,1
vllm,long_output,2,24.72,11.49,300.46,25,83.20,1
vllm,long_output,3,25.28,11.33,399.08,34,85.20,1
vllm,long_output,4,25.09,11.27,487.06,42,86.23,1
vllm,long_output,5,25.66,11.23,575.78,50,86.84,1
vllm,long_output,6,25.45,11.20,674.83,59,87.43,1
vllm,long_output,7,25.54,11.16,762.27,67,87.90,1
sglang,few_shot,0,13904.72,0.00,14037.35,1,0.07,1
sglang,few_shot,1,346.86,0.00,355.18,1,2.82,1
sglang,few_shot,2,31.37,0.00,41.10,1,24.33,1
sglang,few_shot,3,30.06,0.00,39.02,1,25.63,1
sglang,few_shot,4,29.09,0.00,38.11,1,26.24,1
sglang,few_shot,5,30.48,0.00,39.89,1,25.07,1
sglang,few_shot,6,29.12,0.00,38.69,1,25.85,1
sglang,few_shot,7,29.11,0.00,38.14,1,26.22,1
sglang,self_consistency,0,504.02,0.00,511.00,1,1.96,1
sglang,self_consistency,1,508.65,0.00,516.36,1,1.94,1
sglang,self_consistency,2,506.25,0.00,510.91,1,1.96,1
sglang,self_consistency,3,513.51,0.00,524.26,1,1.91,1
sglang,self_consistency,4,522.19,0.00,532.60,1,1.88,1
sglang,self_consistency,5,526.90,0.00,530.74,1,1.88,1
sglang,self_consistency,6,520.73,0.00,529.16,1,1.89,1
sglang,self_consistency,7,501.14,0.00,510.44,1,1.96,1
sglang,self_consistency,8,527.64,0.00,535.34,1,1.87,1
sglang,self_consistency,9,516.88,0.00,522.58,1,1.91,1
sglang,self_consistency,10,503.79,0.00,516.95,1,1.93,1
sglang,self_consistency,11,458.69,0.00,542.82,1,1.84,1
sglang,self_consistency,12,519.08,0.00,525.25,1,1.90,1
sglang,self_consistency,13,500.20,0.00,509.61,1,1.96,1
sglang,self_consistency,14,513.44,0.00,521.71,1,1.92,1
sglang,self_consistency,15,528.10,0.00,528.72,1,1.89,1
sglang,multi_turn,0,32.14,0.00,40.07,1,24.96,1
sglang,multi_turn,1,32.87,0.00,40.95,1,24.42,1
sglang,multi_turn,2,30.84,0.00,40.70,1,24.57,1
sglang,multi_turn,3,30.54,0.00,40.05,1,24.97,1
sglang,multi_turn,4,30.20,0.00,40.00,1,25.00,1
sglang,multi_turn,5,29.84,0.00,39.32,1,25.43,1
sglang,multi_turn,6,29.93,0.00,39.87,1,25.08,1
sglang,multi_turn,7,29.69,0.00,39.43,1,25.36,1
sglang,tree_of_thought,0,54.06,0.00,73.99,1,13.51,1
sglang,tree_of_thought,1,54.29,0.00,66.32,1,15.08,1
sglang,tree_of_thought,2,60.12,0.00,73.18,1,13.67,1
sglang,tree_of_thought,3,57.41,0.00,69.26,1,14.44,1
sglang,tree_of_thought,4,54.87,0.00,66.78,1,14.97,1
sglang,tree_of_thought,5,51.22,0.00,62.16,1,16.09,1
sglang,tree_of_thought,6,53.65,0.00,65.37,1,15.30,1
sglang,tree_of_thought,7,48.11,0.00,63.86,1,15.66,1
sglang,tree_of_thought,8,47.24,0.00,56.01,1,17.85,1
sglang,tree_of_thought,9,48.29,0.00,57.86,1,17.28,1
sglang,tree_of_thought,10,49.05,0.00,59.58,1,16.78,1
sglang,tree_of_thought,11,48.89,0.00,60.91,1,16.42,1
sglang,tree_of_thought,12,49.61,0.00,58.42,1,17.12,1
sglang,tree_of_thought,13,47.00,0.00,57.29,1,17.45,1
sglang,tree_of_thought,14,51.25,0.00,61.29,1,16.32,1
sglang,tree_of_thought,15,47.35,21.35,68.70,2,29.11,1
sglang,tree_of_thought,16,29.74,0.00,38.30,1,26.11,1
sglang,tree_of_thought,17,48.33,0.00,59.91,1,16.69,1
sglang,tree_of_thought,18,44.97,0.00,56.19,1,17.80,1
sglang,tree_of_thought,19,51.25,0.00,62.15,1,16.09,1
sglang,tree_of_thought,20,45.70,0.00,59.07,1,16.93,1
sglang,tree_of_thought,21,46.45,0.00,59.27,1,16.87,1
sglang,tree_of_thought,22,45.59,0.00,56.90,1,17.58,1
sglang,tree_of_thought,23,44.71,0.00,55.54,1,18.00,1
sglang,tree_of_thought,24,48.31,0.00,58.67,1,17.04,1
sglang,tree_of_thought,25,26.00,0.00,35.63,1,28.06,1
sglang,tree_of_thought,26,46.85,0.00,59.49,1,16.81,1
sglang,tree_of_thought,27,43.82,0.00,55.44,1,18.04,1
sglang,tree_of_thought,28,47.27,0.00,58.76,1,17.02,1
sglang,tree_of_thought,29,46.14,17.92,64.05,2,31.22,1
sglang,tree_of_thought,30,27.30,0.00,36.66,1,27.28,1
sglang,long_output,0,32.77,10.11,113.64,9,79.20,1
sglang,long_output,1,30.67,12.43,229.63,17,74.03,1
sglang,long_output,2,35.83,9.43,262.17,25,95.36,1
sglang,long_output,3,31.07,9.36,339.87,34,100.04,1
sglang,long_output,4,32.45,9.32,414.72,42,101.27,1
sglang,long_output,5,36.74,9.25,490.21,50,102.00,1
sglang,long_output,6,33.63,9.24,569.58,59,103.59,1
sglang,long_output,7,31.38,9.25,641.80,67,104.39,1
torchinferno,few_shot,0,38.47,0.00,482.66,1,2.07,1
torchinferno,few_shot,1,36.92,0.00,53.50,1,18.69,1
torchinferno,few_shot,2,37.05,0.00,49.54,1,20.18,1
torchinferno,few_shot,3,37.25,0.00,49.41,1,20.24,1
torchinferno,few_shot,4,36.75,0.00,49.09,1,20.37,1
torchinferno,few_shot,5,860.06,0.00,873.49,1,1.14,1
torchinferno,few_shot,6,37.11,0.00,49.29,1,20.29,1
torchinferno,few_shot,7,36.48,0.00,48.76,1,20.51,1
torchinferno,self_consistency,0,295.83,0.00,1046.56,1,0.96,1
torchinferno,self_consistency,1,290.64,0.00,1044.06,1,0.96,1
torchinferno,self_consistency,2,311.30,0.00,1066.34,1,0.94,1
torchinferno,self_consistency,3,297.35,0.00,1052.99,1,0.95,1
torchinferno,self_consistency,4,300.94,0.00,1055.08,1,0.95,1
torchinferno,self_consistency,5,284.22,0.00,1040.48,1,0.96,1
torchinferno,self_consistency,6,285.38,0.00,1038.77,1,0.96,1
torchinferno,self_consistency,7,308.21,0.00,1064.82,1,0.94,1
torchinferno,self_consistency,8,308.69,0.00,1066.62,1,0.94,1
torchinferno,self_consistency,9,286.58,0.00,1043.25,1,0.96,1
torchinferno,self_consistency,10,289.63,0.00,1045.56,1,0.96,1
torchinferno,self_consistency,11,311.98,0.00,1070.65,1,0.93,1
torchinferno,self_consistency,12,285.66,0.00,1041.07,1,0.96,1
torchinferno,self_consistency,13,295.32,0.00,1049.65,1,0.95,1
torchinferno,self_consistency,14,281.51,0.00,1038.01,1,0.96,1
torchinferno,self_consistency,15,280.98,0.00,1036.55,1,0.96,1
torchinferno,multi_turn,0,34.42,0.00,150.56,1,6.64,1
torchinferno,multi_turn,1,34.96,0.00,506.04,1,1.98,1
torchinferno,multi_turn,2,35.37,0.00,47.37,1,21.11,1
torchinferno,multi_turn,3,35.15,0.00,47.28,1,21.15,1
torchinferno,multi_turn,4,35.61,0.00,47.54,1,21.04,1
torchinferno,multi_turn,5,36.25,0.00,523.63,1,1.91,1
torchinferno,multi_turn,6,35.72,0.00,47.64,1,20.99,1
torchinferno,multi_turn,7,36.52,0.00,49.99,1,20.01,1
torchinferno,tree_of_thought,0,293.04,0.00,433.99,1,2.30,1
torchinferno,tree_of_thought,1,288.37,0.00,428.80,1,2.33,1
torchinferno,tree_of_thought,2,295.20,0.00,436.61,1,2.29,1
torchinferno,tree_of_thought,3,289.41,0.00,431.34,1,2.32,1
torchinferno,tree_of_thought,4,45.88,0.00,64.55,1,15.49,1
torchinferno,tree_of_thought,5,43.31,0.00,61.89,1,16.16,1
torchinferno,tree_of_thought,6,45.05,0.00,64.41,1,15.53,1
torchinferno,tree_of_thought,7,44.17,0.00,63.34,1,15.79,1
torchinferno,tree_of_thought,8,354.72,0.00,365.30,1,2.74,1
torchinferno,tree_of_thought,9,603.48,0.00,743.23,1,1.35,1
torchinferno,tree_of_thought,10,599.59,0.00,739.94,1,1.35,1
torchinferno,tree_of_thought,11,601.32,0.00,742.42,1,1.35,1
torchinferno,tree_of_thought,12,45.57,0.00,80.56,1,12.41,1
torchinferno,tree_of_thought,13,48.63,0.00,84.36,1,11.85,1
torchinferno,tree_of_thought,14,43.69,0.00,79.83,1,12.53,1
torchinferno,tree_of_thought,15,46.29,36.82,83.10,2,24.07,1
torchinferno,tree_of_thought,16,32.95,0.00,145.71,1,6.86,1
